time,Minnesota,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. N. Pekovic (Z. Randolph gains possession),,,,Jump ball: M. Gasol vs. N. Pekovic (Z. Randolph gains possession)
11:47.0,,,0-0,,Turnover by Z. Randolph (bad pass; steal by A. Wiggins)
11:46.0,,,0-0,,Personal foul by T. Allen (drawn by C. Brewer)
11:32.0,C. Brewer makes 2-pt shot from 2 ft (assist by N. Pekovic),2,2-0,,
11:10.0,,,2-2,2,Z. Randolph makes 2-pt shot from 12 ft
10:50.0,T. Young misses 3-pt shot from 24 ft,,2-2,,
10:49.0,Offensive rebound by N. Pekovic,,2-2,,
10:49.0,N. Pekovic misses 2-pt shot from 5 ft (block by M. Gasol),,2-2,,
10:49.0,Offensive rebound by Team,,2-2,,
10:47.0,T. Young makes 2-pt shot from 18 ft (assist by A. Wiggins),2,4-2,,
10:34.0,,,4-2,,Shooting foul by R. Rubio (drawn by M. Conley)
10:34.0,,,4-2,,M. Conley misses free throw 1 of 2
10:34.0,,,4-2,,Offensive rebound by Team
10:34.0,,,4-2,,Turnover by M. Gasol (lane violation.)
10:25.0,Turnover by C. Brewer (bad pass; steal by T. Allen),,4-2,,
10:12.0,,,4-2,,C. Lee misses 3-pt shot from 23 ft
10:10.0,Defensive rebound by N. Pekovic,,4-2,,
10:07.0,R. Rubio makes 2-pt shot from 18 ft,2,6-2,,
10:07.0,Shooting foul by M. Conley (drawn by R. Rubio),,6-2,,
10:07.0,R. Rubio makes free throw 1 of 1,1,7-2,,
9:57.0,,,7-5,3,C. Lee makes 3-pt shot from 26 ft (assist by M. Conley)
9:40.0,T. Young misses 2-pt shot from 15 ft,,7-5,,
9:38.0,,,7-5,,Defensive rebound by T. Allen
9:31.0,,,7-7,2,Z. Randolph makes 2-pt shot from 5 ft (assist by M. Conley)
9:17.0,N. Pekovic misses 2-pt shot from 6 ft,,7-7,,
9:13.0,,,7-7,,Defensive rebound by T. Allen
9:05.0,,,7-9,2,Z. Randolph makes 2-pt shot from 8 ft
8:45.0,Turnover by N. Pekovic (traveling),,7-9,,
8:29.0,,,7-11,2,M. Gasol makes 2-pt shot from 6 ft
8:05.0,T. Young makes 2-pt shot from 5 ft,2,9-11,,
7:41.0,,,9-13,2,T. Allen makes 2-pt shot from 1 ft (assist by Z. Randolph)
7:24.0,N. Pekovic misses 2-pt shot from 7 ft,,9-13,,
7:23.0,Offensive rebound by R. Rubio,,9-13,,
7:21.0,Shooting foul by M. Conley (drawn by R. Rubio),,9-13,,
7:21.0,R. Rubio misses free throw 1 of 2,,9-13,,
7:21.0,Offensive rebound by Team,,9-13,,
7:21.0,,,9-13,,K. Koufos enters the game for M. Gasol
7:21.0,,,9-13,,B. Udrih enters the game for M. Conley
7:21.0,R. Rubio makes free throw 2 of 2,1,10-13,,
7:07.0,,,10-15,2,B. Udrih makes 2-pt shot from 17 ft
