time,Atlanta,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. A. Horford (B. Jennings gains possession),,,,Jump ball: A. Drummond vs. A. Horford (B. Jennings gains possession)
11:33.0,,,0-0,,K. Caldwell-Pope misses 3-pt shot from 26 ft
11:32.0,Defensive rebound by J. Teague,,0-0,,
11:13.0,P. Millsap misses 2-pt shot from 1 ft,,0-0,,
11:12.0,,,0-0,,Defensive rebound by G. Monroe
10:51.0,,,0-0,,A. Drummond misses 2-pt shot from 6 ft
10:50.0,Defensive rebound by P. Millsap,,0-0,,
10:49.0,Turnover by P. Millsap (bad pass; steal by A. Drummond),,0-0,,
10:49.0,,,0-0,,Shooting foul by P. Millsap (drawn by A. Drummond)
10:49.0,,,0-0,,A. Drummond misses free throw 1 of 2
10:49.0,,,0-0,,Offensive rebound by Team
10:49.0,,,0-0,,A. Drummond misses free throw 2 of 2
10:48.0,,,0-0,,Offensive rebound by K. Singler
10:44.0,,,0-2,2,K. Singler makes 2-pt shot from 4 ft
10:30.0,D. Carroll misses 3-pt shot from 26 ft,,0-2,,
10:29.0,,,0-2,,Defensive rebound by B. Jennings
10:24.0,,,0-2,,B. Jennings misses 3-pt shot from 27 ft
10:23.0,Defensive rebound by D. Carroll,,0-2,,
10:08.0,P. Millsap misses 3-pt shot from 27 ft,,0-2,,
10:07.0,,,0-2,,Defensive rebound by K. Singler
9:57.0,,,0-4,2,K. Singler makes 2-pt shot from 6 ft (assist by A. Drummond)
9:44.0,K. Korver makes 2-pt shot at rim (assist by P. Millsap),2,2-4,,
9:32.0,,,2-4,,K. Caldwell-Pope misses 3-pt shot from 25 ft
9:31.0,Defensive rebound by A. Horford,,2-4,,
9:16.0,A. Horford makes 2-pt shot from 20 ft (assist by J. Teague),2,4-4,,
8:54.0,,,4-4,,G. Monroe misses 2-pt shot at rim
8:53.0,Defensive rebound by P. Millsap,,4-4,,
8:39.0,P. Millsap makes 2-pt shot from 18 ft (assist by A. Horford),2,6-4,,
8:25.0,,,6-6,2,K. Caldwell-Pope makes 2-pt shot from 15 ft
8:08.0,D. Carroll makes 3-pt shot from 26 ft (assist by P. Millsap),3,9-6,,
7:51.0,,,9-6,,K. Caldwell-Pope misses 2-pt shot from 7 ft
7:49.0,Defensive rebound by K. Korver,,9-6,,
7:34.0,Turnover by J. Teague (bad pass; steal by A. Drummond),,9-6,,
7:25.0,,,9-8,2,B. Jennings makes 2-pt shot from 13 ft
7:00.0,J. Teague makes 2-pt shot from 1 ft,2,11-8,,
6:35.0,,,11-8,,K. Caldwell-Pope misses 2-pt shot from 6 ft
6:34.0,,,11-8,,Offensive rebound by A. Drummond
6:33.0,,,11-8,,A. Drummond misses 2-pt shot at rim
6:32.0,Defensive rebound by A. Horford,,11-8,,
6:30.0,Shooting foul by A. Drummond (drawn by P. Millsap),,11-8,,
6:30.0,P. Millsap makes free throw 1 of 2,1,12-8,,
6:30.0,P. Millsap misses free throw 2 of 2,,12-8,,
6:29.0,,,12-8,,Defensive rebound by A. Drummond
6:08.0,,,12-10,2,G. Monroe makes 2-pt shot from 1 ft (assist by K. Singler)
6:07.0,Atlanta full timeout,,12-10,,
5:55.0,K. Korver misses 2-pt shot from 17 ft,,12-10,,
5:54.0,,,12-10,,Defensive rebound by B. Jennings
5:32.0,,,12-10,,K. Caldwell-Pope misses 3-pt shot from 23 ft
5:31.0,Defensive rebound by A. Horford,,12-10,,
5:17.0,P. Millsap makes 2-pt shot from 6 ft,2,14-10,,
5:02.0,,,14-10,,K. Singler misses 2-pt shot from 6 ft
5:01.0,Defensive rebound by A. Horford,,14-10,,
4:52.0,A. Horford makes 2-pt shot from 17 ft (assist by J. Teague),2,16-10,,
4:30.0,,,16-10,,G. Monroe misses 2-pt shot from 5 ft (block by A. Horford)
4:28.0,,,16-10,,Offensive rebound by K. Singler
4:23.0,,,16-10,,K. Singler misses 2-pt shot from 13 ft
4:22.0,,,16-10,,Offensive rebound by G. Monroe
4:21.0,,,16-10,,G. Monroe misses 2-pt shot at rim
4:20.0,Defensive rebound by D. Carroll,,16-10,,
4:12.0,A. Horford makes 2-pt shot from 13 ft,2,18-10,,
4:12.0,,,18-10,,Detroit full timeout
4:12.0,M. Scott enters the game for P. Millsap,,18-10,,
4:12.0,T. Sefolosha enters the game for K. Korver,,18-10,,
4:12.0,,,18-10,,J. Meeks enters the game for A. Drummond
4:12.0,,,18-10,,J. Jerebko enters the game for K. Caldwell-Pope
3:55.0,,,18-12,2,G. Monroe makes 2-pt shot at rim (assist by B. Jennings)
3:40.0,D. Carroll makes 2-pt shot from 7 ft (assist by M. Scott),2,20-12,,
