time,Chicago,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. M. Gortat (K. Humphries gains possession),,,,Jump ball: P. Gasol vs. M. Gortat (K. Humphries gains possession)
11:44.0,,,0-0,,B. Beal misses 2-pt shot from 18 ft
11:40.0,Defensive rebound by J. Noah,,0-0,,
11:26.0,Turnover by M. Dunleavy (bad pass; steal by B. Beal),,0-0,,
11:19.0,,,0-2,2,B. Beal makes 2-pt shot at rim
10:54.0,Turnover by J. Noah (bad pass; steal by J. Wall),,0-2,,
10:48.0,,,0-4,2,K. Humphries makes 2-pt shot at rim (assist by J. Wall)
10:33.0,P. Gasol makes 2-pt shot from 9 ft,2,2-4,,
10:33.0,Shooting foul by J. Wall (drawn by P. Gasol),,2-4,,
10:33.0,P. Gasol makes free throw 1 of 1,1,3-4,,
10:18.0,Personal foul by J. Noah (drawn by K. Humphries),,3-4,,
10:05.0,,,3-4,,M. Gortat misses 2-pt shot from 17 ft
10:03.0,Defensive rebound by M. Dunleavy,,3-4,,
9:52.0,M. Dunleavy misses 3-pt shot from 27 ft,,3-4,,
9:49.0,,,3-4,,Defensive rebound by Team
9:33.0,,,3-6,2,M. Gortat makes 2-pt shot from 1 ft (assist by B. Beal)
9:13.0,J. Butler misses 3-pt shot from 26 ft,,3-6,,
9:11.0,,,3-6,,Defensive rebound by M. Gortat
9:02.0,,,3-6,,M. Gortat misses 2-pt shot from 12 ft
9:00.0,Defensive rebound by J. Noah,,3-6,,
8:55.0,D. Rose makes 2-pt shot from 1 ft,2,5-6,,
8:48.0,,,5-6,,K. Humphries misses 2-pt shot from 7 ft
8:46.0,Defensive rebound by J. Noah,,5-6,,
8:42.0,J. Butler makes 2-pt shot from 21 ft (assist by J. Noah),2,7-6,,
8:22.0,,,7-8,2,P. Pierce makes 2-pt shot from 2 ft (assist by K. Humphries)
8:04.0,J. Noah makes 2-pt shot from 6 ft,2,9-8,,
7:47.0,,,9-8,,B. Beal misses 2-pt shot from 1 ft (block by P. Gasol)
7:46.0,Defensive rebound by P. Gasol,,9-8,,
7:39.0,J. Butler makes 3-pt shot from 26 ft (assist by D. Rose),3,12-8,,
