time,Charlotte,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Biyombo vs. D. Howard (K. Walker gains possession),,,,Jump ball: B. Biyombo vs. D. Howard (K. Walker gains possession)
11:45.0,Turnover by C. Zeller (bad pass; steal by J. Harden),,0-0,,
11:22.0,,,0-0,,P. Beverley misses 3-pt shot from 23 ft
11:20.0,Defensive rebound by G. Henderson,,0-0,,
11:11.0,,,0-0,,Def 3 sec tech foul by J. Smith
11:11.0,K. Walker makes technical free throw,1,1-0,,
10:57.0,C. Zeller makes 2-pt shot from 1 ft (assist by K. Walker),2,3-0,,
10:40.0,,,3-0,,T. Ariza misses 3-pt shot from 25 ft
10:39.0,Defensive rebound by M. Kidd-Gilchrist,,3-0,,
10:29.0,K. Walker misses 3-pt shot from 25 ft,,3-0,,
10:28.0,Offensive rebound by Team,,3-0,,
10:25.0,G. Henderson makes 2-pt shot from 17 ft (assist by M. Kidd-Gilchrist),2,5-0,,
10:15.0,Personal block foul by K. Walker (drawn by T. Ariza),,5-0,,
10:02.0,,,5-2,2,D. Howard makes 2-pt shot at rim (assist by J. Harden)
9:47.0,M. Kidd-Gilchrist misses 2-pt shot from 12 ft,,5-2,,
9:45.0,Offensive rebound by M. Kidd-Gilchrist,,5-2,,
9:42.0,M. Kidd-Gilchrist misses 2-pt shot at rim (block by D. Howard),,5-2,,
9:40.0,,,5-2,,Defensive rebound by P. Beverley
9:36.0,,,5-2,,Shooting foul by B. Biyombo (drawn by J. Harden)
9:36.0,,,5-3,1,J. Harden makes free throw 1 of 2
9:36.0,,,5-4,1,J. Harden makes free throw 2 of 2
9:21.0,G. Henderson misses 2-pt shot from 12 ft,,5-4,,
9:19.0,,,5-4,,Defensive rebound by D. Howard
9:07.0,,,5-6,2,D. Howard makes 2-pt shot at rim (assist by J. Smith)
8:50.0,M. Kidd-Gilchrist misses 2-pt shot from 19 ft,,5-6,,
8:48.0,Offensive rebound by B. Biyombo,,5-6,,
8:43.0,Turnover by C. Zeller (bad pass; steal by T. Ariza),,5-6,,
8:40.0,,,5-8,2,T. Ariza makes 2-pt shot at rim
8:24.0,K. Walker makes 2-pt shot from 16 ft,2,7-8,,
8:13.0,,,7-8,,T. Ariza misses 3-pt shot from 22 ft
8:12.0,Defensive rebound by G. Henderson,,7-8,,
8:06.0,Shooting foul by J. Smith (drawn by B. Biyombo),,7-8,,
8:06.0,B. Biyombo makes free throw 1 of 2,1,8-8,,
8:06.0,B. Biyombo makes free throw 2 of 2,1,9-8,,
7:41.0,,,9-8,,P. Beverley misses 3-pt shot from 22 ft
7:40.0,Defensive rebound by G. Henderson,,9-8,,
7:29.0,G. Henderson makes 2-pt shot from 16 ft,2,11-8,,
7:08.0,,,11-8,,J. Smith misses 2-pt shot from 17 ft
7:07.0,Defensive rebound by B. Biyombo,,11-8,,
7:01.0,M. Kidd-Gilchrist misses 2-pt shot at rim,,11-8,,
6:58.0,,,11-8,,Defensive rebound by J. Harden
6:45.0,,,11-8,,J. Smith misses 2-pt shot from 2 ft (block by B. Biyombo)
6:44.0,,,11-8,,Offensive rebound by D. Howard
6:43.0,,,11-10,2,D. Howard makes 2-pt shot from 1 ft
6:43.0,,,11-10,,Shooting foul by B. Biyombo (drawn by D. Howard)
6:43.0,J. Maxiell enters the game for B. Biyombo,,11-10,,
6:43.0,,,11-11,1,D. Howard makes free throw 1 of 1
6:30.0,K. Walker makes 2-pt shot from 1 ft,2,13-11,,
6:17.0,,,13-11,,Turnover by D. Howard (3 sec)
6:10.0,K. Walker misses 2-pt shot from 17 ft (block by J. Smith),,13-11,,
6:08.0,,,13-11,,Defensive rebound by D. Howard
5:58.0,,,13-11,,Shooting foul by J. Maxiell (drawn by J. Smith)
5:58.0,,,13-11,,Houston full timeout
5:58.0,,,13-11,,J. Smith misses free throw 1 of 2
5:58.0,,,13-11,,Offensive rebound by Team
5:58.0,,,13-11,,J. Smith misses free throw 2 of 2
5:58.0,Defensive rebound by M. Kidd-Gilchrist,,13-11,,
5:43.0,G. Henderson makes 2-pt shot from 19 ft,2,15-11,,
5:31.0,,,15-11,,J. Harden misses 3-pt shot from 25 ft
5:30.0,Defensive rebound by C. Zeller,,15-11,,
5:17.0,Turnover by G. Henderson (lost ball; steal by J. Smith),,15-11,,
5:09.0,,,15-14,3,P. Beverley makes 3-pt shot from 24 ft (assist by J. Harden)
4:54.0,G. Henderson makes 2-pt shot from 16 ft (assist by C. Zeller),2,17-14,,
4:40.0,,,17-14,,Turnover by D. Howard (3 sec)
4:40.0,,,17-14,,D. Motiejunas enters the game for T. Ariza
4:40.0,,,17-14,,C. Brewer enters the game for J. Smith
4:40.0,M. Williams enters the game for C. Zeller,,17-14,,
4:14.0,M. Williams misses 3-pt shot from 23 ft,,17-14,,
4:12.0,,,17-14,,Defensive rebound by Team
3:54.0,,,17-16,2,D. Motiejunas makes 2-pt shot from 5 ft (assist by P. Beverley)
3:41.0,K. Walker misses 2-pt shot from 7 ft (block by P. Beverley),,17-16,,
3:39.0,,,17-16,,Defensive rebound by J. Harden
3:36.0,,,17-16,,C. Brewer misses 2-pt shot from 1 ft
3:35.0,,,17-16,,Offensive rebound by Team
3:35.0,G. Neal enters the game for G. Henderson,,17-16,,
3:25.0,,,17-16,,Shooting foul by J. Maxiell (drawn by D. Howard)
3:25.0,,,17-16,,D. Howard misses free throw 1 of 2
3:25.0,,,17-16,,Offensive rebound by Team
3:25.0,,,17-16,,D. Howard misses free throw 2 of 2
3:25.0,Defensive rebound by M. Kidd-Gilchrist,,17-16,,
3:09.0,Turnover by M. Kidd-Gilchrist (lost ball; steal by J. Harden),,17-16,,
3:05.0,,,17-18,2,C. Brewer makes 2-pt shot at rim (assist by P. Beverley)
2:50.0,M. Kidd-Gilchrist makes 2-pt shot from 17 ft,2,19-18,,
2:28.0,,,19-18,,J. Harden misses 2-pt shot from 14 ft
2:26.0,Defensive rebound by M. Williams,,19-18,,
2:20.0,K. Walker makes 2-pt shot from 1 ft,2,21-18,,
2:04.0,,,21-21,3,J. Harden makes 3-pt shot from 23 ft (assist by C. Brewer)
1:48.0,K. Walker misses 2-pt shot from 19 ft,,21-21,,
1:47.0,,,21-21,,Defensive rebound by D. Howard
1:43.0,,,21-23,2,D. Motiejunas makes 2-pt shot from 1 ft (assist by C. Brewer)
1:31.0,Charlotte full timeout,,21-23,,
1:31.0,,,21-23,,J. Terry enters the game for D. Howard
1:31.0,,,21-23,,J. Dorsey enters the game for P. Beverley
1:23.0,Turnover by G. Neal (bad pass; steal by J. Dorsey),,21-23,,
1:06.0,,,21-23,,Turnover by D. Motiejunas (lost ball; steal by M. Williams)
1:02.0,G. Neal makes 2-pt shot from 2 ft,2,23-23,,
0:39.0,,,23-23,,J. Harden misses 3-pt shot from 25 ft
0:38.0,Defensive rebound by Team,,23-23,,
0:38.0,,,23-23,,Loose ball foul by J. Dorsey (drawn by M. Kidd-Gilchrist)
0:38.0,,,23-23,,T. Ariza enters the game for J. Harden
0:32.0,,,23-23,,Personal foul by J. Terry (drawn by G. Neal)
0:32.0,G. Neal makes free throw 1 of 2,1,24-23,,
0:32.0,P. Hairston enters the game for M. Kidd-Gilchrist,,24-23,,
0:32.0,G. Neal makes free throw 2 of 2,1,25-23,,
0:14.0,,,25-23,,C. Brewer misses 2-pt shot from 8 ft (block by G. Neal)
0:12.0,Defensive rebound by G. Neal,,25-23,,
0:01.0,P. Hairston misses 3-pt shot from 24 ft,,25-23,,
0:00.0,Offensive rebound by Team,,25-23,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,,,25-23,,Turnover by D. Motiejunas (lost ball; steal by G. Neal)
11:45.0,G. Neal makes 2-pt shot from 1 ft,2,27-23,,
11:24.0,,,27-23,,J. Terry misses 2-pt shot from 2 ft
11:23.0,Defensive rebound by G. Neal,,27-23,,
11:15.0,G. Neal misses 2-pt shot from 20 ft,,27-23,,
11:13.0,,,27-23,,Defensive rebound by T. Ariza
11:05.0,,,27-26,3,T. Ariza makes 3-pt shot from 25 ft (assist by J. Terry)
10:49.0,Turnover by P. Hairston (lost ball),,27-26,,
10:29.0,,,27-26,,D. Motiejunas misses 2-pt shot from 1 ft
10:27.0,,,27-26,,Offensive rebound by J. Dorsey
10:24.0,,,27-26,,Turnover by Team (shot clock)
10:11.0,G. Neal makes 2-pt shot from 8 ft,2,29-26,,
9:59.0,,,29-26,,T. Ariza misses 3-pt shot from 25 ft
9:58.0,,,29-26,,Offensive rebound by Team
9:58.0,Loose ball foul by M. Williams (drawn by D. Motiejunas),,29-26,,
9:50.0,,,29-26,,D. Motiejunas misses 2-pt shot from 12 ft
9:49.0,Defensive rebound by Team,,29-26,,
9:49.0,,,29-26,,Loose ball foul by J. Dorsey (drawn by J. Maxiell)
9:35.0,P. Hairston misses 3-pt shot from 23 ft,,29-26,,
9:34.0,,,29-26,,Defensive rebound by J. Dorsey
9:26.0,,,29-28,2,J. Terry makes 2-pt shot from 4 ft
9:17.0,Shooting foul by J. Terry (drawn by B. Roberts),,29-28,,
9:17.0,B. Roberts makes free throw 1 of 2,1,30-28,,
9:17.0,B. Roberts makes free throw 2 of 2,1,31-28,,
9:00.0,,,31-28,,D. Motiejunas misses 2-pt shot from 7 ft
8:58.0,Defensive rebound by M. Williams,,31-28,,
8:53.0,Turnover by B. Roberts (bad pass),,31-28,,
8:53.0,Official timeout,,31-28,,
8:53.0,C. Zeller enters the game for M. Williams,,31-28,,
8:38.0,,,31-31,3,C. Brewer makes 3-pt shot from 23 ft (assist by T. Ariza)
8:20.0,J. Maxiell misses 2-pt shot from 11 ft,,31-31,,
8:18.0,,,31-31,,Defensive rebound by T. Ariza
8:14.0,,,31-31,,C. Brewer misses 2-pt shot from 3 ft
8:12.0,,,31-31,,Offensive rebound by D. Motiejunas
8:12.0,,,31-33,2,D. Motiejunas makes 2-pt shot from 3 ft
8:00.0,Turnover by B. Roberts (bad pass; steal by T. Ariza),,31-33,,
7:56.0,,,31-33,,Shooting foul by C. Zeller (drawn by J. Dorsey)
7:56.0,,,31-33,,J. Dorsey misses free throw 1 of 2
7:56.0,,,31-33,,Offensive rebound by Team
7:56.0,,,31-34,1,J. Dorsey makes free throw 2 of 2
7:35.0,G. Neal misses 2-pt shot from 9 ft,,31-34,,
7:32.0,,,31-34,,Defensive rebound by J. Dorsey
7:25.0,,,31-34,,C. Brewer misses 3-pt shot from 23 ft
7:22.0,,,31-34,,Offensive rebound by T. Ariza
7:19.0,,,31-34,,T. Ariza misses 3-pt shot from 25 ft
7:17.0,Defensive rebound by Team,,31-34,,
7:17.0,,,31-34,,Loose ball foul by J. Dorsey (drawn by C. Zeller)
7:17.0,,,31-34,,D. Howard enters the game for J. Dorsey
7:01.0,B. Roberts makes 3-pt shot from 23 ft (assist by P. Hairston),3,34-34,,
6:44.0,,,34-34,,Turnover by D. Motiejunas (bad pass; steal by J. Maxiell)
6:33.0,K. Walker enters the game for J. Maxiell,,34-34,,
6:33.0,B. Biyombo enters the game for G. Neal,,34-34,,
6:33.0,G. Henderson enters the game for P. Hairston,,34-34,,
6:33.0,M. Kidd-Gilchrist enters the game for B. Roberts,,34-34,,
6:33.0,,,34-34,,J. Harden enters the game for T. Ariza
6:23.0,M. Kidd-Gilchrist misses 2-pt shot from 19 ft,,34-34,,
6:23.0,Offensive rebound by Team,,34-34,,
6:23.0,,,34-34,,Loose ball foul by J. Terry (drawn by B. Biyombo)
6:23.0,,,34-34,,P. Beverley enters the game for J. Terry
6:23.0,,,34-34,,J. Smith enters the game for D. Motiejunas
6:04.0,B. Biyombo misses 2-pt shot from 11 ft,,34-34,,
6:03.0,,,34-34,,Defensive rebound by J. Harden
5:57.0,,,34-34,,P. Beverley misses 3-pt shot from 25 ft
5:56.0,Defensive rebound by C. Zeller,,34-34,,
5:40.0,C. Zeller misses 2-pt shot from 20 ft,,34-34,,
5:39.0,,,34-34,,Defensive rebound by C. Brewer
5:27.0,,,34-34,,Turnover by C. Brewer (bad pass; steal by C. Zeller)
5:23.0,M. Kidd-Gilchrist makes 2-pt shot from 1 ft (assist by G. Henderson),2,36-34,,
5:10.0,,,36-34,,Turnover by D. Howard (lost ball)
5:10.0,,,36-34,,Houston full timeout
5:10.0,,,36-34,,T. Ariza enters the game for C. Brewer
4:57.0,C. Zeller makes 2-pt shot from 2 ft (assist by K. Walker),2,38-34,,
4:44.0,Personal foul by M. Kidd-Gilchrist (drawn by P. Beverley),,38-34,,
4:34.0,,,38-34,,P. Beverley misses 2-pt shot from 2 ft (block by B. Biyombo)
4:32.0,,,38-34,,Offensive rebound by P. Beverley
4:29.0,,,38-34,,P. Beverley misses 2-pt shot from 2 ft (block by B. Biyombo)
4:28.0,Defensive rebound by C. Zeller,,38-34,,
4:25.0,Offensive charge foul by M. Kidd-Gilchrist,,38-34,,
4:25.0,Turnover by M. Kidd-Gilchrist (offensive foul),,38-34,,
4:14.0,,,38-34,,T. Ariza misses 3-pt shot from 26 ft
4:13.0,Defensive rebound by M. Kidd-Gilchrist,,38-34,,
4:04.0,M. Kidd-Gilchrist misses 2-pt shot from 3 ft (block by J. Harden),,38-34,,
4:04.0,Offensive rebound by Team,,38-34,,
4:04.0,G. Neal enters the game for M. Kidd-Gilchrist,,38-34,,
4:04.0,,,38-34,,Personal foul by T. Ariza (drawn by G. Henderson)
3:58.0,Shooting foul by D. Howard (drawn by K. Walker),,38-34,,
3:58.0,K. Walker makes free throw 1 of 2,1,39-34,,
3:58.0,K. Walker makes free throw 2 of 2,1,40-34,,
3:48.0,,,40-36,2,J. Harden makes 2-pt shot from 1 ft
3:38.0,,,40-36,,Personal foul by D. Howard (drawn by B. Biyombo)
