time,Boston,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. K. Olynyk (K. Hinrich gains possession),,,,Jump ball: P. Gasol vs. K. Olynyk (K. Hinrich gains possession)
11:38.0,,,0-0,,J. Butler misses 3-pt shot from 24 ft
11:36.0,Defensive rebound by K. Olynyk,,0-0,,
11:25.0,Turnover by K. Olynyk (bad pass; steal by J. Butler),,0-0,,
11:07.0,,,0-0,,P. Gasol misses 2-pt shot from 7 ft
11:06.0,Defensive rebound by K. Olynyk,,0-0,,
10:56.0,K. Olynyk misses 2-pt shot from 16 ft,,0-0,,
10:55.0,,,0-0,,Defensive rebound by J. Noah
10:30.0,,,0-0,,M. Dunleavy misses 3-pt shot from 25 ft
10:29.0,Defensive rebound by E. Turner,,0-0,,
10:16.0,A. Bradley misses 2-pt shot from 19 ft,,0-0,,
10:15.0,,,0-0,,Defensive rebound by J. Noah
9:58.0,,,0-0,,J. Noah misses 2-pt shot from 19 ft
9:57.0,Defensive rebound by J. Sullinger,,0-0,,
9:51.0,E. Turner makes 2-pt shot from 13 ft,2,2-0,,
9:33.0,,,2-0,,J. Noah misses 2-pt shot from 20 ft
9:31.0,Defensive rebound by J. Sullinger,,2-0,,
9:25.0,A. Bradley makes 2-pt shot from 20 ft,2,4-0,,
9:10.0,Personal foul by J. Sullinger (drawn by P. Gasol),,4-0,,
9:01.0,,,4-0,,J. Noah misses 2-pt shot from 6 ft
9:00.0,,,4-0,,Offensive rebound by P. Gasol
8:57.0,,,4-0,,P. Gasol misses 2-pt shot from 1 ft
8:55.0,Defensive rebound by K. Olynyk,,4-0,,
8:48.0,Turnover by E. Turner (bad pass),,4-0,,
8:33.0,,,4-2,2,P. Gasol makes 2-pt shot from 15 ft (assist by K. Hinrich)
8:20.0,J. Green makes 3-pt shot from 25 ft (assist by J. Sullinger),3,7-2,,
8:02.0,,,7-2,,M. Dunleavy misses 2-pt shot from 3 ft (block by K. Olynyk)
8:02.0,,,7-2,,Offensive rebound by Team
7:58.0,,,7-2,,Turnover by P. Gasol (lost ball)
7:39.0,J. Sullinger misses 3-pt shot from 24 ft,,7-2,,
7:38.0,Offensive rebound by E. Turner,,7-2,,
7:35.0,E. Turner misses 2-pt shot from 17 ft,,7-2,,
7:33.0,Offensive rebound by J. Sullinger,,7-2,,
7:33.0,J. Sullinger misses 2-pt shot from 2 ft,,7-2,,
7:31.0,,,7-2,,Defensive rebound by J. Noah
7:10.0,,,7-2,,J. Butler misses 2-pt shot from 15 ft
7:09.0,Defensive rebound by J. Green,,7-2,,
7:03.0,K. Olynyk makes 3-pt shot from 24 ft (assist by J. Green),3,10-2,,
6:41.0,,,10-2,,K. Hinrich misses 2-pt shot from 22 ft
6:40.0,Defensive rebound by E. Turner,,10-2,,
6:34.0,J. Sullinger makes 2-pt shot from 3 ft (assist by E. Turner),2,12-2,,
6:32.0,,,12-2,,Chicago full timeout
6:32.0,B. Bass enters the game for J. Sullinger,,12-2,,
6:16.0,,,12-4,2,P. Gasol makes 2-pt shot from 10 ft
6:05.0,Turnover by B. Bass (bad pass; steal by M. Dunleavy),,12-4,,
6:00.0,,,12-7,3,M. Dunleavy makes 3-pt shot from 24 ft
5:42.0,J. Green misses 2-pt shot from 17 ft,,12-7,,
5:41.0,,,12-7,,Defensive rebound by P. Gasol
5:37.0,,,12-9,2,J. Noah makes 2-pt shot from 2 ft (assist by P. Gasol)
5:12.0,B. Bass makes 2-pt shot from 11 ft (assist by A. Bradley),2,14-9,,
4:56.0,,,14-11,2,P. Gasol makes 2-pt shot from 1 ft (assist by J. Noah)
4:39.0,B. Bass misses 2-pt shot from 19 ft,,14-11,,
4:38.0,,,14-11,,Defensive rebound by M. Dunleavy
4:27.0,,,14-11,,P. Gasol misses 2-pt shot from 6 ft
4:25.0,Defensive rebound by A. Bradley,,14-11,,
4:22.0,Turnover by A. Bradley (bad pass),,14-11,,
4:22.0,M. Thornton enters the game for J. Green,,14-11,,
4:22.0,G. Wallace enters the game for A. Bradley,,14-11,,
4:22.0,,,14-11,,A. Brooks enters the game for J. Noah
4:22.0,,,14-11,,T. Gibson enters the game for K. Hinrich
4:07.0,,,14-13,2,J. Butler makes 2-pt shot from 1 ft (assist by A. Brooks)
3:53.0,B. Bass makes 2-pt shot from 8 ft,2,16-13,,
3:29.0,,,16-15,2,A. Brooks makes 2-pt shot from 17 ft
3:12.0,M. Thornton makes 2-pt shot from 5 ft (assist by E. Turner),2,18-15,,
2:53.0,,,18-18,3,M. Dunleavy makes 3-pt shot from 22 ft (assist by P. Gasol)
2:44.0,Boston full timeout,,18-18,,
2:44.0,P. Pressey enters the game for E. Turner,,18-18,,
2:35.0,M. Thornton misses 2-pt shot from 4 ft,,18-18,,
2:34.0,,,18-18,,Defensive rebound by P. Gasol
2:29.0,,,18-18,,M. Dunleavy misses 3-pt shot from 25 ft
2:27.0,Defensive rebound by B. Bass,,18-18,,
2:12.0,K. Olynyk makes 2-pt shot from 19 ft (assist by P. Pressey),2,20-18,,
1:50.0,,,20-20,2,J. Butler makes 2-pt shot from 4 ft (assist by A. Brooks)
1:29.0,P. Pressey misses 3-pt shot from 24 ft,,20-20,,
1:27.0,,,20-20,,Defensive rebound by P. Gasol
1:14.0,,,20-20,,A. Brooks misses 2-pt shot from 5 ft
1:13.0,Defensive rebound by B. Bass,,20-20,,
1:04.0,P. Pressey misses 3-pt shot from 24 ft,,20-20,,
1:03.0,,,20-20,,Defensive rebound by P. Gasol
0:57.0,,,20-22,2,J. Butler makes 2-pt shot from 2 ft (assist by A. Brooks)
0:42.0,K. Olynyk misses 3-pt shot from 25 ft,,20-22,,
0:41.0,,,20-22,,Defensive rebound by P. Gasol
0:31.0,,,20-25,3,M. Dunleavy makes 3-pt shot from 24 ft (assist by A. Brooks)
0:18.0,M. Thornton misses 2-pt shot from 21 ft,,20-25,,
0:17.0,,,20-25,,Defensive rebound by J. Butler
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,J. Sullinger makes 2-pt shot from 11 ft (assist by J. Green),2,22-25,,
11:27.0,,,22-25,,T. Gibson misses 2-pt shot from 9 ft
11:26.0,Defensive rebound by P. Pressey,,22-25,,
11:15.0,J. Green misses 2-pt shot from 12 ft,,22-25,,
11:14.0,,,22-25,,Defensive rebound by T. Snell
10:58.0,,,22-25,,Turnover by A. Brooks (bad pass; steal by P. Pressey)
10:53.0,Shooting foul by T. Gibson (drawn by T. Zeller),,22-25,,
10:53.0,T. Zeller makes free throw 1 of 2,1,23-25,,
10:53.0,T. Zeller makes free throw 2 of 2,1,24-25,,
10:36.0,Personal foul by J. Sullinger (drawn by N. Mirotic),,24-25,,
10:30.0,,,24-27,2,D. McDermott makes 2-pt shot from 2 ft (assist by A. Brooks)
10:30.0,,,24-27,,Shooting foul by T. Zeller (drawn by D. McDermott)
10:30.0,,,24-27,,D. McDermott misses free throw 1 of 1
10:28.0,Defensive rebound by T. Zeller,,24-27,,
10:18.0,,,24-27,,Personal foul by N. Mirotic (drawn by T. Zeller)
10:18.0,A. Bradley enters the game for M. Thornton,,24-27,,
10:06.0,J. Green makes 3-pt shot from 24 ft,3,27-27,,
9:47.0,,,27-29,2,T. Gibson makes 2-pt shot at rim (assist by A. Brooks)
9:34.0,P. Pressey misses 3-pt shot from 25 ft,,27-29,,
9:33.0,Offensive rebound by Team,,27-29,,
9:33.0,,,27-29,,Personal foul by N. Mirotic (drawn by T. Zeller)
9:23.0,P. Pressey misses 3-pt shot from 25 ft,,27-29,,
9:22.0,,,27-29,,Defensive rebound by D. McDermott
9:16.0,,,27-29,,Shooting foul by P. Pressey (drawn by A. Brooks)
9:16.0,,,27-30,1,A. Brooks makes free throw 1 of 2
9:16.0,,,27-31,1,A. Brooks makes free throw 2 of 2
9:05.0,J. Green misses 2-pt shot from 20 ft (block by T. Gibson),,27-31,,
9:05.0,Offensive rebound by Team,,27-31,,
9:02.0,J. Sullinger makes 2-pt shot from 13 ft (assist by P. Pressey),2,29-31,,
8:44.0,,,29-31,,T. Snell misses 2-pt shot from 6 ft
8:43.0,Defensive rebound by J. Sullinger,,29-31,,
8:36.0,J. Green misses 2-pt shot from 5 ft,,29-31,,
8:35.0,,,29-31,,Defensive rebound by Team
8:35.0,,,29-31,,Chicago full timeout
8:16.0,,,29-31,,A. Brooks misses 3-pt shot from 23 ft
8:15.0,Defensive rebound by J. Sullinger,,29-31,,
8:02.0,A. Bradley misses 2-pt shot from 10 ft,,29-31,,
8:00.0,,,29-31,,Defensive rebound by T. Gibson
7:48.0,,,29-31,,T. Gibson misses 2-pt shot at rim
7:47.0,Defensive rebound by J. Green,,29-31,,
7:38.0,P. Pressey misses 2-pt shot from 16 ft,,29-31,,
7:37.0,,,29-31,,Defensive rebound by D. McDermott
7:29.0,,,29-31,,D. McDermott misses 2-pt shot from 1 ft
7:28.0,,,29-31,,Offensive rebound by T. Gibson
7:28.0,,,29-33,2,T. Gibson makes 2-pt shot at rim
7:13.0,P. Pressey makes 3-pt shot from 24 ft,3,32-33,,
7:00.0,Personal foul by P. Pressey (drawn by A. Brooks),,32-33,,
7:00.0,E. Turner enters the game for P. Pressey,,32-33,,
7:00.0,,,32-33,,J. Noah enters the game for N. Mirotic
6:59.0,,,32-33,,Turnover by D. McDermott (bad pass; steal by A. Bradley)
6:59.0,,,32-33,,Loose ball foul by T. Gibson (drawn by A. Bradley)
6:42.0,A. Bradley makes 2-pt shot from 17 ft (assist by T. Zeller),2,34-33,,
6:26.0,,,34-35,2,D. McDermott makes 2-pt shot from 2 ft (assist by J. Noah)
6:11.0,J. Sullinger misses 2-pt shot from 20 ft,,34-35,,
6:10.0,,,34-35,,Defensive rebound by D. McDermott
