time,Miami,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Bosh vs. T. Duncan (A. Baynes gains possession),,,,Jump ball: C. Bosh vs. T. Duncan (A. Baynes gains possession)
11:39.0,,,0-0,,K. Leonard misses 3-pt shot from 25 ft
11:38.0,,,0-0,,Offensive rebound by T. Duncan
11:35.0,,,0-0,,D. Green misses 3-pt shot from 24 ft
11:34.0,Defensive rebound by M. Chalmers,,0-0,,
11:13.0,C. Bosh misses 2-pt shot from 16 ft,,0-0,,
11:11.0,Offensive rebound by S. Napier,,0-0,,
11:01.0,M. Chalmers misses 2-pt shot from 2 ft,,0-0,,
11:00.0,Offensive rebound by C. Andersen,,0-0,,
11:00.0,C. Andersen misses 2-pt shot at rim,,0-0,,
10:57.0,,,0-0,,Defensive rebound by T. Duncan
10:42.0,,,0-0,,T. Parker misses 2-pt shot from 6 ft
10:41.0,Defensive rebound by C. Bosh,,0-0,,
10:31.0,S. Napier makes 2-pt shot from 18 ft,2,2-0,,
10:11.0,,,2-0,,Turnover by A. Baynes (bad pass)
10:00.0,C. Bosh makes 2-pt shot from 16 ft (assist by M. Chalmers),2,4-0,,
9:37.0,,,4-0,,A. Baynes misses 2-pt shot from 5 ft
9:36.0,Defensive rebound by C. Andersen,,4-0,,
9:22.0,M. Chalmers misses 3-pt shot from 25 ft,,4-0,,
9:21.0,,,4-0,,Defensive rebound by D. Green
9:18.0,,,4-0,,Turnover by T. Duncan (lost ball; steal by M. Chalmers)
9:14.0,M. Chalmers misses 2-pt shot from 3 ft,,4-0,,
9:13.0,,,4-0,,Defensive rebound by D. Green
9:00.0,Personal foul by C. Andersen (drawn by T. Duncan),,4-0,,
8:52.0,,,4-2,2,D. Green makes 2-pt shot from 18 ft (assist by T. Parker)
8:39.0,,,4-2,,Personal foul by T. Parker (drawn by S. Napier)
8:36.0,M. Chalmers makes 3-pt shot from 23 ft (assist by S. Napier),3,7-2,,
8:26.0,,,7-2,,San Antonio full timeout
8:14.0,,,7-4,2,A. Baynes makes 2-pt shot from 15 ft (assist by T. Parker)
7:50.0,C. Bosh makes 2-pt shot from 9 ft,2,9-4,,
7:40.0,Def 3 sec tech foul by C. Bosh,,9-4,,
7:40.0,,,9-5,1,D. Green makes technical free throw
7:27.0,,,9-5,,T. Duncan misses 2-pt shot from 8 ft
7:26.0,Defensive rebound by C. Andersen,,9-5,,
7:20.0,,,9-5,,Personal foul by T. Parker (drawn by S. Napier)
7:12.0,S. Napier misses 3-pt shot from 24 ft,,9-5,,
7:11.0,,,9-5,,Defensive rebound by T. Duncan
7:00.0,,,9-7,2,T. Parker makes 2-pt shot from 8 ft
6:37.0,L. Deng makes 2-pt shot from 2 ft,2,11-7,,
6:30.0,,,11-7,,Turnover by T. Parker (step out of bounds)
6:30.0,J. Hamilton enters the game for C. Bosh,,11-7,,
6:17.0,M. Chalmers misses 2-pt shot from 6 ft (block by D. Green),,11-7,,
6:16.0,,,11-7,,Defensive rebound by T. Duncan
6:08.0,,,11-9,2,T. Parker makes 2-pt shot from 1 ft
5:56.0,C. Andersen makes 2-pt shot from 1 ft (assist by M. Chalmers),2,13-9,,
5:39.0,,,13-9,,A. Baynes misses 2-pt shot from 3 ft (block by J. Hamilton)
5:38.0,,,13-9,,Offensive rebound by T. Duncan
5:35.0,,,13-9,,D. Green misses 3-pt shot from 24 ft
5:34.0,Defensive rebound by J. Hamilton,,13-9,,
5:20.0,J. Hamilton misses 2-pt shot from 9 ft,,13-9,,
5:19.0,,,13-9,,Defensive rebound by T. Duncan
5:13.0,,,13-11,2,T. Parker makes 2-pt shot from 2 ft
5:13.0,Miami full timeout,,13-11,,
5:13.0,,,13-11,,M. Ginobili enters the game for D. Green
5:13.0,,,13-11,,T. Splitter enters the game for T. Duncan
5:13.0,,,13-11,,B. Diaw enters the game for A. Baynes
5:13.0,U. Haslem enters the game for C. Andersen,,13-11,,
5:02.0,Turnover by L. Deng (bad pass; steal by K. Leonard),,13-11,,
5:00.0,,,13-13,2,K. Leonard makes 2-pt shot at rim
4:43.0,Shooting foul by T. Splitter (drawn by L. Deng),,13-13,,
4:43.0,L. Deng makes free throw 1 of 2,1,14-13,,
4:43.0,L. Deng makes free throw 2 of 2,1,15-13,,
4:23.0,,,15-15,2,T. Parker makes 2-pt shot from 18 ft (assist by B. Diaw)
4:08.0,L. Deng misses 2-pt shot from 16 ft,,15-15,,
4:07.0,,,15-15,,Defensive rebound by M. Ginobili
3:48.0,,,15-18,3,M. Ginobili makes 3-pt shot from 25 ft (assist by B. Diaw)
3:21.0,U. Haslem misses 2-pt shot from 15 ft,,15-18,,
3:20.0,Offensive rebound by J. Hamilton,,15-18,,
3:13.0,U. Haslem makes 2-pt shot from 7 ft (assist by M. Chalmers),2,17-18,,
2:52.0,,,17-21,3,K. Leonard makes 3-pt shot from 23 ft (assist by B. Diaw)
2:40.0,Turnover by L. Deng (bad pass; steal by K. Leonard),,17-21,,
2:39.0,Personal foul by L. Deng (drawn by T. Splitter),,17-21,,
2:39.0,,,17-21,,P. Mills enters the game for T. Parker
2:39.0,N. Cole enters the game for M. Chalmers,,17-21,,
2:39.0,T. Johnson enters the game for S. Napier,,17-21,,
2:39.0,C. Bosh enters the game for J. Hamilton,,17-21,,
2:22.0,,,17-24,3,K. Leonard makes 3-pt shot from 24 ft (assist by M. Ginobili)
2:00.0,U. Haslem misses 2-pt shot from 14 ft,,17-24,,
1:59.0,,,17-24,,Defensive rebound by B. Diaw
1:50.0,,,17-26,2,T. Splitter makes 2-pt shot from 2 ft (assist by M. Ginobili)
1:24.0,L. Deng misses 2-pt shot from 21 ft,,17-26,,
1:21.0,,,17-26,,Defensive rebound by M. Ginobili
1:15.0,,,17-28,2,B. Diaw makes 2-pt shot from 1 ft (assist by M. Ginobili)
1:07.0,Miami full timeout,,17-28,,
1:07.0,J. Hamilton enters the game for U. Haslem,,17-28,,
1:07.0,J. Ennis enters the game for L. Deng,,17-28,,
1:02.0,Turnover by T. Johnson (step out of bounds),,17-28,,
0:49.0,,,17-28,,P. Mills misses 3-pt shot from 24 ft
0:48.0,,,17-28,,Offensive rebound by M. Ginobili
0:46.0,,,17-28,,M. Ginobili misses 3-pt shot from 24 ft
0:44.0,Defensive rebound by N. Cole,,17-28,,
0:42.0,,,17-28,,Violation by M. Ginobili (kicked ball)
0:29.0,,,17-28,,Personal foul by T. Splitter (drawn by J. Hamilton)
0:19.0,Turnover by N. Cole (bad pass; steal by T. Splitter),,17-28,,
0:15.0,,,17-30,2,P. Mills makes 2-pt shot from 1 ft (assist by K. Leonard)
0:01.0,T. Johnson makes 2-pt shot from 15 ft (assist by N. Cole),2,19-30,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,Turnover by J. Ennis (bad pass; steal by M. Ginobili),,19-30,,
11:34.0,,,19-30,,Turnover by M. Ginobili (bad pass; steal by C. Bosh)
11:29.0,T. Johnson makes 2-pt shot from 1 ft (assist by N. Cole),2,21-30,,
11:11.0,,,21-30,,B. Diaw misses 2-pt shot from 5 ft
11:10.0,,,21-30,,Offensive rebound by T. Splitter
10:59.0,,,21-30,,M. Ginobili misses 3-pt shot from 24 ft
10:58.0,Defensive rebound by C. Bosh,,21-30,,
10:52.0,,,21-30,,Personal foul by T. Splitter (drawn by N. Cole)
10:52.0,,,21-30,,T. Duncan enters the game for T. Splitter
10:42.0,N. Cole makes 2-pt shot from 1 ft (assist by C. Bosh),2,23-30,,
10:26.0,,,23-30,,Turnover by B. Diaw (lost ball; steal by J. Hamilton)
10:22.0,J. Ennis misses 2-pt shot from 1 ft,,23-30,,
10:21.0,Offensive rebound by J. Ennis,,23-30,,
10:20.0,J. Ennis makes 2-pt shot from 1 ft,2,25-30,,
10:18.0,,,25-30,,San Antonio full timeout
10:18.0,,,25-30,,M. Belinelli enters the game for D. Green
9:57.0,,,25-30,,Turnover by T. Duncan (lost ball; steal by J. Ennis)
9:52.0,Offensive charge foul by T. Johnson,,25-30,,
9:52.0,Turnover by T. Johnson (offensive foul),,25-30,,
9:30.0,,,25-30,,M. Belinelli misses 3-pt shot from 24 ft
9:29.0,Defensive rebound by J. Ennis,,25-30,,
9:16.0,T. Johnson makes 3-pt shot from 25 ft (assist by J. Ennis),3,28-30,,
9:04.0,,,28-32,2,T. Duncan makes 2-pt shot from 10 ft (assist by M. Belinelli)
8:48.0,N. Cole makes 2-pt shot from 2 ft,2,30-32,,
8:29.0,,,30-32,,P. Mills misses 3-pt shot from 23 ft
8:27.0,,,30-32,,Offensive rebound by M. Belinelli
8:21.0,,,30-34,2,T. Duncan makes 2-pt shot from 3 ft (assist by M. Ginobili)
8:05.0,J. Ennis misses 3-pt shot from 22 ft,,30-34,,
8:04.0,,,30-34,,Defensive rebound by M. Ginobili
7:53.0,Personal foul by J. Hamilton (drawn by T. Duncan),,30-34,,
7:53.0,,,30-34,,M. Bonner enters the game for B. Diaw
7:53.0,,,30-34,,K. Leonard enters the game for M. Ginobili
7:53.0,,,30-34,,T. Parker enters the game for P. Mills
7:42.0,,,30-34,,M. Belinelli misses 3-pt shot from 25 ft
7:41.0,Defensive rebound by C. Bosh,,30-34,,
7:34.0,Turnover by N. Cole (bad pass; steal by T. Duncan),,30-34,,
7:13.0,,,30-37,3,K. Leonard makes 3-pt shot from 24 ft (assist by M. Belinelli)
7:12.0,Miami full timeout,,30-37,,
7:12.0,C. Andersen enters the game for C. Bosh,,30-37,,
7:12.0,M. Chalmers enters the game for N. Cole,,30-37,,
7:12.0,L. Deng enters the game for J. Hamilton,,30-37,,
6:55.0,T. Johnson misses 2-pt shot from 18 ft,,30-37,,
6:54.0,,,30-37,,Defensive rebound by T. Duncan
6:33.0,,,30-39,2,T. Parker makes 2-pt shot from 1 ft (assist by M. Bonner)
6:15.0,Turnover by J. Ennis (bad pass; steal by M. Bonner),,30-39,,
6:10.0,,,30-39,,Turnover by T. Duncan (traveling)
5:51.0,Turnover by M. Chalmers (bad pass),,30-39,,
5:36.0,,,30-42,3,K. Leonard makes 3-pt shot from 24 ft (assist by M. Belinelli)
5:36.0,Miami full timeout,,30-42,,
5:36.0,S. Napier enters the game for T. Johnson,,30-42,,
5:15.0,L. Deng misses 2-pt shot from 8 ft,,30-42,,
5:14.0,,,30-42,,Defensive rebound by M. Belinelli
5:06.0,,,30-42,,Turnover by T. Parker (step out of bounds)
4:42.0,S. Napier misses 3-pt shot from 24 ft,,30-42,,
4:41.0,,,30-42,,Defensive rebound by T. Duncan
4:35.0,,,30-42,,Shooting foul by J. Ennis (drawn by T. Parker)
4:35.0,,,30-44,2,T. Parker makes 2-pt shot from 3 ft
4:35.0,C. Bosh enters the game for J. Ennis,,30-44,,
4:35.0,,,30-45,1,T. Parker makes free throw 1 of 1
4:30.0,,,30-45,,Personal foul by M. Belinelli (drawn by S. Napier)
4:23.0,C. Andersen makes 2-pt shot from 3 ft (assist by C. Bosh),2,32-45,,
