time,Brooklyn,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Favors vs. M. Plumlee (E. Kanter gains possession),,,,Jump ball: D. Favors vs. M. Plumlee (E. Kanter gains possession)
11:38.0,,,0-2,2,G. Hayward makes 2-pt shot from 4 ft
11:20.0,M. Plumlee makes 2-pt shot at rim (assist by J. Jack),2,2-2,,
11:05.0,,,2-2,,D. Favors misses 2-pt shot from 1 ft
11:04.0,Defensive rebound by B. Bogdanovic,,2-2,,
10:45.0,J. Jack makes 3-pt shot from 25 ft (assist by J. Johnson),3,5-2,,
10:28.0,,,5-5,3,J. Ingles makes 3-pt shot from 23 ft (assist by D. Exum)
10:06.0,J. Johnson misses 2-pt shot from 15 ft,,5-5,,
10:04.0,Offensive rebound by K. Garnett,,5-5,,
9:50.0,Shooting foul by J. Ingles (drawn by B. Bogdanovic),,5-5,,
9:50.0,B. Bogdanovic makes free throw 1 of 2,1,6-5,,
9:50.0,B. Bogdanovic makes free throw 2 of 2,1,7-5,,
9:31.0,,,7-7,2,G. Hayward makes 2-pt shot from 10 ft
9:10.0,B. Bogdanovic misses 2-pt shot from 3 ft,,7-7,,
9:09.0,,,7-7,,Defensive rebound by D. Favors
8:57.0,,,7-9,2,E. Kanter makes 2-pt shot from 19 ft (assist by J. Ingles)
8:45.0,J. Jack misses 2-pt shot from 14 ft,,7-9,,
8:44.0,,,7-9,,Defensive rebound by D. Exum
8:29.0,,,7-9,,J. Ingles misses 3-pt shot from 23 ft
8:28.0,Defensive rebound by B. Bogdanovic,,7-9,,
8:20.0,K. Garnett makes 2-pt shot from 20 ft (assist by B. Bogdanovic),2,9-9,,
8:07.0,,,9-9,,Turnover by G. Hayward (bad pass; steal by M. Plumlee)
8:02.0,M. Plumlee misses 2-pt shot from 5 ft,,9-9,,
8:01.0,,,9-9,,Defensive rebound by G. Hayward
7:55.0,,,9-11,2,G. Hayward makes 2-pt shot from 18 ft
7:33.0,Turnover by J. Johnson (bad pass; steal by E. Kanter),,9-11,,
7:29.0,,,9-13,2,E. Kanter makes 2-pt shot at rim
7:11.0,K. Garnett misses 2-pt shot from 16 ft,,9-13,,
7:10.0,,,9-13,,Defensive rebound by E. Kanter
6:53.0,,,9-13,,E. Kanter misses 2-pt shot from 17 ft
6:52.0,Defensive rebound by M. Plumlee,,9-13,,
6:43.0,K. Garnett misses 2-pt shot from 9 ft,,9-13,,
6:41.0,,,9-13,,Defensive rebound by J. Ingles
6:37.0,Personal foul by J. Johnson (drawn by G. Hayward),,9-13,,
6:37.0,,,9-13,,Utah full timeout
6:26.0,,,9-15,2,D. Exum makes 2-pt shot from 20 ft
6:10.0,K. Garnett makes 2-pt shot from 19 ft,2,11-15,,
5:50.0,,,11-15,,Turnover by G. Hayward (bad pass; steal by M. Plumlee)
5:37.0,J. Johnson misses 2-pt shot from 22 ft,,11-15,,
5:34.0,Offensive rebound by M. Plumlee,,11-15,,
5:18.0,K. Garnett makes 2-pt shot from 20 ft (assist by J. Jack),2,13-15,,
4:55.0,,,13-17,2,D. Exum makes 2-pt shot from 3 ft
4:45.0,B. Lopez enters the game for M. Plumlee,,13-17,,
4:45.0,,,13-17,,T. Booker enters the game for E. Kanter
4:34.0,J. Jack misses 3-pt shot from 24 ft,,13-17,,
4:33.0,,,13-17,,Defensive rebound by Team
4:15.0,,,13-17,,Turnover by G. Hayward (bad pass)
4:15.0,A. Anderson enters the game for J. Johnson,,13-17,,
3:55.0,K. Garnett misses 2-pt shot from 2 ft,,13-17,,
