time,Indiana,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Biyombo vs. R. Hibbert,,,,Jump ball: B. Biyombo vs. R. Hibbert
11:44.0,,,0-2,2,G. Henderson makes 2-pt shot from 12 ft (assist by C. Zeller)
11:19.0,R. Hibbert makes 2-pt shot from 9 ft,2,2-2,,
11:06.0,,,2-2,,M. Kidd-Gilchrist misses 2-pt shot from 14 ft
11:06.0,Defensive rebound by D. West,,2-2,,
10:52.0,,,2-2,,Def 3 sec tech foul by M. Kidd-Gilchrist
10:52.0,C. Watson misses technical free throw,,2-2,,
10:52.0,Offensive rebound by Team,,2-2,,
10:38.0,D. West misses 2-pt shot from 9 ft,,2-2,,
10:37.0,,,2-2,,Defensive rebound by M. Kidd-Gilchrist
10:32.0,,,2-2,,B. Roberts misses 2-pt shot at rim (block by R. Hibbert)
10:29.0,Defensive rebound by R. Hibbert,,2-2,,
10:16.0,Indiana full timeout,,2-2,,
10:08.0,R. Hibbert makes 2-pt shot from 18 ft (assist by R. Stuckey),2,4-2,,
9:54.0,,,4-2,,B. Roberts misses 2-pt shot from 17 ft
9:53.0,,,4-2,,Offensive rebound by B. Biyombo
9:45.0,,,4-2,,M. Kidd-Gilchrist misses 2-pt shot from 5 ft (block by R. Stuckey)
9:42.0,Defensive rebound by S. Hill,,4-2,,
9:30.0,D. West misses 2-pt shot at rim,,4-2,,
9:29.0,Offensive rebound by D. West,,4-2,,
9:29.0,D. West makes 2-pt shot at rim,2,6-2,,
9:10.0,,,6-2,,M. Kidd-Gilchrist misses 2-pt shot from 2 ft
9:09.0,,,6-2,,Offensive rebound by B. Biyombo
9:09.0,,,6-2,,B. Biyombo misses 2-pt shot at rim
9:07.0,Defensive rebound by R. Hibbert,,6-2,,
8:57.0,Turnover by D. West (bad pass),,6-2,,
8:42.0,,,6-4,2,C. Zeller makes 2-pt shot from 19 ft (assist by G. Henderson)
8:27.0,Offensive foul by D. West,,6-4,,
8:27.0,Turnover by D. West (offensive foul),,6-4,,
8:16.0,,,6-4,,G. Henderson misses 3-pt shot from 26 ft
8:14.0,Defensive rebound by D. West,,6-4,,
7:56.0,R. Hibbert makes 2-pt shot from 2 ft,2,8-4,,
7:36.0,,,8-6,2,M. Kidd-Gilchrist makes 2-pt shot from 10 ft
7:19.0,R. Hibbert misses 2-pt shot from 7 ft,,8-6,,
7:18.0,,,8-6,,Defensive rebound by B. Biyombo
7:13.0,,,8-6,,Shooting foul by R. Hibbert (drawn by G. Henderson)
7:13.0,,,8-7,1,G. Henderson makes free throw 1 of 2
7:13.0,,,8-8,1,G. Henderson makes free throw 2 of 2
7:00.0,R. Stuckey makes 2-pt shot from 17 ft,2,10-8,,
6:45.0,,,10-10,2,C. Zeller makes 2-pt shot from 5 ft (assist by G. Henderson)
6:20.0,R. Stuckey makes 2-pt shot from 17 ft (assist by D. West),2,12-10,,
6:06.0,,,12-10,,M. Kidd-Gilchrist misses 2-pt shot from 17 ft
6:05.0,Defensive rebound by D. West,,12-10,,
5:58.0,,,12-10,,Personal foul by C. Zeller (drawn by D. West)
5:44.0,Turnover by R. Hibbert (bad pass; steal by C. Zeller),,12-10,,
5:34.0,,,12-10,,Turnover by B. Biyombo (bad pass; steal by C. Watson)
5:12.0,D. West makes 2-pt shot from 6 ft,2,14-10,,
4:57.0,,,14-10,,G. Henderson misses 2-pt shot from 2 ft
4:55.0,,,14-10,,Offensive rebound by B. Biyombo
4:55.0,,,14-12,2,B. Biyombo makes 2-pt shot at rim
4:45.0,,,14-12,,Personal foul by C. Zeller (drawn by D. West)
4:45.0,C. Miles enters the game for S. Hill,,14-12,,
4:45.0,I. Mahinmi enters the game for R. Hibbert,,14-12,,
4:45.0,,,14-12,,L. Stephenson enters the game for C. Zeller
4:45.0,,,14-12,,M. Williams enters the game for G. Henderson
4:29.0,D. West makes 2-pt shot from 1 ft (assist by R. Stuckey),2,16-12,,
4:13.0,,,16-12,,B. Roberts misses 2-pt shot from 18 ft
4:11.0,Defensive rebound by C. Miles,,16-12,,
3:55.0,C. Miles misses 3-pt shot from 25 ft,,16-12,,
3:54.0,,,16-12,,Defensive rebound by B. Biyombo
3:41.0,,,16-12,,M. Kidd-Gilchrist misses 2-pt shot from 1 ft
3:41.0,,,16-12,,Offensive rebound by Team
3:31.0,,,16-12,,Turnover by L. Stephenson (bad pass; steal by C. Watson)
3:27.0,C. Watson misses 2-pt shot from 2 ft (block by B. Biyombo),,16-12,,
3:25.0,,,16-12,,Defensive rebound by M. Kidd-Gilchrist
3:22.0,,,16-12,,Offensive charge foul by L. Stephenson
3:22.0,,,16-12,,Turnover by L. Stephenson (offensive foul)
3:01.0,C. Miles makes 2-pt shot from 21 ft,2,18-12,,
2:48.0,,,18-12,,L. Stephenson misses 3-pt shot from 25 ft
2:47.0,Defensive rebound by C. Watson,,18-12,,
2:36.0,R. Stuckey misses 2-pt shot from 16 ft,,18-12,,
2:35.0,,,18-12,,Defensive rebound by M. Williams
2:22.0,,,18-12,,M. Williams misses 3-pt shot from 24 ft
2:21.0,Defensive rebound by R. Stuckey,,18-12,,
2:01.0,I. Mahinmi misses 2-pt shot from 19 ft,,18-12,,
2:00.0,,,18-12,,Defensive rebound by M. Williams
1:53.0,,,18-12,,Turnover by L. Stephenson (lost ball; steal by R. Stuckey)
1:53.0,,,18-12,,Personal foul by L. Stephenson (drawn by R. Stuckey)
1:53.0,,,18-12,,Charlotte full timeout
1:53.0,,,18-12,,J. Maxiell enters the game for M. Kidd-Gilchrist
1:53.0,,,18-12,,P. Hairston enters the game for B. Biyombo
1:38.0,R. Stuckey misses 2-pt shot from 17 ft,,18-12,,
1:37.0,,,18-12,,Defensive rebound by J. Maxiell
1:21.0,,,18-15,3,L. Stephenson makes 3-pt shot from 25 ft (assist by B. Roberts)
1:03.0,Turnover by C. Miles (bad pass; steal by J. Maxiell),,18-15,,
0:58.0,,,18-15,,B. Roberts misses 2-pt shot from 16 ft
0:55.0,,,18-15,,Offensive rebound by L. Stephenson
0:45.0,,,18-17,2,M. Williams makes 2-pt shot from 9 ft (assist by L. Stephenson)
0:24.0,C. Miles misses 2-pt shot from 19 ft,,18-17,,
0:22.0,Offensive rebound by R. Stuckey,,18-17,,
0:03.0,C. Miles makes 2-pt shot from 13 ft (assist by R. Stuckey),2,20-17,,
0:03.0,Shooting foul by P. Hairston (drawn by C. Miles),,20-17,,
0:03.0,L. Scola enters the game for D. West,,20-17,,
0:03.0,D. Sloan enters the game for C. Watson,,20-17,,
0:03.0,C. Miles makes free throw 1 of 1,1,21-17,,
0:00.0,,,21-17,,P. Hairston misses 3-pt shot from 51 ft
0:00.0,,,21-17,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,Turnover by L. Scola (bad pass; steal by P. Hairston),,21-17,,
11:30.0,,,21-19,2,L. Stephenson makes 2-pt shot from 5 ft (assist by G. Neal)
11:18.0,C. Miles misses 3-pt shot from 25 ft,,21-19,,
11:12.0,,,21-19,,Defensive rebound by L. Stephenson
11:01.0,,,21-19,,G. Neal misses 3-pt shot from 26 ft
11:00.0,Defensive rebound by I. Mahinmi,,21-19,,
10:49.0,D. Rudez makes 2-pt shot from 19 ft (assist by D. Sloan),2,23-19,,
10:29.0,,,23-21,2,G. Neal makes 2-pt shot from 2 ft
10:22.0,D. Sloan makes 2-pt shot from 1 ft,2,25-21,,
10:05.0,,,25-21,,L. Stephenson misses 2-pt shot from 18 ft
10:04.0,Defensive rebound by D. Sloan,,25-21,,
9:59.0,L. Scola misses 2-pt shot from 1 ft,,25-21,,
9:57.0,,,25-21,,Defensive rebound by J. Maxiell
9:46.0,,,25-21,,L. Stephenson misses 2-pt shot from 2 ft
9:45.0,,,25-21,,Offensive rebound by L. Stephenson
9:45.0,,,25-23,2,L. Stephenson makes 2-pt shot from 2 ft
9:19.0,I. Mahinmi misses 2-pt shot from 1 ft (block by J. Maxiell),,25-23,,
9:18.0,,,25-23,,Defensive rebound by J. Maxiell
9:09.0,,,25-25,2,G. Neal makes 2-pt shot from 14 ft
8:54.0,Turnover by C. Miles (bad pass),,25-25,,
8:54.0,Official timeout,,25-25,,
8:42.0,,,25-27,2,G. Neal makes 2-pt shot from 19 ft
8:29.0,Offensive foul by I. Mahinmi,,25-27,,
8:29.0,Turnover by I. Mahinmi (offensive foul),,25-27,,
8:24.0,,,25-27,,C. Zeller enters the game for M. Williams
8:10.0,,,25-27,,J. Maxiell misses 2-pt shot from 6 ft
8:09.0,Defensive rebound by I. Mahinmi,,25-27,,
8:01.0,Turnover by I. Mahinmi (bad pass),,25-27,,
7:50.0,,,25-27,,L. Stephenson misses 2-pt shot from 19 ft
7:49.0,Defensive rebound by I. Mahinmi,,25-27,,
7:35.0,D. Rudez misses 2-pt shot from 11 ft,,25-27,,
7:34.0,,,25-27,,Defensive rebound by G. Neal
7:33.0,Personal foul by L. Scola (drawn by C. Zeller),,25-27,,
