time,Phoenix,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Dorsey vs. A. Len (P. Tucker gains possession),,,,Jump ball: J. Dorsey vs. A. Len (P. Tucker gains possession)
11:43.0,E. Bledsoe misses 3-pt shot from 25 ft,,0-0,,
11:42.0,,,0-0,,Defensive rebound by J. Dorsey
11:31.0,,,0-0,,P. Beverley misses 2-pt shot from 2 ft
11:29.0,,,0-0,,Offensive rebound by Team
11:08.0,,,0-2,2,J. Dorsey makes 2-pt shot from 1 ft
10:45.0,M. Morris makes 2-pt shot from 18 ft,2,2-2,,
10:31.0,,,2-2,,Turnover by D. Motiejunas (step out of bounds)
10:19.0,E. Bledsoe makes 2-pt shot from 19 ft,2,4-2,,
10:04.0,,,4-4,2,J. Harden makes 2-pt shot from 15 ft
9:50.0,E. Bledsoe misses 2-pt shot from 13 ft,,4-4,,
9:49.0,Offensive rebound by M. Morris,,4-4,,
9:49.0,M. Morris misses 2-pt shot from 1 ft,,4-4,,
9:47.0,,,4-4,,Defensive rebound by T. Ariza
9:39.0,,,4-4,,J. Harden misses 2-pt shot from 1 ft
9:38.0,Defensive rebound by A. Len,,4-4,,
9:31.0,A. Len misses 2-pt shot from 2 ft (block by J. Dorsey),,4-4,,
9:29.0,Offensive rebound by A. Len,,4-4,,
9:26.0,A. Len misses 2-pt shot from 2 ft,,4-4,,
9:24.0,,,4-4,,Defensive rebound by P. Beverley
9:18.0,,,4-4,,J. Harden misses 3-pt shot from 24 ft
9:16.0,Defensive rebound by M. Morris,,4-4,,
9:10.0,A. Len misses 2-pt shot from 17 ft,,4-4,,
9:09.0,,,4-4,,Defensive rebound by T. Ariza
9:03.0,,,4-6,2,P. Beverley makes 2-pt shot from 2 ft (assist by T. Ariza)
8:49.0,M. Morris makes 2-pt shot from 2 ft,2,6-6,,
8:31.0,,,6-8,2,D. Motiejunas makes 2-pt shot from 8 ft
8:31.0,,,6-8,,Shooting foul by M. Morris (drawn by D. Motiejunas)
8:31.0,B. Wright enters the game for A. Len,,6-8,,
8:31.0,,,6-9,1,D. Motiejunas makes free throw 1 of 1
8:13.0,B. Wright misses 2-pt shot at rim,,6-9,,
8:11.0,Offensive rebound by M. Morris,,6-9,,
8:10.0,Shooting foul by J. Dorsey (drawn by M. Morris),,6-9,,
8:10.0,M. Morris makes free throw 1 of 2,1,7-9,,
8:10.0,M. Morris makes free throw 2 of 2,1,8-9,,
8:00.0,,,8-9,,T. Ariza misses 2-pt shot from 1 ft
7:59.0,,,8-9,,Offensive rebound by T. Ariza
7:58.0,,,8-11,2,T. Ariza makes 2-pt shot from 1 ft
7:42.0,M. Morris misses 2-pt shot from 20 ft,,8-11,,
7:41.0,,,8-11,,Defensive rebound by D. Motiejunas
7:40.0,Personal foul by E. Bledsoe (drawn by D. Motiejunas),,8-11,,
7:30.0,,,8-11,,J. Harden misses 3-pt shot from 23 ft
7:29.0,Defensive rebound by B. Wright,,8-11,,
7:18.0,Turnover by M. Morris (bad pass; steal by P. Beverley),,8-11,,
7:13.0,,,8-13,2,T. Ariza makes 2-pt shot at rim (assist by P. Beverley)
6:57.0,E. Bledsoe misses 2-pt shot from 1 ft,,8-13,,
6:56.0,Offensive rebound by E. Bledsoe,,8-13,,
6:55.0,Shooting foul by J. Dorsey (drawn by E. Bledsoe),,8-13,,
6:55.0,E. Bledsoe makes free throw 1 of 2,1,9-13,,
6:55.0,T. Warren enters the game for M. Morris,,9-13,,
6:55.0,,,9-13,,J. Smith enters the game for J. Dorsey
6:55.0,E. Bledsoe makes free throw 2 of 2,1,10-13,,
6:43.0,,,10-15,2,J. Smith makes 2-pt shot from 4 ft (assist by J. Harden)
6:29.0,P. Tucker makes 2-pt shot from 2 ft (assist by M. Morris),2,12-15,,
6:04.0,,,12-18,3,P. Beverley makes 3-pt shot from 23 ft (assist by T. Ariza)
5:44.0,Phoenix full timeout,,12-18,,
5:39.0,E. Bledsoe makes 3-pt shot from 24 ft (assist by P. Tucker),3,15-18,,
5:25.0,,,15-20,2,J. Smith makes 2-pt shot from 1 ft (assist by P. Beverley)
5:08.0,P. Tucker makes 3-pt shot from 24 ft (assist by M. Morris),3,18-20,,
4:57.0,Personal foul by P. Tucker (drawn by J. Smith),,18-20,,
4:52.0,,,18-20,,Turnover by J. Harden (lost ball; steal by P. Tucker)
4:43.0,Turnover by B. Wright (bad pass; steal by T. Ariza),,18-20,,
4:29.0,,,18-23,3,T. Ariza makes 3-pt shot from 23 ft (assist by D. Motiejunas)
4:08.0,M. Morris misses 2-pt shot from 9 ft,,18-23,,
4:06.0,,,18-23,,Defensive rebound by D. Motiejunas
4:00.0,,,18-23,,P. Beverley misses 2-pt shot from 18 ft
3:58.0,Defensive rebound by E. Bledsoe,,18-23,,
3:54.0,Turnover by E. Bledsoe (lost ball; steal by P. Beverley),,18-23,,
3:51.0,,,18-25,2,J. Harden makes 2-pt shot at rim (assist by P. Beverley)
3:32.0,Turnover by M. Morris (lost ball),,18-25,,
3:32.0,,,18-25,,J. Terry enters the game for P. Beverley
3:32.0,,,18-25,,C. Brewer enters the game for T. Ariza
3:22.0,,,18-27,2,J. Harden makes 2-pt shot from 1 ft
3:05.0,E. Bledsoe makes 2-pt shot from 2 ft,2,20-27,,
3:05.0,Shooting foul by J. Terry (drawn by E. Bledsoe),,20-27,,
3:05.0,E. Bledsoe makes free throw 1 of 1,1,21-27,,
2:42.0,,,21-27,,J. Harden misses 2-pt shot from 17 ft
2:41.0,Defensive rebound by E. Bledsoe,,21-27,,
2:36.0,Shooting foul by D. Motiejunas (drawn by B. Wright),,21-27,,
2:36.0,,,21-27,,Houston full timeout
2:36.0,A. Goodwin enters the game for E. Bledsoe,,21-27,,
2:36.0,,,21-27,,P. Prigioni enters the game for D. Motiejunas
2:36.0,B. Wright makes free throw 1 of 2,1,22-27,,
2:36.0,B. Wright makes free throw 2 of 2,1,23-27,,
2:20.0,,,23-29,2,J. Smith makes 2-pt shot at rim (assist by J. Harden)
1:54.0,A. Goodwin makes 2-pt shot from 1 ft,2,25-29,,
1:34.0,,,25-31,2,C. Brewer makes 2-pt shot from 3 ft (assist by J. Harden)
1:22.0,T. Warren makes 2-pt shot from 7 ft,2,27-31,,
1:16.0,,,27-33,2,C. Brewer makes 2-pt shot at rim (assist by J. Harden)
0:59.0,M. Morris makes 2-pt shot from 16 ft,2,29-33,,
0:49.0,,,29-33,,J. Harden misses 2-pt shot from 4 ft (block by P. Tucker)
