time,New York,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Stoudemire vs. T. Zeller (J. Sullinger gains possession),,,,Jump ball: A. Stoudemire vs. T. Zeller (J. Sullinger gains possession)
11:42.0,,,0-2,2,T. Zeller makes 2-pt shot from 8 ft (assist by E. Turner)
11:19.0,Turnover by A. Stoudemire (bad pass),,0-2,,
11:06.0,,,0-2,,J. Sullinger misses 2-pt shot from 2 ft
11:05.0,Defensive rebound by J. Calderon,,0-2,,
10:41.0,C. Anthony misses 2-pt shot from 14 ft,,0-2,,
10:39.0,,,0-2,,Defensive rebound by J. Green
10:33.0,,,0-4,2,J. Green makes 2-pt shot at rim
10:12.0,J. Calderon makes 2-pt shot from 12 ft,2,2-4,,
9:57.0,,,2-4,,J. Sullinger misses 2-pt shot from 21 ft
9:56.0,Defensive rebound by A. Stoudemire,,2-4,,
9:48.0,C. Anthony makes 2-pt shot from 16 ft (assist by I. Shumpert),2,4-4,,
9:38.0,,,4-6,2,T. Zeller makes 2-pt shot from 2 ft (assist by R. Rondo)
9:21.0,J. Calderon makes 2-pt shot from 20 ft (assist by C. Anthony),2,6-6,,
9:02.0,,,6-6,,J. Green misses 3-pt shot from 25 ft
9:01.0,Defensive rebound by Q. Acy,,6-6,,
8:49.0,A. Stoudemire makes 2-pt shot from 2 ft (assist by Q. Acy),2,8-6,,
8:39.0,,,8-6,,Turnover by T. Zeller (lost ball; steal by J. Calderon)
8:32.0,I. Shumpert makes 3-pt shot from 25 ft (assist by C. Anthony),3,11-6,,
8:05.0,,,11-6,,E. Turner misses 3-pt shot from 24 ft
8:04.0,Defensive rebound by C. Anthony,,11-6,,
7:52.0,C. Anthony makes 2-pt shot from 15 ft (assist by Q. Acy),2,13-6,,
7:33.0,,,13-6,,Turnover by J. Sullinger (lost ball; steal by A. Stoudemire)
7:31.0,Turnover by C. Anthony (bad pass),,13-6,,
7:21.0,,,13-8,2,J. Green makes 2-pt shot at rim (assist by R. Rondo)
6:56.0,A. Stoudemire makes 2-pt shot from 5 ft,2,15-8,,
6:53.0,Personal foul by A. Stoudemire (drawn by T. Zeller),,15-8,,
6:53.0,S. Dalembert enters the game for A. Stoudemire,,15-8,,
6:31.0,,,15-8,,E. Turner misses 3-pt shot from 26 ft
6:30.0,,,15-8,,Offensive rebound by J. Sullinger
6:30.0,,,15-8,,Turnover by Team (shot clock)
6:15.0,J. Calderon misses 2-pt shot from 20 ft,,15-8,,
6:14.0,,,15-8,,Defensive rebound by J. Sullinger
5:51.0,,,15-8,,R. Rondo misses 3-pt shot from 24 ft
5:49.0,,,15-8,,Offensive rebound by J. Sullinger
5:42.0,,,15-8,,Turnover by E. Turner (lost ball; steal by S. Dalembert)
