time,Minnesota,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: G. Dieng vs. T. Duncan (Z. LaVine gains possession),,,,Jump ball: G. Dieng vs. T. Duncan (Z. LaVine gains possession)
11:33.0,T. Young makes 2-pt shot from 17 ft,2,2-0,,
11:12.0,,,2-0,,T. Duncan misses 2-pt shot from 1 ft
11:11.0,Defensive rebound by Z. LaVine,,2-0,,
10:59.0,Turnover by A. Wiggins (traveling),,2-0,,
10:36.0,,,2-2,2,M. Bonner makes 2-pt shot from 22 ft (assist by D. Green)
10:14.0,A. Wiggins misses 2-pt shot from 2 ft (block by T. Duncan),,2-2,,
10:12.0,,,2-2,,Defensive rebound by T. Duncan
9:57.0,,,2-2,,Turnover by K. Leonard (bad pass)
9:45.0,A. Wiggins misses 2-pt shot from 20 ft,,2-2,,
9:44.0,,,2-2,,Defensive rebound by Team
9:25.0,,,2-2,,M. Bonner misses 3-pt shot from 24 ft
9:24.0,,,2-2,,Offensive rebound by T. Duncan
9:22.0,,,2-2,,T. Duncan misses 2-pt shot at rim
9:21.0,,,2-2,,Offensive rebound by T. Duncan
9:21.0,,,2-2,,T. Duncan misses 2-pt shot at rim
9:20.0,Defensive rebound by G. Dieng,,2-2,,
9:09.0,Z. LaVine misses 2-pt shot from 17 ft,,2-2,,
9:08.0,,,2-2,,Defensive rebound by K. Leonard
8:59.0,,,2-4,2,D. Green makes 2-pt shot from 2 ft (assist by T. Duncan)
8:34.0,Shooting foul by K. Leonard (drawn by Z. LaVine),,2-4,,
8:34.0,Z. LaVine misses free throw 1 of 2,,2-4,,
8:34.0,Offensive rebound by Team,,2-4,,
8:34.0,Z. LaVine makes free throw 2 of 2,1,3-4,,
8:08.0,,,3-4,,D. Green misses 2-pt shot from 11 ft (block by T. Young)
8:07.0,Defensive rebound by G. Dieng,,3-4,,
8:02.0,A. Wiggins makes 2-pt shot from 2 ft (assist by T. Young),2,5-4,,
7:52.0,,,5-4,,Turnover by K. Leonard (bad pass; steal by G. Dieng)
7:42.0,T. Young misses 2-pt shot from 6 ft,,5-4,,
7:41.0,,,5-4,,Defensive rebound by D. Green
7:34.0,,,5-7,3,M. Bonner makes 3-pt shot from 23 ft (assist by D. Green)
7:12.0,,,5-7,,Personal foul by D. Green (drawn by C. Brewer)
7:12.0,,,5-7,,M. Belinelli enters the game for D. Green
7:02.0,G. Dieng makes 2-pt shot from 1 ft,2,7-7,,
6:53.0,Personal foul by Z. LaVine (drawn by C. Joseph),,7-7,,
6:53.0,,,7-7,,A. Baynes enters the game for T. Duncan
6:45.0,,,7-7,,C. Joseph misses 2-pt shot from 12 ft
6:44.0,Defensive rebound by C. Brewer,,7-7,,
6:38.0,C. Brewer makes 2-pt shot from 6 ft,2,9-7,,
6:20.0,,,9-9,2,A. Baynes makes 2-pt shot at rim (assist by M. Bonner)
6:20.0,,,9-9,,Shooting foul by G. Dieng (drawn by A. Baynes)
6:20.0,C. Budinger enters the game for C. Brewer,,9-9,,
6:20.0,,,9-9,,B. Diaw enters the game for M. Bonner
6:20.0,,,9-10,1,A. Baynes makes free throw 1 of 1
6:01.0,G. Dieng misses 2-pt shot from 7 ft,,9-10,,
6:00.0,,,9-10,,Defensive rebound by B. Diaw
6:00.0,Personal block foul by T. Young (drawn by C. Joseph),,9-10,,
5:46.0,,,9-12,2,C. Joseph makes 2-pt shot from 17 ft
5:33.0,T. Young makes 2-pt shot from 7 ft,2,11-12,,
5:33.0,,,11-12,,San Antonio full timeout
5:09.0,,,11-14,2,C. Joseph makes 2-pt shot from 19 ft
4:57.0,C. Budinger misses 2-pt shot from 17 ft,,11-14,,
4:56.0,,,11-14,,Defensive rebound by B. Diaw
4:49.0,,,11-14,,K. Leonard misses 2-pt shot from 17 ft
4:48.0,Defensive rebound by C. Budinger,,11-14,,
4:46.0,Turnover by C. Budinger (bad pass; steal by C. Joseph),,11-14,,
4:39.0,,,11-17,3,M. Belinelli makes 3-pt shot from 22 ft (assist by B. Diaw)
4:18.0,A. Wiggins misses 2-pt shot at rim,,11-17,,
4:17.0,,,11-17,,Defensive rebound by A. Baynes
4:00.0,,,11-19,2,B. Diaw makes 2-pt shot from 23 ft (assist by M. Belinelli)
3:43.0,,,11-19,,D. Green enters the game for K. Leonard
3:43.0,S. Muhammad enters the game for A. Wiggins,,11-19,,
3:43.0,Minnesota full timeout,,11-19,,
3:35.0,C. Budinger misses 3-pt shot from 24 ft,,11-19,,
3:34.0,Offensive rebound by S. Muhammad,,11-19,,
3:34.0,Shooting foul by M. Belinelli (drawn by S. Muhammad),,11-19,,
3:34.0,S. Muhammad makes free throw 1 of 2,1,12-19,,
3:34.0,S. Muhammad misses free throw 2 of 2,,12-19,,
3:34.0,,,12-19,,Defensive rebound by A. Baynes
3:16.0,,,12-21,2,M. Belinelli makes 2-pt shot at rim
2:59.0,S. Muhammad misses 2-pt shot from 2 ft,,12-21,,
2:58.0,Offensive rebound by G. Dieng,,12-21,,
2:50.0,C. Budinger misses 3-pt shot from 25 ft,,12-21,,
2:49.0,,,12-21,,Defensive rebound by D. Green
2:46.0,,,12-21,,Turnover by D. Green (bad pass; steal by T. Young)
2:43.0,,,12-21,,Shooting block foul by A. Baynes (drawn by T. Young)
2:43.0,T. Young misses free throw 1 of 2,,12-21,,
2:43.0,Offensive rebound by Team,,12-21,,
2:43.0,,,12-21,,K. Anderson enters the game for C. Joseph
2:43.0,T. Young makes free throw 2 of 2,1,13-21,,
2:25.0,Personal foul by C. Budinger (drawn by B. Diaw),,13-21,,
2:25.0,C. Brewer enters the game for Z. LaVine,,13-21,,
2:10.0,,,13-21,,D. Green misses 3-pt shot from 29 ft
2:10.0,,,13-21,,Offensive rebound by Team
2:10.0,,,13-21,,Turnover by Team (shot clock)
1:55.0,,,13-21,,Personal foul by B. Diaw (drawn by G. Dieng)
1:55.0,G. Dieng makes free throw 1 of 2,1,14-21,,
1:55.0,A. Bennett enters the game for T. Young,,14-21,,
1:55.0,G. Dieng makes free throw 2 of 2,1,15-21,,
1:46.0,,,15-23,2,M. Belinelli makes 2-pt shot from 8 ft (assist by B. Diaw)
1:46.0,,,15-23,,Shooting foul by C. Brewer (drawn by M. Belinelli)
1:46.0,,,15-23,,T. Duncan enters the game for A. Baynes
1:46.0,,,15-24,1,M. Belinelli makes free throw 1 of 1
1:34.0,S. Muhammad makes 2-pt shot from 6 ft (assist by C. Brewer),2,17-24,,
1:19.0,,,17-24,,T. Duncan misses 2-pt shot from 1 ft (block by G. Dieng)
1:18.0,,,17-24,,Offensive rebound by Team
1:14.0,,,17-26,2,T. Duncan makes 2-pt shot from 14 ft (assist by M. Belinelli)
0:55.0,C. Budinger makes 3-pt shot from 25 ft (assist by G. Dieng),3,20-26,,
0:45.0,,,20-26,,Shooting foul by G. Dieng (drawn by T. Duncan)
0:45.0,,,20-27,1,T. Duncan makes free throw 1 of 2
0:45.0,J. Adrien enters the game for G. Dieng,,20-27,,
0:45.0,,,20-27,,C. Joseph enters the game for K. Anderson
0:45.0,,,20-28,1,T. Duncan makes free throw 2 of 2
0:32.0,C. Budinger misses 2-pt shot from 4 ft,,20-28,,
0:31.0,,,20-28,,Defensive rebound by T. Duncan
0:10.0,,,20-31,3,M. Belinelli makes 3-pt shot from 26 ft (assist by C. Joseph)
0:02.0,C. Brewer makes 3-pt shot from 26 ft,3,23-31,,
0:00.0,,,23-31,,B. Diaw misses 2-pt shot from 16 ft
0:00.0,,,23-31,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,23-33,2,T. Duncan makes 2-pt shot at rim (assist by C. Joseph)
11:28.0,Shooting foul by D. Green (drawn by S. Muhammad),,23-33,,
11:28.0,S. Muhammad makes 2-pt shot from 8 ft,2,25-33,,
11:28.0,,,25-33,,K. Leonard enters the game for M. Belinelli
11:28.0,S. Muhammad makes free throw 1 of 1,1,26-33,,
11:15.0,,,26-33,,C. Joseph misses 2-pt shot from 15 ft
11:14.0,Defensive rebound by J. Adrien,,26-33,,
11:07.0,Turnover by C. Brewer (bad pass),,26-33,,
11:07.0,A. Wiggins enters the game for C. Budinger,,26-33,,
10:53.0,,,26-35,2,T. Duncan makes 2-pt shot from 5 ft (assist by K. Leonard)
10:33.0,C. Brewer misses 3-pt shot from 23 ft,,26-35,,
10:32.0,,,26-35,,Defensive rebound by K. Leonard
10:18.0,,,26-35,,K. Leonard misses 3-pt shot from 24 ft
10:17.0,,,26-35,,Offensive rebound by T. Duncan
10:14.0,,,26-37,2,K. Leonard makes 2-pt shot from 15 ft (assist by T. Duncan)
10:13.0,Minnesota full timeout,,26-37,,
10:13.0,,,26-37,,M. Bonner enters the game for B. Diaw
10:01.0,A. Wiggins misses 2-pt shot from 1 ft,,26-37,,
9:59.0,,,26-37,,Defensive rebound by T. Duncan
9:52.0,,,26-37,,D. Green misses 3-pt shot from 25 ft
9:50.0,Defensive rebound by A. Bennett,,26-37,,
9:43.0,S. Muhammad misses 2-pt shot from 10 ft (block by D. Green),,26-37,,
9:42.0,,,26-37,,Defensive rebound by C. Joseph
9:27.0,,,26-39,2,K. Leonard makes 2-pt shot from 12 ft (assist by T. Duncan)
9:01.0,S. Muhammad makes 3-pt shot from 25 ft (assist by C. Brewer),3,29-39,,
8:53.0,Personal foul by C. Brewer (drawn by C. Joseph),,29-39,,
8:53.0,,,29-39,,M. Belinelli enters the game for D. Green
8:53.0,Z. LaVine enters the game for C. Brewer,,29-39,,
8:41.0,,,29-39,,T. Duncan misses 2-pt shot from 13 ft
8:40.0,Defensive rebound by A. Bennett,,29-39,,
8:31.0,A. Bennett makes 2-pt shot from 21 ft (assist by Z. LaVine),2,31-39,,
8:18.0,,,31-41,2,K. Leonard makes 2-pt shot from 1 ft
8:18.0,,,31-41,,Shooting foul by A. Bennett (drawn by K. Leonard)
8:18.0,,,31-42,1,K. Leonard makes free throw 1 of 1
8:03.0,S. Muhammad misses 2-pt shot from 11 ft,,31-42,,
8:00.0,Offensive rebound by J. Adrien,,31-42,,
8:00.0,Shooting foul by T. Duncan (drawn by S. Muhammad),,31-42,,
8:00.0,S. Muhammad misses free throw 1 of 2,,31-42,,
8:00.0,Offensive rebound by Team,,31-42,,
8:00.0,,,31-42,,A. Baynes enters the game for T. Duncan
8:00.0,S. Muhammad misses free throw 2 of 2,,31-42,,
8:00.0,,,31-42,,Defensive rebound by K. Leonard
7:36.0,,,31-42,,M. Belinelli misses 2-pt shot from 17 ft
7:35.0,Defensive rebound by Team,,31-42,,
7:35.0,,,31-42,,Loose ball foul by A. Baynes (drawn by J. Adrien)
7:20.0,Z. LaVine makes 3-pt shot from 22 ft (assist by A. Bennett),3,34-42,,
7:19.0,,,34-42,,San Antonio full timeout
7:05.0,,,34-42,,M. Belinelli misses 3-pt shot from 23 ft
7:04.0,Defensive rebound by A. Bennett,,34-42,,
6:48.0,A. Wiggins makes 2-pt shot from 5 ft,2,36-42,,
6:33.0,,,36-44,2,C. Joseph makes 2-pt shot at rim
6:33.0,,,36-44,,Shooting foul by J. Adrien (drawn by C. Joseph)
6:33.0,G. Dieng enters the game for J. Adrien,,36-44,,
6:33.0,,,36-45,1,C. Joseph makes free throw 1 of 1
6:21.0,Shooting foul by M. Bonner (drawn by A. Bennett),,36-45,,
6:21.0,A. Bennett makes free throw 1 of 2,1,37-45,,
6:21.0,A. Bennett makes free throw 2 of 2,1,38-45,,
5:57.0,,,38-48,3,M. Belinelli makes 3-pt shot from 26 ft (assist by K. Leonard)
5:43.0,A. Bennett misses 2-pt shot from 22 ft,,38-48,,
5:42.0,,,38-48,,Defensive rebound by A. Baynes
5:23.0,,,38-51,3,M. Bonner makes 3-pt shot from 25 ft (assist by M. Belinelli)
4:57.0,Z. LaVine makes 2-pt shot from 22 ft,2,40-51,,
4:29.0,,,40-51,,K. Leonard misses 3-pt shot from 25 ft
4:28.0,Defensive rebound by A. Bennett,,40-51,,
4:22.0,S. Muhammad makes 2-pt shot at rim (assist by Z. LaVine),2,42-51,,
4:13.0,Def 3 sec tech foul by G. Dieng,,42-51,,
4:13.0,,,42-52,1,M. Belinelli makes technical free throw
4:13.0,C. Brewer enters the game for S. Muhammad,,42-52,,
4:13.0,,,42-52,,D. Green enters the game for C. Joseph
4:03.0,,,42-52,,Shooting foul by A. Wiggins (drawn by K. Leonard)
4:03.0,,,42-53,1,K. Leonard makes free throw 1 of 2
4:03.0,,,42-53,,K. Leonard misses free throw 2 of 2
4:02.0,Defensive rebound by Z. LaVine,,42-53,,
3:38.0,G. Dieng misses 2-pt shot from 9 ft,,42-53,,
3:36.0,,,42-53,,Defensive rebound by D. Green
3:28.0,,,42-55,2,K. Leonard makes 2-pt shot from 5 ft
3:07.0,A. Wiggins makes 2-pt shot from 18 ft (assist by Z. LaVine),2,44-55,,
2:55.0,,,44-55,,M. Belinelli misses 2-pt shot from 21 ft
2:54.0,,,44-55,,Offensive rebound by D. Green
2:44.0,Personal foul by A. Bennett (drawn by D. Green),,44-55,,
2:44.0,Official timeout,,44-55,,
2:44.0,,,44-55,,B. Diaw enters the game for A. Baynes
2:44.0,T. Young enters the game for A. Bennett,,44-55,,
2:44.0,,,44-55,,T. Duncan enters the game for M. Bonner
