time,New Orleans,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Ajinca vs. A. Bogut (D. Green gains possession),,,,Jump ball: A. Ajinca vs. A. Bogut (D. Green gains possession)
11:45.0,Violation by D. Cunningham (def goaltending),,0-0,,
11:45.0,,,0-2,2,D. Green makes 2-pt shot from 1 ft (assist by A. Bogut)
11:33.0,,,0-2,,Def 3 sec tech foul by A. Bogut
11:33.0,E. Gordon makes technical free throw,1,1-2,,
11:18.0,T. Evans misses 2-pt shot from 20 ft,,1-2,,
11:17.0,,,1-2,,Defensive rebound by D. Green
11:03.0,,,1-2,,A. Bogut misses 2-pt shot from 11 ft
11:02.0,Defensive rebound by T. Evans,,1-2,,
10:52.0,A. Ajinca misses 2-pt shot from 17 ft,,1-2,,
10:52.0,,,1-2,,Defensive rebound by J. Holiday
10:44.0,,,1-4,2,D. Green makes 2-pt shot from 5 ft
10:26.0,Q. Pondexter makes 3-pt shot from 25 ft,3,4-4,,
10:18.0,,,4-4,,D. Green misses 2-pt shot from 1 ft
10:17.0,Defensive rebound by A. Ajinca,,4-4,,
10:08.0,Q. Pondexter misses 3-pt shot from 23 ft,,4-4,,
10:07.0,Offensive rebound by A. Ajinca,,4-4,,
10:07.0,Shooting foul by D. Green (drawn by A. Ajinca),,4-4,,
10:07.0,A. Ajinca makes free throw 1 of 2,1,5-4,,
10:07.0,A. Ajinca makes free throw 2 of 2,1,6-4,,
9:52.0,,,6-6,2,A. Bogut makes 2-pt shot from 8 ft
9:37.0,Turnover by T. Evans (bad pass),,6-6,,
9:31.0,,,6-6,,S. Curry misses 3-pt shot from 25 ft
9:31.0,Defensive rebound by D. Cunningham,,6-6,,
9:22.0,Q. Pondexter makes 3-pt shot from 23 ft (assist by T. Evans),3,9-6,,
9:16.0,,,9-6,,Shooting foul by E. Gordon (drawn by S. Curry)
9:16.0,,,9-7,1,S. Curry makes free throw 1 of 2
9:16.0,,,9-8,1,S. Curry makes free throw 2 of 2
8:59.0,E. Gordon makes 3-pt shot from 25 ft (assist by T. Evans),3,12-8,,
8:51.0,,,12-10,2,S. Curry makes 2-pt shot from 21 ft
8:31.0,A. Ajinca makes 2-pt shot from 8 ft (assist by E. Gordon),2,14-10,,
8:20.0,,,14-10,,D. Green misses 3-pt shot from 26 ft
8:19.0,Defensive rebound by A. Ajinca,,14-10,,
8:09.0,E. Gordon misses 2-pt shot from 13 ft,,14-10,,
8:08.0,,,14-10,,Defensive rebound by A. Bogut
8:00.0,,,14-10,,S. Curry misses 2-pt shot from 22 ft
7:59.0,Defensive rebound by Q. Pondexter,,14-10,,
7:44.0,Turnover by E. Gordon (bad pass),,14-10,,
7:25.0,,,14-10,,S. Curry misses 2-pt shot from 2 ft
7:24.0,,,14-10,,Offensive rebound by D. Green
7:24.0,Personal foul by T. Evans (drawn by D. Green),,14-10,,
7:22.0,,,14-12,2,A. Bogut makes 2-pt shot from 6 ft (assist by S. Curry)
7:22.0,,,14-12,,Shooting foul by A. Ajinca (drawn by A. Bogut)
7:22.0,,,14-12,,A. Bogut misses free throw 1 of 1
7:20.0,Defensive rebound by D. Cunningham,,14-12,,
7:09.0,A. Ajinca makes 2-pt shot from 11 ft (assist by T. Evans),2,16-12,,
7:02.0,,,16-14,2,H. Barnes makes 2-pt shot from 22 ft (assist by S. Curry)
6:45.0,D. Cunningham misses 2-pt shot from 18 ft,,16-14,,
6:44.0,,,16-14,,Defensive rebound by J. Holiday
6:43.0,,,16-14,,Turnover by S. Curry (traveling)
6:31.0,E. Gordon misses 2-pt shot from 12 ft,,16-14,,
6:30.0,,,16-14,,Defensive rebound by A. Bogut
6:26.0,,,16-14,,S. Curry misses 3-pt shot from 25 ft
6:25.0,Defensive rebound by Q. Pondexter,,16-14,,
6:16.0,,,16-14,,Personal foul by H. Barnes (drawn by A. Ajinca)
5:53.0,A. Ajinca misses 2-pt shot from 3 ft,,16-14,,
5:52.0,Offensive rebound by E. Gordon,,16-14,,
5:50.0,Turnover by E. Gordon (traveling),,16-14,,
5:50.0,,,16-14,,Golden State full timeout
