time,LA Lakers,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. J. Hill (J. Nelson gains possession),,,,Jump ball: T. Chandler vs. J. Hill (J. Nelson gains possession)
11:41.0,,,0-0,,M. Ellis misses 2-pt shot at rim (block by J. Lin)
11:39.0,Defensive rebound by J. Hill,,0-0,,
11:27.0,C. Boozer makes 2-pt shot from 16 ft (assist by K. Bryant),2,2-0,,
11:15.0,,,2-0,,C. Parsons misses 3-pt shot from 22 ft
11:14.0,Defensive rebound by J. Lin,,2-0,,
11:06.0,J. Lin misses 2-pt shot from 9 ft,,2-0,,
11:05.0,,,2-0,,Defensive rebound by D. Nowitzki
11:01.0,Personal foul by J. Lin (drawn by J. Nelson),,2-0,,
10:55.0,,,2-2,2,D. Nowitzki makes 2-pt shot at rim (assist by M. Ellis)
10:40.0,K. Bryant misses 2-pt shot from 19 ft,,2-2,,
10:39.0,,,2-2,,Defensive rebound by M. Ellis
10:28.0,,,2-4,2,D. Nowitzki makes 2-pt shot from 18 ft (assist by C. Parsons)
10:10.0,J. Lin makes 3-pt shot from 24 ft (assist by C. Boozer),3,5-4,,
9:49.0,,,5-6,2,J. Nelson makes 2-pt shot at rim (assist by M. Ellis)
9:27.0,J. Lin misses 2-pt shot from 16 ft,,5-6,,
9:27.0,,,5-6,,Defensive rebound by Team
9:19.0,,,5-6,,Shooting foul by J. Hill (drawn by T. Chandler)
9:19.0,,,5-7,1,T. Chandler makes free throw 1 of 2
9:19.0,,,5-8,1,T. Chandler makes free throw 2 of 2
8:57.0,C. Boozer makes 2-pt shot from 14 ft (assist by J. Hill),2,7-8,,
8:46.0,,,7-8,,Turnover by M. Ellis (bad pass; steal by J. Hill)
8:39.0,K. Bryant misses 2-pt shot from 18 ft,,7-8,,
8:37.0,Offensive rebound by J. Hill,,7-8,,
8:37.0,J. Hill makes 2-pt shot from 1 ft,2,9-8,,
8:23.0,,,9-10,2,J. Nelson makes 2-pt shot at rim
8:00.0,J. Hill makes 2-pt shot from 19 ft (assist by K. Bryant),2,11-10,,
7:47.0,,,11-10,,C. Parsons misses 3-pt shot from 22 ft
7:45.0,Defensive rebound by K. Bryant,,11-10,,
7:41.0,W. Johnson makes 2-pt shot at rim (assist by K. Bryant),2,13-10,,
7:20.0,,,13-12,2,D. Nowitzki makes 2-pt shot from 18 ft
7:01.0,J. Lin makes 2-pt shot at rim,2,15-12,,
6:51.0,,,15-14,2,C. Parsons makes 2-pt shot at rim (assist by J. Nelson)
6:35.0,J. Hill makes 2-pt shot from 20 ft (assist by K. Bryant),2,17-14,,
6:15.0,,,17-14,,J. Nelson misses 2-pt shot from 22 ft
6:14.0,,,17-14,,Offensive rebound by T. Chandler
6:08.0,,,17-17,3,D. Nowitzki makes 3-pt shot from 22 ft (assist by M. Ellis)
5:46.0,C. Boozer misses 2-pt shot from 6 ft,,17-17,,
5:44.0,,,17-17,,Defensive rebound by D. Nowitzki
5:34.0,,,17-19,2,D. Nowitzki makes 2-pt shot from 1 ft (assist by J. Nelson)
5:14.0,J. Hill makes 2-pt shot at rim (assist by C. Boozer),2,19-19,,
5:13.0,,,19-19,,Dallas full timeout
5:13.0,,,19-19,,A. Aminu enters the game for D. Nowitzki
5:13.0,E. Davis enters the game for W. Johnson,,19-19,,
5:13.0,N. Young enters the game for C. Boozer,,19-19,,
4:57.0,,,19-22,3,J. Nelson makes 3-pt shot from 24 ft (assist by M. Ellis)
4:32.0,N. Young misses 2-pt shot from 23 ft,,19-22,,
4:31.0,,,19-22,,Defensive rebound by C. Parsons
4:20.0,,,19-25,3,A. Aminu makes 3-pt shot from 23 ft (assist by C. Parsons)
3:56.0,Shooting foul by T. Chandler (drawn by K. Bryant),,19-25,,
3:56.0,K. Bryant makes free throw 1 of 2,1,20-25,,
3:56.0,,,20-25,,B. Wright enters the game for T. Chandler
3:56.0,R. Price enters the game for J. Lin,,20-25,,
3:56.0,K. Bryant makes free throw 2 of 2,1,21-25,,
3:42.0,,,21-25,,A. Aminu misses 3-pt shot from 24 ft
3:41.0,Defensive rebound by K. Bryant,,21-25,,
3:32.0,K. Bryant misses 2-pt shot from 19 ft,,21-25,,
3:30.0,Offensive rebound by Team,,21-25,,
3:17.0,K. Bryant misses 2-pt shot from 12 ft,,21-25,,
3:16.0,Offensive rebound by E. Davis,,21-25,,
3:10.0,N. Young misses 2-pt shot from 14 ft,,21-25,,
3:09.0,Offensive rebound by K. Bryant,,21-25,,
3:07.0,K. Bryant misses 2-pt shot from 1 ft,,21-25,,
3:06.0,,,21-25,,Defensive rebound by A. Aminu
2:52.0,,,21-25,,C. Parsons misses 2-pt shot from 1 ft (block by J. Hill)
2:52.0,,,21-25,,Offensive rebound by Team
2:52.0,LA Lakers full timeout,,21-25,,
2:44.0,,,21-25,,A. Aminu misses 2-pt shot from 23 ft
2:42.0,Defensive rebound by J. Hill,,21-25,,
2:25.0,E. Davis makes 2-pt shot at rim (assist by K. Bryant),2,23-25,,
2:16.0,Personal foul by E. Davis (drawn by A. Aminu),,23-25,,
2:16.0,,,23-25,,J. Barea enters the game for J. Nelson
2:16.0,R. Sacre enters the game for J. Hill,,23-25,,
2:09.0,,,23-27,2,B. Wright makes 2-pt shot from 7 ft (assist by M. Ellis)
1:57.0,K. Bryant misses 2-pt shot from 17 ft,,23-27,,
1:55.0,,,23-27,,Defensive rebound by J. Barea
1:50.0,,,23-27,,Shooting foul by R. Sacre (drawn by A. Aminu)
1:50.0,,,23-27,,A. Aminu misses free throw 1 of 2
1:50.0,,,23-27,,Offensive rebound by Team
1:50.0,,,23-27,,J. Crowder enters the game for M. Ellis
1:50.0,,,23-27,,A. Aminu misses free throw 2 of 2
1:49.0,Defensive rebound by K. Bryant,,23-27,,
1:27.0,K. Bryant misses 2-pt shot from 1 ft,,23-27,,
1:26.0,Offensive rebound by E. Davis,,23-27,,
1:26.0,E. Davis makes 2-pt shot at rim,2,25-27,,
1:06.0,,,25-30,3,J. Crowder makes 3-pt shot from 22 ft (assist by J. Barea)
0:46.0,N. Young misses 3-pt shot from 23 ft,,25-30,,
0:45.0,,,25-30,,Defensive rebound by J. Crowder
0:35.0,Personal foul by R. Price (drawn by J. Barea),,25-30,,
0:35.0,,,25-30,,J. Barea misses free throw 1 of 2
0:35.0,,,25-30,,Offensive rebound by Team
0:35.0,,,25-30,,R. Jefferson enters the game for C. Parsons
0:35.0,,,25-31,1,J. Barea makes free throw 2 of 2
0:28.0,,,25-31,,Personal block foul by J. Barea (drawn by K. Bryant)
0:18.0,,,25-31,,Personal foul by R. Jefferson (drawn by K. Bryant)
0:18.0,K. Bryant makes free throw 1 of 2,1,26-31,,
0:18.0,,,26-31,,D. Nowitzki enters the game for A. Aminu
0:18.0,K. Bryant makes free throw 2 of 2,1,27-31,,
0:06.0,Personal foul by E. Davis (drawn by D. Nowitzki),,27-31,,
0:06.0,,,27-32,1,D. Nowitzki makes free throw 1 of 2
0:06.0,,,27-33,1,D. Nowitzki makes free throw 2 of 2
0:05.0,Turnover by R. Sacre (bad pass; steal by J. Crowder),,27-33,,
