time,Houston,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Dorsey vs. M. Plumlee (P. Beverley gains possession),,,,Jump ball: J. Dorsey vs. M. Plumlee (P. Beverley gains possession)
11:42.0,Turnover by T. Ariza (traveling),,0-0,,
11:29.0,,,0-0,,Turnover by M. Plumlee (traveling)
11:16.0,,,0-0,,Violation by M. Morris (kicked ball)
11:11.0,T. Ariza makes 2-pt shot from 20 ft (assist by D. Motiejunas),2,2-0,,
11:02.0,Def 3 sec tech foul by D. Motiejunas,,2-0,,
11:02.0,,,2-1,1,E. Bledsoe makes technical free throw
10:49.0,,,2-1,,M. Plumlee misses 2-pt shot from 4 ft
10:47.0,Defensive rebound by J. Harden,,2-1,,
10:42.0,J. Harden misses 2-pt shot from 3 ft (block by M. Plumlee),,2-1,,
10:42.0,Offensive rebound by Team,,2-1,,
10:41.0,Shooting foul by M. Plumlee (drawn by D. Motiejunas),,2-1,,
10:41.0,D. Motiejunas makes free throw 1 of 2,1,3-1,,
10:41.0,D. Motiejunas makes free throw 2 of 2,1,4-1,,
10:28.0,,,4-1,,G. Dragic misses 2-pt shot from 20 ft
10:27.0,Defensive rebound by J. Dorsey,,4-1,,
10:17.0,D. Motiejunas makes 2-pt shot from 5 ft (assist by P. Beverley),2,6-1,,
10:06.0,,,6-1,,M. Morris misses 2-pt shot from 11 ft
10:05.0,Defensive rebound by J. Dorsey,,6-1,,
9:57.0,Turnover by D. Motiejunas (lost ball; steal by E. Bledsoe),,6-1,,
9:51.0,,,6-3,2,G. Dragic makes 2-pt shot from 1 ft (assist by E. Bledsoe)
9:43.0,D. Motiejunas makes 2-pt shot from 9 ft (assist by T. Ariza),2,8-3,,
9:29.0,,,8-3,,M. Morris misses 2-pt shot from 16 ft
9:29.0,Defensive rebound by J. Harden,,8-3,,
9:20.0,J. Harden misses 2-pt shot at rim,,8-3,,
9:19.0,Offensive rebound by J. Dorsey,,8-3,,
9:19.0,J. Dorsey makes 2-pt shot from 2 ft,2,10-3,,
9:08.0,,,10-6,3,P. Tucker makes 3-pt shot from 25 ft (assist by E. Bledsoe)
8:56.0,Turnover by J. Dorsey (3 sec),,10-6,,
8:32.0,,,10-6,,M. Morris misses 2-pt shot from 11 ft
8:31.0,,,10-6,,Offensive rebound by P. Tucker
8:26.0,,,10-6,,Turnover by E. Bledsoe (bad pass; steal by D. Motiejunas)
8:16.0,T. Ariza misses 2-pt shot from 2 ft,,10-6,,
8:15.0,Offensive rebound by P. Beverley,,10-6,,
8:09.0,P. Beverley makes 3-pt shot from 24 ft (assist by T. Ariza),3,13-6,,
7:47.0,,,13-8,2,M. Plumlee makes 2-pt shot at rim (assist by M. Morris)
