time,Brooklyn,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. B. Lopez (K. Garnett gains possession),,,,Jump ball: A. Bogut vs. B. Lopez (K. Garnett gains possession)
11:37.0,B. Lopez misses 2-pt shot from 1 ft (block by A. Bogut),,0-0,,
11:36.0,Offensive rebound by B. Lopez,,0-0,,
11:35.0,B. Lopez makes 2-pt shot from 2 ft,2,2-0,,
11:21.0,,,2-2,2,S. Curry makes 2-pt shot from 20 ft (assist by H. Barnes)
11:10.0,D. Williams makes 2-pt shot from 22 ft (assist by J. Johnson),2,4-2,,
10:58.0,,,4-2,,K. Thompson misses 3-pt shot from 24 ft
10:57.0,Defensive rebound by J. Johnson,,4-2,,
10:41.0,B. Lopez misses 2-pt shot from 8 ft,,4-2,,
10:40.0,,,4-2,,Defensive rebound by A. Bogut
10:27.0,,,4-4,2,H. Barnes makes 2-pt shot from 1 ft (assist by A. Bogut)
10:03.0,K. Garnett makes 2-pt shot from 21 ft (assist by B. Bogdanovic),2,6-4,,
9:50.0,,,6-4,,Shooting foul by B. Lopez (drawn by K. Thompson)
9:50.0,,,6-5,1,K. Thompson makes free throw 1 of 2
9:50.0,,,6-6,1,K. Thompson makes free throw 2 of 2
9:30.0,K. Garnett makes 2-pt shot from 9 ft (assist by J. Johnson),2,8-6,,
9:10.0,,,8-8,2,A. Bogut makes 2-pt shot from 1 ft (assist by H. Barnes)
9:10.0,,,8-8,,Shooting foul by D. Williams (drawn by A. Bogut)
9:10.0,,,8-9,1,A. Bogut makes free throw 1 of 1
9:00.0,B. Lopez makes 2-pt shot from 10 ft (assist by D. Williams),2,10-9,,
8:48.0,,,10-9,,A. Bogut misses 2-pt shot from 6 ft
8:47.0,Defensive rebound by K. Garnett,,10-9,,
8:37.0,Shooting foul by A. Bogut (drawn by B. Lopez),,10-9,,
8:37.0,B. Lopez makes free throw 1 of 2,1,11-9,,
8:37.0,B. Lopez makes free throw 2 of 2,1,12-9,,
8:29.0,,,12-9,,K. Thompson misses 2-pt shot from 18 ft
8:28.0,Defensive rebound by D. Williams,,12-9,,
8:19.0,B. Lopez makes 2-pt shot from 12 ft (assist by D. Williams),2,14-9,,
8:12.0,,,14-11,2,K. Thompson makes 2-pt shot from 18 ft
7:54.0,J. Johnson makes 2-pt shot from 14 ft,2,16-11,,
7:43.0,,,16-11,,A. Bogut misses 2-pt shot from 10 ft
7:42.0,Defensive rebound by D. Williams,,16-11,,
7:40.0,B. Bogdanovic makes 2-pt shot from 1 ft (assist by D. Williams),2,18-11,,
7:33.0,,,18-11,,Golden State full timeout
7:20.0,,,18-14,3,D. Green makes 3-pt shot from 27 ft (assist by H. Barnes)
7:03.0,Shooting foul by D. Green (drawn by B. Lopez),,18-14,,
7:03.0,B. Lopez makes free throw 1 of 2,1,19-14,,
7:03.0,A. Kirilenko enters the game for K. Garnett,,19-14,,
7:03.0,B. Lopez makes free throw 2 of 2,1,20-14,,
6:50.0,,,20-14,,H. Barnes misses 2-pt shot from 6 ft
6:49.0,,,20-14,,Offensive rebound by K. Thompson
6:45.0,,,20-17,3,D. Green makes 3-pt shot from 27 ft (assist by K. Thompson)
6:28.0,B. Lopez misses 2-pt shot from 20 ft,,20-17,,
6:27.0,,,20-17,,Defensive rebound by D. Green
6:21.0,,,20-20,3,H. Barnes makes 3-pt shot from 25 ft (assist by D. Green)
6:03.0,B. Lopez misses 2-pt shot from 17 ft,,20-20,,
6:02.0,Offensive rebound by Team,,20-20,,
6:02.0,,,20-20,,A. Iguodala enters the game for H. Barnes
5:54.0,J. Johnson misses 2-pt shot from 1 ft,,20-20,,
5:53.0,Offensive rebound by J. Johnson,,20-20,,
5:53.0,J. Johnson misses 2-pt shot from 1 ft,,20-20,,
5:51.0,,,20-20,,Defensive rebound by A. Bogut
5:46.0,,,20-20,,K. Thompson misses 2-pt shot from 9 ft
5:45.0,Defensive rebound by B. Lopez,,20-20,,
5:37.0,B. Lopez makes 2-pt shot at rim (assist by D. Williams),2,22-20,,
5:24.0,,,22-20,,D. Green misses 3-pt shot from 26 ft
5:23.0,Defensive rebound by B. Bogdanovic,,22-20,,
5:20.0,Turnover by B. Bogdanovic (bad pass; steal by A. Iguodala),,22-20,,
5:13.0,,,22-23,3,K. Thompson makes 3-pt shot from 24 ft (assist by D. Green)
4:50.0,Turnover by B. Lopez (bad pass),,22-23,,
4:39.0,,,22-23,,A. Iguodala misses 3-pt shot from 27 ft
4:38.0,Defensive rebound by B. Bogdanovic,,22-23,,
4:19.0,D. Williams makes 2-pt shot from 14 ft (assist by J. Johnson),2,24-23,,
4:09.0,,,24-23,,K. Thompson misses 2-pt shot from 10 ft
4:08.0,Defensive rebound by B. Bogdanovic,,24-23,,
3:58.0,D. Williams makes 2-pt shot from 16 ft,2,26-23,,
3:45.0,,,26-23,,A. Iguodala misses 3-pt shot from 26 ft
3:44.0,,,26-23,,Offensive rebound by S. Curry
3:34.0,,,26-23,,S. Curry misses 3-pt shot from 23 ft
3:33.0,,,26-23,,Offensive rebound by A. Bogut
3:21.0,,,26-23,,K. Thompson misses 2-pt shot from 1 ft
3:19.0,,,26-23,,Offensive rebound by A. Bogut
3:19.0,,,26-25,2,A. Bogut makes 2-pt shot at rim
3:07.0,Offensive charge foul by J. Johnson,,26-25,,
3:07.0,Turnover by J. Johnson (offensive foul),,26-25,,
3:07.0,,,26-25,,L. Barbosa enters the game for K. Thompson
3:07.0,M. Teletovic enters the game for B. Lopez,,26-25,,
3:07.0,J. Jack enters the game for D. Williams,,26-25,,
3:07.0,M. Plumlee enters the game for A. Kirilenko,,26-25,,
2:53.0,,,26-25,,D. Green misses 2-pt shot from 9 ft
2:52.0,Defensive rebound by M. Plumlee,,26-25,,
2:34.0,J. Johnson makes 2-pt shot from 7 ft,2,28-25,,
2:21.0,,,28-25,,Turnover by L. Barbosa (traveling)
2:21.0,Brooklyn full timeout,,28-25,,
2:21.0,,,28-25,,M. Speights enters the game for D. Green
2:21.0,,,28-25,,H. Barnes enters the game for A. Bogut
2:09.0,M. Plumlee makes 2-pt shot from 2 ft (assist by J. Jack),2,30-25,,
2:09.0,Shooting foul by A. Iguodala (drawn by M. Plumlee),,30-25,,
2:09.0,M. Plumlee makes free throw 1 of 1,1,31-25,,
1:55.0,,,31-27,2,M. Speights makes 2-pt shot at rim (assist by S. Curry)
1:39.0,B. Bogdanovic misses 2-pt shot from 6 ft (block by L. Barbosa),,31-27,,
1:39.0,Offensive rebound by Team,,31-27,,
1:39.0,,,31-27,,S. Livingston enters the game for S. Curry
1:39.0,A. Anderson enters the game for J. Johnson,,31-27,,
1:36.0,A. Anderson misses 2-pt shot from 16 ft,,31-27,,
1:35.0,,,31-27,,Defensive rebound by H. Barnes
1:26.0,,,31-27,,H. Barnes misses 2-pt shot from 8 ft (block by M. Plumlee)
1:25.0,Defensive rebound by M. Plumlee,,31-27,,
1:20.0,Turnover by J. Jack (bad pass; steal by M. Speights),,31-27,,
1:07.0,,,31-27,,L. Barbosa misses 2-pt shot from 1 ft
1:05.0,,,31-27,,Offensive rebound by M. Speights
0:59.0,,,31-29,2,H. Barnes makes 2-pt shot from 5 ft (assist by L. Barbosa)
0:59.0,,,31-29,,Shooting foul by M. Teletovic (drawn by H. Barnes)
0:59.0,,,31-30,1,H. Barnes makes free throw 1 of 1
0:50.0,Shooting foul by S. Livingston (drawn by J. Jack),,31-30,,
0:50.0,J. Jack makes free throw 1 of 2,1,32-30,,
0:50.0,J. Jack misses free throw 2 of 2,,32-30,,
0:50.0,Offensive rebound by M. Teletovic,,32-30,,
0:38.0,M. Plumlee misses 2-pt shot from 4 ft,,32-30,,
0:36.0,Offensive rebound by Team,,32-30,,
0:36.0,,,32-30,,Loose ball foul by S. Livingston (drawn by M. Plumlee)
0:36.0,M. Plumlee makes free throw 1 of 2,1,33-30,,
0:36.0,M. Plumlee makes free throw 2 of 2,1,34-30,,
0:24.0,,,34-32,2,M. Speights makes 2-pt shot from 18 ft (assist by A. Iguodala)
0:02.0,J. Jack makes 2-pt shot from 7 ft,2,36-32,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,,,36-32,,M. Speights misses 2-pt shot from 10 ft
11:39.0,Defensive rebound by A. Anderson,,36-32,,
11:21.0,B. Bogdanovic makes 2-pt shot from 2 ft,2,38-32,,
11:01.0,,,38-34,2,S. Livingston makes 2-pt shot from 13 ft
10:43.0,J. Jack makes 2-pt shot from 2 ft,2,40-34,,
10:27.0,Personal foul by J. Jack (drawn by S. Livingston),,40-34,,
10:27.0,D. Williams enters the game for B. Bogdanovic,,40-34,,
10:16.0,,,40-34,,A. Iguodala misses 2-pt shot from 17 ft
10:15.0,Defensive rebound by J. Jack,,40-34,,
10:09.0,A. Anderson misses 3-pt shot from 26 ft,,40-34,,
10:08.0,,,40-34,,Defensive rebound by M. Speights
10:00.0,,,40-36,2,L. Barbosa makes 2-pt shot at rim
9:46.0,M. Teletovic misses 3-pt shot from 26 ft,,40-36,,
9:45.0,,,40-36,,Defensive rebound by S. Livingston
9:30.0,,,40-36,,Shooting foul by A. Anderson (drawn by H. Barnes)
9:30.0,,,40-37,1,H. Barnes makes free throw 1 of 2
9:30.0,,,40-38,1,H. Barnes makes free throw 2 of 2
9:16.0,A. Anderson misses 3-pt shot from 23 ft,,40-38,,
9:15.0,,,40-38,,Defensive rebound by Team
9:15.0,Jump ball: H. Barnes vs. M. Teletovic (S. Livingston gains possession),,,,Jump ball: H. Barnes vs. M. Teletovic (S. Livingston gains possession)
9:09.0,,,40-40,2,L. Barbosa makes 2-pt shot from 1 ft (assist by S. Livingston)
8:52.0,J. Jack makes 2-pt shot from 4 ft (assist by M. Plumlee),2,42-40,,
8:33.0,,,42-42,2,M. Speights makes 2-pt shot from 15 ft (assist by L. Barbosa)
8:23.0,Turnover by D. Williams (bad pass; steal by L. Barbosa),,42-42,,
8:18.0,,,42-44,2,H. Barnes makes 2-pt shot from 1 ft (assist by L. Barbosa)
8:13.0,Brooklyn full timeout,,42-44,,
8:02.0,J. Jack makes 2-pt shot from 16 ft (assist by M. Teletovic),2,44-44,,
7:45.0,,,44-44,,A. Iguodala misses 2-pt shot from 12 ft
7:44.0,,,44-44,,Offensive rebound by M. Speights
7:30.0,,,44-44,,L. Barbosa misses 3-pt shot from 24 ft
7:28.0,,,44-44,,Offensive rebound by M. Speights
7:25.0,,,44-44,,L. Barbosa misses 2-pt shot from 1 ft (block by M. Teletovic)
7:23.0,Defensive rebound by J. Jack,,44-44,,
7:16.0,J. Jack makes 2-pt shot from 1 ft,2,46-44,,
7:02.0,,,46-44,,L. Barbosa misses 3-pt shot from 27 ft
7:02.0,Defensive rebound by D. Williams,,46-44,,
6:48.0,Shooting foul by M. Speights (drawn by M. Plumlee),,46-44,,
6:48.0,M. Plumlee misses free throw 1 of 2,,46-44,,
6:48.0,Offensive rebound by Team,,46-44,,
6:48.0,,,46-44,,K. Thompson enters the game for L. Barbosa
6:48.0,,,46-44,,S. Curry enters the game for M. Speights
6:48.0,,,46-44,,A. Bogut enters the game for S. Livingston
6:48.0,K. Garnett enters the game for M. Teletovic,,46-44,,
6:48.0,M. Plumlee makes free throw 2 of 2,1,47-44,,
6:33.0,,,47-44,,Offensive foul by A. Bogut
6:33.0,,,47-44,,Turnover by A. Bogut (offensive foul)
6:33.0,B. Lopez enters the game for M. Plumlee,,47-44,,
6:18.0,Shooting foul by S. Curry (drawn by D. Williams),,47-44,,
6:18.0,D. Williams makes free throw 1 of 2,1,48-44,,
6:18.0,,,48-44,,D. Green enters the game for A. Iguodala
6:18.0,D. Williams makes free throw 2 of 2,1,49-44,,
5:56.0,,,49-47,3,K. Thompson makes 3-pt shot from 25 ft (assist by D. Green)
5:42.0,Offensive foul by B. Lopez,,49-47,,
5:42.0,Turnover by B. Lopez (offensive foul),,49-47,,
5:42.0,Official timeout,,49-47,,
5:42.0,J. Johnson enters the game for B. Lopez,,49-47,,
5:35.0,,,49-47,,Turnover by S. Curry (lost ball; steal by D. Williams)
5:23.0,K. Garnett misses 2-pt shot from 8 ft,,49-47,,
5:22.0,,,49-47,,Defensive rebound by D. Green
5:13.0,Personal foul by D. Williams (drawn by K. Thompson),,49-47,,
5:13.0,B. Bogdanovic enters the game for D. Williams,,49-47,,
5:00.0,,,49-47,,D. Green misses 3-pt shot from 29 ft
4:59.0,,,49-47,,Offensive rebound by A. Bogut
4:57.0,,,49-47,,Shooting foul by K. Garnett (drawn by A. Bogut)
4:57.0,,,49-48,1,A. Bogut makes free throw 1 of 2
4:57.0,,,49-49,1,A. Bogut makes free throw 2 of 2
4:42.0,Turnover by J. Jack (lost ball; steal by D. Green),,49-49,,
4:42.0,Jump ball: D. Green vs. J. Jack (K. Thompson gains possession),,,,Jump ball: D. Green vs. J. Jack (K. Thompson gains possession)
4:32.0,,,49-51,2,D. Green makes 2-pt shot from 1 ft (assist by S. Curry)
4:08.0,K. Garnett misses 2-pt shot from 11 ft,,49-51,,
4:07.0,,,49-51,,Defensive rebound by A. Bogut
3:58.0,,,49-51,,D. Green misses 3-pt shot from 26 ft
3:57.0,Defensive rebound by Team,,49-51,,
3:34.0,A. Anderson misses 2-pt shot from 15 ft,,49-51,,
3:33.0,,,49-51,,Defensive rebound by K. Thompson
3:22.0,,,49-51,,S. Curry misses 2-pt shot from 16 ft
3:21.0,Defensive rebound by K. Garnett,,49-51,,
3:14.0,J. Jack makes 2-pt shot from 2 ft,2,51-51,,
3:03.0,,,51-53,2,D. Green makes 2-pt shot from 12 ft (assist by S. Curry)
2:50.0,B. Bogdanovic misses 3-pt shot from 27 ft,,51-53,,
2:49.0,,,51-53,,Defensive rebound by A. Bogut
2:45.0,Personal foul by K. Garnett (drawn by A. Bogut),,51-53,,
2:45.0,,,51-53,,Golden State full timeout
2:45.0,D. Williams enters the game for K. Garnett,,51-53,,
2:45.0,M. Plumlee enters the game for J. Jack,,51-53,,
2:45.0,M. Teletovic enters the game for A. Anderson,,51-53,,
2:45.0,,,51-53,,A. Iguodala enters the game for H. Barnes
2:45.0,,,51-53,,A. Bogut misses free throw 1 of 2
2:45.0,,,51-53,,Offensive rebound by Team
2:45.0,,,51-53,,A. Bogut misses free throw 2 of 2
2:44.0,Defensive rebound by M. Teletovic,,51-53,,
2:23.0,M. Plumlee misses 2-pt shot from 1 ft,,51-53,,
2:22.0,,,51-53,,Defensive rebound by S. Curry
2:11.0,,,51-55,2,A. Iguodala makes 2-pt shot from 9 ft
2:11.0,,,51-55,,Shooting foul by B. Bogdanovic (drawn by A. Iguodala)
2:11.0,,,51-56,1,A. Iguodala makes free throw 1 of 1
1:51.0,M. Plumlee misses 2-pt shot from 3 ft,,51-56,,
1:50.0,,,51-56,,Defensive rebound by D. Green
1:46.0,,,51-58,2,D. Green makes 2-pt shot from 2 ft
1:35.0,D. Williams makes 2-pt shot from 16 ft,2,53-58,,
1:25.0,,,53-61,3,K. Thompson makes 3-pt shot from 27 ft (assist by D. Green)
1:11.0,D. Williams misses 2-pt shot from 17 ft,,53-61,,
1:09.0,Offensive rebound by M. Plumlee,,53-61,,
1:08.0,Shooting foul by A. Bogut (drawn by M. Plumlee),,53-61,,
1:08.0,M. Plumlee makes free throw 1 of 2,1,54-61,,
1:08.0,,,54-61,,M. Speights enters the game for A. Bogut
1:08.0,M. Plumlee makes free throw 2 of 2,1,55-61,,
0:49.0,,,55-63,2,M. Speights makes 2-pt shot at rim (assist by D. Green)
0:38.0,D. Williams misses 2-pt shot from 2 ft (block by M. Speights),,55-63,,
0:38.0,Offensive rebound by Team,,55-63,,
0:37.0,M. Teletovic misses 2-pt shot from 13 ft (block by D. Green),,55-63,,
0:35.0,,,55-63,,Defensive rebound by A. Iguodala
0:29.0,,,55-65,2,A. Iguodala makes 2-pt shot at rim
0:06.0,Turnover by D. Williams (bad pass),,55-65,,
0:06.0,,,55-65,,Golden State full timeout
0:06.0,J. Jack enters the game for D. Williams,,55-65,,
0:06.0,A. Anderson enters the game for M. Teletovic,,55-65,,
0:01.0,Personal foul by A. Anderson (drawn by K. Thompson),,55-65,,
0:01.0,,,55-65,,K. Thompson misses free throw 1 of 2
0:01.0,,,55-65,,Offensive rebound by Team
0:01.0,,,55-66,1,K. Thompson makes free throw 2 of 2
