time,Denver,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:44.0,,,0-0,,G. Henderson misses 2-pt shot from 17 ft
12:00.0,Jump ball: T. Mozgov vs. C. Zeller (A. Jefferson gains possession),,,,Jump ball: T. Mozgov vs. C. Zeller (A. Jefferson gains possession)
11:42.0,,,0-0,,Offensive rebound by G. Henderson
11:37.0,,,0-3,3,K. Walker makes 3-pt shot from 24 ft (assist by G. Henderson)
11:23.0,K. Faried makes 2-pt shot from 1 ft,2,2-3,,
11:06.0,,,2-5,2,A. Jefferson makes 2-pt shot from 2 ft
10:51.0,T. Mozgov misses 2-pt shot from 18 ft,,2-5,,
10:49.0,,,2-5,,Defensive rebound by G. Henderson
10:38.0,,,2-7,2,A. Jefferson makes 2-pt shot from 15 ft
10:13.0,Turnover by K. Faried (bad pass; steal by A. Jefferson),,2-7,,
10:01.0,,,2-7,,G. Henderson misses 2-pt shot from 7 ft
9:59.0,Defensive rebound by T. Mozgov,,2-7,,
9:52.0,Turnover by T. Lawson (bad pass),,2-7,,
9:36.0,,,2-9,2,M. Kidd-Gilchrist makes 2-pt shot from 15 ft (assist by K. Walker)
9:12.0,A. Afflalo misses 2-pt shot from 17 ft,,2-9,,
9:10.0,,,2-9,,Defensive rebound by C. Zeller
9:01.0,,,2-11,2,A. Jefferson makes 2-pt shot from 17 ft (assist by K. Walker)
8:54.0,Denver full timeout,,2-11,,
8:39.0,A. Afflalo makes 2-pt shot from 22 ft (assist by T. Mozgov),2,4-11,,
8:24.0,,,4-13,2,K. Walker makes 2-pt shot from 15 ft (assist by A. Jefferson)
8:12.0,A. Afflalo misses 3-pt shot from 23 ft,,4-13,,
8:12.0,Offensive rebound by Team,,4-13,,
8:12.0,,,4-13,,Loose ball foul by C. Zeller (drawn by K. Faried)
7:58.0,T. Lawson misses 2-pt shot from 16 ft,,4-13,,
7:56.0,Offensive rebound by K. Faried,,4-13,,
7:49.0,T. Lawson makes 2-pt shot from 1 ft,2,6-13,,
7:32.0,,,6-13,,A. Jefferson misses 2-pt shot from 2 ft
7:31.0,Defensive rebound by K. Faried,,6-13,,
7:24.0,T. Lawson makes 3-pt shot from 24 ft (assist by W. Chandler),3,9-13,,
7:05.0,,,9-13,,C. Zeller misses 2-pt shot from 18 ft
7:04.0,Defensive rebound by W. Chandler,,9-13,,
6:58.0,,,9-13,,Personal foul by K. Walker (drawn by K. Faried)
6:58.0,,,9-13,,B. Biyombo enters the game for A. Jefferson
6:53.0,T. Lawson misses 2-pt shot from 18 ft,,9-13,,
6:51.0,,,9-13,,Defensive rebound by G. Henderson
6:36.0,,,9-13,,K. Walker misses 2-pt shot from 12 ft
6:35.0,Defensive rebound by K. Faried,,9-13,,
6:22.0,,,9-13,,Personal foul by G. Henderson (drawn by A. Afflalo)
6:07.0,A. Afflalo misses 3-pt shot from 26 ft,,9-13,,
6:06.0,,,9-13,,Defensive rebound by C. Zeller
5:57.0,,,9-13,,Shooting foul by K. Faried (drawn by C. Zeller)
5:57.0,,,9-13,,C. Zeller misses free throw 1 of 2
5:57.0,,,9-13,,Offensive rebound by Team
5:57.0,,,9-13,,C. Zeller misses free throw 2 of 2
5:56.0,Defensive rebound by K. Faried,,9-13,,
5:34.0,W. Chandler makes 2-pt shot from 8 ft,2,11-13,,
5:16.0,,,11-15,2,C. Zeller makes 2-pt shot from 18 ft (assist by M. Kidd-Gilchrist)
4:59.0,T. Mozgov misses 2-pt shot from 1 ft (block by M. Kidd-Gilchrist),,11-15,,
4:58.0,,,11-15,,Defensive rebound by G. Henderson
4:53.0,,,11-17,2,C. Zeller makes 2-pt shot at rim (assist by G. Henderson)
4:37.0,,,11-17,,Personal foul by G. Henderson (drawn by T. Mozgov)
4:37.0,J. Hickson enters the game for T. Mozgov,,11-17,,
4:37.0,,,11-17,,M. Williams enters the game for C. Zeller
4:37.0,,,11-17,,G. Neal enters the game for G. Henderson
4:37.0,A. Gee enters the game for K. Faried,,11-17,,
4:28.0,Turnover by T. Lawson (bad pass; steal by G. Neal),,11-17,,
4:17.0,,,11-19,2,M. Kidd-Gilchrist makes 2-pt shot from 1 ft (assist by M. Williams)
3:50.0,A. Afflalo misses 2-pt shot from 9 ft,,11-19,,
3:48.0,,,11-19,,Defensive rebound by B. Biyombo
3:34.0,,,11-19,,M. Williams misses 3-pt shot from 26 ft
3:32.0,Defensive rebound by W. Chandler,,11-19,,
3:24.0,Offensive charge foul by W. Chandler,,11-19,,
3:24.0,Turnover by W. Chandler (offensive foul),,11-19,,
3:08.0,,,11-19,,Turnover by G. Neal (bad pass; steal by W. Chandler)
