time,LA Clippers,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Black vs. D. Jordan (B. Griffin gains possession),,,,Jump ball: T. Black vs. D. Jordan (B. Griffin gains possession)
11:46.0,Turnover by C. Paul (bad pass; steal by T. Black),,0-0,,
11:28.0,,,0-0,,J. Lin misses 3-pt shot from 25 ft
11:27.0,,,0-0,,Offensive rebound by W. Johnson
11:22.0,,,0-0,,Turnover by J. Lin (lost ball; steal by D. Jordan)
11:22.0,Jump ball: D. Jordan vs. J. Lin (C. Paul gains possession),,,,Jump ball: D. Jordan vs. J. Lin (C. Paul gains possession)
11:18.0,B. Griffin misses 2-pt shot from 2 ft (block by T. Black),,0-0,,
11:15.0,,,0-0,,Defensive rebound by R. Kelly
11:07.0,,,0-0,,J. Clarkson misses 3-pt shot from 25 ft
11:03.0,Defensive rebound by M. Barnes,,0-0,,
10:53.0,M. Barnes misses 3-pt shot from 26 ft,,0-0,,
10:52.0,,,0-0,,Defensive rebound by R. Kelly
10:47.0,,,0-0,,Offensive foul by T. Black
10:47.0,,,0-0,,Turnover by T. Black (offensive foul)
10:39.0,,,0-0,,Personal foul by J. Lin (drawn by B. Griffin)
10:27.0,M. Barnes makes 3-pt shot from 22 ft (assist by C. Paul),3,3-0,,
10:09.0,,,3-0,,W. Johnson misses 3-pt shot from 23 ft
10:08.0,Defensive rebound by B. Griffin,,3-0,,
10:02.0,M. Barnes misses 2-pt shot from 2 ft,,3-0,,
10:00.0,Offensive rebound by M. Barnes,,3-0,,
9:48.0,D. Jordan misses 2-pt shot from 2 ft,,3-0,,
9:47.0,Offensive rebound by D. Jordan,,3-0,,
9:46.0,D. Jordan makes 2-pt shot at rim,2,5-0,,
9:32.0,,,5-2,2,T. Black makes 2-pt shot from 2 ft
9:19.0,B. Griffin misses 2-pt shot from 17 ft,,5-2,,
9:18.0,,,5-2,,Defensive rebound by T. Black
9:02.0,,,5-2,,J. Lin misses 2-pt shot from 4 ft
9:01.0,,,5-2,,Offensive rebound by T. Black
8:58.0,,,5-4,2,T. Black makes 2-pt shot from 4 ft
8:35.0,B. Griffin makes 2-pt shot from 19 ft,2,7-4,,
8:17.0,Personal foul by D. Jordan (drawn by J. Lin),,7-4,,
8:11.0,,,7-6,2,W. Johnson makes 2-pt shot from 19 ft (assist by T. Black)
7:57.0,D. Jordan makes 2-pt shot at rim (assist by B. Griffin),2,9-6,,
7:37.0,,,9-6,,W. Johnson misses 2-pt shot from 18 ft
7:36.0,,,9-6,,Offensive rebound by R. Kelly
7:34.0,,,9-6,,J. Clarkson misses 3-pt shot from 25 ft
7:31.0,Defensive rebound by M. Barnes,,9-6,,
7:21.0,D. Jordan misses 2-pt shot from 1 ft,,9-6,,
