time,Philadelphia,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. N. Noel (J. Teague gains possession),,,,Jump ball: A. Horford vs. N. Noel (J. Teague gains possession)
11:47.0,,,0-0,,P. Millsap misses 2-pt shot from 1 ft
11:45.0,Defensive rebound by H. Sims,,0-0,,
11:23.0,L. Mbah a Moute misses 2-pt shot from 17 ft,,0-0,,
11:22.0,,,0-0,,Defensive rebound by P. Millsap
11:12.0,,,0-0,,K. Korver misses 3-pt shot from 25 ft
11:11.0,Defensive rebound by H. Sims,,0-0,,
10:58.0,H. Sims misses 2-pt shot from 19 ft,,0-0,,
10:57.0,,,0-0,,Defensive rebound by D. Carroll
10:50.0,,,0-2,2,A. Horford makes 2-pt shot at rim (assist by J. Teague)
10:31.0,L. Mbah a Moute misses 2-pt shot from 22 ft,,0-2,,
10:30.0,,,0-2,,Defensive rebound by K. Korver
10:19.0,,,0-2,,Turnover by J. Teague (bad pass; steal by L. Mbah a Moute)
9:59.0,H. Thompson misses 3-pt shot from 23 ft,,0-2,,
9:58.0,,,0-2,,Defensive rebound by D. Carroll
9:48.0,,,0-5,3,K. Korver makes 3-pt shot from 24 ft (assist by D. Carroll)
9:34.0,Turnover by N. Noel (lost ball; steal by P. Millsap),,0-5,,
9:29.0,,,0-7,2,D. Carroll makes 2-pt shot from 1 ft
9:07.0,Turnover by H. Sims (bad pass; steal by K. Korver),,0-7,,
8:57.0,,,0-7,,J. Teague misses 3-pt shot from 24 ft
8:55.0,Defensive rebound by N. Noel,,0-7,,
8:47.0,M. Carter-Williams makes 2-pt shot from 11 ft,2,2-7,,
8:38.0,Violation by N. Noel (kicked ball),,2-7,,
8:32.0,,,2-7,,A. Horford misses 2-pt shot from 17 ft
8:31.0,Defensive rebound by L. Mbah a Moute,,2-7,,
8:17.0,N. Noel makes 2-pt shot from 4 ft (assist by H. Thompson),2,4-7,,
8:03.0,,,4-7,,P. Millsap misses 3-pt shot from 24 ft
8:01.0,Defensive rebound by M. Carter-Williams,,4-7,,
7:44.0,M. Carter-Williams makes 2-pt shot from 3 ft,2,6-7,,
7:23.0,,,6-7,,D. Carroll misses 3-pt shot from 23 ft
7:22.0,Defensive rebound by M. Carter-Williams,,6-7,,
7:18.0,Turnover by M. Carter-Williams (lost ball; steal by J. Teague),,6-7,,
7:15.0,,,6-9,2,J. Teague makes 2-pt shot at rim
7:08.0,L. Mbah a Moute makes 2-pt shot at rim (assist by M. Carter-Williams),2,8-9,,
7:07.0,Violation by Team (delay of game),,8-9,,
6:59.0,Violation by H. Sims (kicked ball),,8-9,,
6:51.0,,,8-11,2,P. Millsap makes 2-pt shot at rim (assist by J. Teague)
6:38.0,L. Mbah a Moute misses 3-pt shot from 25 ft,,8-11,,
6:36.0,,,8-11,,Defensive rebound by A. Horford
6:26.0,,,8-11,,D. Carroll misses 3-pt shot from 25 ft
6:25.0,,,8-11,,Offensive rebound by D. Carroll
6:22.0,,,8-14,3,K. Korver makes 3-pt shot from 25 ft (assist by D. Carroll)
6:21.0,Philadelphia full timeout,,8-14,,
6:21.0,K. McDaniels enters the game for H. Sims,,8-14,,
6:10.0,Turnover by M. Carter-Williams (bad pass; steal by D. Carroll),,8-14,,
5:55.0,,,8-14,,Turnover by P. Millsap (lost ball; steal by L. Mbah a Moute)
5:51.0,K. McDaniels makes 2-pt shot at rim (assist by M. Carter-Williams),2,10-14,,
5:30.0,,,10-16,2,D. Carroll makes 2-pt shot from 4 ft
5:12.0,Turnover by M. Carter-Williams (lost ball; steal by A. Horford),,10-16,,
4:57.0,,,10-18,2,A. Horford makes 2-pt shot from 1 ft
