time,Miami,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Bosh vs. R. Hibbert (R. Stuckey gains possession),,,,Jump ball: C. Bosh vs. R. Hibbert (R. Stuckey gains possession)
11:34.0,,,0-0,,S. Hill misses 2-pt shot from 10 ft
11:34.0,,,0-0,,Offensive rebound by Team
11:34.0,,,0-0,,Turnover by Team (shot clock)
11:13.0,D. Wade misses 3-pt shot from 26 ft,,0-0,,
11:13.0,Offensive rebound by C. Andersen,,0-0,,
11:13.0,,,0-0,,Loose ball foul by R. Hibbert (drawn by C. Andersen)
11:03.0,D. Wade makes 2-pt shot from 1 ft (assist by M. Chalmers),2,2-0,,
10:41.0,,,2-0,,D. West misses 2-pt shot from 1 ft
10:40.0,Defensive rebound by C. Bosh,,2-0,,
10:31.0,,,2-0,,Personal foul by S. Hill (drawn by M. Chalmers)
10:23.0,L. Deng misses 2-pt shot from 17 ft,,2-0,,
10:21.0,Offensive rebound by C. Andersen,,2-0,,
10:21.0,C. Andersen misses 2-pt shot from 1 ft,,2-0,,
10:20.0,,,2-0,,Defensive rebound by D. West
10:05.0,,,2-2,2,R. Hibbert makes 2-pt shot from 6 ft (assist by D. West)
9:42.0,C. Andersen makes 2-pt shot at rim (assist by L. Deng),2,4-2,,
9:22.0,,,4-2,,R. Stuckey misses 2-pt shot from 11 ft
9:20.0,,,4-2,,Offensive rebound by R. Stuckey
9:10.0,,,4-2,,D. West misses 2-pt shot from 19 ft
9:09.0,Defensive rebound by C. Bosh,,4-2,,
9:05.0,,,4-2,,Shooting block foul by S. Hill (drawn by L. Deng)
9:05.0,L. Deng makes free throw 1 of 2,1,5-2,,
9:05.0,,,5-2,,C. Miles enters the game for S. Hill
9:05.0,L. Deng misses free throw 2 of 2,,5-2,,
9:05.0,,,5-2,,Defensive rebound by R. Hibbert
8:52.0,,,5-2,,Turnover by D. West (bad pass)
8:40.0,L. Deng makes 2-pt shot from 2 ft (assist by M. Chalmers),2,7-2,,
8:18.0,,,7-2,,G. Hill misses 3-pt shot from 23 ft
8:17.0,Defensive rebound by C. Andersen,,7-2,,
8:02.0,C. Andersen misses 2-pt shot from 16 ft,,7-2,,
8:01.0,,,7-2,,Defensive rebound by G. Hill
7:38.0,,,7-2,,C. Miles misses 3-pt shot from 25 ft
7:37.0,Defensive rebound by D. Wade,,7-2,,
7:31.0,M. Chalmers misses 3-pt shot from 26 ft,,7-2,,
7:30.0,,,7-2,,Defensive rebound by G. Hill
7:24.0,,,7-2,,Shooting foul by M. Chalmers (drawn by C. Miles)
7:24.0,,,7-3,1,C. Miles makes free throw 1 of 2
7:24.0,,,7-4,1,C. Miles makes free throw 2 of 2
7:17.0,,,7-4,,Personal foul by G. Hill (drawn by M. Chalmers)
7:11.0,D. Wade makes 2-pt shot from 13 ft (assist by M. Chalmers),2,9-4,,
6:48.0,,,9-6,2,G. Hill makes 2-pt shot from 2 ft
6:47.0,,,9-6,,Technical foul by G. Hill
6:47.0,C. Bosh makes technical free throw,1,10-6,,
6:30.0,C. Andersen misses 2-pt shot from 2 ft (block by G. Hill),,10-6,,
6:28.0,,,10-6,,Defensive rebound by R. Hibbert
6:25.0,,,10-8,2,G. Hill makes 2-pt shot at rim
6:25.0,,,10-8,,Shooting foul by C. Andersen (drawn by G. Hill)
6:25.0,,,10-9,1,G. Hill makes free throw 1 of 1
6:14.0,Turnover by M. Chalmers (lost ball),,10-9,,
5:59.0,,,10-9,,R. Hibbert misses 2-pt shot from 2 ft
5:58.0,Defensive rebound by C. Bosh,,10-9,,
5:44.0,,,10-9,,Indiana full timeout
5:44.0,N. Cole enters the game for M. Chalmers,,10-9,,
5:35.0,D. Wade misses 2-pt shot from 20 ft,,10-9,,
5:34.0,,,10-9,,Defensive rebound by C. Miles
5:20.0,Personal foul by C. Bosh (drawn by G. Hill),,10-9,,
5:06.0,,,10-11,2,G. Hill makes 2-pt shot from 14 ft
4:50.0,L. Deng makes 2-pt shot from 21 ft (assist by N. Cole),2,12-11,,
4:26.0,,,12-11,,Turnover by R. Hibbert (bad pass; steal by D. Wade)
4:22.0,D. Wade makes 2-pt shot at rim,2,14-11,,
4:16.0,,,14-11,,Turnover by G. Hill (bad pass; steal by N. Cole)
4:06.0,C. Bosh misses 2-pt shot from 18 ft,,14-11,,
4:05.0,,,14-11,,Defensive rebound by R. Stuckey
3:58.0,,,14-14,3,C. Miles makes 3-pt shot from 28 ft (assist by R. Stuckey)
3:57.0,Miami full timeout,,14-14,,
3:57.0,S. Williams enters the game for C. Bosh,,14-14,,
