time,Memphis,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. A. Jefferson (Z. Randolph gains possession),,,,Jump ball: M. Gasol vs. A. Jefferson (Z. Randolph gains possession)
11:43.0,M. Gasol makes 2-pt shot from 7 ft (assist by T. Prince),2,2-0,,
11:23.0,,,2-0,,L. Stephenson misses 2-pt shot from 15 ft
11:22.0,Defensive rebound by M. Conley,,2-0,,
11:15.0,,,2-0,,Def 3 sec tech foul by A. Jefferson
11:15.0,M. Conley makes technical free throw,1,3-0,,
11:05.0,M. Gasol misses 2-pt shot from 16 ft,,3-0,,
11:04.0,,,3-0,,Defensive rebound by M. Kidd-Gilchrist
10:45.0,,,3-2,2,A. Jefferson makes 2-pt shot at rim (assist by L. Stephenson)
10:27.0,Turnover by M. Conley (lost ball),,3-2,,
10:09.0,,,3-2,,A. Jefferson misses 2-pt shot from 7 ft
10:08.0,Defensive rebound by Z. Randolph,,3-2,,
9:57.0,M. Gasol makes 2-pt shot from 14 ft,2,5-2,,
9:42.0,,,5-5,3,M. Williams makes 3-pt shot from 25 ft (assist by K. Walker)
9:25.0,Turnover by T. Allen (bad pass; steal by K. Walker),,5-5,,
9:21.0,,,5-5,,Shooting foul by T. Prince (drawn by M. Kidd-Gilchrist)
9:21.0,,,5-6,1,M. Kidd-Gilchrist makes free throw 1 of 2
9:21.0,Technical foul by T. Allen,,5-6,,
9:21.0,,,5-7,1,K. Walker makes technical free throw
9:21.0,,,5-8,1,M. Kidd-Gilchrist makes free throw 2 of 2
9:07.0,Turnover by T. Prince (bad pass; steal by L. Stephenson),,5-8,,
9:00.0,,,5-8,,Turnover by L. Stephenson (lost ball; steal by T. Allen)
8:53.0,T. Prince misses 3-pt shot from 25 ft,,5-8,,
8:51.0,,,5-8,,Defensive rebound by L. Stephenson
8:33.0,,,5-8,,M. Williams misses 3-pt shot from 23 ft
8:32.0,Defensive rebound by T. Prince,,5-8,,
8:28.0,,,5-8,,Personal foul by M. Williams (drawn by Z. Randolph)
8:21.0,M. Conley misses 2-pt shot from 16 ft,,5-8,,
8:20.0,,,5-8,,Defensive rebound by M. Kidd-Gilchrist
8:07.0,,,5-8,,M. Kidd-Gilchrist misses 2-pt shot from 1 ft
8:06.0,Defensive rebound by Z. Randolph,,5-8,,
7:47.0,M. Gasol misses 2-pt shot from 19 ft,,5-8,,
7:46.0,,,5-8,,Defensive rebound by L. Stephenson
7:42.0,,,5-8,,Turnover by L. Stephenson (palming)
7:33.0,M. Conley misses 2-pt shot from 20 ft,,5-8,,
7:32.0,,,5-8,,Defensive rebound by M. Kidd-Gilchrist
7:23.0,,,5-8,,L. Stephenson misses 2-pt shot from 15 ft
7:20.0,Defensive rebound by Z. Randolph,,5-8,,
7:08.0,,,5-8,,Def 3 sec tech foul by M. Kidd-Gilchrist
7:08.0,M. Conley makes technical free throw,1,6-8,,
7:03.0,T. Allen makes 2-pt shot from 4 ft (assist by M. Conley),2,8-8,,
7:03.0,Shooting foul by L. Stephenson (drawn by T. Allen),,8-8,,
7:03.0,V. Carter enters the game for T. Prince,,8-8,,
7:03.0,T. Allen misses free throw 1 of 1,,8-8,,
7:01.0,,,8-8,,Defensive rebound by A. Jefferson
6:45.0,,,8-8,,K. Walker misses 3-pt shot from 26 ft
6:44.0,Defensive rebound by Z. Randolph,,8-8,,
6:28.0,T. Allen makes 2-pt shot from 2 ft,2,10-8,,
6:14.0,,,10-8,,A. Jefferson misses 2-pt shot from 17 ft
6:13.0,Defensive rebound by Z. Randolph,,10-8,,
6:06.0,M. Gasol makes 2-pt shot at rim (assist by M. Conley),2,12-8,,
5:45.0,,,12-8,,Shooting foul by V. Carter (drawn by K. Walker)
5:45.0,,,12-8,,Charlotte full timeout
5:45.0,,,12-8,,G. Henderson enters the game for M. Kidd-Gilchrist
5:45.0,,,12-9,1,K. Walker makes free throw 1 of 2
5:45.0,,,12-9,,K. Walker misses free throw 2 of 2
5:44.0,Defensive rebound by M. Gasol,,12-9,,
5:28.0,V. Carter misses 2-pt shot from 16 ft,,12-9,,
5:27.0,,,12-9,,Defensive rebound by A. Jefferson
5:17.0,,,12-9,,Turnover by G. Henderson (palming)
5:17.0,,,12-9,,C. Zeller enters the game for M. Williams
5:02.0,Z. Randolph misses 2-pt shot from 17 ft,,12-9,,
5:01.0,,,12-9,,Defensive rebound by G. Henderson
4:52.0,Violation by M. Conley (kicked ball),,12-9,,
4:43.0,,,12-9,,Turnover by C. Zeller (bad pass; steal by T. Allen)
4:27.0,Z. Randolph makes 2-pt shot from 12 ft,2,14-9,,
4:12.0,,,14-9,,C. Zeller misses 2-pt shot from 18 ft
4:11.0,Defensive rebound by Z. Randolph,,14-9,,
4:04.0,Turnover by V. Carter (bad pass; steal by A. Jefferson),,14-9,,
3:55.0,,,14-9,,K. Walker misses 3-pt shot from 25 ft
3:54.0,Defensive rebound by M. Conley,,14-9,,
3:45.0,,,14-9,,Personal foul by K. Walker (drawn by M. Conley)
3:45.0,,,14-9,,G. Neal enters the game for L. Stephenson
3:45.0,Q. Pondexter enters the game for T. Allen,,14-9,,
3:45.0,,,14-9,,J. Maxiell enters the game for A. Jefferson
3:39.0,M. Conley misses 2-pt shot from 2 ft,,14-9,,
3:38.0,,,14-9,,Defensive rebound by G. Henderson
3:28.0,,,14-11,2,G. Henderson makes 2-pt shot from 16 ft
3:17.0,,,14-11,,Personal foul by G. Neal (drawn by V. Carter)
3:09.0,V. Carter makes 3-pt shot from 26 ft (assist by M. Conley),3,17-11,,
2:46.0,,,17-11,,C. Zeller misses 2-pt shot from 16 ft
2:45.0,Defensive rebound by M. Conley,,17-11,,
2:36.0,Turnover by M. Gasol (traveling),,17-11,,
2:36.0,Memphis full timeout,,17-11,,
2:36.0,K. Koufos enters the game for M. Gasol,,17-11,,
2:25.0,,,17-11,,K. Walker misses 2-pt shot from 14 ft
2:25.0,,,17-11,,Offensive rebound by Team
2:25.0,Loose ball foul by Z. Randolph (drawn by J. Maxiell),,17-11,,
2:17.0,,,17-11,,G. Neal misses 2-pt shot from 16 ft
2:16.0,Defensive rebound by Team,,17-11,,
2:02.0,,,17-11,,Violation by J. Maxiell (kicked ball)
2:02.0,B. Udrih enters the game for M. Conley,,17-11,,
2:02.0,,,17-11,,B. Roberts enters the game for K. Walker
1:51.0,V. Carter misses 2-pt shot from 16 ft,,17-11,,
1:49.0,,,17-11,,Defensive rebound by G. Neal
1:49.0,,,17-11,,Offensive foul by J. Maxiell
1:49.0,,,17-11,,Turnover by J. Maxiell (offensive foul)
1:39.0,Z. Randolph misses 2-pt shot from 19 ft,,17-11,,
1:37.0,Offensive rebound by K. Koufos,,17-11,,
1:27.0,Z. Randolph makes 2-pt shot from 10 ft (assist by B. Udrih),2,19-11,,
1:21.0,Personal foul by Q. Pondexter (drawn by G. Neal),,19-11,,
1:12.0,,,19-11,,C. Zeller misses 2-pt shot from 1 ft
1:11.0,Defensive rebound by Z. Randolph,,19-11,,
0:59.0,Z. Randolph makes 2-pt shot from 17 ft (assist by K. Koufos),2,21-11,,
0:48.0,,,21-13,2,C. Zeller makes 2-pt shot at rim (assist by B. Roberts)
0:29.0,Z. Randolph makes 2-pt shot from 3 ft,2,23-13,,
0:07.0,,,23-15,2,G. Neal makes 2-pt shot from 20 ft
0:00.0,B. Udrih misses 2-pt shot from 9 ft,,23-15,,
0:00.0,Offensive rebound by Team,,23-15,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,23-15,,G. Henderson misses 2-pt shot from 16 ft
11:44.0,Defensive rebound by B. Udrih,,23-15,,
11:32.0,V. Carter makes 3-pt shot from 25 ft (assist by B. Udrih),3,26-15,,
11:18.0,,,26-15,,G. Neal misses 3-pt shot from 26 ft
11:17.0,Defensive rebound by V. Carter,,26-15,,
11:08.0,Turnover by V. Carter (bad pass; steal by C. Zeller),,26-15,,
11:02.0,,,26-15,,Turnover by J. Maxiell (lost ball; steal by Q. Pondexter)
10:56.0,Turnover by B. Udrih (bad pass; steal by G. Neal),,26-15,,
10:47.0,,,26-15,,Offensive foul by J. Maxiell
