time,Dallas,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. G. Dieng (T. Young gains possession),,,,Jump ball: T. Chandler vs. G. Dieng (T. Young gains possession)
11:44.0,,,0-0,,Shooting foul by M. Ellis (drawn by A. Wiggins)
11:44.0,,,0-1,1,A. Wiggins makes free throw 1 of 2
11:44.0,,,0-1,,A. Wiggins misses free throw 2 of 2
11:44.0,Defensive rebound by C. Parsons,,0-1,,
11:20.0,R. Rondo makes 2-pt shot from 14 ft,2,2-1,,
10:59.0,,,2-1,,T. Young misses 2-pt shot from 19 ft
10:58.0,,,2-1,,Offensive rebound by G. Dieng
10:54.0,,,2-3,2,T. Young makes 2-pt shot at rim (assist by G. Dieng)
10:33.0,R. Rondo misses 2-pt shot from 19 ft,,2-3,,
10:32.0,,,2-3,,Defensive rebound by T. Young
10:20.0,,,2-5,2,T. Young makes 2-pt shot from 6 ft (assist by M. Williams)
10:03.0,,,2-5,,Personal foul by G. Dieng (drawn by T. Chandler)
9:49.0,R. Rondo misses 2-pt shot from 18 ft,,2-5,,
9:48.0,,,2-5,,Defensive rebound by A. Wiggins
9:35.0,,,2-5,,T. Young misses 2-pt shot from 5 ft
9:34.0,Defensive rebound by T. Chandler,,2-5,,
9:24.0,D. Nowitzki misses 3-pt shot from 24 ft,,2-5,,
9:23.0,,,2-5,,Defensive rebound by R. Hummel
9:09.0,,,2-5,,A. Wiggins misses 2-pt shot from 7 ft
9:08.0,Defensive rebound by D. Nowitzki,,2-5,,
8:58.0,R. Rondo makes 2-pt shot from 6 ft,2,4-5,,
8:46.0,,,4-5,,G. Dieng misses 2-pt shot from 1 ft
8:45.0,,,4-5,,Offensive rebound by R. Hummel
8:44.0,,,4-7,2,R. Hummel makes 2-pt shot at rim
8:15.0,M. Ellis misses 2-pt shot from 7 ft,,4-7,,
8:14.0,,,4-7,,Defensive rebound by G. Dieng
8:02.0,,,4-7,,M. Williams misses 2-pt shot from 21 ft
8:00.0,,,4-7,,Offensive rebound by T. Young
8:00.0,,,4-7,,T. Young misses 2-pt shot at rim
7:58.0,Defensive rebound by T. Chandler,,4-7,,
7:44.0,Turnover by D. Nowitzki (bad pass; steal by M. Williams),,4-7,,
7:40.0,,,4-9,2,T. Young makes 2-pt shot at rim (assist by M. Williams)
7:32.0,,,4-9,,Personal foul by A. Wiggins (drawn by M. Ellis)
7:21.0,D. Nowitzki makes 2-pt shot from 14 ft,2,6-9,,
7:02.0,,,6-9,,T. Young misses 2-pt shot from 6 ft
7:01.0,Defensive rebound by D. Nowitzki,,6-9,,
6:51.0,R. Rondo makes 3-pt shot from 22 ft (assist by C. Parsons),3,9-9,,
6:29.0,,,9-9,,A. Wiggins misses 2-pt shot from 7 ft
6:28.0,Defensive rebound by D. Nowitzki,,9-9,,
6:23.0,C. Parsons makes 2-pt shot from 2 ft (assist by M. Ellis),2,11-9,,
6:01.0,,,11-11,2,T. Young makes 2-pt shot from 1 ft (assist by M. Williams)
5:48.0,M. Ellis makes 2-pt shot from 8 ft,2,13-11,,
5:30.0,,,13-11,,M. Williams misses 3-pt shot from 25 ft
5:29.0,Defensive rebound by D. Nowitzki,,13-11,,
5:19.0,C. Parsons makes 2-pt shot from 19 ft,2,15-11,,
5:18.0,,,15-11,,Minnesota full timeout
5:18.0,D. Powell enters the game for D. Nowitzki,,15-11,,
5:18.0,D. Harris enters the game for R. Rondo,,15-11,,
5:18.0,R. Jefferson enters the game for T. Chandler,,15-11,,
5:00.0,,,15-13,2,A. Wiggins makes 2-pt shot at rim
4:46.0,C. Parsons misses 2-pt shot from 15 ft,,15-13,,
4:45.0,,,15-13,,Defensive rebound by T. Young
4:40.0,,,15-13,,Turnover by M. Williams (bad pass; steal by M. Ellis)
4:30.0,R. Jefferson misses 3-pt shot from 24 ft,,15-13,,
4:29.0,,,15-13,,Defensive rebound by R. Hummel
4:15.0,,,15-13,,A. Wiggins misses 3-pt shot from 25 ft
4:14.0,Defensive rebound by D. Harris,,15-13,,
3:56.0,C. Parsons makes 2-pt shot from 2 ft,2,17-13,,
3:31.0,,,17-13,,A. Wiggins misses 2-pt shot from 9 ft
3:30.0,,,17-13,,Offensive rebound by G. Dieng
3:27.0,,,17-15,2,G. Dieng makes 2-pt shot at rim
3:18.0,Shooting foul by R. Hummel (drawn by R. Jefferson),,17-15,,
3:18.0,R. Jefferson misses free throw 1 of 2,,17-15,,
3:18.0,Offensive rebound by Team,,17-15,,
3:18.0,,,17-15,,N. Pekovic enters the game for G. Dieng
3:18.0,,,17-15,,C. Budinger enters the game for R. Hummel
3:18.0,R. Jefferson misses free throw 2 of 2,,17-15,,
3:18.0,,,17-15,,Defensive rebound by C. Budinger
3:03.0,,,17-17,2,N. Pekovic makes 2-pt shot from 4 ft (assist by T. Young)
2:51.0,M. Ellis misses 2-pt shot from 14 ft,,17-17,,
2:50.0,,,17-17,,Defensive rebound by C. Budinger
2:37.0,,,17-17,,Shooting foul by D. Powell (drawn by N. Pekovic)
2:37.0,Dallas full timeout,,17-17,,
2:37.0,T. Chandler enters the game for C. Parsons,,17-17,,
2:37.0,,,17-18,1,N. Pekovic makes free throw 1 of 2
2:37.0,,,17-19,1,N. Pekovic makes free throw 2 of 2
2:28.0,M. Ellis misses 2-pt shot from 2 ft (block by C. Budinger),,17-19,,
2:27.0,Offensive rebound by Team,,17-19,,
2:13.0,M. Ellis makes 2-pt shot from 4 ft,2,19-19,,
1:57.0,,,19-21,2,T. Young makes 2-pt shot from 2 ft
1:40.0,R. Jefferson misses 3-pt shot from 23 ft,,19-21,,
1:39.0,,,19-21,,Defensive rebound by T. Young
1:24.0,,,19-21,,N. Pekovic misses 2-pt shot at rim
1:23.0,Defensive rebound by R. Jefferson,,19-21,,
1:15.0,R. Jefferson makes 2-pt shot from 11 ft (assist by M. Ellis),2,21-21,,
0:55.0,,,21-21,,C. Budinger misses 2-pt shot from 1 ft
0:54.0,,,21-21,,Offensive rebound by A. Wiggins
0:48.0,,,21-21,,Turnover by Team (shot clock)
0:48.0,,,21-21,,A. Bennett enters the game for T. Young
0:48.0,R. Rondo enters the game for M. Ellis,,21-21,,
0:48.0,D. Nowitzki enters the game for D. Powell,,21-21,,
0:34.0,D. Harris misses 3-pt shot from 25 ft,,21-21,,
0:33.0,,,21-21,,Defensive rebound by C. Budinger
0:13.0,,,21-21,,A. Wiggins misses 3-pt shot from 23 ft
0:12.0,Defensive rebound by R. Jefferson,,21-21,,
0:05.0,D. Nowitzki makes 3-pt shot from 25 ft (assist by R. Rondo),3,24-21,,
0:00.0,,,24-21,,M. Williams misses 3-pt shot from 46 ft
0:00.0,,,24-21,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,T. Chandler makes 2-pt shot at rim (assist by D. Harris),2,26-21,,
11:41.0,,,26-21,,Turnover by N. Pekovic (inbound)
11:31.0,D. Harris makes 3-pt shot from 23 ft (assist by R. Jefferson),3,29-21,,
11:07.0,,,29-23,2,N. Pekovic makes 2-pt shot from 5 ft (assist by M. Williams)
10:53.0,R. Rondo misses 2-pt shot from 5 ft,,29-23,,
10:52.0,,,29-23,,Defensive rebound by C. Budinger
10:41.0,,,29-23,,A. Bennett misses 2-pt shot from 14 ft
10:40.0,Defensive rebound by D. Harris,,29-23,,
10:34.0,D. Harris makes 3-pt shot from 25 ft (assist by R. Rondo),3,32-23,,
10:12.0,,,32-23,,A. Wiggins misses 2-pt shot from 9 ft
10:11.0,Defensive rebound by R. Rondo,,32-23,,
10:01.0,R. Rondo misses 2-pt shot from 7 ft,,32-23,,
10:00.0,,,32-23,,Defensive rebound by N. Pekovic
9:48.0,,,32-23,,N. Pekovic misses 2-pt shot from 5 ft
9:47.0,,,32-23,,Offensive rebound by A. Wiggins
9:47.0,,,32-23,,Shooting foul by D. Harris (drawn by A. Wiggins)
9:47.0,,,32-24,1,A. Wiggins makes free throw 1 of 2
9:47.0,J. Barea enters the game for D. Harris,,32-24,,
9:47.0,,,32-24,,Z. LaVine enters the game for M. Williams
9:47.0,,,32-25,1,A. Wiggins makes free throw 2 of 2
9:32.0,D. Nowitzki misses 2-pt shot from 17 ft,,32-25,,
9:31.0,,,32-25,,Defensive rebound by A. Wiggins
9:10.0,,,32-27,2,A. Bennett makes 2-pt shot at rim (assist by C. Budinger)
8:58.0,Offensive foul by R. Rondo,,32-27,,
8:58.0,Turnover by R. Rondo (offensive foul),,32-27,,
8:58.0,,,32-27,,Minnesota full timeout
8:58.0,,,32-27,,R. Hummel enters the game for A. Wiggins
8:58.0,,,32-27,,T. Daniels enters the game for C. Budinger
8:58.0,A. Aminu enters the game for R. Jefferson,,32-27,,
8:35.0,,,32-27,,T. Daniels misses 3-pt shot from 24 ft
8:33.0,Defensive rebound by A. Aminu,,32-27,,
8:33.0,Turnover by A. Aminu (lost ball; steal by R. Hummel),,32-27,,
8:23.0,,,32-27,,A. Bennett misses 2-pt shot from 20 ft
8:21.0,,,32-27,,Offensive rebound by T. Daniels
8:08.0,,,32-27,,T. Daniels misses 2-pt shot from 20 ft
8:07.0,,,32-27,,Offensive rebound by Team
8:07.0,Loose ball foul by T. Chandler (drawn by R. Hummel),,32-27,,
7:59.0,,,32-27,,N. Pekovic misses 2-pt shot from 4 ft
7:57.0,Defensive rebound by D. Nowitzki,,32-27,,
7:39.0,D. Nowitzki makes 2-pt shot from 17 ft (assist by J. Barea),2,34-27,,
7:11.0,,,34-27,,Z. LaVine misses 3-pt shot from 26 ft
7:09.0,Defensive rebound by T. Chandler,,34-27,,
6:56.0,Shooting foul by A. Bennett (drawn by D. Nowitzki),,34-27,,
6:56.0,D. Nowitzki makes free throw 1 of 2,1,35-27,,
6:56.0,,,35-27,,G. Dieng enters the game for N. Pekovic
6:56.0,,,35-27,,T. Young enters the game for A. Bennett
6:56.0,D. Powell enters the game for T. Chandler,,35-27,,
6:56.0,M. Ellis enters the game for R. Rondo,,35-27,,
6:56.0,D. Nowitzki makes free throw 2 of 2,1,36-27,,
6:37.0,,,36-27,,T. Young misses 2-pt shot from 8 ft
6:35.0,Defensive rebound by D. Nowitzki,,36-27,,
6:32.0,Shooting foul by Z. LaVine (drawn by J. Barea),,36-27,,
6:32.0,J. Barea misses free throw 1 of 2,,36-27,,
6:32.0,Offensive rebound by Team,,36-27,,
6:32.0,C. Parsons enters the game for D. Nowitzki,,36-27,,
6:32.0,J. Barea makes free throw 2 of 2,1,37-27,,
6:13.0,,,37-30,3,T. Daniels makes 3-pt shot from 25 ft (assist by T. Young)
6:03.0,C. Parsons makes 3-pt shot from 26 ft (assist by J. Barea),3,40-30,,
5:48.0,,,40-30,,T. Daniels misses 2-pt shot from 13 ft
5:46.0,,,40-30,,Offensive rebound by T. Young
5:46.0,,,40-32,2,T. Young makes 2-pt shot at rim
5:34.0,D. Powell makes 2-pt shot from 16 ft (assist by J. Barea),2,42-32,,
5:11.0,,,42-32,,T. Young misses 2-pt shot from 9 ft
5:10.0,Defensive rebound by D. Powell,,42-32,,
5:04.0,C. Parsons makes 3-pt shot from 25 ft (assist by J. Barea),3,45-32,,
5:02.0,,,45-32,,Minnesota full timeout
5:02.0,,,45-32,,M. Williams enters the game for Z. LaVine
5:02.0,,,45-32,,A. Wiggins enters the game for T. Daniels
4:51.0,,,45-32,,Turnover by A. Wiggins (lost ball; steal by J. Barea)
4:46.0,C. Parsons makes 2-pt shot at rim (assist by J. Barea),2,47-32,,
4:20.0,,,47-32,,Turnover by M. Williams (step out of bounds)
4:04.0,Turnover by M. Ellis (lost ball),,47-32,,
3:47.0,,,47-34,2,A. Wiggins makes 2-pt shot at rim
3:36.0,C. Parsons makes 2-pt shot from 5 ft,2,49-34,,
3:16.0,,,49-34,,M. Williams misses 2-pt shot from 18 ft
3:15.0,Defensive rebound by D. Powell,,49-34,,
3:07.0,C. Parsons makes 3-pt shot from 23 ft (assist by J. Barea),3,52-34,,
2:53.0,Violation by D. Powell (kicked ball),,52-34,,
2:53.0,Dallas full timeout,,52-34,,
2:53.0,,,52-34,,N. Pekovic enters the game for G. Dieng
2:53.0,T. Chandler enters the game for D. Powell,,52-34,,
2:39.0,,,52-36,2,T. Young makes 2-pt shot from 19 ft
2:27.0,J. Barea misses 2-pt shot from 10 ft,,52-36,,
2:25.0,,,52-36,,Defensive rebound by T. Young
2:17.0,,,52-36,,T. Young misses 3-pt shot from 24 ft
2:16.0,,,52-36,,Offensive rebound by R. Hummel
2:02.0,,,52-36,,M. Williams misses 2-pt shot from 13 ft
2:01.0,Defensive rebound by C. Parsons,,52-36,,
1:55.0,C. Parsons misses 2-pt shot from 2 ft,,52-36,,
1:54.0,Offensive rebound by A. Aminu,,52-36,,
1:54.0,A. Aminu misses 2-pt shot at rim,,52-36,,
1:52.0,Offensive rebound by A. Aminu,,52-36,,
1:42.0,C. Parsons misses 3-pt shot from 25 ft,,52-36,,
1:41.0,Offensive rebound by A. Aminu,,52-36,,
1:38.0,A. Aminu misses 2-pt shot from 5 ft,,52-36,,
1:36.0,Offensive rebound by A. Aminu,,52-36,,
1:35.0,A. Aminu makes 2-pt shot from 1 ft,2,54-36,,
1:20.0,,,54-36,,N. Pekovic misses 2-pt shot from 4 ft (block by C. Parsons)
1:18.0,Defensive rebound by J. Barea,,54-36,,
1:05.0,A. Aminu makes 3-pt shot from 25 ft (assist by J. Barea),3,57-36,,
0:47.0,,,57-38,2,A. Wiggins makes 2-pt shot at rim (assist by T. Young)
0:32.0,Shooting foul by A. Wiggins (drawn by J. Barea),,57-38,,
0:32.0,J. Barea makes free throw 1 of 2,1,58-38,,
0:32.0,,,58-38,,C. Budinger enters the game for R. Hummel
0:32.0,,,58-38,,T. Daniels enters the game for A. Wiggins
0:32.0,J. Barea makes free throw 2 of 2,1,59-38,,
0:09.0,,,59-38,,C. Budinger misses 3-pt shot from 25 ft
0:08.0,,,59-38,,Offensive rebound by T. Young
0:05.0,,,59-38,,C. Budinger misses 2-pt shot from 9 ft (block by T. Chandler)
0:01.0,,,59-38,,Offensive rebound by Team
0:01.0,,,59-38,,Minnesota full timeout
0:00.0,,,59-38,,N. Pekovic misses 2-pt shot from 6 ft
0:00.0,,,59-38,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,R. Rondo misses 2-pt shot from 16 ft,,59-38,,
11:39.0,,,59-38,,Defensive rebound by T. Young
11:15.0,,,59-38,,M. Williams misses 2-pt shot from 19 ft
11:14.0,,,59-38,,Offensive rebound by Team
11:14.0,Loose ball foul by M. Ellis (drawn by A. Wiggins),,59-38,,
11:05.0,,,59-38,,A. Wiggins misses 2-pt shot from 17 ft
11:04.0,Defensive rebound by T. Chandler,,59-38,,
10:51.0,D. Nowitzki makes 2-pt shot from 19 ft (assist by R. Rondo),2,61-38,,
10:28.0,,,61-38,,G. Dieng misses 2-pt shot from 5 ft
10:27.0,Defensive rebound by D. Nowitzki,,61-38,,
10:06.0,M. Ellis misses 3-pt shot from 24 ft,,61-38,,
10:04.0,Offensive rebound by Team,,61-38,,
10:04.0,Turnover by Team (shot clock),,61-38,,
9:51.0,,,61-38,,T. Young misses 2-pt shot from 5 ft
9:50.0,,,61-38,,Offensive rebound by G. Dieng
9:41.0,,,61-38,,M. Williams misses 2-pt shot from 5 ft
9:40.0,,,61-38,,Offensive rebound by G. Dieng
9:36.0,,,61-38,,G. Dieng misses 2-pt shot from 3 ft
9:35.0,Defensive rebound by D. Nowitzki,,61-38,,
9:23.0,M. Ellis misses 3-pt shot from 23 ft,,61-38,,
9:22.0,,,61-38,,Defensive rebound by R. Hummel
9:05.0,,,61-38,,T. Young misses 2-pt shot from 5 ft
9:04.0,Defensive rebound by T. Chandler,,61-38,,
9:02.0,Turnover by R. Rondo (bad pass; steal by R. Hummel),,61-38,,
8:56.0,,,61-40,2,A. Wiggins makes 2-pt shot from 11 ft (assist by T. Young)
8:35.0,R. Rondo misses 3-pt shot from 23 ft,,61-40,,
8:34.0,,,61-40,,Defensive rebound by T. Young
8:28.0,,,61-42,2,A. Wiggins makes 2-pt shot from 2 ft (assist by M. Williams)
8:09.0,Shooting foul by R. Hummel (drawn by T. Chandler),,61-42,,
8:09.0,T. Chandler misses free throw 1 of 2,,61-42,,
8:09.0,Offensive rebound by Team,,61-42,,
8:09.0,T. Chandler makes free throw 2 of 2,1,62-42,,
7:49.0,,,62-42,,A. Wiggins misses 2-pt shot from 12 ft
7:48.0,,,62-42,,Offensive rebound by T. Young
7:42.0,,,62-42,,M. Williams misses 3-pt shot from 24 ft
7:42.0,,,62-42,,Offensive rebound by Team
7:42.0,Loose ball foul by R. Rondo (drawn by A. Wiggins),,62-42,,
7:42.0,D. Powell enters the game for T. Chandler,,62-42,,
7:35.0,,,62-45,3,R. Hummel makes 3-pt shot from 22 ft (assist by A. Wiggins)
7:17.0,C. Parsons makes 3-pt shot from 25 ft (assist by D. Powell),3,65-45,,
7:02.0,,,65-45,,M. Williams misses 2-pt shot from 20 ft
7:01.0,Defensive rebound by D. Powell,,65-45,,
6:54.0,R. Rondo makes 2-pt shot from 2 ft,2,67-45,,
6:37.0,,,67-45,,T. Young misses 2-pt shot from 2 ft
6:36.0,Defensive rebound by D. Powell,,67-45,,
6:28.0,D. Nowitzki makes 3-pt shot from 24 ft (assist by M. Ellis),3,70-45,,
6:28.0,,,70-45,,Minnesota full timeout
6:28.0,A. Aminu enters the game for D. Nowitzki,,70-45,,
6:11.0,Def 3 sec tech foul by D. Powell,,70-45,,
6:11.0,,,70-46,1,M. Williams makes technical free throw
5:57.0,,,70-46,,M. Williams misses 3-pt shot from 26 ft
5:56.0,Defensive rebound by Team,,70-46,,
5:33.0,M. Ellis misses 2-pt shot from 20 ft,,70-46,,
5:31.0,,,70-46,,Defensive rebound by Team
5:14.0,,,70-48,2,M. Williams makes 2-pt shot from 16 ft (assist by T. Young)
4:55.0,Turnover by C. Parsons (bad pass; steal by A. Wiggins),,70-48,,
4:45.0,,,70-48,,Turnover by G. Dieng (bad pass; steal by M. Ellis)
4:42.0,,,70-48,,Z. LaVine enters the game for R. Hummel
4:36.0,M. Ellis misses 2-pt shot from 17 ft,,70-48,,
4:35.0,Offensive rebound by D. Powell,,70-48,,
4:27.0,,,70-48,,Shooting block foul by T. Young (drawn by M. Ellis)
4:27.0,M. Ellis misses free throw 1 of 2,,70-48,,
4:27.0,Offensive rebound by Team,,70-48,,
4:27.0,M. Ellis makes free throw 2 of 2,1,71-48,,
4:03.0,,,71-48,,Shooting foul by R. Rondo (drawn by A. Wiggins)
4:03.0,,,71-48,,A. Wiggins misses free throw 1 of 2
4:03.0,,,71-48,,Offensive rebound by Team
4:03.0,T. Chandler enters the game for D. Powell,,71-48,,
4:03.0,,,71-48,,N. Pekovic enters the game for G. Dieng
4:03.0,,,71-49,1,A. Wiggins makes free throw 2 of 2
3:48.0,T. Chandler makes 2-pt shot from 1 ft (assist by C. Parsons),2,73-49,,
3:37.0,Personal foul by R. Rondo (drawn by A. Wiggins),,73-49,,
3:37.0,D. Harris enters the game for R. Rondo,,73-49,,
3:31.0,,,73-51,2,A. Wiggins makes 2-pt shot from 5 ft (assist by Z. LaVine)
3:05.0,C. Parsons misses 3-pt shot from 24 ft,,73-51,,
