time,Miami,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Violation by Team (jump ball),,0-0,,
12:00.0,Jump ball: C. Bosh vs. N. Noel,,,,Jump ball: C. Bosh vs. N. Noel
11:44.0,,,0-0,,L. Mbah a Moute misses 2-pt shot from 16 ft
11:43.0,Defensive rebound by N. Cole,,0-0,,
11:32.0,C. Bosh misses 2-pt shot from 3 ft (block by H. Thompson),,0-0,,
11:29.0,,,0-0,,Defensive rebound by H. Sims
11:12.0,,,0-2,2,H. Thompson makes 2-pt shot from 9 ft (assist by T. Wroten)
10:51.0,L. Deng misses 2-pt shot from 11 ft (block by H. Thompson),,0-2,,
10:51.0,Offensive rebound by Team,,0-2,,
10:51.0,Jump ball: L. Deng vs. H. Thompson (C. Bosh gains possession),,,,Jump ball: L. Deng vs. H. Thompson (C. Bosh gains possession)
10:46.0,C. Bosh misses 2-pt shot from 20 ft,,0-2,,
10:43.0,,,0-2,,Defensive rebound by L. Mbah a Moute
10:40.0,Violation by S. Williams (def goaltending),,0-2,,
10:40.0,,,0-4,2,L. Mbah a Moute makes 2-pt shot from 1 ft
10:24.0,Shooting foul by N. Noel (drawn by S. Williams),,0-4,,
10:24.0,S. Williams makes free throw 1 of 2,1,1-4,,
10:24.0,S. Williams makes free throw 2 of 2,1,2-4,,
10:14.0,,,2-4,,Turnover by L. Mbah a Moute (bad pass; steal by N. Cole)
10:07.0,Turnover by D. Wade (bad pass; steal by L. Mbah a Moute),,2-4,,
9:56.0,,,2-4,,Turnover by L. Mbah a Moute (lost ball)
9:44.0,L. Deng makes 2-pt shot from 19 ft (assist by C. Bosh),2,4-4,,
9:26.0,,,4-4,,Turnover by H. Thompson (bad pass; steal by C. Bosh)
9:22.0,D. Wade misses 2-pt shot from 1 ft,,4-4,,
9:21.0,Offensive rebound by Team,,4-4,,
9:21.0,,,4-4,,Loose ball foul by L. Mbah a Moute (drawn by L. Deng)
9:12.0,C. Bosh makes 2-pt shot at rim (assist by D. Wade),2,6-4,,
9:02.0,,,6-4,,Turnover by L. Mbah a Moute (bad pass; steal by L. Deng)
8:59.0,L. Deng makes 2-pt shot at rim,2,8-4,,
8:38.0,,,8-7,3,T. Wroten makes 3-pt shot from 25 ft (assist by H. Thompson)
8:25.0,,,8-7,,Violation by N. Noel (kicked ball)
8:23.0,Offensive foul by S. Williams,,8-7,,
8:23.0,Turnover by S. Williams (offensive foul),,8-7,,
8:07.0,,,8-7,,L. Mbah a Moute misses 3-pt shot from 25 ft
8:05.0,Defensive rebound by Team,,8-7,,
7:54.0,L. Deng misses 3-pt shot from 23 ft,,8-7,,
7:53.0,,,8-7,,Defensive rebound by H. Sims
7:43.0,,,8-9,2,T. Wroten makes 2-pt shot at rim (assist by H. Sims)
7:33.0,S. Williams misses 2-pt shot from 2 ft (block by H. Thompson),,8-9,,
7:33.0,Offensive rebound by Team,,8-9,,
7:31.0,D. Wade misses 2-pt shot from 17 ft,,8-9,,
7:30.0,,,8-9,,Defensive rebound by N. Noel
7:25.0,,,8-9,,L. Mbah a Moute misses 2-pt shot from 15 ft
7:22.0,Defensive rebound by S. Williams,,8-9,,
7:16.0,L. Deng makes 2-pt shot from 1 ft (assist by D. Wade),2,10-9,,
6:58.0,,,10-9,,H. Thompson misses 3-pt shot from 23 ft
6:56.0,,,10-9,,Offensive rebound by L. Mbah a Moute
6:56.0,,,10-9,,L. Mbah a Moute misses 2-pt shot from 1 ft
6:53.0,,,10-9,,Offensive rebound by L. Mbah a Moute
6:53.0,,,10-11,2,L. Mbah a Moute makes 2-pt shot from 1 ft
6:36.0,C. Andersen enters the game for C. Bosh,,10-11,,
6:30.0,N. Cole misses 3-pt shot from 24 ft,,10-11,,
6:28.0,,,10-11,,Defensive rebound by N. Noel
6:15.0,,,10-11,,L. Mbah a Moute misses 3-pt shot from 25 ft
6:14.0,Defensive rebound by L. Deng,,10-11,,
5:50.0,N. Cole makes 3-pt shot from 23 ft (assist by S. Williams),3,13-11,,
5:48.0,,,13-11,,Philadelphia full timeout
5:48.0,,,13-11,,B. Davies enters the game for L. Mbah a Moute
5:48.0,,,13-11,,M. Thomas enters the game for N. Noel
5:48.0,,,13-11,,C. Johnson enters the game for H. Sims
5:23.0,,,13-11,,C. Johnson misses 3-pt shot from 23 ft
5:22.0,,,13-11,,Offensive rebound by Team
5:21.0,,,13-13,2,M. Thomas makes 2-pt shot from 1 ft (assist by T. Wroten)
5:04.0,D. Wade misses 2-pt shot from 1 ft,,13-13,,
5:03.0,,,13-13,,Defensive rebound by M. Thomas
4:53.0,,,13-13,,H. Thompson misses 3-pt shot from 24 ft
4:53.0,Defensive rebound by Team,,13-13,,
4:53.0,,,13-13,,Loose ball foul by M. Thomas (drawn by S. Williams)
4:53.0,,,13-13,,K. McDaniels enters the game for H. Thompson
4:53.0,,,13-13,,A. Shved enters the game for T. Wroten
4:53.0,M. Chalmers enters the game for N. Cole,,13-13,,
4:34.0,S. Williams makes 3-pt shot from 24 ft (assist by L. Deng),3,16-13,,
4:21.0,,,16-15,2,B. Davies makes 2-pt shot at rim (assist by A. Shved)
4:11.0,Miami full timeout,,16-15,,
4:11.0,S. Napier enters the game for D. Wade,,16-15,,
3:56.0,Shooting foul by C. Johnson (drawn by M. Chalmers),,16-15,,
3:56.0,M. Chalmers misses free throw 1 of 2,,16-15,,
3:56.0,Offensive rebound by Team,,16-15,,
3:56.0,M. Chalmers makes free throw 2 of 2,1,17-15,,
3:39.0,,,17-17,2,B. Davies makes 2-pt shot from 13 ft (assist by A. Shved)
3:29.0,L. Deng makes 2-pt shot at rim (assist by S. Williams),2,19-17,,
3:29.0,Shooting foul by B. Davies (drawn by L. Deng),,19-17,,
3:29.0,C. Bosh enters the game for S. Williams,,19-17,,
3:29.0,L. Deng misses free throw 1 of 1,,19-17,,
3:28.0,,,19-17,,Defensive rebound by M. Thomas
3:22.0,,,19-20,3,C. Johnson makes 3-pt shot from 22 ft (assist by K. McDaniels)
3:05.0,C. Bosh makes 2-pt shot from 7 ft,2,21-20,,
2:59.0,,,21-22,2,B. Davies makes 2-pt shot from 2 ft (assist by A. Shved)
2:37.0,M. Chalmers misses 2-pt shot from 4 ft (block by K. McDaniels),,21-22,,
2:35.0,Offensive rebound by C. Bosh,,21-22,,
2:35.0,Shooting foul by M. Thomas (drawn by C. Bosh),,21-22,,
2:35.0,C. Bosh makes free throw 1 of 2,1,22-22,,
2:35.0,J. Ennis enters the game for L. Deng,,22-22,,
2:35.0,Violation by Team (delay of game),,22-22,,
2:35.0,C. Bosh misses free throw 2 of 2,,22-22,,
2:34.0,,,22-22,,Defensive rebound by M. Thomas
2:16.0,,,22-22,,Philadelphia full timeout
2:10.0,,,22-24,2,K. McDaniels makes 2-pt shot at rim
1:50.0,C. Bosh makes 3-pt shot from 23 ft (assist by M. Chalmers),3,25-24,,
1:37.0,,,25-24,,Shooting foul by J. Ennis (drawn by K. McDaniels)
1:37.0,,,25-24,,K. McDaniels misses free throw 1 of 2
1:37.0,,,25-24,,Offensive rebound by Team
1:37.0,,,25-25,1,K. McDaniels makes free throw 2 of 2
1:24.0,S. Napier makes 3-pt shot from 23 ft (assist by J. Ennis),3,28-25,,
1:03.0,,,28-25,,Turnover by B. Davies (bad pass; steal by M. Chalmers)
1:01.0,M. Chalmers misses 2-pt shot from 1 ft (block by K. McDaniels),,28-25,,
0:58.0,Offensive rebound by J. Ennis,,28-25,,
0:57.0,J. Ennis makes 2-pt shot from 4 ft,2,30-25,,
0:46.0,,,30-28,3,A. Shved makes 3-pt shot from 26 ft (assist by K. McDaniels)
0:30.0,,,30-28,,Def 3 sec tech foul by K. McDaniels
0:30.0,,,30-28,,N. Noel enters the game for M. Thomas
0:30.0,C. Bosh makes technical free throw,1,31-28,,
0:21.0,Turnover by C. Bosh (lost ball; steal by C. Johnson),,31-28,,
0:04.0,,,31-30,2,N. Noel makes 2-pt shot from 1 ft (assist by A. Shved)
