time,Toronto,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Valanciunas vs. H. Whiteside (T. Hansbrough gains possession),,,,Jump ball: J. Valanciunas vs. H. Whiteside (T. Hansbrough gains possession)
11:36.0,J. Valanciunas makes 2-pt shot from 9 ft,2,2-0,,
11:10.0,,,2-0,,Shooting foul by J. Valanciunas (drawn by H. Whiteside)
11:10.0,,,2-0,,H. Whiteside misses free throw 1 of 2
11:10.0,,,2-0,,Offensive rebound by Team
11:10.0,,,2-0,,H. Whiteside misses free throw 2 of 2
11:09.0,Defensive rebound by J. Valanciunas,,2-0,,
10:58.0,D. DeRozan misses 2-pt shot from 14 ft,,2-0,,
10:57.0,,,2-0,,Defensive rebound by H. Whiteside
10:42.0,,,2-0,,U. Haslem misses 3-pt shot from 23 ft
10:41.0,,,2-0,,Offensive rebound by H. Whiteside
10:38.0,,,2-0,,Shooting foul by J. Valanciunas (drawn by H. Whiteside)
10:38.0,,,2-0,,H. Whiteside misses free throw 1 of 2
10:38.0,,,2-0,,Offensive rebound by Team
10:38.0,P. Patterson enters the game for J. Valanciunas,,2-0,,
10:38.0,,,2-1,1,H. Whiteside makes free throw 2 of 2
10:28.0,T. Ross makes 3-pt shot from 23 ft (assist by K. Lowry),3,5-1,,
10:08.0,,,5-3,2,U. Haslem makes 2-pt shot at rim (assist by G. Dragic)
9:45.0,P. Patterson makes 2-pt shot at rim,2,7-3,,
9:45.0,Shooting foul by U. Haslem (drawn by P. Patterson),,7-3,,
9:45.0,P. Patterson misses free throw 1 of 1,,7-3,,
9:44.0,,,7-3,,Defensive rebound by H. Whiteside
9:33.0,Personal foul by K. Lowry (drawn by G. Dragic),,7-3,,
9:27.0,,,7-6,3,G. Dragic makes 3-pt shot from 24 ft (assist by D. Wade)
9:05.0,K. Lowry misses 2-pt shot from 10 ft,,7-6,,
9:04.0,,,7-6,,Defensive rebound by D. Wade
8:55.0,,,7-6,,L. Deng misses 3-pt shot from 25 ft
8:54.0,,,7-6,,Offensive rebound by D. Wade
8:51.0,,,7-9,3,G. Dragic makes 3-pt shot from 24 ft (assist by D. Wade)
8:22.0,P. Patterson makes 2-pt shot from 9 ft,2,9-9,,
8:02.0,,,9-9,,G. Dragic misses 3-pt shot from 24 ft
8:01.0,Defensive rebound by T. Hansbrough,,9-9,,
7:44.0,T. Ross misses 3-pt shot from 24 ft,,9-9,,
7:43.0,,,9-9,,Defensive rebound by U. Haslem
7:37.0,,,9-11,2,U. Haslem makes 2-pt shot from 1 ft (assist by G. Dragic)
7:25.0,Toronto full timeout,,9-11,,
7:16.0,D. DeRozan misses 2-pt shot from 15 ft,,9-11,,
7:15.0,,,9-11,,Defensive rebound by H. Whiteside
6:57.0,,,9-13,2,G. Dragic makes 2-pt shot from 1 ft
6:47.0,T. Ross makes 2-pt shot at rim (assist by P. Patterson),2,11-13,,
6:23.0,,,11-15,2,H. Whiteside makes 2-pt shot from 4 ft
6:05.0,T. Ross misses 2-pt shot from 13 ft (block by H. Whiteside),,11-15,,
6:04.0,Offensive rebound by T. Hansbrough,,11-15,,
6:04.0,Shooting foul by D. Wade (drawn by T. Hansbrough),,11-15,,
6:04.0,T. Hansbrough misses free throw 1 of 2,,11-15,,
6:04.0,Offensive rebound by Team,,11-15,,
6:04.0,T. Hansbrough makes free throw 2 of 2,1,12-15,,
5:47.0,,,12-15,,Turnover by D. Wade (bad pass; steal by D. DeRozan)
