time,Phoenix,pts.away,score,pts.home,New Orleans
2:37.0,G. Green makes 3-pt shot from 24 ft (assist by M. Plumlee),3,15-25,,
2:15.0,,,15-27,2,R. Anderson makes 2-pt shot from 3 ft
1:58.0,G. Dragic misses 2-pt shot from 2 ft,,15-27,,
1:56.0,,,15-27,,Defensive rebound by T. Evans
1:51.0,,,15-29,2,T. Evans makes 2-pt shot from 1 ft
1:39.0,G. Green makes 2-pt shot from 2 ft (assist by I. Thomas),2,17-29,,
1:22.0,,,17-29,,Turnover by R. Anderson (lost ball; steal by M. Morris)
1:16.0,G. Dragic makes 2-pt shot from 2 ft (assist by M. Plumlee),2,19-29,,
0:50.0,,,19-29,,A. Rivers misses 2-pt shot from 3 ft
0:50.0,,,19-29,,Offensive rebound by A. Davis
0:50.0,,,19-31,2,A. Davis makes 2-pt shot at rim
0:41.0,I. Thomas makes 3-pt shot from 24 ft (assist by G. Dragic),3,22-31,,
0:29.0,,,22-31,,A. Rivers misses 2-pt shot from 2 ft (block by M. Plumlee)
0:27.0,Defensive rebound by G. Green,,22-31,,
0:09.0,M. Morris makes 3-pt shot from 25 ft (assist by G. Green),3,25-31,,
0:02.0,,,25-31,,T. Evans misses 3-pt shot from 25 ft
0:01.0,,,25-31,,Offensive rebound by A. Davis
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,M. Plumlee makes 2-pt shot at rim (assist by G. Green),2,27-31,,
11:31.0,,,27-31,,Turnover by R. Anderson (lost ball; steal by E. Bledsoe)
11:27.0,Shooting foul by A. Rivers (drawn by E. Bledsoe),,27-31,,
11:27.0,E. Bledsoe makes free throw 1 of 2,1,28-31,,
11:27.0,E. Bledsoe makes free throw 2 of 2,1,29-31,,
11:03.0,,,29-33,2,R. Anderson makes 2-pt shot from 2 ft (assist by J. Fredette)
10:43.0,G. Green makes 2-pt shot from 13 ft,2,31-33,,
10:25.0,,,31-33,,Shooting foul by M. Plumlee (drawn by R. Anderson)
10:25.0,,,31-33,,R. Anderson misses free throw 1 of 2
10:25.0,,,31-33,,Offensive rebound by Team
10:25.0,,,31-33,,R. Anderson misses free throw 2 of 2
10:23.0,Defensive rebound by G. Green,,31-33,,
10:07.0,I. Thomas misses 2-pt shot from 11 ft,,31-33,,
10:05.0,Offensive rebound by M. Plumlee,,31-33,,
10:05.0,M. Plumlee misses 2-pt shot from 2 ft,,31-33,,
10:02.0,,,31-33,,Defensive rebound by O. Asik
9:52.0,,,31-35,2,O. Asik makes 2-pt shot from 2 ft (assist by A. Rivers)
9:35.0,E. Bledsoe misses 2-pt shot from 2 ft,,31-35,,
9:35.0,,,31-35,,Defensive rebound by A. Rivers
9:35.0,Loose ball foul by M. Morris (drawn by A. Rivers),,31-35,,
9:19.0,,,31-37,2,J. Fredette makes 2-pt shot from 1 ft
9:07.0,G. Green makes 3-pt shot from 24 ft (assist by I. Thomas),3,34-37,,
8:47.0,,,34-40,3,R. Anderson makes 3-pt shot from 25 ft (assist by O. Asik)
8:32.0,G. Green misses 2-pt shot from 1 ft (block by O. Asik),,34-40,,
8:30.0,,,34-40,,Defensive rebound by O. Asik
8:13.0,,,34-40,,J. Fredette misses 2-pt shot from 3 ft (block by I. Thomas)
8:11.0,Defensive rebound by I. Thomas,,34-40,,
8:05.0,G. Green makes 3-pt shot from 23 ft (assist by I. Thomas),3,37-40,,
7:49.0,,,37-40,,A. Rivers misses 2-pt shot from 1 ft
7:48.0,,,37-40,,Offensive rebound by O. Asik
7:48.0,,,37-40,,O. Asik misses 2-pt shot from 1 ft
7:47.0,,,37-40,,Offensive rebound by Team
7:47.0,Official timeout,,37-40,,
7:47.0,A. Len enters the game for M. Plumlee,,37-40,,
7:34.0,,,37-40,,Turnover by Team (back court)
7:24.0,I. Thomas misses 3-pt shot from 24 ft,,37-40,,
7:22.0,,,37-40,,Defensive rebound by R. Anderson
7:06.0,,,37-42,2,O. Asik makes 2-pt shot from 2 ft (assist by J. Fredette)
6:57.0,,,37-42,,J. Holiday enters the game for D. Cunningham
6:47.0,G. Green makes 2-pt shot from 16 ft,2,39-42,,
6:29.0,,,39-44,2,O. Asik makes 2-pt shot from 1 ft (assist by J. Fredette)
6:14.0,,,39-44,,A. Davis enters the game for R. Anderson
6:05.0,I. Thomas makes 2-pt shot from 16 ft (assist by M. Morris),2,41-44,,
5:52.0,,,41-44,,J. Holiday misses 3-pt shot from 24 ft
5:51.0,,,41-44,,Offensive rebound by O. Asik
5:46.0,,,41-44,,J. Fredette misses 3-pt shot from 25 ft
5:43.0,Defensive rebound by M. Morris,,41-44,,
5:26.0,M. Morris misses 2-pt shot at rim,,41-44,,
5:23.0,Offensive rebound by M. Morris,,41-44,,
5:16.0,M. Morris makes 3-pt shot from 22 ft (assist by A. Len),3,44-44,,
4:58.0,,,44-44,,J. Holiday misses 3-pt shot from 22 ft
4:57.0,Defensive rebound by Team,,44-44,,
4:57.0,,,44-44,,New Orleans full timeout
4:57.0,,,44-44,,T. Evans enters the game for A. Rivers
4:44.0,I. Thomas misses 2-pt shot from 10 ft,,44-44,,
4:43.0,,,44-44,,Defensive rebound by T. Evans
4:21.0,,,44-44,,J. Fredette misses 2-pt shot from 6 ft
4:20.0,Defensive rebound by I. Thomas,,44-44,,
4:14.0,G. Green misses 3-pt shot from 24 ft,,44-44,,
4:13.0,,,44-44,,Defensive rebound by O. Asik
4:07.0,,,44-46,2,J. Fredette makes 2-pt shot from 2 ft (assist by J. Holiday)
3:49.0,E. Bledsoe misses 2-pt shot from 15 ft,,44-46,,
3:48.0,,,44-46,,Defensive rebound by T. Evans
3:40.0,,,44-46,,Shooting foul by G. Green (drawn by O. Asik)
3:40.0,,,44-46,,O. Asik misses free throw 1 of 2
3:40.0,,,44-46,,Offensive rebound by Team
3:40.0,P. Tucker enters the game for G. Green,,44-46,,
3:40.0,M. Morris enters the game for M. Morris,,44-46,,
3:40.0,G. Dragic enters the game for I. Thomas,,44-46,,
3:40.0,,,44-47,1,O. Asik makes free throw 2 of 2
3:26.0,A. Len makes 2-pt shot at rim (assist by E. Bledsoe),2,46-47,,
3:11.0,Violation by P. Tucker (kicked ball),,46-47,,
3:01.0,,,46-47,,A. Davis misses 2-pt shot from 7 ft
2:59.0,Defensive rebound by E. Bledsoe,,46-47,,
2:41.0,M. Morris misses 2-pt shot from 16 ft,,46-47,,
2:40.0,,,46-47,,Defensive rebound by T. Evans
2:36.0,,,46-49,2,A. Davis makes 2-pt shot from 1 ft (assist by T. Evans)
2:36.0,,,46-49,,Shooting foul by P. Tucker (drawn by A. Davis)
2:36.0,Phoenix full timeout,,46-49,,
2:36.0,,,46-49,,R. Anderson enters the game for O. Asik
2:36.0,,,46-50,1,A. Davis makes free throw 1 of 1
2:20.0,Shooting foul by J. Fredette (drawn by E. Bledsoe),,46-50,,
2:20.0,E. Bledsoe makes free throw 1 of 2,1,47-50,,
2:20.0,G. Green enters the game for A. Len,,47-50,,
2:20.0,E. Bledsoe misses free throw 2 of 2,,47-50,,
2:18.0,,,47-50,,Defensive rebound by R. Anderson
1:58.0,,,47-50,,T. Evans misses 2-pt shot from 1 ft
1:57.0,,,47-50,,Offensive rebound by A. Davis
1:53.0,,,47-52,2,J. Holiday makes 2-pt shot from 10 ft (assist by A. Davis)
1:40.0,G. Green misses 3-pt shot from 25 ft,,47-52,,
1:39.0,Offensive rebound by E. Bledsoe,,47-52,,
1:32.0,,,47-52,,Personal foul by J. Holiday (drawn by E. Bledsoe)
1:32.0,,,47-52,,A. Rivers enters the game for J. Fredette
1:18.0,E. Bledsoe makes 2-pt shot from 2 ft,2,49-52,,
1:08.0,,,49-54,2,R. Anderson makes 2-pt shot from 3 ft
0:56.0,P. Tucker makes 3-pt shot from 23 ft (assist by E. Bledsoe),3,52-54,,
0:41.0,,,52-54,,Turnover by J. Holiday (bad pass; steal by E. Bledsoe)
0:40.0,Shooting foul by J. Holiday (drawn by E. Bledsoe),,52-54,,
0:40.0,E. Bledsoe makes free throw 1 of 2,1,53-54,,
0:40.0,,,53-54,,J. Fredette enters the game for J. Holiday
0:40.0,M. Morris enters the game for M. Morris,,53-54,,
