time,Utah,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:44.0,E. Kanter misses 2-pt shot from 2 ft,,0-0,,
12:00.0,Jump ball: D. Favors vs. D. Jordan (E. Kanter gains possession),,,,Jump ball: D. Favors vs. D. Jordan (E. Kanter gains possession)
11:42.0,,,0-0,,Defensive rebound by B. Griffin
11:33.0,,,0-0,,B. Griffin misses 2-pt shot from 17 ft
11:31.0,Defensive rebound by R. Hood,,0-0,,
11:12.0,D. Favors misses 2-pt shot from 6 ft,,0-0,,
11:11.0,,,0-0,,Defensive rebound by D. Jordan
10:53.0,,,0-0,,J. Redick misses 3-pt shot from 24 ft
10:52.0,,,0-0,,Offensive rebound by D. Jordan
10:46.0,,,0-2,2,J. Redick makes 2-pt shot from 19 ft (assist by B. Griffin)
10:24.0,D. Favors makes 2-pt shot from 17 ft (assist by R. Hood),2,2-2,,
10:08.0,,,2-2,,D. Jordan misses 2-pt shot from 1 ft
10:04.0,Defensive rebound by D. Favors,,2-2,,
9:49.0,D. Favors misses 2-pt shot from 14 ft,,2-2,,
9:48.0,,,2-2,,Defensive rebound by D. Jordan
9:34.0,,,2-4,2,C. Paul makes 2-pt shot from 14 ft
9:13.0,D. Favors makes 2-pt shot from 15 ft (assist by T. Burke),2,4-4,,
8:54.0,,,4-4,,J. Redick misses 3-pt shot from 27 ft
8:53.0,Defensive rebound by R. Hood,,4-4,,
8:38.0,G. Hayward makes 2-pt shot from 17 ft,2,6-4,,
8:26.0,,,6-6,2,J. Redick makes 2-pt shot from 21 ft (assist by B. Griffin)
8:12.0,T. Burke misses 2-pt shot from 21 ft,,6-6,,
8:10.0,,,6-6,,Defensive rebound by D. Jordan
7:58.0,,,6-6,,M. Barnes misses 2-pt shot from 1 ft (block by D. Favors)
7:55.0,Defensive rebound by G. Hayward,,6-6,,
7:51.0,R. Hood makes 3-pt shot from 25 ft (assist by G. Hayward),3,9-6,,
7:36.0,,,9-6,,Shooting foul by R. Hood (drawn by J. Redick)
7:36.0,,,9-7,1,J. Redick makes free throw 1 of 2
7:36.0,,,9-8,1,J. Redick makes free throw 2 of 2
7:23.0,Turnover by G. Hayward (bad pass; steal by C. Paul),,9-8,,
7:22.0,,,9-8,,Shooting foul by E. Kanter (drawn by M. Barnes)
7:22.0,,,9-9,1,M. Barnes makes free throw 1 of 2
7:22.0,,,9-10,1,M. Barnes makes free throw 2 of 2
7:02.0,G. Hayward makes 3-pt shot from 23 ft (assist by R. Hood),3,12-10,,
6:47.0,,,12-10,,C. Paul misses 3-pt shot from 24 ft
6:45.0,Defensive rebound by E. Kanter,,12-10,,
6:32.0,E. Kanter misses 2-pt shot from 15 ft,,12-10,,
6:30.0,,,12-10,,Defensive rebound by D. Jordan
6:20.0,,,12-12,2,B. Griffin makes 2-pt shot from 20 ft (assist by C. Paul)
6:02.0,T. Burke makes 2-pt shot from 20 ft (assist by R. Hood),2,14-12,,
5:49.0,,,14-12,,Turnover by B. Griffin (bad pass; steal by T. Burke)
5:42.0,G. Hayward misses 3-pt shot from 24 ft,,14-12,,
5:40.0,,,14-12,,Defensive rebound by D. Jordan
5:39.0,,,14-12,,Turnover by D. Jordan (bad pass; steal by T. Burke)
5:34.0,G. Hayward misses 3-pt shot from 25 ft,,14-12,,
5:32.0,,,14-12,,Defensive rebound by J. Redick
5:29.0,,,14-14,2,B. Griffin makes 2-pt shot from 1 ft (assist by C. Paul)
5:26.0,Utah full timeout,,14-14,,
5:26.0,R. Gobert enters the game for E. Kanter,,14-14,,
5:26.0,D. Exum enters the game for T. Burke,,14-14,,
5:17.0,Turnover by D. Exum (lost ball; steal by C. Paul),,14-14,,
5:08.0,,,14-14,,B. Griffin misses 2-pt shot from 20 ft
5:07.0,Defensive rebound by G. Hayward,,14-14,,
5:02.0,Turnover by R. Hood (traveling),,14-14,,
4:40.0,,,14-14,,J. Redick misses 3-pt shot from 26 ft
4:39.0,Defensive rebound by D. Exum,,14-14,,
4:32.0,G. Hayward makes 2-pt shot at rim (assist by D. Exum),2,16-14,,
4:14.0,,,16-17,3,M. Barnes makes 3-pt shot from 23 ft (assist by B. Griffin)
3:55.0,D. Exum misses 2-pt shot from 2 ft,,16-17,,
3:52.0,Offensive rebound by R. Gobert,,16-17,,
3:52.0,R. Gobert makes 2-pt shot from 1 ft,2,18-17,,
3:44.0,,,18-20,3,C. Paul makes 3-pt shot from 24 ft
3:25.0,D. Favors misses 2-pt shot from 2 ft (block by B. Griffin),,18-20,,
3:23.0,Offensive rebound by R. Gobert,,18-20,,
3:16.0,R. Hood misses 3-pt shot from 26 ft,,18-20,,
3:16.0,,,18-20,,Defensive rebound by Team
3:16.0,Loose ball foul by R. Gobert (drawn by B. Griffin),,18-20,,
3:16.0,,,18-20,,J. Crawford enters the game for J. Redick
3:16.0,J. Ingles enters the game for R. Hood,,18-20,,
3:06.0,,,18-20,,M. Barnes misses 3-pt shot from 25 ft
3:05.0,,,18-20,,Offensive rebound by D. Jordan
2:55.0,,,18-22,2,B. Griffin makes 2-pt shot from 8 ft (assist by C. Paul)
2:45.0,G. Hayward misses 3-pt shot from 26 ft,,18-22,,
2:43.0,,,18-22,,Defensive rebound by J. Crawford
2:31.0,,,18-22,,B. Griffin misses 2-pt shot from 21 ft
2:30.0,Defensive rebound by R. Gobert,,18-22,,
2:19.0,G. Hayward misses 2-pt shot from 12 ft,,18-22,,
2:17.0,,,18-22,,Defensive rebound by D. Jordan
2:09.0,Personal foul by J. Ingles (drawn by D. Jordan),,18-22,,
2:09.0,,,18-22,,LA Clippers full timeout
2:09.0,,,18-22,,S. Hawes enters the game for B. Griffin
2:09.0,T. Booker enters the game for D. Favors,,18-22,,
1:59.0,,,18-22,,S. Hawes misses 2-pt shot from 20 ft
1:58.0,Defensive rebound by R. Gobert,,18-22,,
1:46.0,T. Booker misses 2-pt shot from 14 ft,,18-22,,
1:44.0,,,18-22,,Defensive rebound by D. Jordan
1:22.0,,,18-25,3,J. Crawford makes 3-pt shot from 27 ft (assist by M. Barnes)
0:59.0,Turnover by R. Gobert (3 sec),,18-25,,
0:59.0,,,18-25,,J. Farmar enters the game for C. Paul
0:59.0,,,18-25,,R. Bullock enters the game for M. Barnes
0:47.0,,,18-25,,J. Crawford misses 2-pt shot from 20 ft
0:45.0,,,18-25,,Offensive rebound by D. Jordan
0:43.0,,,18-25,,D. Jordan misses 2-pt shot from 2 ft
0:42.0,Defensive rebound by J. Ingles,,18-25,,
0:23.0,J. Ingles misses 3-pt shot from 25 ft,,18-25,,
0:21.0,Offensive rebound by J. Ingles,,18-25,,
0:06.0,,,18-25,,Personal take foul by R. Bullock (drawn by G. Hayward)
0:01.0,G. Hayward misses 2-pt shot from 10 ft (block by D. Jordan),,18-25,,
0:00.0,,,18-25,,Defensive rebound by R. Bullock
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,18-28,3,J. Crawford makes 3-pt shot from 25 ft
11:24.0,Turnover by R. Hood (step out of bounds),,18-28,,
11:17.0,,,18-28,,Offensive foul by G. Davis
11:17.0,,,18-28,,Turnover by G. Davis (offensive foul)
11:02.0,J. Ingles misses 3-pt shot from 24 ft,,18-28,,
11:00.0,,,18-28,,Defensive rebound by G. Davis
10:56.0,Personal foul by J. Ingles (drawn by S. Hawes),,18-28,,
10:56.0,E. Kanter enters the game for T. Booker,,18-28,,
10:56.0,P. Christopher enters the game for J. Ingles,,18-28,,
10:50.0,,,18-28,,S. Hawes misses 3-pt shot from 26 ft
10:49.0,Defensive rebound by R. Gobert,,18-28,,
10:37.0,Turnover by E. Kanter (traveling),,18-28,,
10:20.0,,,18-28,,G. Davis misses 2-pt shot from 3 ft
10:18.0,Defensive rebound by R. Gobert,,18-28,,
10:04.0,E. Kanter makes 2-pt shot from 2 ft,2,20-28,,
9:50.0,,,20-28,,J. Crawford misses 2-pt shot from 21 ft
9:49.0,Defensive rebound by D. Exum,,20-28,,
9:41.0,Offensive charge foul by R. Hood,,20-28,,
9:41.0,Turnover by R. Hood (offensive foul),,20-28,,
9:41.0,,,20-28,,B. Griffin enters the game for S. Hawes
9:41.0,J. Ingles enters the game for R. Hood,,20-28,,
9:31.0,,,20-28,,Turnover by J. Crawford (bad pass; steal by J. Ingles)
9:27.0,J. Ingles makes 2-pt shot from 1 ft,2,22-28,,
9:08.0,,,22-28,,G. Davis misses 2-pt shot from 1 ft
9:07.0,Defensive rebound by P. Christopher,,22-28,,
9:00.0,D. Exum makes 2-pt shot from 2 ft (assist by J. Ingles),2,24-28,,
8:45.0,,,24-30,2,J. Crawford makes 2-pt shot from 15 ft
8:28.0,E. Kanter misses 2-pt shot from 18 ft,,24-30,,
8:26.0,,,24-30,,Defensive rebound by R. Bullock
8:14.0,,,24-30,,Turnover by B. Griffin (bad pass)
8:14.0,Official timeout,,24-30,,
8:14.0,,,24-30,,J. Redick enters the game for R. Bullock
7:54.0,Turnover by E. Kanter (lost ball; steal by G. Davis),,24-30,,
7:41.0,,,24-30,,J. Crawford misses 3-pt shot from 24 ft
7:40.0,Defensive rebound by J. Ingles,,24-30,,
7:31.0,E. Kanter makes 2-pt shot from 6 ft (assist by J. Ingles),2,26-30,,
7:07.0,,,26-30,,G. Davis misses 2-pt shot from 11 ft
7:06.0,Defensive rebound by P. Christopher,,26-30,,
7:00.0,P. Christopher makes 2-pt shot at rim,2,28-30,,
7:00.0,,,28-30,,LA Clippers full timeout
7:00.0,,,28-30,,C. Paul enters the game for J. Farmar
7:00.0,,,28-30,,D. Jordan enters the game for G. Davis
7:00.0,T. Burke enters the game for R. Gobert,,28-30,,
7:00.0,D. Favors enters the game for D. Exum,,28-30,,
6:47.0,,,28-30,,Turnover by C. Paul (lost ball)
6:33.0,P. Christopher misses 3-pt shot from 26 ft,,28-30,,
6:32.0,,,28-30,,Defensive rebound by C. Paul
6:21.0,,,28-30,,B. Griffin misses 2-pt shot from 18 ft
6:18.0,Defensive rebound by P. Christopher,,28-30,,
6:05.0,J. Ingles misses 3-pt shot from 25 ft,,28-30,,
6:03.0,Offensive rebound by E. Kanter,,28-30,,
5:59.0,E. Kanter misses 2-pt shot from 1 ft,,28-30,,
5:56.0,,,28-30,,Defensive rebound by D. Jordan
5:51.0,,,28-30,,Shooting foul by P. Christopher (drawn by J. Crawford)
5:51.0,,,28-31,1,J. Crawford makes free throw 1 of 2
5:51.0,D. Exum enters the game for J. Ingles,,28-31,,
5:51.0,G. Hayward enters the game for P. Christopher,,28-31,,
5:51.0,R. Gobert enters the game for E. Kanter,,28-31,,
5:51.0,,,28-32,1,J. Crawford makes free throw 2 of 2
5:38.0,D. Favors misses 2-pt shot from 1 ft (block by B. Griffin),,28-32,,
5:38.0,Offensive rebound by D. Favors,,28-32,,
5:38.0,Shooting foul by D. Jordan (drawn by D. Favors),,28-32,,
5:38.0,D. Favors misses free throw 1 of 2,,28-32,,
5:38.0,Offensive rebound by Team,,28-32,,
5:38.0,,,28-32,,M. Barnes enters the game for J. Crawford
5:38.0,D. Favors makes free throw 2 of 2,1,29-32,,
5:17.0,,,29-35,3,M. Barnes makes 3-pt shot from 25 ft (assist by C. Paul)
5:04.0,D. Favors misses 2-pt shot from 2 ft (block by D. Jordan),,29-35,,
5:02.0,,,29-35,,Defensive rebound by D. Jordan
4:48.0,,,29-37,2,C. Paul makes 2-pt shot from 15 ft
