time,New Orleans,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. A. Davis (J. Barea gains possession),,,,Jump ball: T. Chandler vs. A. Davis (J. Barea gains possession)
11:47.0,,,0-0,,M. Ellis misses 2-pt shot from 9 ft
11:45.0,Defensive rebound by O. Asik,,0-0,,
11:45.0,A. Davis makes 2-pt shot from 20 ft (assist by J. Holiday),2,2-0,,
11:15.0,,,2-2,2,M. Ellis makes 2-pt shot from 1 ft
11:15.0,,,2-2,,Violation by M. Ellis (kicked ball)
10:56.0,L. Babbitt misses 3-pt shot from 25 ft,,2-2,,
10:54.0,,,2-2,,Defensive rebound by M. Ellis
10:43.0,,,2-5,3,C. Parsons makes 3-pt shot from 25 ft
10:21.0,A. Davis misses 2-pt shot from 16 ft,,2-5,,
10:20.0,,,2-5,,Defensive rebound by C. Parsons
10:14.0,,,2-7,2,D. Nowitzki makes 2-pt shot from 21 ft (assist by C. Parsons)
9:58.0,J. Holiday makes 2-pt shot from 10 ft,2,4-7,,
9:50.0,,,4-7,,J. Barea misses 2-pt shot from 7 ft
9:48.0,Defensive rebound by O. Asik,,4-7,,
9:31.0,Turnover by J. Holiday (bad pass; steal by M. Ellis),,4-7,,
9:24.0,,,4-7,,D. Nowitzki misses 3-pt shot from 25 ft
9:22.0,Defensive rebound by Team,,4-7,,
9:05.0,J. Holiday misses 2-pt shot from 20 ft,,4-7,,
9:02.0,Offensive rebound by O. Asik,,4-7,,
9:01.0,O. Asik makes 2-pt shot at rim,2,6-7,,
8:51.0,Personal foul by T. Evans (drawn by M. Ellis),,6-7,,
8:35.0,,,6-7,,J. Barea misses 3-pt shot from 24 ft
8:34.0,Defensive rebound by O. Asik,,6-7,,
8:20.0,T. Evans misses 2-pt shot from 4 ft,,6-7,,
8:19.0,,,6-7,,Defensive rebound by Team
8:06.0,,,6-7,,M. Ellis misses 2-pt shot from 17 ft
8:05.0,Defensive rebound by T. Evans,,6-7,,
7:51.0,J. Holiday makes 2-pt shot from 13 ft,2,8-7,,
7:34.0,,,8-7,,J. Barea misses 2-pt shot from 6 ft
7:33.0,Defensive rebound by J. Holiday,,8-7,,
7:14.0,A. Davis misses 2-pt shot from 15 ft,,8-7,,
7:13.0,Offensive rebound by O. Asik,,8-7,,
7:12.0,O. Asik misses 2-pt shot at rim (block by M. Ellis),,8-7,,
7:12.0,Offensive rebound by Team,,8-7,,
7:05.0,Turnover by T. Evans (bad pass; steal by D. Nowitzki),,8-7,,
6:59.0,,,8-7,,J. Barea misses 2-pt shot from 17 ft
6:59.0,Defensive rebound by A. Davis,,8-7,,
6:45.0,L. Babbitt misses 2-pt shot from 11 ft,,8-7,,
6:44.0,,,8-7,,Defensive rebound by J. Barea
6:40.0,,,8-9,2,C. Parsons makes 2-pt shot at rim
6:39.0,New Orleans full timeout,,8-9,,
6:39.0,,,8-9,,A. Aminu enters the game for D. Nowitzki
6:39.0,,,8-9,,D. Harris enters the game for J. Barea
6:27.0,Turnover by O. Asik (traveling),,8-9,,
6:16.0,,,8-9,,T. Chandler misses 2-pt shot from 5 ft
6:15.0,Defensive rebound by O. Asik,,8-9,,
6:11.0,A. Davis misses 2-pt shot at rim,,8-9,,
6:09.0,,,8-9,,Defensive rebound by T. Chandler
6:04.0,,,8-9,,Turnover by M. Ellis (bad pass; steal by J. Holiday)
5:57.0,J. Holiday misses 2-pt shot from 11 ft,,8-9,,
5:57.0,,,8-9,,Defensive rebound by Team
5:57.0,Loose ball foul by O. Asik (drawn by C. Parsons),,8-9,,
5:57.0,Technical foul by O. Asik (drawn by C. Parsons),,8-9,,
5:57.0,,,8-9,,M. Ellis misses technical free throw
5:57.0,,,8-9,,Offensive rebound by Team
5:38.0,,,8-9,,D. Harris misses 3-pt shot from 24 ft
