time,LA Lakers,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Hill vs. J. Thompson (E. Davis gains possession),,,,Jump ball: J. Hill vs. J. Thompson (E. Davis gains possession)
11:42.0,K. Bryant misses 2-pt shot from 19 ft,,0-0,,
11:41.0,,,0-0,,Defensive rebound by J. Thompson
11:28.0,,,0-0,,Turnover by B. McLemore (lost ball)
11:14.0,J. Hill misses 2-pt shot from 18 ft,,0-0,,
11:14.0,,,0-0,,Defensive rebound by J. Thompson
11:04.0,,,0-0,,D. Cousins misses 2-pt shot from 3 ft
11:03.0,Defensive rebound by W. Johnson,,0-0,,
10:55.0,Turnover by K. Bryant (lost ball; steal by D. Cousins),,0-0,,
10:48.0,,,0-0,,R. Gay misses 3-pt shot from 24 ft
10:47.0,Defensive rebound by W. Johnson,,0-0,,
10:35.0,Turnover by K. Bryant (bad pass),,0-0,,
10:12.0,,,0-3,3,D. Collison makes 3-pt shot from 26 ft (assist by D. Cousins)
9:58.0,W. Johnson makes 2-pt shot from 21 ft,2,2-3,,
9:48.0,,,2-5,2,D. Collison makes 2-pt shot from 2 ft
9:26.0,K. Bryant misses 2-pt shot from 16 ft,,2-5,,
9:25.0,,,2-5,,Defensive rebound by J. Thompson
9:15.0,,,2-7,2,J. Thompson makes 2-pt shot at rim (assist by R. Gay)
8:54.0,E. Davis makes 2-pt shot from 6 ft (assist by W. Johnson),2,4-7,,
8:44.0,,,4-7,,Turnover by B. McLemore (bad pass; steal by R. Price)
8:44.0,,,4-7,,Personal foul by J. Thompson (drawn by E. Davis)
8:31.0,R. Price makes 3-pt shot from 24 ft (assist by K. Bryant),3,7-7,,
8:16.0,Personal foul by R. Price (drawn by D. Cousins),,7-7,,
8:10.0,,,7-9,2,D. Cousins makes 2-pt shot from 17 ft (assist by D. Collison)
7:51.0,Turnover by K. Bryant (bad pass; steal by D. Collison),,7-9,,
7:44.0,Violation by J. Hill (kicked ball),,7-9,,
7:35.0,,,7-11,2,D. Cousins makes 2-pt shot from 1 ft
7:22.0,J. Hill misses 2-pt shot from 19 ft,,7-11,,
7:21.0,,,7-11,,Defensive rebound by D. Cousins
7:13.0,,,7-11,,D. Collison misses 2-pt shot from 18 ft
7:12.0,Defensive rebound by W. Johnson,,7-11,,
7:08.0,,,7-11,,Personal foul by D. Cousins (drawn by K. Bryant)
6:57.0,Turnover by E. Davis (lost ball; steal by D. Cousins),,7-11,,
6:49.0,,,7-13,2,D. Cousins makes 2-pt shot from 2 ft
6:32.0,Offensive foul by K. Bryant,,7-13,,
6:32.0,Turnover by K. Bryant (offensive foul),,7-13,,
6:27.0,,,7-13,,B. McLemore misses 2-pt shot from 5 ft
6:26.0,Defensive rebound by J. Hill,,7-13,,
6:14.0,J. Hill misses 2-pt shot from 20 ft,,7-13,,
6:13.0,,,7-13,,Defensive rebound by B. McLemore
6:04.0,,,7-15,2,B. McLemore makes 2-pt shot from 20 ft
5:52.0,J. Hill misses 2-pt shot from 3 ft (block by J. Thompson),,7-15,,
5:50.0,Offensive rebound by E. Davis,,7-15,,
5:50.0,Shooting foul by J. Thompson (drawn by E. Davis),,7-15,,
5:50.0,,,7-15,,Sacramento full timeout
5:50.0,,,7-15,,C. Landry enters the game for J. Thompson
5:50.0,E. Davis makes free throw 1 of 2,1,8-15,,
5:50.0,N. Young enters the game for W. Johnson,,8-15,,
5:50.0,E. Davis makes free throw 2 of 2,1,9-15,,
5:42.0,C. Boozer enters the game for E. Davis,,9-15,,
5:35.0,,,9-15,,Turnover by R. Gay (lost ball; steal by N. Young)
5:23.0,K. Bryant misses 2-pt shot from 19 ft,,9-15,,
5:23.0,,,9-15,,Defensive rebound by R. Gay
5:16.0,,,9-17,2,R. Gay makes 2-pt shot from 12 ft
5:00.0,K. Bryant makes 2-pt shot from 4 ft,2,11-17,,
4:44.0,,,11-17,,R. Gay misses 2-pt shot from 4 ft
4:44.0,Defensive rebound by N. Young,,11-17,,
4:44.0,,,11-17,,Technical foul by R. Gay
4:44.0,K. Bryant makes technical free throw,1,12-17,,
4:32.0,N. Young misses 3-pt shot from 25 ft,,12-17,,
4:32.0,Offensive rebound by R. Price,,12-17,,
4:24.0,C. Boozer misses 2-pt shot from 17 ft,,12-17,,
4:24.0,,,12-17,,Defensive rebound by C. Landry
4:02.0,,,12-20,3,D. Collison makes 3-pt shot from 23 ft (assist by R. Gay)
3:45.0,K. Bryant misses 2-pt shot from 21 ft,,12-20,,
3:45.0,,,12-20,,Defensive rebound by D. Cousins
3:35.0,,,12-22,2,C. Landry makes 2-pt shot at rim (assist by R. Gay)
3:18.0,Shooting foul by C. Landry (drawn by N. Young),,12-22,,
3:18.0,N. Young makes free throw 1 of 2,1,13-22,,
3:18.0,R. Sacre enters the game for R. Price,,13-22,,
3:18.0,J. Lin enters the game for J. Hill,,13-22,,
3:18.0,,,13-22,,R. Evans enters the game for D. Cousins
3:18.0,N. Young makes free throw 2 of 2,1,14-22,,
3:09.0,Personal foul by N. Young (drawn by R. Gay),,14-22,,
2:59.0,,,14-22,,B. McLemore misses 3-pt shot from 24 ft
2:59.0,,,14-22,,Offensive rebound by Team
2:59.0,Loose ball foul by R. Sacre (drawn by R. Evans),,14-22,,
2:59.0,LA Lakers full timeout,,14-22,,
2:49.0,,,14-22,,B. McLemore misses 3-pt shot from 26 ft
2:48.0,,,14-22,,Offensive rebound by R. Evans
2:44.0,,,14-22,,R. Evans misses 3-pt shot from 23 ft
2:42.0,Defensive rebound by C. Boozer,,14-22,,
2:33.0,C. Boozer makes 2-pt shot from 13 ft (assist by N. Young),2,16-22,,
2:06.0,,,16-22,,Offensive charge foul by C. Landry
2:06.0,,,16-22,,Turnover by C. Landry (offensive foul)
1:54.0,Shooting foul by R. Evans (drawn by R. Sacre),,16-22,,
1:54.0,R. Sacre misses free throw 1 of 2,,16-22,,
1:54.0,Offensive rebound by Team,,16-22,,
1:54.0,,,16-22,,R. Hollins enters the game for C. Landry
1:54.0,R. Sacre misses free throw 2 of 2,,16-22,,
1:54.0,,,16-22,,Defensive rebound by R. Gay
1:37.0,,,16-24,2,R. Gay makes 2-pt shot from 21 ft
1:17.0,K. Bryant makes 3-pt shot from 24 ft,3,19-24,,
1:00.0,,,19-24,,D. Collison misses 2-pt shot from 12 ft
0:59.0,Defensive rebound by R. Sacre,,19-24,,
0:51.0,K. Bryant misses 2-pt shot from 14 ft,,19-24,,
0:50.0,Offensive rebound by R. Sacre,,19-24,,
