time,Washington,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. A. Horford (J. Wall gains possession),,,,Jump ball: M. Gortat vs. A. Horford (J. Wall gains possession)
11:39.0,B. Beal misses 2-pt shot from 21 ft,,0-0,,
11:36.0,Offensive rebound by N. Hilario,,0-0,,
11:23.0,M. Gortat makes 2-pt shot from 16 ft (assist by P. Pierce),2,2-0,,
11:10.0,,,2-0,,Turnover by P. Millsap (bad pass)
10:58.0,Turnover by B. Beal (lost ball),,2-0,,
10:45.0,,,2-0,,Turnover by J. Teague (lost ball; steal by M. Gortat)
10:41.0,J. Wall makes 2-pt shot from 1 ft,2,4-0,,
10:27.0,,,4-0,,J. Teague misses 2-pt shot from 18 ft
10:26.0,,,4-0,,Offensive rebound by A. Horford
10:23.0,,,4-0,,D. Carroll misses 3-pt shot from 25 ft
10:22.0,Defensive rebound by M. Gortat,,4-0,,
10:11.0,N. Hilario misses 2-pt shot from 19 ft,,4-0,,
10:09.0,Offensive rebound by M. Gortat,,4-0,,
10:06.0,M. Gortat misses 2-pt shot from 6 ft,,4-0,,
10:05.0,,,4-0,,Defensive rebound by D. Carroll
9:50.0,,,4-3,3,J. Teague makes 3-pt shot from 24 ft (assist by D. Carroll)
9:37.0,Shooting foul by K. Korver (drawn by B. Beal),,4-3,,
9:37.0,B. Beal makes free throw 1 of 2,1,5-3,,
9:37.0,B. Beal makes free throw 2 of 2,1,6-3,,
9:21.0,,,6-5,2,D. Carroll makes 2-pt shot from 1 ft (assist by P. Millsap)
9:08.0,,,6-5,,Violation by A. Horford (kicked ball)
8:55.0,P. Pierce misses 3-pt shot from 24 ft,,6-5,,
8:54.0,,,6-5,,Defensive rebound by P. Millsap
8:40.0,,,6-8,3,D. Carroll makes 3-pt shot from 24 ft (assist by P. Millsap)
8:32.0,N. Hilario misses 2-pt shot from 1 ft (block by A. Horford),,6-8,,
8:31.0,,,6-8,,Defensive rebound by Team
8:15.0,,,6-10,2,P. Millsap makes 2-pt shot from 5 ft (assist by D. Carroll)
8:05.0,M. Gortat misses 2-pt shot from 10 ft (block by A. Horford),,6-10,,
8:03.0,,,6-10,,Defensive rebound by P. Millsap
7:54.0,,,6-10,,D. Carroll misses 2-pt shot from 5 ft
7:53.0,Defensive rebound by P. Pierce,,6-10,,
7:47.0,J. Wall makes 2-pt shot from 1 ft,2,8-10,,
7:42.0,Personal foul by B. Beal (drawn by J. Teague),,8-10,,
7:28.0,,,8-12,2,A. Horford makes 2-pt shot from 18 ft (assist by D. Carroll)
7:10.0,N. Hilario misses 2-pt shot at rim (block by A. Horford),,8-12,,
7:07.0,,,8-12,,Defensive rebound by A. Horford
7:02.0,,,8-12,,P. Millsap misses 2-pt shot from 4 ft
7:00.0,,,8-12,,Offensive rebound by D. Carroll
6:59.0,,,8-14,2,D. Carroll makes 2-pt shot at rim
6:34.0,B. Beal makes 2-pt shot from 22 ft (assist by M. Gortat),2,10-14,,
6:18.0,,,10-14,,J. Teague misses 2-pt shot from 10 ft
6:17.0,Defensive rebound by M. Gortat,,10-14,,
6:10.0,Turnover by M. Gortat (lost ball),,10-14,,
6:05.0,,,10-14,,Turnover by J. Teague (bad pass; steal by M. Gortat)
6:00.0,Turnover by B. Beal (lost ball; steal by K. Korver),,10-14,,
5:50.0,,,10-16,2,J. Teague makes 2-pt shot from 16 ft
5:28.0,M. Gortat makes 2-pt shot from 12 ft (assist by B. Beal),2,12-16,,
5:22.0,,,12-16,,Atlanta full timeout
5:22.0,,,12-16,,P. Antic enters the game for A. Horford
5:22.0,,,12-16,,K. Bazemore enters the game for K. Korver
5:22.0,O. Porter enters the game for P. Pierce,,12-16,,
5:14.0,,,12-16,,Shooting foul by N. Hilario (drawn by P. Antic)
5:14.0,,,12-17,1,P. Antic makes free throw 1 of 2
5:14.0,,,12-18,1,P. Antic makes free throw 2 of 2
4:57.0,O. Porter misses 2-pt shot from 20 ft,,12-18,,
4:55.0,,,12-18,,Defensive rebound by K. Bazemore
