time,Houston,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Howard vs. D. Jordan (C. Paul gains possession),,,,Jump ball: D. Howard vs. D. Jordan (C. Paul gains possession)
11:39.0,,,0-0,,C. Paul misses 3-pt shot from 27 ft
11:38.0,Defensive rebound by D. Howard,,0-0,,
11:27.0,T. Jones makes 2-pt shot from 22 ft (assist by D. Howard),2,2-0,,
11:17.0,,,2-0,,B. Griffin misses 2-pt shot from 2 ft (block by D. Howard)
11:17.0,,,2-0,,Offensive rebound by B. Griffin
11:17.0,,,2-0,,Shooting foul by D. Howard (drawn by B. Griffin)
11:17.0,,,2-0,,B. Griffin misses free throw 1 of 2
11:17.0,,,2-0,,Offensive rebound by Team
11:17.0,,,2-1,1,B. Griffin makes free throw 2 of 2
11:04.0,J. Terry misses 3-pt shot from 26 ft,,2-1,,
11:03.0,,,2-1,,Defensive rebound by M. Barnes
10:57.0,,,2-4,3,J. Redick makes 3-pt shot from 26 ft (assist by B. Griffin)
10:32.0,D. Howard makes 2-pt shot from 5 ft (assist by J. Harden),2,4-4,,
10:24.0,,,4-4,,C. Paul misses 2-pt shot from 13 ft
10:23.0,Defensive rebound by D. Howard,,4-4,,
10:14.0,J. Terry misses 3-pt shot from 25 ft,,4-4,,
10:12.0,Offensive rebound by D. Howard,,4-4,,
10:12.0,D. Howard makes 2-pt shot from 2 ft,2,6-4,,
9:56.0,,,6-4,,M. Barnes misses 3-pt shot from 26 ft
9:55.0,,,6-4,,Offensive rebound by B. Griffin
9:49.0,,,6-4,,J. Redick misses 2-pt shot from 21 ft
9:48.0,,,6-4,,Offensive rebound by B. Griffin
9:35.0,,,6-6,2,B. Griffin makes 2-pt shot at rim (assist by C. Paul)
9:21.0,T. Jones makes 2-pt shot from 5 ft (assist by J. Harden),2,8-6,,
8:59.0,,,8-8,2,B. Griffin makes 2-pt shot at rim (assist by C. Paul)
8:43.0,D. Howard makes 2-pt shot from 4 ft (assist by J. Terry),2,10-8,,
8:43.0,Shooting foul by B. Griffin (drawn by D. Howard),,10-8,,
8:43.0,D. Howard makes free throw 1 of 1,1,11-8,,
8:32.0,,,11-11,3,J. Redick makes 3-pt shot from 26 ft (assist by C. Paul)
8:19.0,T. Jones misses 2-pt shot from 3 ft,,11-11,,
8:18.0,,,11-11,,Defensive rebound by D. Jordan
8:14.0,Personal foul by J. Harden (drawn by B. Griffin),,11-11,,
