time,New Orleans,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. A. Davis (S. Ibaka gains possession),,,,Jump ball: S. Adams vs. A. Davis (S. Ibaka gains possession)
11:47.0,,,0-0,,P. Jones misses 2-pt shot from 6 ft
11:47.0,Defensive rebound by A. Davis,,0-0,,
11:27.0,O. Asik makes 2-pt shot at rim (assist by J. Holiday),2,2-0,,
11:14.0,,,2-2,2,R. Westbrook makes 2-pt shot from 14 ft
11:03.0,Shooting foul by S. Ibaka (drawn by A. Davis),,2-2,,
11:03.0,A. Davis misses free throw 1 of 2,,2-2,,
11:03.0,Offensive rebound by Team,,2-2,,
11:03.0,A. Davis makes free throw 2 of 2,1,3-2,,
10:51.0,,,3-2,,Shooting foul by O. Asik (drawn by S. Adams)
10:51.0,,,3-3,1,S. Adams makes free throw 1 of 2
10:51.0,,,3-3,,S. Adams misses free throw 2 of 2
10:51.0,,,3-3,,Offensive rebound by A. Roberson
10:42.0,,,3-5,2,S. Adams makes 2-pt shot at rim (assist by R. Westbrook)
10:26.0,J. Holiday misses 2-pt shot from 1 ft,,3-5,,
10:25.0,Offensive rebound by O. Asik,,3-5,,
10:24.0,O. Asik misses 2-pt shot from 1 ft (block by A. Roberson),,3-5,,
10:22.0,,,3-5,,Defensive rebound by A. Roberson
10:22.0,Personal foul by J. Holiday (drawn by A. Roberson),,3-5,,
10:11.0,,,3-5,,Turnover by A. Roberson (traveling)
9:57.0,A. Davis makes 2-pt shot from 16 ft (assist by T. Evans),2,5-5,,
9:42.0,,,5-5,,Shooting foul by A. Davis (drawn by S. Ibaka)
9:42.0,,,5-6,1,S. Ibaka makes free throw 1 of 2
9:42.0,,,5-7,1,S. Ibaka makes free throw 2 of 2
9:26.0,J. Holiday misses 3-pt shot from 22 ft,,5-7,,
9:25.0,,,5-7,,Defensive rebound by S. Ibaka
9:15.0,,,5-7,,S. Ibaka misses 3-pt shot from 24 ft
9:14.0,Defensive rebound by A. Davis,,5-7,,
9:02.0,J. Holiday misses 2-pt shot from 6 ft,,5-7,,
9:01.0,Offensive rebound by O. Asik,,5-7,,
8:57.0,L. Babbitt makes 3-pt shot from 25 ft (assist by O. Asik),3,8-7,,
8:41.0,,,8-9,2,P. Jones makes 2-pt shot from 4 ft (assist by R. Westbrook)
8:28.0,A. Davis misses 2-pt shot from 15 ft,,8-9,,
8:27.0,,,8-9,,Defensive rebound by S. Adams
8:17.0,Violation by O. Asik (kicked ball),,8-9,,
8:11.0,,,8-9,,S. Ibaka misses 2-pt shot from 1 ft
8:09.0,,,8-9,,Offensive rebound by S. Adams
7:59.0,,,8-11,2,R. Westbrook makes 2-pt shot from 4 ft
7:46.0,A. Davis makes 2-pt shot from 9 ft (assist by J. Holiday),2,10-11,,
7:34.0,,,10-13,2,A. Roberson makes 2-pt shot from 1 ft (assist by S. Adams)
7:23.0,,,10-13,,Personal foul by R. Westbrook (drawn by J. Holiday)
7:13.0,L. Babbitt misses 2-pt shot from 10 ft (block by P. Jones),,10-13,,
7:11.0,Offensive rebound by O. Asik,,10-13,,
7:10.0,O. Asik misses 2-pt shot from 3 ft (block by S. Adams),,10-13,,
7:08.0,Offensive rebound by O. Asik,,10-13,,
7:07.0,A. Davis misses 2-pt shot from 18 ft,,10-13,,
7:05.0,,,10-13,,Defensive rebound by S. Ibaka
6:57.0,,,10-15,2,S. Adams makes 2-pt shot from 6 ft (assist by R. Westbrook)
6:40.0,A. Davis makes 2-pt shot from 18 ft (assist by J. Holiday),2,12-15,,
6:16.0,,,12-15,,Turnover by S. Adams (lost ball; steal by J. Holiday)
6:11.0,A. Davis makes 2-pt shot at rim (assist by J. Holiday),2,14-15,,
6:11.0,Shooting foul by A. Roberson (drawn by A. Davis),,14-15,,
6:11.0,A. Davis makes free throw 1 of 1,1,15-15,,
6:00.0,,,15-15,,R. Westbrook misses 3-pt shot from 24 ft
6:00.0,Defensive rebound by A. Davis,,15-15,,
5:52.0,A. Davis makes 2-pt shot at rim (assist by T. Evans),2,17-15,,
5:50.0,,,17-15,,Oklahoma City full timeout
5:50.0,,,17-15,,A. Morrow enters the game for P. Jones
5:39.0,,,17-15,,Turnover by S. Ibaka (lost ball; steal by J. Holiday)
5:33.0,L. Babbitt misses 2-pt shot at rim,,17-15,,
5:32.0,Offensive rebound by A. Davis,,17-15,,
5:32.0,A. Davis misses 2-pt shot at rim,,17-15,,
5:31.0,,,17-15,,Defensive rebound by A. Roberson
5:25.0,,,17-15,,Turnover by A. Roberson (lost ball)
5:09.0,O. Asik misses 2-pt shot from 4 ft,,17-15,,
5:08.0,,,17-15,,Defensive rebound by S. Adams
5:02.0,,,17-15,,A. Morrow misses 3-pt shot from 22 ft
5:01.0,Defensive rebound by A. Davis,,17-15,,
4:44.0,T. Evans misses 2-pt shot from 2 ft,,17-15,,
4:43.0,Offensive rebound by A. Davis,,17-15,,
4:30.0,T. Evans misses 2-pt shot from 2 ft,,17-15,,
4:29.0,,,17-15,,Defensive rebound by S. Adams
4:25.0,,,17-17,2,R. Westbrook makes 2-pt shot at rim
4:09.0,Turnover by J. Holiday (bad pass; steal by S. Adams),,17-17,,
4:03.0,,,17-19,2,A. Roberson makes 2-pt shot at rim (assist by R. Westbrook)
3:37.0,L. Babbitt misses 2-pt shot from 17 ft,,17-19,,
3:36.0,,,17-19,,Defensive rebound by S. Ibaka
3:16.0,,,17-19,,R. Westbrook misses 3-pt shot from 24 ft
3:15.0,Defensive rebound by O. Asik,,17-19,,
2:59.0,Turnover by A. Davis (lost ball; steal by R. Westbrook),,17-19,,
2:55.0,,,17-21,2,R. Westbrook makes 2-pt shot at rim
2:55.0,,,17-21,,Shooting foul by T. Evans (drawn by R. Westbrook)
2:55.0,New Orleans full timeout,,17-21,,
2:55.0,D. Cunningham enters the game for L. Babbitt,,17-21,,
2:55.0,R. Anderson enters the game for O. Asik,,17-21,,
2:55.0,A. Rivers enters the game for T. Evans,,17-21,,
2:55.0,,,17-21,,N. Collison enters the game for S. Adams
2:55.0,,,17-21,,R. Jackson enters the game for A. Roberson
2:55.0,,,17-22,1,R. Westbrook makes free throw 1 of 1
2:37.0,J. Holiday makes 3-pt shot from 24 ft,3,20-22,,
2:21.0,,,20-24,2,N. Collison makes 2-pt shot from 1 ft (assist by R. Westbrook)
2:09.0,,,20-24,,J. Lamb enters the game for R. Westbrook
2:07.0,R. Anderson misses 2-pt shot from 3 ft (block by N. Collison),,20-24,,
2:06.0,,,20-24,,Defensive rebound by A. Morrow
1:56.0,,,20-24,,Turnover by R. Jackson (bad pass; steal by A. Rivers)
1:40.0,R. Anderson misses 3-pt shot from 25 ft,,20-24,,
1:39.0,,,20-24,,Defensive rebound by R. Jackson
1:24.0,,,20-24,,S. Ibaka misses 2-pt shot from 3 ft (block by A. Davis)
1:23.0,Defensive rebound by A. Davis,,20-24,,
1:23.0,,,20-24,,Personal foul by S. Ibaka (drawn by A. Davis)
1:23.0,,,20-24,,Technical foul by S. Ibaka (drawn by A. Davis)
1:23.0,A. Davis makes technical free throw,1,21-24,,
1:23.0,,,21-24,,K. Perkins enters the game for S. Ibaka
1:23.0,A. Ajinca enters the game for A. Davis,,21-24,,
1:23.0,J. Salmons enters the game for J. Holiday,,21-24,,
1:08.0,R. Anderson misses 3-pt shot from 25 ft,,21-24,,
1:07.0,,,21-24,,Defensive rebound by K. Perkins
0:59.0,,,21-26,2,A. Morrow makes 2-pt shot from 18 ft (assist by R. Jackson)
0:48.0,A. Ajinca makes 2-pt shot from 4 ft,2,23-26,,
0:34.0,,,23-26,,K. Perkins misses 2-pt shot from 4 ft
0:33.0,Defensive rebound by A. Ajinca,,23-26,,
0:12.0,A. Rivers makes 2-pt shot from 14 ft,2,25-26,,
0:02.0,,,25-28,2,R. Jackson makes 2-pt shot from 11 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,A. Ajinca makes 2-pt shot at rim (assist by A. Rivers),2,27-28,,
11:27.0,,,27-28,,J. Lamb misses 3-pt shot from 24 ft
11:27.0,Defensive rebound by A. Ajinca,,27-28,,
11:08.0,A. Ajinca misses 2-pt shot from 11 ft,,27-28,,
11:07.0,,,27-28,,Defensive rebound by N. Collison
