time,Philadelphia,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:45.0,,,0-0,,C. Lee misses 2-pt shot from 6 ft
12:00.0,Jump ball: M. Gasol vs. N. Noel (M. Conley gains possession),,,,Jump ball: M. Gasol vs. N. Noel (M. Conley gains possession)
11:44.0,Defensive rebound by M. Carter-Williams,,0-0,,
11:32.0,L. Mbah a Moute misses 3-pt shot from 23 ft,,0-0,,
11:31.0,,,0-0,,Defensive rebound by M. Conley
11:17.0,,,0-0,,Z. Randolph misses 2-pt shot from 9 ft
11:14.0,,,0-0,,Offensive rebound by Z. Randolph
11:04.0,,,0-3,3,M. Conley makes 3-pt shot from 25 ft (assist by M. Gasol)
10:40.0,M. Carter-Williams makes 3-pt shot from 26 ft (assist by K. McDaniels),3,3-3,,
10:25.0,,,3-3,,Shooting foul by N. Noel (drawn by M. Gasol)
10:25.0,,,3-3,,M. Gasol misses free throw 1 of 2
10:25.0,,,3-3,,Offensive rebound by Team
10:25.0,,,3-4,1,M. Gasol makes free throw 2 of 2
10:15.0,Turnover by M. Carter-Williams (lost ball),,3-4,,
10:02.0,,,3-4,,J. Green misses 2-pt shot at rim
9:58.0,Defensive rebound by L. Mbah a Moute,,3-4,,
9:55.0,Shooting foul by M. Conley (drawn by N. Noel),,3-4,,
9:55.0,N. Noel makes free throw 1 of 2,1,4-4,,
9:55.0,N. Noel misses free throw 2 of 2,,4-4,,
9:54.0,,,4-4,,Defensive rebound by M. Gasol
9:33.0,,,4-4,,Z. Randolph misses 2-pt shot from 6 ft (block by N. Noel)
9:31.0,Defensive rebound by R. Covington,,4-4,,
9:18.0,L. Mbah a Moute misses 2-pt shot from 19 ft,,4-4,,
9:16.0,,,4-4,,Defensive rebound by M. Gasol
9:11.0,,,4-4,,M. Conley misses 2-pt shot from 3 ft (block by K. McDaniels)
9:08.0,Defensive rebound by K. McDaniels,,4-4,,
9:04.0,K. McDaniels misses 2-pt shot from 15 ft,,4-4,,
9:02.0,Offensive rebound by N. Noel,,4-4,,
9:02.0,N. Noel makes 2-pt shot at rim,2,6-4,,
