time,Atlanta,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. J. Valanciunas (K. Lowry gains possession),,,,Jump ball: A. Horford vs. J. Valanciunas (K. Lowry gains possession)
11:44.0,,,0-0,,D. DeRozan misses 2-pt shot from 20 ft
11:43.0,,,0-0,,Offensive rebound by J. Valanciunas
11:41.0,,,0-0,,J. Valanciunas misses 2-pt shot from 2 ft
11:40.0,Defensive rebound by J. Teague,,0-0,,
11:26.0,A. Horford makes 2-pt shot from 17 ft (assist by P. Millsap),2,2-0,,
11:04.0,,,2-0,,Turnover by J. Valanciunas (bad pass; steal by J. Teague)
11:00.0,J. Teague makes 2-pt shot at rim,2,4-0,,
10:34.0,,,4-3,3,A. Johnson makes 3-pt shot from 26 ft (assist by D. DeRozan)
10:21.0,Offensive foul by K. Korver,,4-3,,
10:21.0,Turnover by K. Korver (offensive foul),,4-3,,
10:04.0,,,4-3,,T. Ross misses 2-pt shot from 17 ft
10:03.0,Defensive rebound by J. Teague,,4-3,,
9:53.0,Turnover by K. Korver (lost ball; steal by D. DeRozan),,4-3,,
9:45.0,,,4-3,,K. Lowry misses 2-pt shot from 6 ft
9:44.0,Defensive rebound by P. Millsap,,4-3,,
9:35.0,A. Horford makes 2-pt shot from 3 ft (assist by J. Teague),2,6-3,,
9:20.0,,,6-5,2,D. DeRozan makes 2-pt shot from 18 ft (assist by K. Lowry)
9:04.0,,,6-5,,Personal foul by D. DeRozan (drawn by D. Carroll)
8:58.0,Turnover by K. Korver (traveling),,6-5,,
8:53.0,,,6-5,,Offensive foul by A. Johnson
8:53.0,,,6-5,,Turnover by A. Johnson (offensive foul)
8:42.0,J. Teague misses 2-pt shot from 14 ft,,6-5,,
8:41.0,,,6-5,,Defensive rebound by D. DeRozan
8:30.0,,,6-7,2,D. DeRozan makes 2-pt shot from 18 ft
8:24.0,P. Millsap makes 2-pt shot from 2 ft (assist by J. Teague),2,8-7,,
8:11.0,,,8-9,2,D. DeRozan makes 2-pt shot at rim
7:58.0,A. Horford makes 2-pt shot from 21 ft (assist by K. Korver),2,10-9,,
7:38.0,,,10-9,,T. Ross misses 2-pt shot from 15 ft (block by A. Horford)
7:36.0,,,10-9,,Offensive rebound by T. Ross
7:32.0,,,10-9,,T. Ross misses 2-pt shot from 21 ft
7:32.0,,,10-9,,Offensive rebound by Team
7:32.0,,,10-9,,Turnover by Team (shot clock)
7:18.0,K. Korver makes 3-pt shot from 22 ft (assist by J. Teague),3,13-9,,
6:58.0,Personal foul by D. Carroll (drawn by A. Johnson),,13-9,,
6:52.0,,,13-11,2,A. Johnson makes 2-pt shot from 5 ft
6:35.0,D. Carroll makes 2-pt shot from 2 ft (assist by K. Korver),2,15-11,,
6:23.0,,,15-11,,T. Ross misses 2-pt shot from 10 ft (block by J. Teague)
6:22.0,,,15-11,,Offensive rebound by Team
6:09.0,,,15-11,,A. Johnson misses 2-pt shot from 21 ft
6:08.0,,,15-11,,Offensive rebound by J. Valanciunas
6:05.0,,,15-11,,J. Valanciunas misses 2-pt shot from 2 ft
6:04.0,Defensive rebound by D. Carroll,,15-11,,
5:49.0,Turnover by P. Millsap (bad pass; steal by K. Lowry),,15-11,,
5:34.0,,,15-11,,T. Ross misses 3-pt shot from 22 ft
5:34.0,Defensive rebound by J. Teague,,15-11,,
5:25.0,K. Korver misses 3-pt shot from 24 ft,,15-11,,
5:24.0,,,15-11,,Defensive rebound by K. Lowry
5:18.0,,,15-11,,K. Lowry misses 3-pt shot from 26 ft
5:18.0,Defensive rebound by A. Horford,,15-11,,
5:13.0,Atlanta full timeout,,15-11,,
5:13.0,P. Antic enters the game for A. Horford,,15-11,,
5:13.0,T. Sefolosha enters the game for K. Korver,,15-11,,
4:56.0,D. Carroll misses 2-pt shot from 15 ft,,15-11,,
4:55.0,,,15-11,,Defensive rebound by A. Johnson
4:49.0,,,15-11,,K. Lowry misses 3-pt shot from 24 ft
4:48.0,Defensive rebound by P. Millsap,,15-11,,
4:34.0,T. Sefolosha misses 3-pt shot from 26 ft,,15-11,,
4:33.0,,,15-11,,Defensive rebound by A. Johnson
4:29.0,Personal foul by J. Teague (drawn by K. Lowry),,15-11,,
4:19.0,,,15-11,,Turnover by A. Johnson (lost ball; steal by P. Millsap)
4:14.0,D. Carroll misses 2-pt shot from 1 ft,,15-11,,
4:13.0,Offensive rebound by P. Millsap,,15-11,,
4:10.0,P. Millsap makes 2-pt shot from 1 ft,2,17-11,,
3:51.0,,,17-11,,Shooting foul by P. Antic (drawn by K. Lowry)
3:51.0,,,17-11,,K. Lowry misses free throw 1 of 2
3:51.0,,,17-11,,Offensive rebound by Team
3:51.0,,,17-11,,L. Williams enters the game for T. Ross
3:51.0,D. Schroder enters the game for J. Teague,,17-11,,
3:51.0,,,17-11,,P. Patterson enters the game for J. Valanciunas
3:51.0,,,17-12,1,K. Lowry makes free throw 2 of 2
3:34.0,P. Millsap misses 2-pt shot from 4 ft,,17-12,,
3:33.0,,,17-12,,Defensive rebound by Team
3:10.0,,,17-14,2,K. Lowry makes 2-pt shot from 3 ft
2:48.0,P. Millsap makes 3-pt shot from 26 ft (assist by D. Schroder),3,20-14,,
2:24.0,,,20-14,,Turnover by A. Johnson (3 sec)
2:24.0,,,20-14,,Toronto full timeout
2:24.0,,,20-14,,T. Hansbrough enters the game for A. Johnson
2:24.0,K. Korver enters the game for D. Carroll,,20-14,,
2:02.0,D. Schroder makes 2-pt shot from 2 ft,2,22-14,,
1:42.0,,,22-14,,D. DeRozan misses 2-pt shot from 3 ft (block by P. Millsap)
1:42.0,,,22-14,,Offensive rebound by Team
1:42.0,,,22-14,,G. Vasquez enters the game for K. Lowry
1:42.0,,,22-14,,Toronto full timeout
1:40.0,,,22-14,,Turnover by T. Hansbrough (traveling)
1:31.0,Turnover by K. Korver (bad pass; steal by T. Hansbrough),,22-14,,
1:14.0,,,22-14,,G. Vasquez misses 2-pt shot from 6 ft
1:12.0,,,22-14,,Offensive rebound by P. Patterson
1:12.0,,,22-14,,Shooting foul by T. Sefolosha (drawn by P. Patterson)
1:12.0,,,22-15,1,P. Patterson makes free throw 1 of 2
1:12.0,,,22-15,,J. Johnson enters the game for D. DeRozan
1:12.0,,,22-16,1,P. Patterson makes free throw 2 of 2
0:51.0,Offensive foul by P. Antic,,22-16,,
