time,Denver,pts.away,score,pts.home,Utah
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: E. Kanter vs. T. Mozgov (T. Lawson gains possession),,,,Jump ball: E. Kanter vs. T. Mozgov (T. Lawson gains possession)
11:52.0,K. Faried makes 2-pt shot at rim (assist by T. Lawson),2,2-0,,
11:35.0,,,2-0,,A. Burks misses 2-pt shot from 18 ft
11:34.0,Defensive rebound by T. Mozgov,,2-0,,
11:22.0,Shooting foul by T. Booker (drawn by K. Faried),,2-0,,
11:22.0,K. Faried makes free throw 1 of 2,1,3-0,,
11:22.0,K. Faried misses free throw 2 of 2,,3-0,,
11:20.0,,,3-0,,Defensive rebound by E. Kanter
11:06.0,,,3-0,,E. Kanter misses 2-pt shot from 2 ft
11:04.0,Defensive rebound by T. Mozgov,,3-0,,
10:55.0,T. Lawson misses 2-pt shot from 20 ft,,3-0,,
10:53.0,,,3-0,,Defensive rebound by A. Burks
10:48.0,,,3-0,,Turnover by G. Hayward (bad pass; steal by T. Lawson)
10:44.0,Turnover by T. Lawson (traveling),,3-0,,
10:19.0,,,3-0,,A. Burks misses 2-pt shot from 13 ft
10:18.0,,,3-0,,Offensive rebound by T. Booker
10:05.0,,,3-2,2,A. Burks makes 2-pt shot from 1 ft (assist by E. Kanter)
9:41.0,A. Afflalo misses 3-pt shot from 24 ft,,3-2,,
9:39.0,,,3-2,,Defensive rebound by T. Booker
9:23.0,,,3-4,2,A. Burks makes 2-pt shot from 2 ft
9:01.0,W. Chandler misses 3-pt shot from 24 ft,,3-4,,
8:59.0,,,3-4,,Defensive rebound by T. Booker
8:46.0,,,3-4,,G. Hayward misses 3-pt shot from 24 ft
8:45.0,Defensive rebound by K. Faried,,3-4,,
8:34.0,K. Faried misses 2-pt shot from 3 ft,,3-4,,
8:33.0,Offensive rebound by K. Faried,,3-4,,
8:25.0,K. Faried makes 2-pt shot from 3 ft (assist by T. Lawson),2,5-4,,
8:13.0,,,5-4,,Shooting foul by W. Chandler (drawn by G. Hayward)
8:13.0,,,5-5,1,G. Hayward makes free throw 1 of 2
8:13.0,,,5-6,1,G. Hayward makes free throw 2 of 2
8:05.0,T. Lawson makes 2-pt shot from 2 ft,2,7-6,,
7:49.0,,,7-9,3,T. Burke makes 3-pt shot from 24 ft (assist by A. Burks)
7:33.0,Turnover by T. Lawson (bad pass; steal by T. Booker),,7-9,,
7:28.0,,,7-11,2,G. Hayward makes 2-pt shot at rim (assist by T. Booker)
7:04.0,W. Chandler makes 2-pt shot from 4 ft (assist by T. Mozgov),2,9-11,,
6:50.0,,,9-11,,E. Kanter misses 2-pt shot from 19 ft
6:50.0,Defensive rebound by Team,,9-11,,
6:37.0,K. Faried misses 2-pt shot from 11 ft,,9-11,,
6:36.0,,,9-11,,Defensive rebound by E. Kanter
6:27.0,,,9-13,2,E. Kanter makes 2-pt shot from 1 ft (assist by A. Burks)
6:21.0,Denver full timeout,,9-13,,
6:10.0,Turnover by T. Mozgov (lost ball),,9-13,,
6:02.0,,,9-13,,Turnover by G. Hayward (bad pass; steal by T. Lawson)
5:59.0,T. Lawson makes 2-pt shot from 1 ft,2,11-13,,
5:43.0,,,11-15,2,E. Kanter makes 2-pt shot from 18 ft (assist by T. Burke)
5:24.0,,,11-15,,Personal foul by A. Burks (drawn by A. Afflalo)
5:19.0,W. Chandler misses 2-pt shot from 2 ft,,11-15,,
5:18.0,Offensive rebound by T. Mozgov,,11-15,,
5:18.0,T. Mozgov makes 2-pt shot at rim,2,13-15,,
5:14.0,,,13-15,,Turnover by E. Kanter (inbound)
5:08.0,Shooting foul by T. Burke (drawn by T. Lawson),,13-15,,
5:08.0,T. Lawson misses free throw 1 of 2,,13-15,,
5:08.0,Offensive rebound by Team,,13-15,,
5:08.0,,,13-15,,J. Ingles enters the game for G. Hayward
5:08.0,J. Hickson enters the game for K. Faried,,13-15,,
5:08.0,T. Lawson makes free throw 2 of 2,1,14-15,,
4:52.0,,,14-17,2,E. Kanter makes 2-pt shot at rim
4:35.0,T. Mozgov makes 2-pt shot at rim (assist by T. Lawson),2,16-17,,
4:16.0,,,16-19,2,E. Kanter makes 2-pt shot from 1 ft
4:03.0,T. Lawson makes 2-pt shot from 16 ft,2,18-19,,
3:41.0,,,18-21,2,E. Kanter makes 2-pt shot from 16 ft (assist by J. Ingles)
3:22.0,W. Chandler misses 2-pt shot from 1 ft,,18-21,,
3:20.0,Offensive rebound by W. Chandler,,18-21,,
3:20.0,W. Chandler makes 2-pt shot from 2 ft,2,20-21,,
3:15.0,,,20-21,,Utah full timeout
3:15.0,K. Faried enters the game for T. Mozgov,,20-21,,
3:15.0,,,20-21,,S. Novak enters the game for T. Booker
3:15.0,,,20-21,,R. Gobert enters the game for E. Kanter
3:15.0,,,20-21,,D. Exum enters the game for T. Burke
2:59.0,,,20-21,,Turnover by S. Novak (lost ball)
2:48.0,T. Lawson misses 2-pt shot from 2 ft (block by R. Gobert),,20-21,,
2:48.0,Offensive rebound by Team,,20-21,,
2:48.0,D. Arthur enters the game for K. Faried,,20-21,,
2:37.0,A. Afflalo misses 2-pt shot at rim,,20-21,,
2:34.0,Offensive rebound by J. Hickson,,20-21,,
2:34.0,J. Hickson makes 2-pt shot from 1 ft,2,22-21,,
2:25.0,Personal foul by W. Chandler (drawn by J. Ingles),,22-21,,
2:25.0,D. Gallinari enters the game for W. Chandler,,22-21,,
2:16.0,,,22-21,,A. Burks misses 3-pt shot from 24 ft
2:14.0,Defensive rebound by Team,,22-21,,
