time,Oklahoma City,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. S. Ibaka,,,,Jump ball: P. Gasol vs. S. Ibaka
11:52.0,S. Ibaka makes 2-pt shot from 18 ft (assist by A. Roberson),2,2-0,,
11:38.0,,,2-0,,P. Gasol misses 2-pt shot from 22 ft
11:37.0,Defensive rebound by A. Roberson,,2-0,,
11:27.0,S. Ibaka makes 2-pt shot from 21 ft (assist by R. Westbrook),2,4-0,,
11:08.0,Violation by S. Ibaka (kicked ball),,4-0,,
11:00.0,,,4-2,2,M. Dunleavy makes 2-pt shot from 7 ft (assist by T. Snell)
10:44.0,E. Kanter misses 2-pt shot from 18 ft,,4-2,,
10:43.0,,,4-2,,Defensive rebound by J. Noah
10:32.0,,,4-4,2,T. Snell makes 2-pt shot from 1 ft (assist by J. Noah)
10:13.0,R. Westbrook misses 2-pt shot from 17 ft,,4-4,,
10:12.0,,,4-4,,Defensive rebound by A. Brooks
10:05.0,,,4-4,,Shooting foul by A. Roberson (drawn by A. Brooks)
10:05.0,,,4-5,1,A. Brooks makes free throw 1 of 2
10:05.0,,,4-6,1,A. Brooks makes free throw 2 of 2
9:54.0,S. Ibaka misses 2-pt shot from 21 ft,,4-6,,
9:53.0,,,4-6,,Defensive rebound by P. Gasol
9:42.0,,,4-8,2,P. Gasol makes 2-pt shot from 15 ft (assist by A. Brooks)
9:23.0,K. Singler misses 2-pt shot from 13 ft,,4-8,,
9:22.0,,,4-8,,Defensive rebound by P. Gasol
9:14.0,,,4-8,,Turnover by T. Snell (lost ball; steal by K. Singler)
9:10.0,A. Roberson makes 2-pt shot at rim (assist by R. Westbrook),2,6-8,,
8:53.0,,,6-8,,Turnover by M. Dunleavy (bad pass; steal by R. Westbrook)
8:53.0,Turnover by R. Westbrook (step out of bounds),,6-8,,
8:38.0,,,6-8,,P. Gasol misses 2-pt shot from 7 ft
8:36.0,,,6-8,,Offensive rebound by J. Noah
8:34.0,,,6-8,,J. Noah misses 2-pt shot from 2 ft (block by S. Ibaka)
8:33.0,,,6-8,,Offensive rebound by J. Noah
8:30.0,,,6-8,,Turnover by M. Dunleavy (back court)
8:16.0,S. Ibaka misses 2-pt shot from 20 ft,,6-8,,
8:15.0,,,6-8,,Defensive rebound by M. Dunleavy
8:06.0,,,6-8,,M. Dunleavy misses 2-pt shot from 17 ft
8:06.0,,,6-8,,Offensive rebound by Team
8:06.0,Loose ball foul by S. Ibaka (drawn by J. Noah),,6-8,,
8:00.0,,,6-8,,Turnover by A. Brooks (lost ball; steal by E. Kanter)
