time,Atlanta,pts.away,score,pts.home,Charlotte
1:35.0,,,21-17,,G. Neal misses free throw 1 of 2
1:35.0,,,21-17,,Offensive rebound by Team
1:35.0,,,21-18,1,G. Neal makes free throw 2 of 2
1:24.0,,,21-18,,Personal foul by B. Roberts (drawn by D. Schroder)
1:24.0,D. Schroder makes free throw 1 of 2,1,22-18,,
1:24.0,D. Schroder makes free throw 2 of 2,1,23-18,,
1:12.0,,,23-20,2,G. Neal makes 2-pt shot from 17 ft (assist by B. Roberts)
1:04.0,Shooting foul by J. Maxiell (drawn by T. Sefolosha),,23-20,,
1:04.0,T. Sefolosha misses free throw 1 of 2,,23-20,,
1:04.0,Offensive rebound by Team,,23-20,,
1:04.0,T. Sefolosha makes free throw 2 of 2,1,24-20,,
0:50.0,,,24-20,,Turnover by P. Hairston (bad pass; steal by D. Schroder)
0:46.0,K. Korver makes 3-pt shot from 25 ft (assist by D. Schroder),3,27-20,,
0:31.0,,,27-22,2,G. Neal makes 2-pt shot from 8 ft
0:09.0,,,27-22,,Violation by J. Maxiell (def goaltending)
0:09.0,D. Schroder makes 2-pt shot from 1 ft,2,29-22,,
0:00.0,,,29-22,,B. Roberts misses 2-pt shot from 20 ft
0:00.0,,,29-22,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,K. Korver misses 3-pt shot from 23 ft,,29-22,,
11:39.0,,,29-22,,Defensive rebound by L. Stephenson
11:32.0,,,29-22,,Turnover by L. Stephenson (lost ball; steal by A. Horford)
11:24.0,T. Sefolosha misses 3-pt shot from 23 ft,,29-22,,
11:23.0,,,29-22,,Defensive rebound by L. Stephenson
11:08.0,,,29-24,2,J. Maxiell makes 2-pt shot from 5 ft (assist by C. Zeller)
10:54.0,T. Sefolosha misses 2-pt shot from 3 ft,,29-24,,
10:53.0,,,29-24,,Defensive rebound by C. Zeller
10:44.0,Personal foul by T. Sefolosha (drawn by G. Neal),,29-24,,
10:44.0,D. Carroll enters the game for T. Sefolosha,,29-24,,
10:31.0,,,29-26,2,C. Zeller makes 2-pt shot from 18 ft (assist by G. Neal)
10:09.0,M. Scott misses 3-pt shot from 25 ft,,29-26,,
10:07.0,,,29-26,,Defensive rebound by J. Maxiell
10:00.0,,,29-26,,Turnover by C. Zeller (offensive foul)
10:00.0,,,29-26,,Offensive foul by C. Zeller
9:45.0,Offensive foul by M. Scott,,29-26,,
9:45.0,Turnover by M. Scott (offensive foul),,29-26,,
