time,Milwaukee,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. J. Henson (J. Bayless gains possession),,,,Jump ball: P. Gasol vs. J. Henson (J. Bayless gains possession)
11:38.0,G. Antetokounmpo makes 2-pt shot from 20 ft (assist by J. Henson),2,2-0,,
11:23.0,,,2-2,2,P. Gasol makes 2-pt shot from 18 ft (assist by D. Rose)
11:12.0,,,2-2,,Personal foul by D. Rose (drawn by G. Antetokounmpo)
11:04.0,G. Antetokounmpo makes 2-pt shot from 20 ft,2,4-2,,
10:41.0,,,4-2,,Turnover by J. Noah (bad pass; steal by K. Middleton)
10:33.0,E. Ilyasova misses 2-pt shot from 19 ft,,4-2,,
10:31.0,,,4-2,,Defensive rebound by M. Dunleavy
10:17.0,,,4-2,,M. Dunleavy misses 3-pt shot from 26 ft
10:16.0,Defensive rebound by J. Bayless,,4-2,,
10:05.0,E. Ilyasova misses 3-pt shot from 24 ft,,4-2,,
10:04.0,,,4-2,,Defensive rebound by D. Rose
9:57.0,,,4-2,,Turnover by J. Noah (bad pass; steal by E. Ilyasova)
9:40.0,G. Antetokounmpo misses 2-pt shot from 20 ft,,4-2,,
9:38.0,,,4-2,,Defensive rebound by P. Gasol
9:33.0,,,4-2,,D. Rose misses 2-pt shot from 2 ft (block by G. Antetokounmpo)
9:31.0,Defensive rebound by E. Ilyasova,,4-2,,
9:22.0,K. Middleton misses 2-pt shot from 16 ft,,4-2,,
9:21.0,,,4-2,,Defensive rebound by J. Butler
9:13.0,Personal foul by K. Middleton (drawn by P. Gasol),,4-2,,
9:05.0,,,4-2,,P. Gasol misses 3-pt shot from 22 ft
9:04.0,Defensive rebound by J. Bayless,,4-2,,
8:52.0,J. Henson makes 2-pt shot from 2 ft (assist by E. Ilyasova),2,6-2,,
8:34.0,,,6-5,3,D. Rose makes 3-pt shot from 25 ft (assist by M. Dunleavy)
8:19.0,J. Henson misses 2-pt shot from 8 ft,,6-5,,
8:18.0,,,6-5,,Defensive rebound by J. Noah
8:06.0,,,6-7,2,P. Gasol makes 2-pt shot from 16 ft (assist by M. Dunleavy)
7:43.0,E. Ilyasova misses 2-pt shot from 19 ft (block by J. Butler),,6-7,,
7:42.0,,,6-7,,Defensive rebound by J. Noah
7:37.0,,,6-7,,Turnover by D. Rose (bad pass)
7:22.0,J. Bayless misses 2-pt shot from 22 ft,,6-7,,
7:21.0,,,6-7,,Defensive rebound by J. Butler
7:15.0,,,6-7,,D. Rose misses 3-pt shot from 24 ft
7:14.0,,,6-7,,Offensive rebound by D. Rose
7:13.0,,,6-7,,Shooting foul by G. Antetokounmpo (drawn by D. Rose)
7:13.0,,,6-8,1,D. Rose makes free throw 1 of 2
7:13.0,,,6-9,1,D. Rose makes free throw 2 of 2
6:51.0,K. Middleton makes 2-pt shot from 19 ft (assist by J. Bayless),2,8-9,,
6:37.0,,,8-11,2,M. Dunleavy makes 2-pt shot from 2 ft
6:16.0,K. Middleton makes 2-pt shot from 19 ft,2,10-11,,
6:05.0,,,10-11,,J. Butler misses 2-pt shot from 2 ft
6:04.0,Defensive rebound by K. Middleton,,10-11,,
