time,Philadelphia,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Len vs. N. Noel (M. Carter-Williams gains possession),,,,Jump ball: A. Len vs. N. Noel (M. Carter-Williams gains possession)
11:40.0,Shooting foul by M. Morris (drawn by L. Mbah a Moute),,0-0,,
11:40.0,L. Mbah a Moute makes free throw 1 of 2,1,1-0,,
11:40.0,L. Mbah a Moute misses free throw 2 of 2,,1-0,,
11:39.0,Offensive rebound by R. Covington,,1-0,,
11:34.0,R. Covington misses 3-pt shot from 24 ft,,1-0,,
11:33.0,Offensive rebound by L. Mbah a Moute,,1-0,,
11:31.0,L. Mbah a Moute makes 2-pt shot at rim,2,3-0,,
11:08.0,,,3-0,,E. Bledsoe misses 3-pt shot from 23 ft
11:07.0,Defensive rebound by L. Mbah a Moute,,3-0,,
10:52.0,Turnover by R. Covington (traveling),,3-0,,
10:35.0,,,3-0,,M. Morris misses 2-pt shot from 11 ft
10:34.0,Defensive rebound by N. Noel,,3-0,,
10:23.0,N. Noel misses 2-pt shot from 2 ft (block by A. Len),,3-0,,
10:22.0,,,3-0,,Defensive rebound by A. Len
10:15.0,,,3-3,3,M. Morris makes 3-pt shot from 25 ft (assist by E. Bledsoe)
10:00.0,L. Mbah a Moute makes 2-pt shot from 1 ft (assist by M. Carter-Williams),2,5-3,,
9:45.0,,,5-3,,P. Tucker misses 3-pt shot from 24 ft
9:44.0,,,5-3,,Offensive rebound by A. Len
9:39.0,,,5-3,,G. Dragic misses 3-pt shot from 25 ft
9:38.0,Defensive rebound by L. Mbah a Moute,,5-3,,
9:31.0,M. Carter-Williams misses 2-pt shot from 17 ft,,5-3,,
9:30.0,,,5-3,,Defensive rebound by A. Len
9:17.0,,,5-5,2,E. Bledsoe makes 2-pt shot from 14 ft
9:04.0,M. Carter-Williams misses 2-pt shot from 1 ft (block by M. Morris),,5-5,,
9:02.0,Offensive rebound by L. Mbah a Moute,,5-5,,
8:58.0,N. Noel misses 2-pt shot from 1 ft (block by A. Len),,5-5,,
8:57.0,Offensive rebound by Team,,5-5,,
8:46.0,M. Carter-Williams makes 2-pt shot from 6 ft,2,7-5,,
8:35.0,,,7-5,,Turnover by M. Morris (lost ball; steal by R. Covington)
8:30.0,L. Mbah a Moute makes 2-pt shot at rim,2,9-5,,
8:18.0,,,9-5,,Turnover by A. Len (bad pass)
8:03.0,,,9-5,,Personal foul by E. Bledsoe (drawn by M. Carter-Williams)
7:51.0,L. Mbah a Moute misses 2-pt shot at rim (block by A. Len),,9-5,,
7:49.0,Offensive rebound by N. Noel,,9-5,,
7:48.0,N. Noel misses 2-pt shot from 7 ft,,9-5,,
7:48.0,Offensive rebound by N. Noel,,9-5,,
7:48.0,Shooting foul by A. Len (drawn by N. Noel),,9-5,,
7:48.0,L. Mbah a Moute misses free throw 1 of 2,,9-5,,
7:48.0,Offensive rebound by Team,,9-5,,
7:48.0,L. Mbah a Moute makes free throw 2 of 2,1,10-5,,
7:30.0,,,10-5,,Shooting foul by R. Covington (drawn by P. Tucker)
7:30.0,,,10-6,1,P. Tucker makes free throw 1 of 2
7:30.0,,,10-7,1,P. Tucker makes free throw 2 of 2
7:13.0,M. Carter-Williams misses 2-pt shot from 2 ft (block by G. Dragic),,10-7,,
7:11.0,,,10-7,,Defensive rebound by G. Dragic
7:03.0,,,10-9,2,M. Morris makes 2-pt shot at rim
6:48.0,R. Covington makes 3-pt shot from 25 ft (assist by M. Carter-Williams),3,13-9,,
6:35.0,,,13-12,3,M. Morris makes 3-pt shot from 24 ft (assist by E. Bledsoe)
6:18.0,M. Carter-Williams misses 2-pt shot from 19 ft,,13-12,,
6:17.0,,,13-12,,Defensive rebound by M. Morris
6:02.0,,,13-12,,Turnover by G. Dragic (bad pass; steal by R. Covington)
5:54.0,,,13-12,,Violation by A. Len (def goaltending)
5:54.0,M. Carter-Williams makes 2-pt shot from 1 ft,2,15-12,,
5:44.0,,,15-14,2,G. Dragic makes 2-pt shot at rim
5:44.0,,,15-14,,Shooting foul by N. Noel (drawn by G. Dragic)
5:44.0,,,15-14,,Phoenix full timeout
5:44.0,,,15-15,1,G. Dragic makes free throw 1 of 1
5:28.0,Turnover by M. Carter-Williams (bad pass),,15-15,,
5:16.0,,,15-15,,Shooting foul by M. Carter-Williams (drawn by E. Bledsoe)
5:16.0,,,15-16,1,E. Bledsoe makes free throw 1 of 2
5:16.0,T. Wroten enters the game for K. McDaniels,,15-16,,
5:16.0,H. Sims enters the game for N. Noel,,15-16,,
5:16.0,,,15-17,1,E. Bledsoe makes free throw 2 of 2
5:02.0,Shooting foul by A. Len (drawn by H. Sims),,15-17,,
5:02.0,H. Sims makes free throw 1 of 2,1,16-17,,
5:02.0,,,16-17,,M. Plumlee enters the game for A. Len
5:02.0,H. Sims makes free throw 2 of 2,1,17-17,,
4:38.0,,,17-20,3,E. Bledsoe makes 3-pt shot from 24 ft (assist by M. Morris)
4:19.0,M. Carter-Williams misses 3-pt shot from 25 ft,,17-20,,
4:18.0,,,17-20,,Defensive rebound by E. Bledsoe
4:10.0,,,17-20,,M. Morris misses 3-pt shot from 24 ft
4:09.0,Defensive rebound by R. Covington,,17-20,,
3:53.0,L. Mbah a Moute makes 2-pt shot from 1 ft,2,19-20,,
3:44.0,,,19-20,,I. Thomas enters the game for G. Dragic
3:44.0,,,19-20,,M. Morris enters the game for M. Morris
3:44.0,J. Grant enters the game for L. Mbah a Moute,,19-20,,
3:36.0,,,19-20,,E. Bledsoe misses 2-pt shot from 16 ft
3:35.0,,,19-20,,Offensive rebound by M. Morris
3:31.0,,,19-20,,M. Morris misses 2-pt shot from 1 ft
3:30.0,,,19-20,,Offensive rebound by M. Morris
3:28.0,,,19-20,,M. Morris misses 2-pt shot from 2 ft
3:27.0,Defensive rebound by M. Carter-Williams,,19-20,,
3:10.0,M. Carter-Williams misses 3-pt shot from 24 ft,,19-20,,
3:09.0,,,19-20,,Defensive rebound by M. Plumlee
3:01.0,,,19-23,3,M. Morris makes 3-pt shot from 24 ft (assist by I. Thomas)
2:58.0,Philadelphia full timeout,,19-23,,
2:45.0,H. Sims makes 2-pt shot from 17 ft (assist by J. Grant),2,21-23,,
2:22.0,,,21-26,3,E. Bledsoe makes 3-pt shot from 24 ft
2:07.0,M. Carter-Williams makes 2-pt shot from 15 ft,2,23-26,,
1:43.0,,,23-28,2,P. Tucker makes 2-pt shot from 12 ft (assist by E. Bledsoe)
1:25.0,,,23-28,,Shooting block foul by M. Morris (drawn by H. Sims)
1:25.0,H. Sims makes free throw 1 of 2,1,24-28,,
1:25.0,,,24-28,,T. Warren enters the game for P. Tucker
1:25.0,,,24-28,,G. Green enters the game for E. Bledsoe
1:25.0,K. McDaniels enters the game for R. Covington,,24-28,,
