time,San Antonio,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: G. Dieng vs. T. Duncan (T. Parker gains possession),,,,Jump ball: G. Dieng vs. T. Duncan (T. Parker gains possession)
11:42.0,B. Diaw makes 2-pt shot from 10 ft (assist by T. Duncan),2,2-0,,
11:27.0,,,2-0,,S. Muhammad misses 2-pt shot from 13 ft
11:26.0,,,2-0,,Offensive rebound by G. Dieng
11:16.0,,,2-0,,S. Muhammad misses 2-pt shot from 20 ft
11:15.0,Defensive rebound by T. Duncan,,2-0,,
11:08.0,Turnover by T. Duncan (bad pass),,2-0,,
10:55.0,,,2-2,2,M. Williams makes 2-pt shot from 18 ft
10:43.0,,,2-2,,Personal foul by M. Williams (drawn by T. Parker)
10:41.0,Turnover by K. Leonard (bad pass; steal by C. Brewer),,2-2,,
10:38.0,,,2-4,2,C. Brewer makes 2-pt shot at rim
10:23.0,T. Parker misses 2-pt shot from 13 ft,,2-4,,
10:22.0,,,2-4,,Defensive rebound by S. Muhammad
10:16.0,,,2-6,2,M. Williams makes 2-pt shot from 23 ft
10:02.0,B. Diaw makes 2-pt shot from 5 ft,2,4-6,,
9:49.0,,,4-6,,C. Brewer misses 2-pt shot from 3 ft (block by D. Green)
9:48.0,Defensive rebound by T. Duncan,,4-6,,
9:41.0,T. Parker makes 2-pt shot from 1 ft,2,6-6,,
9:26.0,,,6-6,,Turnover by M. Williams (bad pass; steal by K. Leonard)
9:19.0,K. Leonard makes 2-pt shot from 21 ft,2,8-6,,
9:03.0,,,8-6,,M. Williams misses 2-pt shot from 11 ft
9:02.0,Defensive rebound by B. Diaw,,8-6,,
8:48.0,T. Parker misses 2-pt shot at rim,,8-6,,
8:47.0,,,8-6,,Defensive rebound by G. Dieng
8:42.0,Jump ball: C. Brewer vs. T. Duncan,,,,Jump ball: C. Brewer vs. T. Duncan
8:29.0,,,8-6,,A. Wiggins misses 3-pt shot from 24 ft
8:28.0,Defensive rebound by B. Diaw,,8-6,,
