time,Dallas,pts.away,score,pts.home,San Antonio
8:02.0,Offensive rebound by M. Ellis,,4-4,,
7:54.0,D. Nowitzki makes 2-pt shot from 15 ft (assist by M. Ellis),2,6-4,,
7:26.0,,,6-7,3,T. Parker makes 3-pt shot from 24 ft (assist by M. Belinelli)
7:11.0,J. Nelson misses 2-pt shot from 6 ft,,6-7,,
7:10.0,,,6-7,,Defensive rebound by T. Parker
7:04.0,,,6-7,,Turnover by T. Duncan (lost ball)
6:53.0,Offensive foul by T. Chandler,,6-7,,
6:53.0,Turnover by T. Chandler (offensive foul),,6-7,,
6:31.0,,,6-7,,Turnover by T. Duncan (bad pass; steal by C. Parsons)
6:23.0,T. Chandler misses 2-pt shot from 6 ft (block by T. Duncan),,6-7,,
6:22.0,Offensive rebound by Team,,6-7,,
6:22.0,,,6-7,,M. Ginobili enters the game for D. Green
6:22.0,G. Smith enters the game for T. Chandler,,6-7,,
6:22.0,,,6-7,,B. Diaw enters the game for M. Bonner
6:12.0,J. Nelson makes 3-pt shot from 24 ft,3,9-7,,
5:53.0,,,9-7,,Shooting foul by G. Smith (drawn by T. Duncan)
5:53.0,,,9-7,,San Antonio full timeout
5:53.0,D. Harris enters the game for D. Nowitzki,,9-7,,
5:53.0,T. Chandler enters the game for G. Smith,,9-7,,
5:53.0,,,9-8,1,T. Duncan makes free throw 1 of 2
5:53.0,,,9-9,1,T. Duncan makes free throw 2 of 2
5:38.0,,,9-9,,Personal foul by M. Ginobili (drawn by T. Chandler)
5:28.0,M. Ellis misses 2-pt shot from 20 ft,,9-9,,
5:27.0,Offensive rebound by T. Chandler,,9-9,,
5:22.0,M. Ellis makes 2-pt shot from 18 ft (assist by D. Harris),2,11-9,,
5:00.0,,,11-9,,M. Belinelli misses 3-pt shot from 25 ft
4:59.0,,,11-9,,Offensive rebound by T. Duncan
4:54.0,,,11-9,,M. Ginobili misses 3-pt shot from 25 ft
4:53.0,Defensive rebound by T. Chandler,,11-9,,
4:49.0,Turnover by C. Parsons (lost ball; steal by M. Ginobili),,11-9,,
4:30.0,,,11-9,,Turnover by M. Ginobili (bad pass; steal by C. Parsons)
4:13.0,M. Ellis misses 2-pt shot from 20 ft,,11-9,,
4:10.0,,,11-9,,Defensive rebound by B. Diaw
4:03.0,,,11-9,,T. Parker misses 2-pt shot from 3 ft
4:01.0,,,11-9,,Offensive rebound by T. Duncan
3:54.0,,,11-12,3,T. Parker makes 3-pt shot from 23 ft (assist by M. Ginobili)
3:35.0,T. Chandler makes 2-pt shot from 16 ft (assist by J. Nelson),2,13-12,,
3:20.0,,,13-14,2,M. Ginobili makes 2-pt shot from 1 ft (assist by B. Diaw)
3:09.0,Dallas full timeout,,13-14,,
3:09.0,B. Wright enters the game for T. Chandler,,13-14,,
3:09.0,,,13-14,,A. Baynes enters the game for T. Duncan
3:00.0,C. Parsons misses 2-pt shot at rim (block by A. Baynes),,13-14,,
2:58.0,,,13-14,,Defensive rebound by B. Diaw
2:51.0,,,13-17,3,M. Belinelli makes 3-pt shot from 23 ft (assist by T. Parker)
2:37.0,J. Nelson makes 3-pt shot from 24 ft,3,16-17,,
2:20.0,,,16-19,2,A. Baynes makes 2-pt shot from 2 ft (assist by T. Parker)
2:09.0,D. Harris makes 2-pt shot from 16 ft,2,18-19,,
1:57.0,Personal foul by C. Parsons (drawn by B. Diaw),,18-19,,
1:57.0,D. Nowitzki enters the game for C. Parsons,,18-19,,
1:57.0,A. Aminu enters the game for M. Ellis,,18-19,,
1:57.0,J. Crowder enters the game for J. Nelson,,18-19,,
1:57.0,,,18-19,,C. Joseph enters the game for T. Parker
1:57.0,,,18-19,,D. Green enters the game for M. Belinelli
1:47.0,,,18-21,2,B. Diaw makes 2-pt shot from 3 ft (assist by M. Ginobili)
1:31.0,B. Wright makes 2-pt shot at rim (assist by D. Harris),2,20-21,,
1:12.0,,,20-21,,Turnover by B. Diaw (lost ball; steal by D. Nowitzki)
1:09.0,Turnover by J. Crowder (bad pass; steal by M. Ginobili),,20-21,,
1:07.0,,,20-21,,Shooting foul by B. Wright (drawn by M. Ginobili)
1:07.0,,,20-22,1,M. Ginobili makes free throw 1 of 2
1:07.0,,,20-23,1,M. Ginobili makes free throw 2 of 2
0:48.0,D. Nowitzki makes 2-pt shot from 10 ft,2,22-23,,
0:30.0,,,22-26,3,D. Green makes 3-pt shot from 25 ft (assist by M. Ginobili)
0:11.0,D. Harris misses 3-pt shot from 27 ft,,22-26,,
0:10.0,Offensive rebound by A. Aminu,,22-26,,
0:01.0,D. Nowitzki makes 2-pt shot from 18 ft (assist by D. Harris),2,24-26,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,A. Aminu misses 3-pt shot from 24 ft,,24-26,,
11:41.0,,,24-26,,Defensive rebound by A. Baynes
11:30.0,,,24-26,,A. Baynes misses 2-pt shot at rim
11:26.0,Defensive rebound by A. Aminu,,24-26,,
11:08.0,D. Harris makes 2-pt shot from 19 ft,2,26-26,,
10:47.0,Personal foul by D. Nowitzki (drawn by A. Baynes),,26-26,,
10:43.0,,,26-26,,Offensive foul by A. Baynes
10:43.0,,,26-26,,Turnover by A. Baynes (offensive foul)
10:25.0,A. Aminu misses 3-pt shot from 23 ft,,26-26,,
10:24.0,,,26-26,,Defensive rebound by D. Green
10:08.0,,,26-28,2,A. Baynes makes 2-pt shot from 5 ft (assist by B. Diaw)
9:57.0,J. Crowder makes 2-pt shot from 11 ft,2,28-28,,
9:41.0,,,28-28,,B. Diaw misses 2-pt shot from 5 ft
9:40.0,Defensive rebound by B. Wright,,28-28,,
9:32.0,J. Crowder makes 2-pt shot from 5 ft,2,30-28,,
9:32.0,,,30-28,,Shooting block foul by M. Ginobili (drawn by J. Crowder)
9:32.0,,,30-28,,M. Belinelli enters the game for M. Ginobili
9:32.0,J. Crowder makes free throw 1 of 1,1,31-28,,
9:18.0,,,31-30,2,D. Green makes 2-pt shot from 16 ft (assist by C. Joseph)
9:05.0,Offensive charge foul by A. Aminu,,31-30,,
9:05.0,Turnover by A. Aminu (offensive foul),,31-30,,
8:50.0,,,31-32,2,M. Belinelli makes 2-pt shot from 4 ft
8:36.0,D. Harris misses 2-pt shot from 15 ft,,31-32,,
8:35.0,,,31-32,,Defensive rebound by B. Diaw
8:28.0,,,31-32,,Turnover by B. Diaw (lost ball)
8:28.0,Official timeout,,31-32,,
8:28.0,,,31-32,,M. Bonner enters the game for B. Diaw
8:28.0,,,31-32,,T. Parker enters the game for C. Joseph
8:28.0,J. Nelson enters the game for D. Harris,,31-32,,
8:28.0,R. Jefferson enters the game for A. Aminu,,31-32,,
8:28.0,M. Ellis enters the game for J. Crowder,,31-32,,
8:13.0,J. Nelson makes 3-pt shot from 24 ft (assist by M. Ellis),3,34-32,,
7:55.0,,,34-32,,T. Parker misses 2-pt shot from 1 ft (block by B. Wright)
7:53.0,Defensive rebound by B. Wright,,34-32,,
7:44.0,R. Jefferson makes 3-pt shot from 23 ft (assist by M. Ellis),3,37-32,,
7:27.0,,,37-32,,D. Green misses 3-pt shot from 24 ft
7:27.0,Defensive rebound by Team,,37-32,,
7:27.0,C. Parsons enters the game for D. Nowitzki,,37-32,,
7:27.0,T. Chandler enters the game for B. Wright,,37-32,,
7:14.0,M. Ellis misses 2-pt shot from 9 ft,,37-32,,
7:13.0,,,37-32,,Defensive rebound by A. Baynes
7:08.0,,,37-34,2,T. Parker makes 2-pt shot from 6 ft
7:08.0,Shooting block foul by R. Jefferson (drawn by T. Parker),,37-34,,
7:08.0,,,37-34,,T. Duncan enters the game for A. Baynes
7:08.0,,,37-34,,T. Parker misses free throw 1 of 1
7:08.0,Defensive rebound by T. Chandler,,37-34,,
6:46.0,M. Ellis makes 2-pt shot from 16 ft,2,39-34,,
6:28.0,,,39-34,,Shooting foul by T. Chandler (drawn by T. Duncan)
6:28.0,,,39-35,1,T. Duncan makes free throw 1 of 2
6:28.0,,,39-36,1,T. Duncan makes free throw 2 of 2
6:13.0,R. Jefferson misses 2-pt shot from 15 ft,,39-36,,
6:12.0,Offensive rebound by T. Chandler,,39-36,,
6:10.0,T. Chandler misses 2-pt shot from 4 ft,,39-36,,
6:10.0,Offensive rebound by Team,,39-36,,
6:10.0,,,39-36,,Loose ball foul by D. Green (drawn by T. Chandler)
5:50.0,T. Chandler makes 2-pt shot from 3 ft (assist by R. Jefferson),2,41-36,,
5:34.0,,,41-36,,D. Green misses 3-pt shot from 25 ft
5:33.0,Defensive rebound by T. Chandler,,41-36,,
5:25.0,M. Ellis misses 2-pt shot from 2 ft,,41-36,,
5:24.0,,,41-36,,Defensive rebound by T. Duncan
5:12.0,,,41-38,2,T. Parker makes 2-pt shot from 15 ft
5:12.0,Dallas full timeout,,41-38,,
5:12.0,,,41-38,,M. Ginobili enters the game for M. Belinelli
5:12.0,,,41-38,,B. Diaw enters the game for M. Bonner
5:12.0,B. Wright enters the game for T. Chandler,,41-38,,
4:57.0,C. Parsons misses 2-pt shot from 8 ft,,41-38,,
4:56.0,,,41-38,,Defensive rebound by T. Duncan
4:46.0,,,41-38,,T. Parker misses 2-pt shot from 18 ft
4:45.0,,,41-38,,Offensive rebound by D. Green
4:23.0,,,41-38,,Turnover by D. Green (bad pass; steal by M. Ellis)
4:22.0,,,41-38,,Personal foul by T. Parker (drawn by M. Ellis)
4:06.0,B. Wright makes 2-pt shot from 3 ft (assist by M. Ellis),2,43-38,,
3:46.0,,,43-38,,M. Ginobili misses 3-pt shot from 24 ft
3:45.0,,,43-38,,Offensive rebound by T. Duncan
3:36.0,,,43-38,,T. Duncan misses 2-pt shot from 3 ft (block by C. Parsons)
3:34.0,Defensive rebound by C. Parsons,,43-38,,
3:32.0,Shooting foul by D. Green (drawn by R. Jefferson),,43-38,,
3:32.0,R. Jefferson makes free throw 1 of 2,1,44-38,,
3:32.0,,,44-38,,C. Joseph enters the game for D. Green
3:32.0,R. Jefferson makes free throw 2 of 2,1,45-38,,
3:13.0,,,45-40,2,T. Duncan makes 2-pt shot from 5 ft
3:03.0,M. Ellis makes 2-pt shot from 18 ft,2,47-40,,
2:47.0,Violation by R. Jefferson (kicked ball),,47-40,,
2:47.0,,,47-40,,San Antonio full timeout
2:47.0,D. Nowitzki enters the game for B. Wright,,47-40,,
2:47.0,T. Chandler enters the game for R. Jefferson,,47-40,,
2:47.0,D. Harris enters the game for J. Nelson,,47-40,,
2:38.0,,,47-42,2,M. Ginobili makes 2-pt shot from 6 ft
2:20.0,M. Ellis makes 2-pt shot from 3 ft,2,49-42,,
2:00.0,,,49-45,3,C. Joseph makes 3-pt shot from 22 ft (assist by B. Diaw)
1:33.0,M. Ellis makes 3-pt shot from 22 ft (assist by D. Nowitzki),3,52-45,,
1:10.0,,,52-45,,M. Ginobili misses 2-pt shot from 1 ft
1:09.0,,,52-45,,Offensive rebound by T. Duncan
1:09.0,Loose ball foul by T. Chandler (drawn by T. Duncan),,52-45,,
1:09.0,B. Wright enters the game for T. Chandler,,52-45,,
1:04.0,,,52-45,,M. Ginobili misses 2-pt shot from 4 ft
1:03.0,Defensive rebound by D. Nowitzki,,52-45,,
0:59.0,,,52-45,,Personal foul by M. Ginobili (drawn by M. Ellis)
0:59.0,M. Ellis makes free throw 1 of 2,1,53-45,,
0:59.0,,,53-45,,M. Belinelli enters the game for M. Ginobili
0:59.0,M. Ellis misses free throw 2 of 2,,53-45,,
0:59.0,Offensive rebound by B. Wright,,53-45,,
0:37.0,D. Harris misses 3-pt shot from 28 ft,,53-45,,
0:34.0,,,53-45,,Defensive rebound by B. Diaw
0:14.0,,,53-45,,M. Belinelli misses 3-pt shot from 25 ft
0:12.0,Defensive rebound by D. Nowitzki,,53-45,,
0:00.0,C. Parsons misses 2-pt shot from 21 ft,,53-45,,
0:00.0,Offensive rebound by Team,,53-45,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,M. Ellis misses 2-pt shot from 20 ft,,53-45,,
11:43.0,Offensive rebound by D. Nowitzki,,53-45,,
11:39.0,M. Ellis makes 2-pt shot at rim (assist by D. Nowitzki),2,55-45,,
11:21.0,,,55-45,,M. Belinelli misses 3-pt shot from 26 ft
11:20.0,Defensive rebound by T. Chandler,,55-45,,
11:10.0,C. Parsons misses 3-pt shot from 22 ft,,55-45,,
11:09.0,,,55-45,,Defensive rebound by T. Parker
11:00.0,,,55-47,2,T. Parker makes 2-pt shot from 7 ft
11:00.0,,,55-47,,Shooting foul by D. Nowitzki (drawn by T. Parker)
11:00.0,,,55-48,1,T. Parker makes free throw 1 of 1
10:43.0,T. Chandler makes 2-pt shot at rim (assist by M. Ellis),2,57-48,,
10:19.0,,,57-48,,M. Bonner misses 2-pt shot from 4 ft
10:17.0,,,57-48,,Offensive rebound by T. Parker
10:10.0,,,57-48,,Turnover by T. Duncan (traveling)
9:52.0,D. Nowitzki misses 2-pt shot from 20 ft,,57-48,,
9:52.0,,,57-48,,Defensive rebound by T. Duncan
9:35.0,,,57-51,3,M. Belinelli makes 3-pt shot from 24 ft (assist by D. Green)
9:20.0,Dallas full timeout,,57-51,,
9:15.0,Turnover by M. Ellis (bad pass; steal by T. Duncan),,57-51,,
9:06.0,,,57-54,3,D. Green makes 3-pt shot from 25 ft (assist by M. Belinelli)
8:57.0,,,57-54,,Personal foul by M. Bonner (drawn by D. Nowitzki)
8:49.0,M. Ellis misses 2-pt shot from 1 ft,,57-54,,
8:48.0,,,57-54,,Defensive rebound by T. Duncan
8:43.0,Personal foul by J. Nelson (drawn by T. Parker),,57-54,,
8:31.0,,,57-54,,T. Parker misses 2-pt shot from 19 ft
8:30.0,,,57-54,,Offensive rebound by Team
8:30.0,Loose ball foul by T. Chandler (drawn by T. Duncan),,57-54,,
8:30.0,Technical foul by T. Chandler (drawn by T. Duncan),,57-54,,
8:30.0,,,57-55,1,M. Belinelli makes technical free throw
8:30.0,B. Wright enters the game for T. Chandler,,57-55,,
8:23.0,,,57-57,2,T. Parker makes 2-pt shot from 2 ft
8:21.0,Dallas full timeout,,57-57,,
8:13.0,,,57-57,,Personal foul by M. Belinelli (drawn by C. Parsons)
8:07.0,M. Ellis misses 2-pt shot from 19 ft,,57-57,,
8:06.0,,,57-57,,Defensive rebound by M. Belinelli
7:59.0,,,57-57,,Turnover by M. Belinelli (lost ball)
7:48.0,Offensive foul by D. Nowitzki,,57-57,,
7:48.0,Turnover by D. Nowitzki (offensive foul),,57-57,,
7:48.0,Technical foul by D. Nowitzki,,57-57,,
7:48.0,,,57-58,1,M. Belinelli makes technical free throw
7:30.0,,,57-58,,T. Duncan misses 2-pt shot from 1 ft
7:29.0,,,57-58,,Offensive rebound by D. Green
7:29.0,,,57-58,,D. Green misses 2-pt shot from 2 ft
7:29.0,,,57-58,,Offensive rebound by T. Duncan
7:29.0,,,57-60,2,T. Duncan makes 2-pt shot from 1 ft
7:29.0,,,57-60,,Shooting foul by B. Wright (drawn by T. Duncan)
7:29.0,,,57-60,,T. Duncan misses free throw 1 of 1
7:28.0,Defensive rebound by B. Wright,,57-60,,
7:11.0,,,57-60,,Personal foul by T. Parker (drawn by J. Nelson)
7:10.0,,,57-60,,Personal foul by M. Bonner (drawn by D. Nowitzki)
7:01.0,C. Parsons misses 3-pt shot from 23 ft,,57-60,,
7:00.0,Offensive rebound by D. Nowitzki,,57-60,,
6:55.0,M. Ellis makes 2-pt shot at rim,2,59-60,,
6:36.0,,,59-62,2,T. Duncan makes 2-pt shot from 4 ft
6:22.0,,,59-62,,Personal foul by M. Bonner (drawn by D. Nowitzki)
6:22.0,D. Nowitzki makes free throw 1 of 2,1,60-62,,
6:22.0,,,60-62,,B. Diaw enters the game for M. Bonner
6:22.0,,,60-62,,M. Ginobili enters the game for M. Belinelli
6:22.0,G. Smith enters the game for B. Wright,,60-62,,
6:22.0,D. Nowitzki makes free throw 2 of 2,1,61-62,,
6:00.0,,,61-62,,Turnover by B. Diaw (bad pass)
5:43.0,D. Nowitzki makes 2-pt shot from 17 ft,2,63-62,,
5:43.0,,,63-62,,San Antonio full timeout
5:23.0,,,63-62,,M. Ginobili misses 3-pt shot from 24 ft
5:22.0,Defensive rebound by C. Parsons,,63-62,,
5:02.0,D. Nowitzki misses 2-pt shot from 3 ft,,63-62,,
5:01.0,,,63-62,,Defensive rebound by B. Diaw
4:55.0,,,63-62,,T. Duncan misses 2-pt shot from 2 ft (block by J. Nelson)
4:55.0,,,63-62,,Offensive rebound by Team
4:55.0,D. Harris enters the game for D. Nowitzki,,63-62,,
4:55.0,Jump ball: T. Duncan vs. J. Nelson (M. Ginobili gains possession),,,,Jump ball: T. Duncan vs. J. Nelson (M. Ginobili gains possession)
4:40.0,,,63-62,,Shooting foul by D. Harris (drawn by M. Ginobili)
4:40.0,,,63-63,1,M. Ginobili makes free throw 1 of 2
4:40.0,,,63-63,,A. Baynes enters the game for T. Duncan
4:40.0,B. Wright enters the game for G. Smith,,63-63,,
4:40.0,,,63-64,1,M. Ginobili makes free throw 2 of 2
4:19.0,M. Ellis makes 2-pt shot from 18 ft,2,65-64,,
3:53.0,,,65-67,3,T. Parker makes 3-pt shot from 24 ft (assist by M. Ginobili)
3:41.0,Shooting foul by D. Green (drawn by B. Wright),,65-67,,
3:41.0,B. Wright makes free throw 1 of 2,1,66-67,,
3:41.0,B. Wright makes free throw 2 of 2,1,67-67,,
3:30.0,,,67-69,2,T. Parker makes 2-pt shot from 1 ft
3:15.0,M. Ellis makes 2-pt shot from 19 ft,2,69-69,,
2:48.0,,,69-72,3,M. Ginobili makes 3-pt shot from 25 ft (assist by T. Parker)
2:23.0,,,69-72,,Personal foul by M. Ginobili (drawn by D. Harris)
2:23.0,D. Harris makes free throw 1 of 2,1,70-72,,
2:23.0,R. Jefferson enters the game for C. Parsons,,70-72,,
2:23.0,J. Crowder enters the game for J. Nelson,,70-72,,
2:23.0,,,70-72,,M. Belinelli enters the game for D. Green
2:23.0,,,70-72,,C. Joseph enters the game for T. Parker
2:23.0,D. Harris makes free throw 2 of 2,1,71-72,,
1:59.0,,,71-72,,C. Joseph misses 3-pt shot from 22 ft
1:59.0,,,71-72,,Offensive rebound by B. Diaw
1:59.0,,,71-72,,Turnover by Team (shot clock)
1:43.0,D. Harris makes 2-pt shot from 8 ft,2,73-72,,
1:34.0,Personal foul by R. Jefferson (drawn by M. Ginobili),,73-72,,
1:34.0,,,73-73,1,M. Ginobili makes free throw 1 of 2
1:34.0,,,73-74,1,M. Ginobili makes free throw 2 of 2
1:19.0,D. Harris misses 2-pt shot from 13 ft,,73-74,,
1:18.0,,,73-74,,Defensive rebound by B. Diaw
1:01.0,,,73-74,,B. Diaw misses 2-pt shot from 9 ft
1:00.0,Defensive rebound by B. Wright,,73-74,,
0:57.0,Turnover by D. Harris (bad pass; steal by M. Belinelli),,73-74,,
0:35.0,,,73-74,,M. Ginobili misses 3-pt shot from 25 ft
0:34.0,Defensive rebound by R. Jefferson,,73-74,,
0:16.0,M. Ellis misses 2-pt shot from 17 ft,,73-74,,
0:15.0,,,73-74,,Defensive rebound by B. Diaw
0:02.0,,,73-76,2,M. Ginobili makes 2-pt shot from 14 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:36.0,,,73-79,3,M. Ginobili makes 3-pt shot from 24 ft
11:21.0,Shooting foul by C. Joseph (drawn by D. Harris),,73-79,,
11:21.0,D. Harris misses free throw 1 of 2,,73-79,,
11:21.0,Offensive rebound by Team,,73-79,,
11:21.0,D. Harris makes free throw 2 of 2,1,74-79,,
11:08.0,,,74-79,,Turnover by M. Ginobili (bad pass; steal by T. Chandler)
10:52.0,R. Jefferson misses 3-pt shot from 22 ft,,74-79,,
10:51.0,Offensive rebound by R. Jefferson,,74-79,,
10:47.0,,,74-79,,Shooting block foul by A. Baynes (drawn by R. Jefferson)
10:47.0,R. Jefferson makes free throw 1 of 2,1,75-79,,
10:47.0,R. Jefferson misses free throw 2 of 2,,75-79,,
10:46.0,,,75-79,,Defensive rebound by B. Diaw
10:26.0,,,75-81,2,C. Joseph makes 2-pt shot from 2 ft (assist by B. Diaw)
10:04.0,,,75-81,,Personal foul by B. Diaw (drawn by D. Nowitzki)
9:56.0,D. Harris makes 2-pt shot from 7 ft,2,77-81,,
9:41.0,Personal foul by J. Crowder (drawn by B. Diaw),,77-81,,
9:28.0,,,77-84,3,B. Diaw makes 3-pt shot from 24 ft (assist by C. Joseph)
9:12.0,D. Nowitzki misses 3-pt shot from 24 ft,,77-84,,
9:11.0,,,77-84,,Defensive rebound by C. Joseph
9:03.0,,,77-86,2,C. Joseph makes 2-pt shot from 20 ft (assist by M. Ginobili)
9:00.0,Dallas full timeout,,77-86,,
9:00.0,J. Nelson enters the game for J. Crowder,,77-86,,
8:42.0,D. Nowitzki makes 2-pt shot from 12 ft,2,79-86,,
8:22.0,,,79-86,,Turnover by M. Belinelli (traveling)
8:22.0,,,79-86,,D. Green enters the game for M. Ginobili
8:04.0,Shooting foul by A. Baynes (drawn by D. Nowitzki),,79-86,,
8:04.0,D. Nowitzki makes free throw 1 of 2,1,80-86,,
8:04.0,D. Nowitzki makes free throw 2 of 2,1,81-86,,
7:47.0,,,81-89,3,M. Belinelli makes 3-pt shot from 25 ft (assist by B. Diaw)
7:34.0,D. Harris misses 2-pt shot from 1 ft,,81-89,,
7:33.0,,,81-89,,Defensive rebound by D. Green
7:20.0,,,81-89,,San Antonio full timeout
7:14.0,,,81-89,,Turnover by A. Baynes (lost ball)
6:52.0,Turnover by R. Jefferson (lost ball),,81-89,,
6:52.0,,,81-89,,T. Duncan enters the game for A. Baynes
6:42.0,Personal foul by D. Nowitzki (drawn by B. Diaw),,81-89,,
6:42.0,,,81-89,,T. Parker enters the game for C. Joseph
6:42.0,M. Ellis enters the game for R. Jefferson,,81-89,,
6:42.0,C. Parsons enters the game for D. Nowitzki,,81-89,,
6:31.0,,,81-91,2,T. Duncan makes 2-pt shot from 9 ft (assist by M. Belinelli)
6:23.0,D. Harris makes 3-pt shot from 24 ft (assist by J. Nelson),3,84-91,,
5:58.0,,,84-91,,B. Diaw misses 3-pt shot from 24 ft
5:57.0,Defensive rebound by M. Ellis,,84-91,,
5:46.0,M. Ellis makes 2-pt shot at rim,2,86-91,,
5:41.0,,,86-91,,Turnover by D. Green (offensive foul)
5:41.0,,,86-91,,Offensive foul by D. Green
5:32.0,J. Nelson misses 2-pt shot from 16 ft,,86-91,,
5:31.0,,,86-91,,Defensive rebound by M. Belinelli
5:16.0,,,86-93,2,T. Duncan makes 2-pt shot from 8 ft
5:07.0,D. Harris makes 3-pt shot from 25 ft,3,89-93,,
4:40.0,,,89-93,,Turnover by T. Parker (bad pass; steal by J. Nelson)
4:38.0,,,89-93,,M. Ginobili enters the game for M. Belinelli
4:21.0,C. Parsons misses 2-pt shot from 7 ft (block by T. Duncan),,89-93,,
4:20.0,Offensive rebound by Team,,89-93,,
4:15.0,J. Nelson misses 3-pt shot from 23 ft,,89-93,,
4:14.0,,,89-93,,Defensive rebound by M. Ginobili
3:53.0,,,89-93,,Turnover by B. Diaw (bad pass)
3:53.0,D. Nowitzki enters the game for J. Nelson,,89-93,,
3:36.0,D. Harris misses 3-pt shot from 25 ft,,89-93,,
3:35.0,,,89-93,,Defensive rebound by M. Ginobili
3:27.0,,,89-96,3,D. Green makes 3-pt shot from 23 ft (assist by M. Ginobili)
3:27.0,Dallas full timeout,,89-96,,
3:13.0,T. Chandler makes 2-pt shot from 3 ft (assist by M. Ellis),2,91-96,,
3:01.0,,,91-96,,Turnover by M. Ginobili (bad pass; steal by D. Harris)
2:42.0,C. Parsons makes 3-pt shot from 25 ft (assist by D. Harris),3,94-96,,
2:31.0,,,94-98,2,M. Ginobili makes 2-pt shot at rim (assist by T. Duncan)
2:31.0,,,94-98,,Shooting foul by C. Parsons (drawn by M. Ginobili)
2:31.0,,,94-98,,M. Ginobili misses free throw 1 of 1
2:30.0,Defensive rebound by T. Chandler,,94-98,,
2:15.0,D. Nowitzki makes 2-pt shot from 15 ft,2,96-98,,
1:56.0,,,96-98,,B. Diaw misses 3-pt shot from 25 ft
1:55.0,Defensive rebound by T. Chandler,,96-98,,
1:51.0,,,96-98,,Personal block foul by B. Diaw (drawn by M. Ellis)
1:51.0,M. Ellis makes free throw 1 of 2,1,97-98,,
1:51.0,M. Ellis makes free throw 2 of 2,1,98-98,,
1:37.0,,,98-98,,T. Duncan misses 2-pt shot at rim
1:35.0,Defensive rebound by D. Nowitzki,,98-98,,
1:28.0,D. Nowitzki makes 2-pt shot from 15 ft (assist by D. Harris),2,100-98,,
1:07.0,,,100-101,3,T. Parker makes 3-pt shot from 24 ft (assist by B. Diaw)
0:49.0,Turnover by M. Ellis (lost ball),,100-101,,
0:28.0,,,100-101,,M. Ginobili misses 2-pt shot from 17 ft
0:25.0,Defensive rebound by C. Parsons,,100-101,,
0:01.0,C. Parsons misses 3-pt shot from 27 ft,,100-101,,
0:00.0,,,100-101,,Defensive rebound by T. Duncan
0:00.0,Personal foul by T. Chandler (drawn by T. Duncan),,100-101,,
0:00.0,,,100-101,,San Antonio full timeout
0:00.0,,,100-101,,Turnover by T. Duncan (bad pass; steal by D. Harris)
0:00.0,End of 4th quarter,,,,End of 4th quarter
