time,Phoenix,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Noel vs. M. Plumlee (T. Wroten gains possession),,,,Jump ball: N. Noel vs. M. Plumlee (T. Wroten gains possession)
11:41.0,,,0-0,,H. Sims misses 2-pt shot from 3 ft
11:33.0,Defensive rebound by M. Plumlee,,0-0,,
11:31.0,Technical foul by E. Bledsoe,,0-0,,
11:31.0,,,0-1,1,H. Sims makes technical free throw
11:31.0,E. Bledsoe misses flagrant free throw 1 of 2,,0-1,,
11:31.0,Offensive rebound by Team,,0-1,,
11:31.0,E. Bledsoe misses flagrant free throw 2 of 2,,0-1,,
11:31.0,Offensive rebound by Team,,0-1,,
11:08.0,Turnover by M. Plumlee (lost ball; steal by H. Sims),,0-1,,
10:44.0,,,0-1,,Shooting foul by M. Plumlee (drawn by N. Noel)
10:44.0,,,0-2,1,N. Noel makes free throw 1 of 2
10:44.0,,,0-2,,N. Noel misses free throw 2 of 2
10:43.0,Defensive rebound by M. Morris,,0-2,,
10:22.0,M. Morris misses 3-pt shot from 24 ft,,0-2,,
10:19.0,,,0-2,,Defensive rebound by H. Sims
9:56.0,,,0-2,,L. Mbah a Moute misses 3-pt shot from 24 ft
9:55.0,Defensive rebound by M. Morris,,0-2,,
9:45.0,M. Morris misses 2-pt shot from 2 ft,,0-2,,
9:44.0,,,0-2,,Defensive rebound by H. Sims
9:26.0,Personal foul by G. Dragic (drawn by T. Wroten),,0-2,,
9:20.0,,,0-2,,M. Carter-Williams misses 2-pt shot from 2 ft
9:18.0,,,0-2,,Offensive rebound by H. Sims
9:18.0,,,0-4,2,H. Sims makes 2-pt shot at rim
9:05.0,,,0-4,,Violation by N. Noel (def goaltending)
9:05.0,M. Plumlee makes 2-pt shot from 3 ft (assist by E. Bledsoe),2,2-4,,
8:49.0,,,2-4,,T. Wroten misses 3-pt shot from 23 ft
8:47.0,,,2-4,,Offensive rebound by M. Carter-Williams
8:47.0,,,2-6,2,M. Carter-Williams makes 2-pt shot from 1 ft
8:36.0,G. Dragic misses 2-pt shot from 7 ft,,2-6,,
8:35.0,,,2-6,,Defensive rebound by M. Carter-Williams
8:27.0,,,2-8,2,T. Wroten makes 2-pt shot at rim (assist by M. Carter-Williams)
8:15.0,,,2-8,,Personal foul by M. Carter-Williams (drawn by E. Bledsoe)
8:08.0,Turnover by M. Morris (bad pass; steal by H. Sims),,2-8,,
7:57.0,,,2-10,2,N. Noel makes 2-pt shot from 1 ft (assist by T. Wroten)
7:57.0,,,2-10,,Shooting foul by M. Plumlee (drawn by N. Noel)
7:57.0,A. Len enters the game for M. Plumlee,,2-10,,
7:57.0,,,2-10,,N. Noel misses free throw 1 of 1
7:55.0,Defensive rebound by M. Morris,,2-10,,
7:41.0,,,2-10,,Def 3 sec tech foul by N. Noel
7:41.0,G. Dragic makes technical free throw,1,3-10,,
7:33.0,G. Dragic makes 2-pt shot from 11 ft,2,5-10,,
7:22.0,Personal foul by E. Bledsoe (drawn by T. Wroten),,5-10,,
7:17.0,,,5-12,2,M. Carter-Williams makes 2-pt shot from 19 ft
6:59.0,M. Morris makes 2-pt shot from 1 ft,2,7-12,,
6:46.0,,,7-14,2,H. Sims makes 2-pt shot from 19 ft (assist by M. Carter-Williams)
6:32.0,G. Dragic misses 3-pt shot from 26 ft,,7-14,,
6:30.0,,,7-14,,Defensive rebound by H. Sims
6:07.0,,,7-16,2,T. Wroten makes 2-pt shot from 1 ft
5:56.0,Turnover by G. Dragic (lost ball),,7-16,,
5:56.0,,,7-16,,Philadelphia full timeout
5:41.0,,,7-16,,Turnover by T. Wroten (offensive foul)
5:41.0,,,7-16,,Offensive charge foul by T. Wroten
5:41.0,,,7-16,,K. McDaniels enters the game for T. Wroten
5:41.0,,,7-16,,B. Davies enters the game for H. Sims
5:27.0,M. Morris misses 3-pt shot from 23 ft,,7-16,,
5:26.0,,,7-16,,Defensive rebound by B. Davies
5:15.0,,,7-16,,M. Carter-Williams misses 2-pt shot from 9 ft
