time,Cleveland,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Green vs. T. Mozgov (T. Thompson gains possession),,,,Jump ball: D. Green vs. T. Mozgov (T. Thompson gains possession)
11:36.0,L. James misses 2-pt shot from 10 ft,,0-0,,
11:35.0,Offensive rebound by T. Thompson,,0-0,,
11:34.0,Turnover by Team (shot clock),,0-0,,
11:18.0,,,0-0,,Turnover by S. Curry (lost ball; steal by M. Dellavedova)
11:14.0,Turnover by L. James (bad pass),,0-0,,
11:03.0,,,0-0,,K. Thompson misses 3-pt shot from 25 ft
11:02.0,Defensive rebound by L. James,,0-0,,
10:45.0,L. James misses 3-pt shot from 26 ft,,0-0,,
10:44.0,Offensive rebound by T. Thompson,,0-0,,
10:30.0,Offensive charge foul by T. Thompson,,0-0,,
10:30.0,Turnover by T. Thompson (offensive foul),,0-0,,
10:12.0,,,0-0,,Turnover by D. Green (bad pass; steal by T. Mozgov)
9:56.0,M. Dellavedova misses 3-pt shot from 28 ft,,0-0,,
9:54.0,,,0-0,,Defensive rebound by A. Iguodala
9:44.0,,,0-0,,D. Green misses 3-pt shot from 25 ft
9:43.0,Defensive rebound by I. Shumpert,,0-0,,
9:22.0,Turnover by T. Mozgov (bad pass; steal by S. Curry),,0-0,,
9:16.0,,,0-2,2,K. Thompson makes 2-pt shot from 2 ft (assist by S. Curry)
8:50.0,T. Mozgov misses 2-pt shot from 20 ft,,0-2,,
8:50.0,Offensive rebound by Team,,0-2,,
8:50.0,,,0-2,,Loose ball foul by H. Barnes (drawn by T. Mozgov)
8:39.0,M. Dellavedova makes 2-pt shot from 10 ft,2,2-2,,
8:22.0,,,2-2,,A. Iguodala misses 3-pt shot from 26 ft
8:21.0,Defensive rebound by T. Thompson,,2-2,,
8:13.0,I. Shumpert misses 3-pt shot from 23 ft,,2-2,,
8:12.0,,,2-2,,Defensive rebound by A. Iguodala
8:07.0,,,2-4,2,S. Curry makes 2-pt shot from 3 ft (assist by A. Iguodala)
7:46.0,Turnover by M. Dellavedova (bad pass; steal by A. Iguodala),,2-4,,
7:41.0,,,2-6,2,D. Green makes 2-pt shot at rim (assist by A. Iguodala)
7:20.0,L. James misses 2-pt shot from 19 ft,,2-6,,
7:19.0,,,2-6,,Defensive rebound by A. Iguodala
7:09.0,,,2-8,2,D. Green makes 2-pt shot at rim (assist by K. Thompson)
7:09.0,Cleveland full timeout,,2-8,,
7:09.0,J. Smith enters the game for T. Mozgov,,2-8,,
6:51.0,T. Thompson misses 2-pt shot from 8 ft,,2-8,,
6:50.0,,,2-8,,Defensive rebound by S. Curry
6:36.0,,,2-8,,H. Barnes misses 2-pt shot from 6 ft
6:35.0,Defensive rebound by J. Smith,,2-8,,
