time,Minnesota,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: G. Dieng vs. A. Varejao (K. Irving gains possession),,,,Jump ball: G. Dieng vs. A. Varejao (K. Irving gains possession)
11:46.0,,,0-0,,K. Love misses 2-pt shot at rim
11:45.0,Defensive rebound by G. Dieng,,0-0,,
11:31.0,T. Young misses 2-pt shot from 4 ft,,0-0,,
11:27.0,,,0-0,,Defensive rebound by K. Love
11:24.0,Personal foul by S. Muhammad (drawn by A. Varejao),,0-0,,
11:14.0,,,0-0,,Shooting foul by A. Wiggins (drawn by L. James)
11:14.0,,,0-1,1,L. James makes free throw 1 of 2
11:14.0,,,0-2,1,L. James makes free throw 2 of 2
11:03.0,S. Muhammad misses 2-pt shot from 17 ft,,0-2,,
11:02.0,,,0-2,,Defensive rebound by L. James
10:54.0,,,0-2,,Turnover by K. Irving (bad pass)
10:41.0,A. Wiggins makes 2-pt shot at rim (assist by T. Young),2,2-2,,
10:34.0,,,2-2,,Shooting foul by Z. LaVine (drawn by K. Irving)
10:34.0,,,2-3,1,K. Irving makes free throw 1 of 2
10:34.0,,,2-4,1,K. Irving makes free throw 2 of 2
10:17.0,S. Muhammad makes 2-pt shot from 21 ft (assist by G. Dieng),2,4-4,,
9:58.0,,,4-4,,A. Varejao misses 2-pt shot from 6 ft
9:55.0,,,4-4,,Offensive rebound by A. Varejao
9:45.0,,,4-4,,K. Irving misses 2-pt shot from 11 ft
9:44.0,Defensive rebound by Z. LaVine,,4-4,,
9:32.0,T. Young makes 2-pt shot from 1 ft (assist by Z. LaVine),2,6-4,,
9:16.0,,,6-6,2,A. Varejao makes 2-pt shot from 1 ft (assist by M. Miller)
9:02.0,,,6-6,,Personal foul by M. Miller (drawn by A. Wiggins)
8:53.0,Shooting foul by M. Miller (drawn by A. Wiggins),,6-6,,
8:53.0,A. Wiggins makes free throw 1 of 2,1,7-6,,
8:53.0,A. Wiggins makes free throw 2 of 2,1,8-6,,
8:36.0,,,8-8,2,K. Irving makes 2-pt shot from 4 ft
8:24.0,Shooting foul by M. Miller (drawn by S. Muhammad),,8-8,,
8:24.0,S. Muhammad misses free throw 1 of 2,,8-8,,
8:24.0,Offensive rebound by Team,,8-8,,
8:24.0,,,8-8,,D. Waiters enters the game for M. Miller
8:24.0,S. Muhammad makes free throw 2 of 2,1,9-8,,
8:10.0,,,9-10,2,A. Varejao makes 2-pt shot at rim (assist by K. Love)
7:43.0,G. Dieng misses 2-pt shot from 12 ft,,9-10,,
7:40.0,Offensive rebound by A. Wiggins,,9-10,,
7:37.0,S. Muhammad misses 3-pt shot from 24 ft,,9-10,,
7:37.0,,,9-10,,Defensive rebound by Team
7:23.0,,,9-10,,Shooting foul by G. Dieng (drawn by K. Love)
7:23.0,,,9-11,1,K. Love makes free throw 1 of 2
7:23.0,,,9-12,1,K. Love makes free throw 2 of 2
7:05.0,T. Young misses 2-pt shot from 15 ft,,9-12,,
7:02.0,,,9-12,,Defensive rebound by L. James
6:58.0,,,9-12,,K. Love misses 2-pt shot from 7 ft
6:56.0,,,9-12,,Offensive rebound by A. Varejao
6:49.0,,,9-12,,Turnover by D. Waiters (bad pass; steal by G. Dieng)
6:42.0,T. Young misses 2-pt shot at rim,,9-12,,
6:38.0,,,9-12,,Defensive rebound by A. Varejao
6:36.0,,,9-12,,D. Waiters misses 2-pt shot from 2 ft
6:33.0,Defensive rebound by G. Dieng,,9-12,,
6:27.0,A. Wiggins misses 2-pt shot from 12 ft,,9-12,,
6:24.0,,,9-12,,Defensive rebound by A. Varejao
6:19.0,,,9-14,2,L. James makes 2-pt shot at rim (assist by D. Waiters)
6:16.0,Minnesota full timeout,,9-14,,
6:16.0,C. Budinger enters the game for S. Muhammad,,9-14,,
5:53.0,G. Dieng makes 2-pt shot from 14 ft,2,11-14,,
5:35.0,,,11-16,2,K. Love makes 2-pt shot from 8 ft (assist by A. Varejao)
5:15.0,Turnover by T. Young (bad pass; steal by A. Varejao),,11-16,,
5:09.0,,,11-16,,K. Love misses 3-pt shot from 25 ft
5:08.0,,,11-16,,Offensive rebound by Team
5:07.0,M. Williams enters the game for Z. LaVine,,11-16,,
5:02.0,,,11-16,,K. Irving misses 2-pt shot from 14 ft
4:59.0,Defensive rebound by C. Budinger,,11-16,,
4:51.0,,,11-16,,Personal foul by K. Love (drawn by M. Williams)
4:44.0,Shooting foul by D. Waiters (drawn by A. Wiggins),,11-16,,
4:44.0,A. Wiggins makes free throw 1 of 2,1,12-16,,
4:44.0,A. Wiggins makes free throw 2 of 2,1,13-16,,
4:22.0,,,13-16,,D. Waiters misses 3-pt shot from 25 ft
4:21.0,,,13-16,,Offensive rebound by K. Love
4:17.0,,,13-16,,D. Waiters misses 2-pt shot from 17 ft
4:14.0,Defensive rebound by G. Dieng,,13-16,,
4:10.0,T. Young makes 2-pt shot at rim (assist by M. Williams),2,15-16,,
3:57.0,,,15-19,3,K. Love makes 3-pt shot from 23 ft (assist by L. James)
3:37.0,Shooting foul by A. Varejao (drawn by G. Dieng),,15-19,,
3:37.0,G. Dieng makes free throw 1 of 2,1,16-19,,
3:37.0,,,16-19,,T. Thompson enters the game for A. Varejao
3:37.0,,,16-19,,M. Dellavedova enters the game for K. Irving
3:37.0,G. Dieng makes free throw 2 of 2,1,17-19,,
3:14.0,,,17-19,,D. Waiters misses 2-pt shot at rim (block by G. Dieng)
3:14.0,,,17-19,,Offensive rebound by Team
3:12.0,,,17-19,,M. Dellavedova misses 2-pt shot from 16 ft
3:11.0,,,17-19,,Offensive rebound by T. Thompson
3:00.0,,,17-19,,L. James misses 2-pt shot from 8 ft
2:58.0,Defensive rebound by G. Dieng,,17-19,,
2:45.0,T. Young misses 2-pt shot from 19 ft,,17-19,,
2:44.0,Offensive rebound by G. Dieng,,17-19,,
2:39.0,A. Wiggins makes 3-pt shot from 25 ft (assist by C. Budinger),3,20-19,,
2:35.0,,,20-19,,Cleveland full timeout
2:35.0,A. Bennett enters the game for T. Young,,20-19,,
2:15.0,,,20-22,3,D. Waiters makes 3-pt shot from 23 ft (assist by K. Love)
2:00.0,A. Wiggins misses 2-pt shot from 6 ft,,20-22,,
1:56.0,,,20-22,,Defensive rebound by T. Thompson
1:51.0,,,20-24,2,L. James makes 2-pt shot from 8 ft
1:51.0,,,20-24,,Shooting foul by C. Budinger (drawn by L. James)
1:51.0,,,20-24,,S. Marion enters the game for K. Love
1:51.0,,,20-24,,L. James misses free throw 1 of 1
1:50.0,Defensive rebound by A. Bennett,,20-24,,
1:37.0,A. Wiggins makes 2-pt shot at rim (assist by M. Williams),2,22-24,,
1:26.0,,,22-24,,Turnover by D. Waiters (bad pass; steal by G. Dieng)
1:17.0,A. Bennett misses 2-pt shot from 17 ft,,22-24,,
1:16.0,Offensive rebound by G. Dieng,,22-24,,
1:10.0,A. Bennett misses 2-pt shot at rim,,22-24,,
1:09.0,Offensive rebound by A. Bennett,,22-24,,
1:05.0,A. Bennett misses 2-pt shot from 18 ft,,22-24,,
1:04.0,,,22-24,,Defensive rebound by L. James
1:02.0,,,22-24,,Turnover by L. James (bad pass; steal by G. Dieng)
0:56.0,Shooting foul by S. Marion (drawn by G. Dieng),,22-24,,
0:56.0,G. Dieng makes free throw 1 of 2,1,23-24,,
0:56.0,G. Dieng makes free throw 2 of 2,1,24-24,,
0:43.0,,,24-24,,L. James misses 2-pt shot from 13 ft
0:40.0,Defensive rebound by M. Williams,,24-24,,
0:34.0,M. Williams makes 2-pt shot from 16 ft,2,26-24,,
0:15.0,,,26-27,3,M. Dellavedova makes 3-pt shot from 25 ft (assist by S. Marion)
0:00.0,M. Williams misses 3-pt shot from 25 ft,,26-27,,
0:00.0,Offensive rebound by Team,,26-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,M. Williams misses 3-pt shot from 25 ft,,26-27,,
11:38.0,,,26-27,,Defensive rebound by S. Marion
11:29.0,,,26-29,2,D. Waiters makes 2-pt shot at rim
11:10.0,Turnover by C. Budinger (bad pass; steal by D. Waiters),,26-29,,
10:59.0,,,26-29,,Offensive foul by K. Irving
10:59.0,,,26-29,,Turnover by K. Irving (offensive foul)
10:46.0,C. Budinger makes 2-pt shot from 19 ft (assist by A. Bennett),2,28-29,,
10:34.0,,,28-31,2,K. Irving makes 2-pt shot from 1 ft
10:17.0,Turnover by S. Muhammad (bad pass; steal by D. Waiters),,28-31,,
10:12.0,,,28-33,2,K. Irving makes 2-pt shot at rim (assist by D. Waiters)
9:56.0,C. Budinger makes 3-pt shot from 23 ft (assist by M. Williams),3,31-33,,
9:41.0,,,31-33,,Shooting foul by C. Budinger (drawn by D. Waiters)
9:41.0,,,31-34,1,D. Waiters makes free throw 1 of 2
9:41.0,,,31-35,1,D. Waiters makes free throw 2 of 2
9:23.0,S. Muhammad misses 2-pt shot from 9 ft,,31-35,,
9:20.0,Offensive rebound by J. Adrien,,31-35,,
9:20.0,J. Adrien makes 2-pt shot at rim,2,33-35,,
8:57.0,,,33-37,2,D. Waiters makes 2-pt shot from 16 ft (assist by K. Love)
8:43.0,M. Williams makes 2-pt shot from 13 ft,2,35-37,,
8:21.0,Def 3 sec tech foul by A. Bennett,,35-37,,
8:21.0,Official timeout,,35-37,,
8:21.0,,,35-37,,K. Love misses technical free throw
8:21.0,,,35-37,,Offensive rebound by Team
8:07.0,,,35-37,,K. Love misses 2-pt shot from 12 ft
8:04.0,,,35-37,,Offensive rebound by T. Thompson
8:02.0,Personal foul by C. Budinger (drawn by D. Waiters),,35-37,,
8:02.0,A. Wiggins enters the game for C. Budinger,,35-37,,
7:52.0,,,35-37,,K. Irving misses 2-pt shot from 3 ft (block by S. Muhammad)
7:50.0,Defensive rebound by A. Bennett,,35-37,,
7:47.0,S. Muhammad misses 2-pt shot from 1 ft,,35-37,,
