time,New Orleans,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. A. Horford (J. Holiday gains possession),,,,Jump ball: A. Davis vs. A. Horford (J. Holiday gains possession)
11:37.0,A. Davis misses 2-pt shot from 17 ft,,0-0,,
11:36.0,,,0-0,,Defensive rebound by J. Teague
11:18.0,,,0-0,,A. Horford misses 2-pt shot from 20 ft
11:17.0,Defensive rebound by T. Evans,,0-0,,
10:58.0,A. Rivers misses 2-pt shot from 15 ft,,0-0,,
10:57.0,,,0-0,,Defensive rebound by P. Millsap
10:46.0,,,0-0,,A. Horford misses 2-pt shot from 6 ft
10:44.0,Defensive rebound by O. Asik,,0-0,,
10:28.0,A. Davis makes 2-pt shot from 18 ft (assist by A. Rivers),2,2-0,,
10:04.0,,,2-0,,P. Millsap misses 2-pt shot from 18 ft
10:03.0,,,2-0,,Offensive rebound by A. Horford
9:56.0,,,2-0,,Turnover by D. Carroll (bad pass; steal by A. Davis)
9:43.0,A. Rivers misses 2-pt shot from 3 ft,,2-0,,
9:42.0,,,2-0,,Defensive rebound by A. Horford
9:28.0,,,2-2,2,J. Teague makes 2-pt shot from 3 ft (assist by A. Horford)
9:06.0,J. Holiday makes 2-pt shot from 2 ft,2,4-2,,
8:40.0,,,4-2,,A. Horford misses 2-pt shot from 17 ft
8:39.0,Defensive rebound by A. Davis,,4-2,,
8:25.0,J. Holiday misses 3-pt shot from 24 ft,,4-2,,
8:24.0,,,4-2,,Defensive rebound by P. Millsap
8:11.0,,,4-4,2,D. Carroll makes 2-pt shot from 2 ft
7:56.0,Turnover by T. Evans (bad pass; steal by P. Millsap),,4-4,,
7:50.0,,,4-4,,P. Millsap misses 3-pt shot from 25 ft
7:49.0,Defensive rebound by A. Davis,,4-4,,
7:32.0,O. Asik makes 2-pt shot from 1 ft (assist by T. Evans),2,6-4,,
7:13.0,,,6-6,2,J. Teague makes 2-pt shot from 1 ft (assist by K. Korver)
