time,Toronto,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Hamilton vs. J. Valanciunas (Z. LaVine gains possession),,,,Jump ball: J. Hamilton vs. J. Valanciunas (Z. LaVine gains possession)
11:48.0,,,0-0,,A. Wiggins misses 2-pt shot from 15 ft
11:47.0,,,0-0,,Offensive rebound by A. Payne
11:37.0,,,0-2,2,J. Hamilton makes 2-pt shot from 6 ft (assist by A. Wiggins)
11:16.0,Shooting foul by L. Brown (drawn by D. DeRozan),,0-2,,
11:16.0,D. DeRozan misses free throw 1 of 2,,0-2,,
11:16.0,Offensive rebound by Team,,0-2,,
11:16.0,D. DeRozan makes free throw 2 of 2,1,1-2,,
11:01.0,,,1-2,,Shooting foul by J. Valanciunas (drawn by A. Wiggins)
11:01.0,,,1-3,1,A. Wiggins makes free throw 1 of 2
11:01.0,,,1-4,1,A. Wiggins makes free throw 2 of 2
10:38.0,D. DeRozan misses 2-pt shot from 12 ft,,1-4,,
10:37.0,,,1-4,,Defensive rebound by Z. LaVine
10:27.0,,,1-7,3,Z. LaVine makes 3-pt shot from 25 ft (assist by L. Brown)
10:13.0,A. Johnson makes 3-pt shot from 25 ft (assist by G. Vasquez),3,4-7,,
9:56.0,,,4-7,,J. Hamilton misses 2-pt shot from 16 ft
9:55.0,Defensive rebound by A. Johnson,,4-7,,
9:41.0,T. Ross misses 3-pt shot from 24 ft,,4-7,,
9:40.0,,,4-7,,Defensive rebound by A. Payne
9:22.0,,,4-7,,A. Payne misses 2-pt shot from 15 ft
9:21.0,Defensive rebound by T. Ross,,4-7,,
9:09.0,J. Valanciunas makes 2-pt shot at rim (assist by A. Johnson),2,6-7,,
8:54.0,,,6-7,,Z. LaVine misses 3-pt shot from 25 ft
8:53.0,Defensive rebound by D. DeRozan,,6-7,,
8:44.0,Turnover by D. DeRozan (bad pass; steal by J. Hamilton),,6-7,,
8:38.0,,,6-9,2,A. Wiggins makes 2-pt shot at rim (assist by L. Brown)
8:18.0,D. DeRozan makes 2-pt shot from 1 ft (assist by A. Johnson),2,8-9,,
8:02.0,,,8-12,3,L. Brown makes 3-pt shot from 24 ft (assist by A. Wiggins)
7:42.0,J. Valanciunas makes 2-pt shot from 1 ft (assist by D. DeRozan),2,10-12,,
7:18.0,,,10-14,2,Z. LaVine makes 2-pt shot from 19 ft
6:52.0,A. Johnson misses 3-pt shot from 24 ft,,10-14,,
6:51.0,,,10-14,,Defensive rebound by Z. LaVine
6:47.0,,,10-14,,Offensive charge foul by Z. LaVine
6:47.0,,,10-14,,Turnover by Z. LaVine (offensive foul)
6:45.0,Toronto full timeout,,10-14,,
6:45.0,Toronto full timeout,,10-14,,
6:31.0,Shooting foul by Z. LaVine (drawn by J. Valanciunas),,10-14,,
6:31.0,J. Valanciunas makes free throw 1 of 2,1,11-14,,
6:31.0,,,11-14,,C. Budinger enters the game for Z. LaVine
6:31.0,J. Valanciunas misses free throw 2 of 2,,11-14,,
6:29.0,,,11-14,,Defensive rebound by A. Wiggins
6:15.0,,,11-14,,A. Wiggins misses 2-pt shot from 14 ft
6:13.0,,,11-14,,Offensive rebound by A. Payne
6:12.0,,,11-16,2,A. Payne makes 2-pt shot from 4 ft
5:58.0,A. Johnson misses 2-pt shot from 4 ft,,11-16,,
5:57.0,Offensive rebound by Team,,11-16,,
5:57.0,T. Hansbrough enters the game for J. Valanciunas,,11-16,,
5:51.0,G. Vasquez makes 3-pt shot from 25 ft (assist by A. Johnson),3,14-16,,
5:30.0,,,14-18,2,J. Hamilton makes 2-pt shot at rim (assist by A. Wiggins)
5:08.0,T. Ross makes 3-pt shot from 22 ft (assist by D. DeRozan),3,17-18,,
4:52.0,,,17-20,2,J. Hamilton makes 2-pt shot from 6 ft (assist by L. Brown)
4:35.0,A. Johnson makes 3-pt shot from 23 ft (assist by D. DeRozan),3,20-20,,
4:19.0,,,20-22,2,J. Hamilton makes 2-pt shot from 2 ft (assist by A. Payne)
4:19.0,,,20-22,,Shooting foul by A. Johnson (drawn by J. Hamilton)
4:19.0,P. Patterson enters the game for A. Johnson,,20-22,,
4:19.0,,,20-22,,J. Hamilton misses free throw 1 of 1
4:18.0,Defensive rebound by T. Hansbrough,,20-22,,
4:05.0,T. Ross misses 3-pt shot from 23 ft,,20-22,,
4:03.0,,,20-22,,Defensive rebound by A. Wiggins
4:01.0,,,20-22,,Shooting foul by T. Ross (drawn by A. Payne)
4:01.0,,,20-22,,A. Payne misses free throw 1 of 2
4:01.0,,,20-22,,Offensive rebound by Team
4:01.0,L. Williams enters the game for G. Vasquez,,20-22,,
4:01.0,,,20-22,,A. Payne misses free throw 2 of 2
4:00.0,Defensive rebound by T. Hansbrough,,20-22,,
3:45.0,Shooting foul by A. Payne (drawn by T. Hansbrough),,20-22,,
3:45.0,T. Hansbrough makes 2-pt shot from 1 ft (assist by L. Williams),2,22-22,,
3:45.0,,,22-22,,R. Hummel enters the game for A. Payne
3:45.0,T. Hansbrough misses free throw 1 of 1,,22-22,,
3:44.0,Offensive rebound by T. Hansbrough,,22-22,,
3:31.0,T. Ross makes 2-pt shot from 16 ft (assist by L. Williams),2,24-22,,
3:14.0,,,24-22,,A. Wiggins misses 2-pt shot from 5 ft
3:13.0,Defensive rebound by T. Hansbrough,,24-22,,
3:03.0,L. Williams misses 3-pt shot from 25 ft,,24-22,,
3:02.0,,,24-22,,Defensive rebound by R. Hummel
2:50.0,,,24-24,2,C. Budinger makes 2-pt shot from 11 ft (assist by A. Wiggins)
2:33.0,,,24-24,,Minnesota full timeout
2:27.0,T. Ross makes 2-pt shot at rim (assist by P. Patterson),2,26-24,,
2:03.0,,,26-24,,A. Wiggins misses 3-pt shot from 25 ft
2:00.0,Defensive rebound by T. Hansbrough,,26-24,,
1:41.0,D. DeRozan misses 2-pt shot from 15 ft,,26-24,,
1:40.0,,,26-24,,Defensive rebound by C. Budinger
1:27.0,,,26-24,,C. Budinger misses 2-pt shot from 10 ft
1:24.0,Defensive rebound by T. Hansbrough,,26-24,,
1:14.0,D. DeRozan makes 2-pt shot from 1 ft,2,28-24,,
1:00.0,Personal foul by T. Hansbrough (drawn by R. Hummel),,28-24,,
1:00.0,J. Johnson enters the game for T. Ross,,28-24,,
0:53.0,,,28-24,,R. Hummel misses 2-pt shot from 21 ft
0:51.0,Defensive rebound by Team,,28-24,,
0:38.0,L. Williams makes 3-pt shot from 24 ft,3,31-24,,
0:31.0,,,31-26,2,J. Hamilton makes 2-pt shot from 1 ft (assist by L. Brown)
0:07.0,L. Williams misses 2-pt shot from 14 ft,,31-26,,
0:04.0,,,31-26,,Defensive rebound by A. Wiggins
0:01.0,,,31-26,,Shooting foul by T. Hansbrough (drawn by J. Hamilton)
0:01.0,,,31-26,,J. Hamilton misses free throw 1 of 2
0:01.0,,,31-26,,Offensive rebound by Team
0:01.0,,,31-27,1,J. Hamilton makes free throw 2 of 2
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,G. Vasquez makes 3-pt shot from 24 ft (assist by T. Hansbrough),3,34-27,,
11:17.0,,,34-29,2,A. Wiggins makes 2-pt shot from 14 ft
10:59.0,P. Patterson misses 3-pt shot from 24 ft,,34-29,,
10:56.0,,,34-29,,Defensive rebound by Z. LaVine
10:44.0,,,34-29,,A. Payne misses 2-pt shot from 4 ft
10:43.0,Defensive rebound by G. Vasquez,,34-29,,
10:30.0,G. Vasquez makes 3-pt shot from 23 ft (assist by P. Patterson),3,37-29,,
10:14.0,,,37-29,,A. Wiggins misses 2-pt shot from 13 ft
10:13.0,Defensive rebound by G. Vasquez,,37-29,,
10:03.0,G. Vasquez makes 2-pt shot from 4 ft,2,39-29,,
10:02.0,,,39-29,,Minnesota full timeout
10:02.0,,,39-29,,A. Bennett enters the game for A. Wiggins
9:44.0,,,39-29,,Turnover by Z. LaVine (bad pass; steal by L. Williams)
9:27.0,L. Williams makes 3-pt shot from 22 ft (assist by P. Patterson),3,42-29,,
9:11.0,,,42-29,,R. Hummel misses 3-pt shot from 22 ft
9:10.0,,,42-29,,Offensive rebound by Team
9:10.0,Loose ball foul by G. Vasquez (drawn by A. Payne),,42-29,,
9:05.0,,,42-29,,C. Budinger misses 2-pt shot from 21 ft
9:03.0,Defensive rebound by Team,,42-29,,
8:38.0,J. Johnson makes 2-pt shot from 18 ft,2,44-29,,
8:20.0,,,44-29,,Z. LaVine misses 2-pt shot from 19 ft
8:18.0,Defensive rebound by L. Williams,,44-29,,
8:12.0,Shooting foul by A. Bennett (drawn by J. Johnson),,44-29,,
8:12.0,J. Johnson makes free throw 1 of 2,1,45-29,,
8:12.0,,,45-29,,A. Wiggins enters the game for R. Hummel
8:12.0,J. Johnson misses free throw 2 of 2,,45-29,,
8:11.0,,,45-29,,Defensive rebound by C. Budinger
8:07.0,,,45-29,,Turnover by Z. LaVine (bad pass)
7:45.0,L. Williams misses 3-pt shot from 24 ft,,45-29,,
7:44.0,,,45-29,,Defensive rebound by C. Budinger
7:35.0,,,45-29,,C. Budinger misses 2-pt shot from 2 ft
7:33.0,,,45-29,,Offensive rebound by A. Bennett
7:33.0,,,45-31,2,A. Bennett makes 2-pt shot at rim
