time,Memphis,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. M. Gasol (C. Lee gains possession),,,,Jump ball: S. Adams vs. M. Gasol (C. Lee gains possession)
11:48.0,Shooting foul by J. Lamb (drawn by C. Lee),,0-0,,
11:48.0,C. Lee makes free throw 1 of 2,1,1-0,,
11:48.0,C. Lee makes free throw 2 of 2,1,2-0,,
11:32.0,,,2-0,,S. Ibaka misses 2-pt shot from 12 ft
11:31.0,Defensive rebound by Z. Randolph,,2-0,,
11:09.0,Z. Randolph misses 2-pt shot from 13 ft,,2-0,,
11:08.0,Offensive rebound by M. Gasol,,2-0,,
11:04.0,Turnover by T. Allen (bad pass),,2-0,,
10:56.0,,,2-0,,Turnover by S. Ibaka (bad pass; steal by T. Allen)
10:54.0,T. Allen makes 2-pt shot at rim,2,4-0,,
10:28.0,,,4-0,,Turnover by R. Jackson (bad pass; steal by M. Conley)
10:08.0,M. Gasol misses 2-pt shot from 10 ft,,4-0,,
10:07.0,,,4-0,,Defensive rebound by R. Jackson
9:56.0,,,4-2,2,S. Adams makes 2-pt shot from 3 ft
9:36.0,M. Gasol makes 2-pt shot from 5 ft (assist by T. Allen),2,6-2,,
9:20.0,,,6-4,2,J. Lamb makes 2-pt shot from 15 ft (assist by R. Jackson)
9:08.0,M. Conley makes 3-pt shot from 24 ft (assist by Z. Randolph),3,9-4,,
8:55.0,,,9-4,,J. Lamb misses 3-pt shot from 25 ft
8:54.0,,,9-4,,Offensive rebound by R. Jackson
8:43.0,,,9-6,2,R. Jackson makes 2-pt shot from 4 ft
8:26.0,M. Gasol misses 2-pt shot from 15 ft,,9-6,,
8:25.0,,,9-6,,Defensive rebound by L. Thomas
8:23.0,,,9-6,,Turnover by L. Thomas (lost ball; steal by T. Allen)
8:04.0,Z. Randolph misses 2-pt shot from 7 ft,,9-6,,
8:03.0,Offensive rebound by M. Gasol,,9-6,,
7:58.0,Z. Randolph makes 2-pt shot from 1 ft (assist by T. Allen),2,11-6,,
7:34.0,,,11-6,,R. Jackson misses 2-pt shot from 7 ft
7:33.0,Defensive rebound by C. Lee,,11-6,,
7:31.0,T. Allen makes 2-pt shot at rim (assist by C. Lee),2,13-6,,
7:29.0,,,13-6,,Oklahoma City full timeout
7:10.0,,,13-9,3,R. Jackson makes 3-pt shot from 23 ft (assist by S. Ibaka)
6:55.0,M. Conley makes 2-pt shot at rim (assist by M. Gasol),2,15-9,,
6:33.0,,,15-11,2,L. Thomas makes 2-pt shot from 15 ft
6:13.0,Z. Randolph makes 2-pt shot from 2 ft,2,17-11,,
6:01.0,,,17-13,2,J. Lamb makes 2-pt shot from 15 ft (assist by S. Adams)
6:01.0,,,17-13,,Shooting foul by C. Lee (drawn by J. Lamb)
6:01.0,,,17-13,,J. Lamb misses free throw 1 of 1
6:00.0,Defensive rebound by T. Allen,,17-13,,
5:41.0,M. Conley misses 2-pt shot from 17 ft,,17-13,,
5:40.0,Offensive rebound by Z. Randolph,,17-13,,
5:40.0,Z. Randolph misses 2-pt shot from 1 ft,,17-13,,
5:40.0,,,17-13,,Defensive rebound by Team
5:24.0,,,17-15,2,S. Adams makes 2-pt shot at rim
5:03.0,M. Gasol misses 2-pt shot from 11 ft (block by J. Lamb),,17-15,,
5:01.0,,,17-15,,Defensive rebound by S. Adams
4:56.0,Personal foul by M. Gasol (drawn by S. Ibaka),,17-15,,
4:38.0,,,17-15,,R. Jackson misses 2-pt shot from 3 ft
4:36.0,,,17-15,,Offensive rebound by S. Adams
4:36.0,,,17-17,2,S. Adams makes 2-pt shot at rim
4:36.0,Memphis full timeout,,17-17,,
4:27.0,,,17-17,,Def 3 sec tech foul by S. Ibaka
4:27.0,C. Lee makes technical free throw,1,18-17,,
4:15.0,M. Conley misses 3-pt shot from 24 ft,,18-17,,
4:15.0,,,18-17,,Defensive rebound by S. Ibaka
3:50.0,,,18-17,,R. Jackson misses 3-pt shot from 26 ft
3:50.0,,,18-17,,Offensive rebound by Team
3:50.0,,,18-17,,Turnover by Team (shot clock)
3:39.0,Z. Randolph misses 2-pt shot from 3 ft,,18-17,,
3:38.0,,,18-17,,Defensive rebound by R. Jackson
3:33.0,,,18-17,,Turnover by R. Jackson (bad pass; steal by T. Allen)
3:27.0,T. Allen misses 2-pt shot at rim,,18-17,,
3:26.0,Offensive rebound by C. Lee,,18-17,,
3:26.0,C. Lee misses 2-pt shot at rim,,18-17,,
3:24.0,,,18-17,,Defensive rebound by R. Jackson
3:03.0,,,18-17,,R. Jackson misses 3-pt shot from 25 ft
3:02.0,,,18-17,,Offensive rebound by Team
3:02.0,,,18-17,,Turnover by Team (shot clock)
3:02.0,,,18-17,,S. Telfair enters the game for R. Jackson
2:47.0,C. Lee makes 2-pt shot from 14 ft (assist by T. Allen),2,20-17,,
2:29.0,,,20-19,2,J. Lamb makes 2-pt shot at rim
2:11.0,C. Lee misses 2-pt shot from 2 ft,,20-19,,
2:10.0,,,20-19,,Defensive rebound by S. Adams
1:58.0,,,20-19,,S. Ibaka misses 2-pt shot from 13 ft
1:57.0,Defensive rebound by Team,,20-19,,
1:56.0,,,20-19,,N. Collison enters the game for S. Ibaka
1:56.0,V. Carter enters the game for T. Allen,,20-19,,
1:36.0,V. Carter misses 2-pt shot from 21 ft,,20-19,,
1:35.0,,,20-19,,Defensive rebound by N. Collison
1:20.0,,,20-19,,J. Lamb misses 3-pt shot from 24 ft
1:19.0,Defensive rebound by Z. Randolph,,20-19,,
1:04.0,Z. Randolph makes 2-pt shot from 1 ft (assist by V. Carter),2,22-19,,
0:46.0,,,22-19,,N. Collison misses 2-pt shot from 17 ft
0:45.0,Defensive rebound by V. Carter,,22-19,,
0:36.0,M. Gasol misses 2-pt shot from 4 ft,,22-19,,
0:36.0,Offensive rebound by Team,,22-19,,
0:36.0,,,22-19,,Loose ball foul by N. Collison (drawn by Z. Randolph)
0:36.0,J. Leuer enters the game for Z. Randolph,,22-19,,
0:27.0,V. Carter misses 3-pt shot from 24 ft,,22-19,,
0:26.0,,,22-19,,Defensive rebound by N. Collison
0:02.0,,,22-19,,S. Telfair misses 2-pt shot from 9 ft
0:01.0,Defensive rebound by J. Leuer,,22-19,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,,,22-21,2,S. Telfair makes 2-pt shot from 11 ft
11:30.0,J. Leuer misses 2-pt shot from 6 ft,,22-21,,
11:29.0,,,22-21,,Defensive rebound by R. Jackson
11:19.0,,,22-21,,K. Perkins misses 2-pt shot from 3 ft (block by M. Gasol)
11:18.0,,,22-21,,Offensive rebound by Team
11:18.0,Q. Pondexter enters the game for C. Lee,,22-21,,
11:08.0,,,22-21,,S. Telfair misses 2-pt shot from 18 ft
11:08.0,Defensive rebound by V. Carter,,22-21,,
10:55.0,V. Carter makes 3-pt shot from 23 ft (assist by M. Gasol),3,25-21,,
10:38.0,,,25-21,,Turnover by S. Telfair (bad pass; steal by V. Carter)
10:33.0,V. Carter misses 3-pt shot from 24 ft,,25-21,,
10:32.0,,,25-21,,Defensive rebound by S. Telfair
10:16.0,,,25-21,,S. Telfair misses 3-pt shot from 24 ft
10:15.0,Defensive rebound by M. Gasol,,25-21,,
10:01.0,V. Carter misses 2-pt shot from 9 ft,,25-21,,
10:00.0,,,25-21,,Defensive rebound by L. Thomas
9:49.0,,,25-21,,R. Jackson misses 2-pt shot from 1 ft (block by M. Gasol)
9:47.0,Defensive rebound by V. Carter,,25-21,,
9:44.0,J. Leuer makes 2-pt shot from 2 ft (assist by B. Udrih),2,27-21,,
9:24.0,,,27-21,,Turnover by S. Telfair (traveling)
9:24.0,K. Koufos enters the game for M. Gasol,,27-21,,
9:13.0,V. Carter makes 2-pt shot from 22 ft (assist by B. Udrih),2,29-21,,
9:13.0,,,29-21,,Oklahoma City full timeout
9:13.0,,,29-21,,J. Lamb enters the game for L. Thomas
8:53.0,,,29-23,2,S. Telfair makes 2-pt shot from 3 ft
