time,Brooklyn,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Lopez vs. Z. Pachulia (E. Ilyasova gains possession),,,,Jump ball: B. Lopez vs. Z. Pachulia (E. Ilyasova gains possession)
11:46.0,,,0-0,,Z. Pachulia misses 2-pt shot from 15 ft
11:45.0,Defensive rebound by B. Lopez,,0-0,,
11:24.0,J. Johnson makes 2-pt shot from 3 ft,2,2-0,,
11:00.0,,,2-2,2,G. Antetokounmpo makes 2-pt shot from 17 ft (assist by Z. Pachulia)
10:46.0,B. Lopez misses 2-pt shot from 18 ft,,2-2,,
10:45.0,,,2-2,,Defensive rebound by M. Carter-Williams
10:35.0,,,2-5,3,E. Ilyasova makes 3-pt shot from 25 ft (assist by M. Carter-Williams)
10:15.0,T. Young makes 2-pt shot from 1 ft,2,4-5,,
10:02.0,,,4-5,,E. Ilyasova misses 3-pt shot from 24 ft
10:01.0,Defensive rebound by J. Johnson,,4-5,,
9:50.0,T. Young misses 2-pt shot at rim,,4-5,,
9:47.0,,,4-5,,Defensive rebound by G. Antetokounmpo
9:36.0,,,4-8,3,E. Ilyasova makes 3-pt shot from 24 ft (assist by G. Antetokounmpo)
9:21.0,D. Williams misses 2-pt shot at rim,,4-8,,
9:19.0,Offensive rebound by D. Williams,,4-8,,
9:15.0,Shooting foul by M. Carter-Williams (drawn by B. Lopez),,4-8,,
9:15.0,B. Lopez makes free throw 1 of 2,1,5-8,,
9:15.0,B. Lopez makes free throw 2 of 2,1,6-8,,
8:57.0,,,6-8,,G. Antetokounmpo misses 2-pt shot from 9 ft
8:55.0,Defensive rebound by D. Williams,,6-8,,
8:33.0,J. Johnson makes 2-pt shot at rim,2,8-8,,
8:11.0,,,8-8,,E. Ilyasova misses 2-pt shot from 20 ft
8:10.0,Defensive rebound by J. Johnson,,8-8,,
8:00.0,D. Williams makes 2-pt shot from 5 ft,2,10-8,,
7:50.0,,,10-10,2,K. Middleton makes 2-pt shot from 15 ft (assist by M. Carter-Williams)
7:35.0,Turnover by D. Williams (lost ball; steal by M. Carter-Williams),,10-10,,
7:26.0,,,10-10,,G. Antetokounmpo misses 2-pt shot from 6 ft
7:25.0,Defensive rebound by J. Johnson,,10-10,,
7:10.0,T. Young misses 2-pt shot from 3 ft (block by M. Carter-Williams),,10-10,,
7:08.0,Offensive rebound by B. Lopez,,10-10,,
7:08.0,B. Lopez misses 2-pt shot at rim,,10-10,,
7:08.0,Offensive rebound by B. Lopez,,10-10,,
7:08.0,B. Lopez makes 2-pt shot at rim,2,12-10,,
7:08.0,Shooting foul by G. Antetokounmpo (drawn by B. Lopez),,12-10,,
7:08.0,B. Lopez makes free throw 1 of 1,1,13-10,,
6:51.0,,,13-10,,Turnover by E. Ilyasova (lost ball; steal by D. Williams)
6:49.0,Shooting foul by G. Antetokounmpo (drawn by D. Williams),,13-10,,
6:49.0,D. Williams makes free throw 1 of 2,1,14-10,,
6:49.0,,,14-10,,J. Dudley enters the game for G. Antetokounmpo
6:49.0,D. Williams makes free throw 2 of 2,1,15-10,,
6:31.0,,,15-12,2,K. Middleton makes 2-pt shot from 14 ft
6:20.0,D. Williams misses 3-pt shot from 26 ft,,15-12,,
6:19.0,,,15-12,,Defensive rebound by E. Ilyasova
6:05.0,,,15-14,2,M. Carter-Williams makes 2-pt shot from 1 ft (assist by K. Middleton)
5:50.0,T. Young misses 2-pt shot from 16 ft,,15-14,,
5:49.0,,,15-14,,Defensive rebound by Z. Pachulia
5:44.0,Personal foul by M. Brown (drawn by K. Middleton),,15-14,,
5:44.0,,,15-14,,Milwaukee full timeout
5:28.0,,,15-16,2,K. Middleton makes 2-pt shot from 18 ft
5:01.0,B. Lopez misses 2-pt shot from 18 ft,,15-16,,
5:00.0,,,15-16,,Defensive rebound by M. Carter-Williams
4:49.0,,,15-18,2,E. Ilyasova makes 2-pt shot at rim (assist by M. Carter-Williams)
4:32.0,B. Lopez makes 2-pt shot from 6 ft (assist by D. Williams),2,17-18,,
4:16.0,,,17-18,,Turnover by Z. Pachulia (bad pass; steal by M. Brown)
4:08.0,D. Williams misses 3-pt shot from 25 ft,,17-18,,
4:06.0,,,17-18,,Defensive rebound by Z. Pachulia
3:57.0,,,17-18,,M. Carter-Williams misses 2-pt shot from 19 ft
3:49.0,Defensive rebound by T. Young,,17-18,,
3:46.0,T. Young makes 2-pt shot at rim (assist by D. Williams),2,19-18,,
3:26.0,,,19-20,2,Z. Pachulia makes 2-pt shot from 15 ft (assist by K. Middleton)
3:08.0,D. Williams misses 3-pt shot from 23 ft,,19-20,,
3:07.0,,,19-20,,Defensive rebound by J. Dudley
2:55.0,,,19-20,,E. Ilyasova misses 3-pt shot from 25 ft
2:54.0,Defensive rebound by J. Johnson,,19-20,,
2:48.0,Shooting foul by E. Ilyasova (drawn by B. Lopez),,19-20,,
2:48.0,Brooklyn full timeout,,19-20,,
2:48.0,,,19-20,,O. Mayo enters the game for E. Ilyasova
2:48.0,,,19-20,,J. Henson enters the game for Z. Pachulia
2:48.0,B. Bogdanovic enters the game for M. Brown,,19-20,,
2:48.0,B. Lopez makes free throw 1 of 2,1,20-20,,
2:48.0,M. Brown enters the game for J. Johnson,,20-20,,
2:48.0,B. Lopez misses free throw 2 of 2,,20-20,,
2:47.0,,,20-20,,Defensive rebound by K. Middleton
2:35.0,,,20-22,2,J. Henson makes 2-pt shot at rim (assist by K. Middleton)
2:15.0,B. Bogdanovic makes 2-pt shot at rim (assist by D. Williams),2,22-22,,
2:15.0,Shooting foul by J. Dudley (drawn by B. Bogdanovic),,22-22,,
2:15.0,M. Plumlee enters the game for B. Lopez,,22-22,,
2:15.0,B. Bogdanovic misses free throw 1 of 1,,22-22,,
2:11.0,,,22-22,,Defensive rebound by J. Henson
2:01.0,,,22-22,,O. Mayo misses 3-pt shot from 23 ft
2:00.0,Defensive rebound by M. Brown,,22-22,,
1:40.0,Turnover by M. Plumlee (bad pass; steal by J. Dudley),,22-22,,
1:35.0,Violation by M. Plumlee (def goaltending),,22-22,,
1:35.0,,,22-24,2,K. Middleton makes 2-pt shot at rim
1:11.0,M. Plumlee makes 2-pt shot at rim (assist by D. Williams),2,24-24,,
0:53.0,Personal foul by D. Williams (drawn by J. Henson),,24-24,,
0:50.0,,,24-24,,Turnover by O. Mayo (lost ball)
0:38.0,,,24-24,,Violation by J. Henson (kicked ball)
0:33.0,Turnover by D. Williams (bad pass; steal by K. Middleton),,24-24,,
0:30.0,,,24-26,2,M. Carter-Williams makes 2-pt shot at rim (assist by K. Middleton)
0:14.0,M. Brown misses 2-pt shot from 13 ft,,24-26,,
0:13.0,,,24-26,,Defensive rebound by K. Middleton
0:00.0,,,24-26,,K. Middleton misses 2-pt shot from 10 ft
0:00.0,,,24-26,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,J. Johnson misses 2-pt shot at rim,,24-26,,
11:37.0,Offensive rebound by Team,,24-26,,
11:21.0,B. Bogdanovic misses 2-pt shot at rim,,24-26,,
11:21.0,Offensive rebound by M. Plumlee,,24-26,,
11:21.0,Shooting foul by E. Ilyasova (drawn by M. Plumlee),,24-26,,
11:21.0,M. Plumlee makes free throw 1 of 2,1,25-26,,
11:21.0,M. Plumlee makes free throw 2 of 2,1,26-26,,
11:11.0,,,26-26,,J. Henson misses 2-pt shot at rim
11:09.0,Defensive rebound by B. Bogdanovic,,26-26,,
11:00.0,B. Bogdanovic misses 2-pt shot from 8 ft,,26-26,,
10:59.0,Offensive rebound by M. Plumlee,,26-26,,
10:48.0,M. Brown misses 3-pt shot from 26 ft,,26-26,,
10:47.0,,,26-26,,Defensive rebound by J. Bayless
10:37.0,,,26-29,3,O. Mayo makes 3-pt shot from 25 ft (assist by J. Bayless)
10:26.0,Turnover by M. Plumlee (offensive foul),,26-29,,
10:26.0,Offensive foul by M. Plumlee,,26-29,,
10:16.0,,,26-31,2,O. Mayo makes 2-pt shot at rim (assist by J. Henson)
10:13.0,Brooklyn full timeout,,26-31,,
9:59.0,M. Plumlee makes 2-pt shot at rim (assist by J. Jack),2,28-31,,
9:45.0,,,28-31,,J. Henson misses 2-pt shot from 1 ft
9:44.0,,,28-31,,Offensive rebound by J. Henson
9:44.0,,,28-33,2,J. Henson makes 2-pt shot from 1 ft
9:44.0,,,28-33,,Shooting foul by J. Jack (drawn by J. Henson)
9:44.0,,,28-33,,J. Henson misses free throw 1 of 1
9:43.0,Defensive rebound by M. Plumlee,,28-33,,
9:31.0,,,28-33,,Violation by J. Henson (def goaltending)
9:31.0,M. Brown makes 2-pt shot at rim,2,30-33,,
9:24.0,,,30-33,,E. Ilyasova misses 3-pt shot from 26 ft
9:22.0,,,30-33,,Offensive rebound by J. Henson
9:18.0,,,30-33,,O. Mayo misses 2-pt shot from 16 ft
9:17.0,Defensive rebound by J. Jack,,30-33,,
9:12.0,Turnover by J. Jack (lost ball),,30-33,,
9:03.0,,,30-33,,Turnover by O. Mayo (bad pass)
8:36.0,J. Jack makes 3-pt shot from 25 ft (assist by M. Plumlee),3,33-33,,
8:28.0,,,33-33,,J. Henson misses 2-pt shot at rim
8:27.0,,,33-33,,Offensive rebound by J. Bayless
8:25.0,,,33-33,,J. Bayless misses 2-pt shot at rim
8:24.0,,,33-33,,Offensive rebound by Team
8:24.0,B. Lopez enters the game for M. Plumlee,,33-33,,
8:16.0,,,33-33,,Shooting foul by M. Brown (drawn by O. Mayo)
8:16.0,,,33-34,1,O. Mayo makes free throw 1 of 2
8:16.0,,,33-34,,G. Antetokounmpo enters the game for E. Ilyasova
8:16.0,,,33-35,1,O. Mayo makes free throw 2 of 2
8:01.0,B. Bogdanovic misses 2-pt shot from 1 ft (block by J. Henson),,33-35,,
8:01.0,Offensive rebound by Team,,33-35,,
7:57.0,Turnover by B. Bogdanovic (bad pass),,33-35,,
7:57.0,D. Williams enters the game for M. Brown,,33-35,,
7:50.0,Personal foul by B. Lopez (drawn by J. Henson),,33-35,,
7:41.0,,,33-35,,O. Mayo misses 2-pt shot from 7 ft
7:39.0,Defensive rebound by B. Lopez,,33-35,,
7:27.0,D. Williams misses 2-pt shot from 1 ft,,33-35,,
7:26.0,Offensive rebound by D. Williams,,33-35,,
7:26.0,D. Williams misses 2-pt shot from 1 ft (block by J. Henson),,33-35,,
7:24.0,,,33-35,,Defensive rebound by G. Antetokounmpo
7:19.0,,,33-35,,J. Dudley misses 3-pt shot from 23 ft
7:17.0,Defensive rebound by B. Lopez,,33-35,,
6:59.0,J. Jack misses 3-pt shot from 22 ft,,33-35,,
6:57.0,Offensive rebound by B. Lopez,,33-35,,
6:53.0,B. Lopez misses 2-pt shot from 13 ft,,33-35,,
6:52.0,,,33-35,,Defensive rebound by J. Bayless
6:42.0,,,33-37,2,G. Antetokounmpo makes 2-pt shot from 18 ft (assist by J. Bayless)
6:19.0,J. Jack misses 2-pt shot from 5 ft,,33-37,,
6:18.0,,,33-37,,Defensive rebound by O. Mayo
6:12.0,,,33-37,,Turnover by J. Bayless (bad pass)
5:58.0,B. Bogdanovic misses 3-pt shot from 24 ft,,33-37,,
5:57.0,,,33-37,,Defensive rebound by J. Dudley
5:48.0,,,33-37,,G. Antetokounmpo misses 2-pt shot at rim
5:46.0,Defensive rebound by B. Lopez,,33-37,,
5:31.0,Official timeout,,33-37,,
5:31.0,,,33-37,,K. Middleton enters the game for O. Mayo
5:31.0,,,33-37,,Z. Pachulia enters the game for J. Henson
5:23.0,J. Johnson makes 2-pt shot from 9 ft (assist by D. Williams),2,35-37,,
5:09.0,,,35-37,,K. Middleton misses 3-pt shot from 25 ft
5:08.0,Defensive rebound by D. Williams,,35-37,,
4:58.0,J. Jack makes 2-pt shot from 6 ft (assist by J. Johnson),2,37-37,,
4:37.0,,,37-37,,Turnover by J. Bayless (lost ball; steal by B. Lopez)
4:26.0,D. Williams misses 2-pt shot from 1 ft,,37-37,,
4:24.0,,,37-37,,Defensive rebound by J. Bayless
4:12.0,,,37-39,2,G. Antetokounmpo makes 2-pt shot at rim
4:01.0,B. Lopez misses 2-pt shot from 4 ft,,37-39,,
3:59.0,,,37-39,,Defensive rebound by Z. Pachulia
3:49.0,,,37-39,,Z. Pachulia misses 2-pt shot from 5 ft
3:48.0,Defensive rebound by B. Bogdanovic,,37-39,,
3:39.0,J. Jack makes 2-pt shot at rim,2,39-39,,
3:25.0,,,39-39,,J. Bayless misses 3-pt shot from 26 ft
3:23.0,Defensive rebound by J. Jack,,39-39,,
3:02.0,Turnover by J. Johnson (lost ball; steal by Z. Pachulia),,39-39,,
2:55.0,,,39-39,,J. Bayless misses 3-pt shot from 23 ft
2:54.0,Defensive rebound by B. Bogdanovic,,39-39,,
2:46.0,Brooklyn full timeout,,39-39,,
2:46.0,,,39-39,,Milwaukee full timeout
2:46.0,T. Young enters the game for B. Bogdanovic,,39-39,,
2:46.0,,,39-39,,M. Carter-Williams enters the game for J. Bayless
2:46.0,,,39-39,,E. Ilyasova enters the game for J. Dudley
2:34.0,J. Johnson misses 3-pt shot from 26 ft,,39-39,,
2:33.0,,,39-39,,Defensive rebound by E. Ilyasova
2:19.0,,,39-39,,Z. Pachulia misses 2-pt shot from 17 ft
2:18.0,Defensive rebound by J. Johnson,,39-39,,
2:08.0,D. Williams misses 3-pt shot from 23 ft,,39-39,,
2:06.0,,,39-39,,Defensive rebound by G. Antetokounmpo
1:50.0,,,39-41,2,K. Middleton makes 2-pt shot from 16 ft
1:34.0,J. Johnson misses 3-pt shot from 23 ft,,39-41,,
1:31.0,Offensive rebound by T. Young,,39-41,,
1:29.0,T. Young misses 2-pt shot from 2 ft,,39-41,,
1:28.0,,,39-41,,Defensive rebound by Z. Pachulia
1:08.0,,,39-41,,K. Middleton misses 2-pt shot from 17 ft
1:07.0,Defensive rebound by B. Lopez,,39-41,,
1:00.0,,,39-41,,Violation by Z. Pachulia (kicked ball)
0:49.0,J. Jack misses 2-pt shot from 15 ft,,39-41,,
0:47.0,,,39-41,,Defensive rebound by M. Carter-Williams
0:40.0,,,39-41,,G. Antetokounmpo misses 2-pt shot from 1 ft
0:39.0,,,39-41,,Offensive rebound by G. Antetokounmpo
0:39.0,,,39-41,,G. Antetokounmpo misses 2-pt shot from 1 ft
0:38.0,Defensive rebound by J. Jack,,39-41,,
0:32.0,D. Williams misses 2-pt shot at rim,,39-41,,
0:30.0,,,39-41,,Defensive rebound by E. Ilyasova
0:26.0,,,39-43,2,M. Carter-Williams makes 2-pt shot from 1 ft (assist by G. Antetokounmpo)
0:04.0,J. Jack makes 2-pt shot from 8 ft,2,41-43,,
0:00.0,,,41-43,,G. Antetokounmpo misses 3-pt shot from 26 ft
0:00.0,,,41-43,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
