time,Atlanta,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. A. Varejao (J. Teague gains possession),,,,Jump ball: A. Horford vs. A. Varejao (J. Teague gains possession)
11:34.0,P. Millsap makes 2-pt shot from 17 ft,2,2-0,,
11:14.0,,,2-0,,S. Marion misses 2-pt shot from 17 ft
11:12.0,Defensive rebound by T. Sefolosha,,2-0,,
10:56.0,K. Korver misses 2-pt shot from 12 ft,,2-0,,
10:54.0,Offensive rebound by A. Horford,,2-0,,
10:39.0,J. Teague misses 3-pt shot from 25 ft,,2-0,,
10:39.0,,,2-0,,Defensive rebound by K. Love
10:30.0,,,2-3,3,L. James makes 3-pt shot from 24 ft
10:09.0,T. Sefolosha misses 2-pt shot from 9 ft,,2-3,,
10:08.0,,,2-3,,Defensive rebound by L. James
9:58.0,,,2-6,3,K. Love makes 3-pt shot from 23 ft (assist by K. Irving)
9:44.0,Shooting foul by L. James (drawn by T. Sefolosha),,2-6,,
9:44.0,T. Sefolosha makes free throw 1 of 2,1,3-6,,
9:44.0,T. Sefolosha makes free throw 2 of 2,1,4-6,,
9:29.0,,,4-9,3,L. James makes 3-pt shot from 27 ft (assist by K. Irving)
9:11.0,Turnover by T. Sefolosha (bad pass; steal by K. Irving),,4-9,,
9:06.0,,,4-11,2,L. James makes 2-pt shot at rim (assist by K. Irving)
9:06.0,Atlanta full timeout,,4-11,,
8:48.0,A. Horford makes 2-pt shot from 5 ft,2,6-11,,
8:37.0,,,6-11,,Turnover by A. Varejao (lost ball; steal by T. Sefolosha)
8:32.0,T. Sefolosha makes 2-pt shot at rim,2,8-11,,
8:16.0,,,8-14,3,L. James makes 3-pt shot from 24 ft (assist by S. Marion)
7:48.0,J. Teague makes 2-pt shot from 11 ft,2,10-14,,
7:25.0,,,10-16,2,K. Love makes 2-pt shot from 5 ft
7:01.0,A. Horford makes 2-pt shot from 18 ft (assist by J. Teague),2,12-16,,
6:49.0,,,12-16,,Shooting foul by J. Teague (drawn by K. Love)
6:49.0,,,12-17,1,K. Irving makes free throw 1 of 2
6:49.0,,,12-18,1,K. Irving makes free throw 2 of 2
6:23.0,J. Teague misses 2-pt shot from 3 ft,,12-18,,
6:22.0,,,12-18,,Defensive rebound by K. Love
6:19.0,,,12-18,,Turnover by K. Love (lost ball; steal by J. Teague)
6:13.0,J. Teague makes 3-pt shot from 23 ft,3,15-18,,
5:58.0,,,15-18,,L. James misses 2-pt shot at rim
5:56.0,Defensive rebound by J. Teague,,15-18,,
