time,New Orleans,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: O. Asik vs. A. Bogut (D. Green gains possession),,,,Jump ball: O. Asik vs. A. Bogut (D. Green gains possession)
11:48.0,,,0-2,2,K. Thompson makes 2-pt shot from 16 ft (assist by H. Barnes)
11:27.0,E. Gordon makes 3-pt shot from 27 ft (assist by A. Davis),3,3-2,,
11:19.0,,,3-2,,Turnover by D. Green (bad pass)
11:05.0,A. Davis makes 2-pt shot from 14 ft (assist by T. Evans),2,5-2,,
10:55.0,,,5-2,,Turnover by A. Bogut (bad pass; steal by Q. Pondexter)
10:48.0,Q. Pondexter misses 3-pt shot from 25 ft,,5-2,,
10:47.0,,,5-2,,Defensive rebound by D. Green
10:42.0,Personal foul by E. Gordon (drawn by D. Green),,5-2,,
10:35.0,,,5-2,,H. Barnes misses 2-pt shot from 3 ft (block by T. Evans)
10:33.0,Defensive rebound by O. Asik,,5-2,,
10:24.0,Turnover by O. Asik (bad pass),,5-2,,
10:14.0,,,5-2,,H. Barnes misses 3-pt shot from 23 ft
10:14.0,Defensive rebound by Team,,5-2,,
9:55.0,A. Davis makes 2-pt shot from 16 ft (assist by E. Gordon),2,7-2,,
9:42.0,,,7-4,2,S. Curry makes 2-pt shot from 14 ft
9:24.0,E. Gordon makes 2-pt shot from 7 ft,2,9-4,,
9:02.0,,,9-4,,K. Thompson misses 2-pt shot from 19 ft
9:01.0,Defensive rebound by T. Evans,,9-4,,
8:53.0,T. Evans makes 2-pt shot from 14 ft,2,11-4,,
8:43.0,,,11-7,3,D. Green makes 3-pt shot from 24 ft (assist by S. Curry)
8:24.0,A. Davis misses 2-pt shot from 10 ft,,11-7,,
8:23.0,,,11-7,,Defensive rebound by A. Bogut
8:15.0,,,11-7,,Turnover by D. Green (lost ball; steal by A. Davis)
8:11.0,Turnover by A. Davis (bad pass; steal by K. Thompson),,11-7,,
8:05.0,,,11-10,3,S. Curry makes 3-pt shot from 27 ft (assist by K. Thompson)
7:44.0,E. Gordon misses 2-pt shot from 13 ft,,11-10,,
7:43.0,Offensive rebound by O. Asik,,11-10,,
7:41.0,O. Asik misses 2-pt shot from 2 ft (block by A. Bogut),,11-10,,
7:40.0,,,11-10,,Defensive rebound by Team
7:35.0,,,11-10,,S. Curry misses 3-pt shot from 29 ft
7:35.0,Defensive rebound by Team,,11-10,,
7:35.0,New Orleans full timeout,,11-10,,
7:18.0,E. Gordon makes 3-pt shot from 28 ft,3,14-10,,
6:57.0,,,14-10,,D. Green misses 3-pt shot from 25 ft
6:56.0,Defensive rebound by O. Asik,,14-10,,
6:40.0,A. Davis misses 2-pt shot at rim,,14-10,,
6:39.0,,,14-10,,Defensive rebound by H. Barnes
6:33.0,,,14-13,3,S. Curry makes 3-pt shot from 27 ft (assist by H. Barnes)
6:13.0,T. Evans misses 3-pt shot from 28 ft,,14-13,,
6:12.0,,,14-13,,Defensive rebound by A. Bogut
6:07.0,,,14-13,,Turnover by S. Curry (bad pass; steal by A. Davis)
6:02.0,Q. Pondexter misses 2-pt shot from 3 ft,,14-13,,
6:00.0,Offensive rebound by Q. Pondexter,,14-13,,
6:00.0,Q. Pondexter misses 2-pt shot at rim,,14-13,,
5:58.0,,,14-13,,Defensive rebound by A. Bogut
5:39.0,,,14-13,,Shooting foul by Q. Pondexter (drawn by D. Green)
5:39.0,,,14-13,,D. Green misses free throw 1 of 2
5:39.0,,,14-13,,Offensive rebound by Team
5:39.0,,,14-13,,A. Iguodala enters the game for H. Barnes
5:39.0,,,14-13,,D. Green misses free throw 2 of 2
5:38.0,Defensive rebound by O. Asik,,14-13,,
5:25.0,Turnover by Q. Pondexter (bad pass; steal by S. Curry),,14-13,,
5:18.0,,,14-13,,K. Thompson misses 3-pt shot from 26 ft
5:17.0,Defensive rebound by T. Evans,,14-13,,
5:08.0,T. Evans misses 2-pt shot from 5 ft,,14-13,,
5:06.0,,,14-13,,Defensive rebound by A. Iguodala
5:02.0,,,14-15,2,A. Bogut makes 2-pt shot at rim (assist by A. Iguodala)
4:52.0,A. Davis misses 2-pt shot from 18 ft,,14-15,,
4:51.0,,,14-15,,Defensive rebound by A. Iguodala
4:42.0,,,14-15,,K. Thompson misses 3-pt shot from 28 ft
4:40.0,,,14-15,,Offensive rebound by A. Iguodala
4:23.0,,,14-15,,S. Curry misses 2-pt shot from 21 ft
4:22.0,Defensive rebound by O. Asik,,14-15,,
4:04.0,E. Gordon makes 3-pt shot from 27 ft (assist by T. Evans),3,17-15,,
3:55.0,,,17-15,,Golden State full timeout
3:55.0,R. Anderson enters the game for O. Asik,,17-15,,
