time,Chicago,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Lopez vs. J. Noah (L. Aldridge gains possession),,,,Jump ball: R. Lopez vs. J. Noah (L. Aldridge gains possession)
11:38.0,,,0-0,,L. Aldridge misses 2-pt shot from 21 ft
11:37.0,Defensive rebound by J. Butler,,0-0,,
11:19.0,J. Noah misses 2-pt shot from 6 ft,,0-0,,
11:18.0,,,0-0,,Defensive rebound by R. Lopez
11:10.0,,,0-0,,Turnover by W. Matthews (lost ball; steal by J. Noah)
11:05.0,Turnover by A. Brooks (lost ball; steal by D. Lillard),,0-0,,
11:03.0,,,0-0,,Turnover by D. Lillard (bad pass)
10:48.0,J. Butler misses 3-pt shot from 24 ft,,0-0,,
10:46.0,,,0-0,,Defensive rebound by Team
10:31.0,,,0-2,2,N. Batum makes 2-pt shot from 1 ft
10:16.0,Turnover by M. Dunleavy (lost ball; steal by W. Matthews),,0-2,,
10:11.0,,,0-4,2,N. Batum makes 2-pt shot at rim (assist by W. Matthews)
9:56.0,J. Noah misses 2-pt shot from 22 ft,,0-4,,
9:56.0,Offensive rebound by Team,,0-4,,
9:56.0,,,0-4,,Loose ball foul by W. Matthews (drawn by T. Gibson)
9:51.0,A. Brooks misses 3-pt shot from 24 ft,,0-4,,
9:50.0,Offensive rebound by M. Dunleavy,,0-4,,
9:41.0,A. Brooks makes 3-pt shot from 26 ft (assist by T. Gibson),3,3-4,,
9:20.0,,,3-6,2,R. Lopez makes 2-pt shot from 18 ft (assist by D. Lillard)
9:02.0,J. Butler misses 2-pt shot from 21 ft,,3-6,,
9:01.0,,,3-6,,Defensive rebound by D. Lillard
8:50.0,,,3-9,3,L. Aldridge makes 3-pt shot from 24 ft (assist by D. Lillard)
8:28.0,T. Gibson misses 2-pt shot from 5 ft,,3-9,,
8:27.0,,,3-9,,Defensive rebound by D. Lillard
8:18.0,,,3-11,2,W. Matthews makes 2-pt shot from 11 ft (assist by D. Lillard)
7:59.0,J. Butler misses 2-pt shot from 5 ft,,3-11,,
7:59.0,,,3-11,,Defensive rebound by Team
7:59.0,Loose ball foul by T. Gibson (drawn by R. Lopez),,3-11,,
7:42.0,,,3-13,2,R. Lopez makes 2-pt shot from 5 ft (assist by N. Batum)
7:27.0,A. Brooks misses 2-pt shot from 10 ft,,3-13,,
7:26.0,Offensive rebound by A. Brooks,,3-13,,
7:18.0,M. Dunleavy misses 3-pt shot from 24 ft,,3-13,,
7:17.0,,,3-13,,Defensive rebound by N. Batum
7:11.0,,,3-13,,Turnover by W. Matthews (lost ball)
6:53.0,T. Gibson misses 2-pt shot from 13 ft,,3-13,,
6:53.0,,,3-13,,Defensive rebound by W. Matthews
6:46.0,,,3-16,3,D. Lillard makes 3-pt shot from 24 ft
6:41.0,Chicago full timeout,,3-16,,
6:32.0,M. Dunleavy misses 2-pt shot from 1 ft,,3-16,,
6:31.0,,,3-16,,Defensive rebound by R. Lopez
6:21.0,,,3-18,2,R. Lopez makes 2-pt shot from 1 ft (assist by D. Lillard)
6:05.0,Shooting foul by N. Batum (drawn by M. Dunleavy),,3-18,,
6:05.0,M. Dunleavy makes free throw 1 of 2,1,4-18,,
6:05.0,M. Dunleavy makes free throw 2 of 2,1,5-18,,
5:44.0,,,5-18,,L. Aldridge misses 2-pt shot from 8 ft (block by J. Noah)
5:42.0,Defensive rebound by M. Dunleavy,,5-18,,
5:35.0,A. Brooks makes 2-pt shot from 15 ft,2,7-18,,
5:21.0,,,7-20,2,L. Aldridge makes 2-pt shot from 20 ft (assist by D. Lillard)
5:04.0,Turnover by A. Brooks (bad pass; steal by N. Batum),,7-20,,
5:03.0,Personal foul by A. Brooks (drawn by N. Batum),,7-20,,
5:03.0,,,7-20,,C. Kaman enters the game for R. Lopez
5:03.0,,,7-20,,S. Blake enters the game for N. Batum
5:03.0,N. Mirotic enters the game for J. Noah,,7-20,,
4:50.0,,,7-20,,W. Matthews misses 2-pt shot from 6 ft
4:49.0,Defensive rebound by T. Gibson,,7-20,,
4:39.0,T. Gibson misses 2-pt shot from 4 ft,,7-20,,
4:38.0,,,7-20,,Defensive rebound by L. Aldridge
4:22.0,,,7-22,2,W. Matthews makes 2-pt shot from 1 ft
4:22.0,,,7-22,,Shooting foul by M. Dunleavy (drawn by W. Matthews)
4:22.0,,,7-22,,W. Matthews misses free throw 1 of 1
4:21.0,Defensive rebound by T. Gibson,,7-22,,
4:11.0,Shooting foul by C. Kaman (drawn by J. Butler),,7-22,,
4:11.0,J. Butler makes free throw 1 of 2,1,8-22,,
4:11.0,,,8-22,,A. Crabbe enters the game for W. Matthews
4:11.0,T. Snell enters the game for M. Dunleavy,,8-22,,
4:11.0,J. Butler makes free throw 2 of 2,1,9-22,,
3:57.0,,,9-25,3,L. Aldridge makes 3-pt shot from 22 ft (assist by D. Lillard)
3:44.0,A. Brooks misses 2-pt shot from 14 ft,,9-25,,
3:43.0,,,9-25,,Defensive rebound by S. Blake
3:33.0,,,9-25,,Shooting foul by T. Gibson (drawn by C. Kaman)
3:33.0,,,9-25,,C. Kaman misses free throw 1 of 2
3:33.0,,,9-25,,Offensive rebound by Team
3:33.0,,,9-26,1,C. Kaman makes free throw 2 of 2
3:13.0,T. Gibson makes 2-pt shot from 14 ft (assist by A. Brooks),2,11-26,,
3:00.0,,,11-28,2,L. Aldridge makes 2-pt shot from 4 ft
2:46.0,,,11-28,,Personal foul by A. Crabbe (drawn by J. Butler)
2:46.0,,,11-28,,Portland full timeout
2:46.0,,,11-28,,W. Barton enters the game for D. Lillard
2:33.0,J. Butler misses 2-pt shot from 4 ft,,11-28,,
2:31.0,Offensive rebound by T. Gibson,,11-28,,
2:31.0,,,11-28,,Violation by L. Aldridge (def goaltending)
2:31.0,T. Gibson makes 2-pt shot at rim,2,13-28,,
2:12.0,,,13-28,,S. Blake misses 3-pt shot from 23 ft
2:11.0,Defensive rebound by T. Snell,,13-28,,
1:59.0,N. Mirotic misses 2-pt shot from 8 ft,,13-28,,
1:58.0,,,13-28,,Defensive rebound by L. Aldridge
1:49.0,,,13-28,,A. Crabbe misses 3-pt shot from 24 ft
1:49.0,Defensive rebound by N. Mirotic,,13-28,,
1:35.0,Shooting foul by C. Kaman (drawn by T. Gibson),,13-28,,
1:35.0,T. Gibson misses free throw 1 of 2,,13-28,,
1:35.0,Offensive rebound by Team,,13-28,,
1:35.0,D. McDermott enters the game for J. Butler,,13-28,,
1:35.0,T. Gibson makes free throw 2 of 2,1,14-28,,
1:12.0,,,14-28,,C. Kaman misses 2-pt shot from 17 ft
1:11.0,Defensive rebound by D. McDermott,,14-28,,
1:04.0,N. Mirotic makes 2-pt shot from 2 ft (assist by A. Brooks),2,16-28,,
0:51.0,,,16-30,2,L. Aldridge makes 2-pt shot from 1 ft (assist by S. Blake)
0:51.0,Shooting block foul by T. Gibson (drawn by L. Aldridge),,16-30,,
0:51.0,N. Mohammed enters the game for T. Gibson,,16-30,,
0:51.0,,,16-30,,L. Aldridge misses free throw 1 of 1
0:50.0,Defensive rebound by N. Mirotic,,16-30,,
0:42.0,N. Mirotic makes 3-pt shot from 24 ft,3,19-30,,
0:30.0,,,19-30,,S. Blake misses 3-pt shot from 24 ft
0:29.0,Defensive rebound by D. McDermott,,19-30,,
0:24.0,,,19-30,,Personal block foul by S. Blake (drawn by A. Brooks)
0:24.0,A. Brooks makes free throw 1 of 2,1,20-30,,
0:24.0,,,20-30,,D. Lillard enters the game for W. Barton
0:24.0,E. Moore enters the game for D. McDermott,,20-30,,
0:24.0,A. Brooks makes free throw 2 of 2,1,21-30,,
0:01.0,,,21-32,2,C. Kaman makes 2-pt shot from 2 ft (assist by D. Lillard)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,D. McDermott misses 2-pt shot from 20 ft,,21-32,,
11:45.0,,,21-32,,Defensive rebound by J. Freeland
11:36.0,,,21-34,2,C. Kaman makes 2-pt shot from 17 ft (assist by S. Blake)
11:24.0,Turnover by N. Mohammed (offensive foul),,21-34,,
11:24.0,Offensive foul by N. Mohammed,,21-34,,
11:05.0,,,21-34,,C. Kaman misses 2-pt shot from 7 ft
11:05.0,Defensive rebound by N. Mirotic,,21-34,,
11:01.0,Shooting foul by J. Freeland (drawn by N. Mirotic),,21-34,,
11:01.0,N. Mirotic makes free throw 1 of 2,1,22-34,,
11:01.0,N. Mirotic makes free throw 2 of 2,1,23-34,,
10:41.0,,,23-34,,C. Kaman misses 2-pt shot from 4 ft
10:40.0,,,23-34,,Offensive rebound by J. Freeland
10:25.0,,,23-34,,Turnover by W. Barton (step out of bounds)
10:13.0,E. Moore makes 2-pt shot from 19 ft (assist by N. Mohammed),2,25-34,,
10:01.0,,,25-34,,N. Batum misses 3-pt shot from 24 ft
10:00.0,Defensive rebound by N. Mirotic,,25-34,,
9:54.0,,,25-34,,Personal foul by J. Freeland (drawn by N. Mirotic)
9:46.0,D. McDermott makes 2-pt shot at rim (assist by E. Moore),2,27-34,,
9:32.0,,,27-36,2,C. Kaman makes 2-pt shot from 16 ft
9:32.0,,,27-36,,Shooting foul by N. Mohammed (drawn by C. Kaman)
9:32.0,,,27-37,1,C. Kaman makes free throw 1 of 1
9:24.0,N. Mirotic misses 3-pt shot from 25 ft,,27-37,,
9:22.0,,,27-37,,Defensive rebound by Team
9:02.0,,,27-37,,C. Kaman misses 2-pt shot from 5 ft
9:01.0,,,27-37,,Offensive rebound by J. Freeland
9:01.0,,,27-37,,J. Freeland misses 2-pt shot from 1 ft
8:59.0,Defensive rebound by N. Mirotic,,27-37,,
8:42.0,D. McDermott misses 3-pt shot from 25 ft,,27-37,,
8:41.0,,,27-37,,Defensive rebound by S. Blake
8:37.0,,,27-37,,Shooting foul by D. McDermott (drawn by J. Freeland)
8:37.0,Official timeout,,27-37,,
8:37.0,,,27-38,1,J. Freeland makes free throw 1 of 2
8:37.0,,,27-39,1,J. Freeland makes free throw 2 of 2
8:24.0,D. McDermott makes 2-pt shot from 20 ft (assist by N. Mirotic),2,29-39,,
8:05.0,,,29-39,,J. Freeland misses 2-pt shot from 2 ft (block by N. Mohammed)
8:03.0,Defensive rebound by D. McDermott,,29-39,,
7:55.0,T. Snell makes 3-pt shot from 26 ft,3,32-39,,
7:41.0,,,32-39,,C. Kaman misses 2-pt shot from 14 ft
7:40.0,Defensive rebound by N. Mohammed,,32-39,,
7:31.0,E. Moore misses 2-pt shot from 13 ft,,32-39,,
7:30.0,Offensive rebound by N. Mohammed,,32-39,,
7:28.0,N. Mohammed misses 2-pt shot from 1 ft (block by C. Kaman),,32-39,,
7:26.0,Offensive rebound by E. Moore,,32-39,,
7:20.0,E. Moore makes 3-pt shot from 23 ft,3,35-39,,
7:18.0,,,35-39,,Portland full timeout
7:18.0,,,35-39,,D. Lillard enters the game for N. Batum
7:18.0,,,35-39,,W. Matthews enters the game for C. Kaman
7:18.0,,,35-39,,A. Crabbe enters the game for S. Blake
7:18.0,,,35-39,,R. Lopez enters the game for W. Barton
7:15.0,Personal foul by E. Moore (drawn by A. Crabbe),,35-39,,
6:58.0,,,35-39,,Shooting foul by N. Mirotic (drawn by W. Matthews)
6:58.0,,,35-40,1,W. Matthews makes free throw 1 of 2
6:58.0,,,35-41,1,W. Matthews makes free throw 2 of 2
6:43.0,N. Mohammed misses 2-pt shot from 17 ft,,35-41,,
6:42.0,,,35-41,,Defensive rebound by D. Lillard
6:34.0,,,35-41,,D. Lillard misses 2-pt shot from 4 ft
6:31.0,Defensive rebound by N. Mirotic,,35-41,,
6:13.0,N. Mirotic makes 2-pt shot from 1 ft,2,37-41,,
5:57.0,,,37-43,2,A. Crabbe makes 2-pt shot at rim (assist by R. Lopez)
5:40.0,E. Moore misses 2-pt shot from 18 ft,,37-43,,
5:40.0,Offensive rebound by Team,,37-43,,
5:40.0,,,37-43,,Loose ball foul by W. Matthews (drawn by N. Mirotic)
5:35.0,D. McDermott misses 3-pt shot from 23 ft,,37-43,,
5:34.0,,,37-43,,Defensive rebound by J. Freeland
5:24.0,,,37-45,2,W. Matthews makes 2-pt shot from 3 ft (assist by D. Lillard)
5:06.0,E. Moore makes 2-pt shot from 5 ft,2,39-45,,
4:46.0,,,39-48,3,D. Lillard makes 3-pt shot from 25 ft (assist by W. Matthews)
4:30.0,N. Mirotic misses 2-pt shot from 1 ft,,39-48,,
4:28.0,,,39-48,,Defensive rebound by D. Lillard
4:20.0,,,39-51,3,D. Lillard makes 3-pt shot from 24 ft (assist by A. Crabbe)
4:07.0,Chicago full timeout,,39-51,,
4:07.0,J. Noah enters the game for D. McDermott,,39-51,,
4:07.0,J. Butler enters the game for N. Mohammed,,39-51,,
4:07.0,,,39-51,,L. Aldridge enters the game for J. Freeland
4:04.0,Offensive foul by J. Noah,,39-51,,
4:04.0,Turnover by J. Noah (offensive foul),,39-51,,
3:49.0,,,39-53,2,W. Matthews makes 2-pt shot at rim (assist by L. Aldridge)
3:30.0,E. Moore misses 2-pt shot from 3 ft,,39-53,,
3:29.0,Offensive rebound by J. Noah,,39-53,,
3:29.0,J. Noah misses 2-pt shot at rim,,39-53,,
3:28.0,,,39-53,,Defensive rebound by A. Crabbe
3:15.0,,,39-53,,L. Aldridge misses 2-pt shot from 20 ft
3:14.0,Defensive rebound by T. Snell,,39-53,,
2:56.0,N. Mirotic misses 3-pt shot from 25 ft,,39-53,,
2:55.0,,,39-53,,Defensive rebound by D. Lillard
2:46.0,,,39-55,2,D. Lillard makes 2-pt shot from 1 ft
