time,Detroit,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. N. Pekovic (J. Smith gains possession),,,,Jump ball: A. Drummond vs. N. Pekovic (J. Smith gains possession)
11:47.0,K. Caldwell-Pope makes 2-pt shot from 2 ft (assist by J. Smith),2,2-0,,
11:32.0,,,2-0,,N. Pekovic misses 2-pt shot from 8 ft
11:31.0,,,2-0,,Offensive rebound by R. Rubio
11:27.0,,,2-0,,T. Young misses 3-pt shot from 24 ft
11:26.0,Defensive rebound by A. Drummond,,2-0,,
11:05.0,A. Drummond misses 2-pt shot from 11 ft,,2-0,,
11:04.0,Offensive rebound by K. Caldwell-Pope,,2-0,,
11:04.0,K. Caldwell-Pope makes 2-pt shot from 1 ft,2,4-0,,
10:51.0,Loose ball foul by B. Jennings (drawn by R. Rubio),,4-0,,
10:42.0,,,4-2,2,C. Brewer makes 2-pt shot from 9 ft (assist by R. Rubio)
10:28.0,A. Drummond misses 2-pt shot from 5 ft,,4-2,,
10:27.0,,,4-2,,Defensive rebound by R. Rubio
10:19.0,,,4-2,,A. Wiggins misses 2-pt shot from 1 ft
10:17.0,,,4-2,,Offensive rebound by N. Pekovic
10:17.0,,,4-4,2,N. Pekovic makes 2-pt shot at rim
10:05.0,B. Jennings misses 2-pt shot from 11 ft,,4-4,,
10:03.0,,,4-4,,Defensive rebound by T. Young
9:56.0,,,4-4,,Offensive charge foul by N. Pekovic
9:56.0,,,4-4,,Turnover by N. Pekovic (offensive foul)
9:38.0,A. Drummond misses 2-pt shot from 10 ft,,4-4,,
9:37.0,,,4-4,,Defensive rebound by C. Brewer
9:29.0,,,4-4,,N. Pekovic misses 2-pt shot from 1 ft
9:27.0,Defensive rebound by Team,,4-4,,
9:27.0,Jump ball: A. Drummond vs. N. Pekovic,,,,Jump ball: A. Drummond vs. N. Pekovic
9:27.0,,,4-4,,Violation by Team (jump ball)
9:27.0,,,4-4,,Turnover by N. Pekovic (jump ball violation.)
9:13.0,J. Smith makes 2-pt shot from 2 ft (assist by B. Jennings),2,6-4,,
9:00.0,,,6-4,,A. Wiggins misses 2-pt shot from 7 ft
8:59.0,,,6-4,,Offensive rebound by R. Rubio
8:53.0,,,6-7,3,T. Young makes 3-pt shot from 24 ft (assist by R. Rubio)
8:34.0,J. Smith misses 2-pt shot from 20 ft,,6-7,,
8:33.0,Offensive rebound by B. Jennings,,6-7,,
8:31.0,B. Jennings makes 2-pt shot at rim,2,8-7,,
8:11.0,,,8-7,,A. Wiggins misses 2-pt shot from 22 ft
8:10.0,,,8-7,,Offensive rebound by Team
7:58.0,,,8-10,3,C. Brewer makes 3-pt shot from 22 ft (assist by R. Rubio)
7:42.0,Offensive foul by J. Smith,,8-10,,
7:42.0,Turnover by J. Smith (offensive foul),,8-10,,
7:32.0,,,8-10,,Offensive foul by A. Wiggins
7:32.0,,,8-10,,Turnover by A. Wiggins (offensive foul)
7:08.0,B. Jennings misses 2-pt shot from 5 ft,,8-10,,
7:07.0,,,8-10,,Defensive rebound by R. Rubio
6:59.0,,,8-10,,Shooting foul by A. Drummond (drawn by T. Young)
6:59.0,,,8-11,1,T. Young makes free throw 1 of 2
6:59.0,,,8-12,1,T. Young makes free throw 2 of 2
6:44.0,K. Caldwell-Pope misses 3-pt shot from 24 ft,,8-12,,
6:42.0,,,8-12,,Defensive rebound by T. Young
6:35.0,,,8-12,,R. Rubio misses 2-pt shot at rim
6:34.0,Defensive rebound by A. Drummond,,8-12,,
6:24.0,K. Caldwell-Pope misses 2-pt shot from 10 ft,,8-12,,
6:22.0,,,8-12,,Defensive rebound by T. Young
6:11.0,,,8-12,,N. Pekovic misses 2-pt shot from 1 ft (block by A. Drummond)
6:10.0,Defensive rebound by K. Singler,,8-12,,
6:04.0,,,8-12,,Personal foul by T. Young (drawn by A. Drummond)
5:50.0,K. Singler misses 2-pt shot from 21 ft,,8-12,,
5:49.0,,,8-12,,Defensive rebound by C. Brewer
5:40.0,,,8-12,,T. Young misses 3-pt shot from 24 ft
5:39.0,Defensive rebound by B. Jennings,,8-12,,
5:33.0,Turnover by B. Jennings (bad pass; steal by T. Young),,8-12,,
5:30.0,,,8-12,,Turnover by T. Young (bad pass; steal by K. Caldwell-Pope)
5:25.0,K. Singler makes 3-pt shot from 23 ft (assist by B. Jennings),3,11-12,,
5:15.0,,,11-12,,Minnesota full timeout
5:15.0,C. Butler enters the game for K. Caldwell-Pope,,11-12,,
4:58.0,,,11-12,,R. Rubio misses 2-pt shot from 14 ft
4:56.0,Defensive rebound by A. Drummond,,11-12,,
4:42.0,A. Drummond misses 2-pt shot from 1 ft,,11-12,,
4:41.0,,,11-12,,Defensive rebound by N. Pekovic
4:38.0,,,11-12,,Turnover by N. Pekovic (traveling)
4:38.0,,,11-12,,G. Dieng enters the game for N. Pekovic
4:38.0,,,11-12,,K. Martin enters the game for A. Wiggins
4:25.0,Turnover by A. Drummond (lost ball; steal by K. Martin),,11-12,,
4:22.0,,,11-12,,Shooting foul by C. Butler (drawn by C. Brewer)
4:22.0,,,11-12,,C. Brewer misses free throw 1 of 2
4:22.0,,,11-12,,Offensive rebound by Team
4:22.0,,,11-13,1,C. Brewer makes free throw 2 of 2
4:07.0,J. Smith makes 2-pt shot from 19 ft (assist by B. Jennings),2,13-13,,
3:49.0,,,13-15,2,R. Rubio makes 2-pt shot from 19 ft (assist by K. Martin)
3:35.0,C. Butler misses 2-pt shot from 21 ft,,13-15,,
3:34.0,Offensive rebound by Team,,13-15,,
3:21.0,A. Drummond makes 2-pt shot from 4 ft (assist by B. Jennings),2,15-15,,
3:00.0,,,15-17,2,R. Rubio makes 2-pt shot from 19 ft
