time,Dallas,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. A. Drummond (B. Jennings gains possession),,,,Jump ball: T. Chandler vs. A. Drummond (B. Jennings gains possession)
11:46.0,,,0-3,3,K. Caldwell-Pope makes 3-pt shot from 26 ft (assist by B. Jennings)
11:20.0,T. Chandler misses 2-pt shot from 18 ft,,0-3,,
11:18.0,,,0-3,,Defensive rebound by K. Caldwell-Pope
11:10.0,,,0-6,3,K. Singler makes 3-pt shot from 25 ft (assist by B. Jennings)
10:58.0,T. Chandler makes 2-pt shot at rim (assist by M. Ellis),2,2-6,,
10:39.0,,,2-6,,K. Caldwell-Pope misses 2-pt shot from 18 ft
10:38.0,Defensive rebound by J. Nelson,,2-6,,
10:20.0,M. Ellis misses 2-pt shot from 19 ft,,2-6,,
10:19.0,,,2-6,,Defensive rebound by J. Smith
10:14.0,,,2-8,2,A. Drummond makes 2-pt shot at rim (assist by J. Smith)
9:57.0,C. Parsons misses 3-pt shot from 25 ft,,2-8,,
9:56.0,Offensive rebound by T. Chandler,,2-8,,
9:47.0,D. Nowitzki makes 2-pt shot from 18 ft (assist by T. Chandler),2,4-8,,
9:31.0,,,4-8,,Turnover by B. Jennings (bad pass; steal by T. Chandler)
9:26.0,M. Ellis makes 2-pt shot at rim,2,6-8,,
9:26.0,,,6-8,,Violation by K. Singler (def goaltending)
9:06.0,,,6-8,,B. Jennings misses 2-pt shot from 17 ft
9:05.0,Defensive rebound by J. Nelson,,6-8,,
8:48.0,J. Nelson misses 3-pt shot from 26 ft,,6-8,,
8:47.0,,,6-8,,Defensive rebound by A. Drummond
8:38.0,,,6-8,,K. Caldwell-Pope misses 2-pt shot from 15 ft
8:37.0,Defensive rebound by T. Chandler,,6-8,,
8:31.0,Shooting foul by K. Caldwell-Pope (drawn by M. Ellis),,6-8,,
8:31.0,M. Ellis makes free throw 1 of 2,1,7-8,,
8:31.0,M. Ellis misses free throw 2 of 2,,7-8,,
8:30.0,,,7-8,,Defensive rebound by A. Drummond
8:13.0,,,7-8,,K. Caldwell-Pope misses 3-pt shot from 22 ft
8:12.0,,,7-8,,Offensive rebound by A. Drummond
8:09.0,,,7-10,2,A. Drummond makes 2-pt shot at rim
7:59.0,C. Parsons makes 2-pt shot from 7 ft (assist by D. Nowitzki),2,9-10,,
7:53.0,,,9-10,,Detroit full timeout
7:42.0,,,9-12,2,A. Drummond makes 2-pt shot at rim (assist by B. Jennings)
7:25.0,C. Parsons misses 3-pt shot from 23 ft,,9-12,,
7:24.0,,,9-12,,Defensive rebound by A. Drummond
7:16.0,,,9-12,,B. Jennings misses 2-pt shot at rim
7:15.0,,,9-12,,Offensive rebound by A. Drummond
7:13.0,,,9-14,2,A. Drummond makes 2-pt shot at rim
7:07.0,Turnover by M. Ellis (bad pass; steal by J. Smith),,9-14,,
6:59.0,,,9-14,,A. Drummond misses 2-pt shot at rim
6:57.0,Defensive rebound by D. Nowitzki,,9-14,,
6:47.0,J. Nelson misses 2-pt shot from 5 ft,,9-14,,
6:46.0,,,9-14,,Defensive rebound by A. Drummond
6:41.0,,,9-16,2,J. Smith makes 2-pt shot at rim
6:20.0,Shooting foul by J. Smith (drawn by D. Nowitzki),,9-16,,
6:20.0,D. Nowitzki makes free throw 1 of 2,1,10-16,,
6:20.0,D. Nowitzki makes free throw 2 of 2,1,11-16,,
6:10.0,,,11-18,2,B. Jennings makes 2-pt shot at rim (assist by J. Smith)
6:02.0,T. Chandler makes 2-pt shot at rim (assist by M. Ellis),2,13-18,,
6:02.0,Shooting foul by K. Singler (drawn by T. Chandler),,13-18,,
6:02.0,A. Aminu enters the game for D. Nowitzki,,13-18,,
6:02.0,T. Chandler makes free throw 1 of 1,1,14-18,,
5:48.0,,,14-20,2,J. Smith makes 2-pt shot from 19 ft (assist by B. Jennings)
5:33.0,T. Chandler misses 2-pt shot from 3 ft (block by J. Smith),,14-20,,
5:32.0,Offensive rebound by C. Parsons,,14-20,,
5:32.0,C. Parsons misses 2-pt shot from 1 ft,,14-20,,
5:30.0,Offensive rebound by T. Chandler,,14-20,,
5:24.0,M. Ellis makes 2-pt shot at rim (assist by T. Chandler),2,16-20,,
5:12.0,,,16-20,,B. Jennings misses 3-pt shot from 26 ft
5:11.0,Defensive rebound by M. Ellis,,16-20,,
5:02.0,A. Aminu makes 2-pt shot at rim (assist by T. Chandler),2,18-20,,
4:48.0,,,18-23,3,K. Singler makes 3-pt shot from 26 ft (assist by J. Smith)
4:38.0,Dallas full timeout,,18-23,,
4:38.0,D. Harris enters the game for T. Chandler,,18-23,,
4:38.0,B. Wright enters the game for J. Nelson,,18-23,,
4:38.0,,,18-23,,G. Monroe enters the game for A. Drummond
4:38.0,,,18-23,,J. Meeks enters the game for K. Caldwell-Pope
4:29.0,C. Parsons misses 2-pt shot from 4 ft,,18-23,,
4:29.0,Offensive rebound by Team,,18-23,,
4:13.0,A. Aminu misses 2-pt shot from 19 ft,,18-23,,
4:12.0,,,18-23,,Defensive rebound by J. Meeks
3:57.0,,,18-23,,Shooting foul by A. Aminu (drawn by J. Smith)
3:57.0,,,18-23,,J. Smith misses free throw 1 of 2
3:57.0,,,18-23,,Offensive rebound by Team
3:57.0,,,18-24,1,J. Smith makes free throw 2 of 2
3:47.0,Turnover by M. Ellis (bad pass; steal by J. Smith),,18-24,,
3:39.0,,,18-26,2,B. Jennings makes 2-pt shot at rim
3:24.0,C. Parsons makes 2-pt shot at rim,2,20-26,,
3:24.0,Shooting foul by K. Singler (drawn by C. Parsons),,20-26,,
3:24.0,R. Jefferson enters the game for A. Aminu,,20-26,,
3:24.0,,,20-26,,C. Butler enters the game for K. Singler
3:24.0,C. Parsons makes free throw 1 of 1,1,21-26,,
3:19.0,,,21-26,,Shooting foul by B. Wright (drawn by B. Jennings)
3:19.0,,,21-27,1,B. Jennings makes free throw 1 of 2
3:19.0,,,21-28,1,B. Jennings makes free throw 2 of 2
3:03.0,Shooting foul by J. Meeks (drawn by B. Wright),,21-28,,
3:03.0,B. Wright makes free throw 1 of 2,1,22-28,,
3:03.0,B. Wright makes free throw 2 of 2,1,23-28,,
2:49.0,,,23-30,2,J. Meeks makes 2-pt shot from 16 ft (assist by B. Jennings)
2:42.0,M. Ellis makes 2-pt shot at rim (assist by D. Harris),2,25-30,,
2:26.0,,,25-30,,Turnover by J. Smith (lost ball; steal by D. Harris)
2:20.0,M. Ellis makes 2-pt shot at rim (assist by D. Harris),2,27-30,,
2:05.0,,,27-30,,J. Meeks misses 2-pt shot from 15 ft
2:04.0,Defensive rebound by C. Parsons,,27-30,,
1:53.0,D. Harris makes 3-pt shot from 25 ft (assist by M. Ellis),3,30-30,,
1:32.0,,,30-30,,G. Monroe misses 2-pt shot from 5 ft (block by B. Wright)
1:31.0,Defensive rebound by R. Jefferson,,30-30,,
1:26.0,C. Parsons makes 2-pt shot at rim,2,32-30,,
1:18.0,,,32-30,,Detroit full timeout
1:18.0,D. Nowitzki enters the game for C. Parsons,,32-30,,
1:18.0,J. Barea enters the game for M. Ellis,,32-30,,
1:07.0,,,32-30,,J. Meeks misses 3-pt shot from 24 ft
1:06.0,Defensive rebound by D. Nowitzki,,32-30,,
0:56.0,Turnover by D. Harris (palming),,32-30,,
0:45.0,Personal foul by J. Barea (drawn by B. Jennings),,32-30,,
0:37.0,,,32-30,,B. Jennings misses 3-pt shot from 26 ft
0:35.0,Defensive rebound by D. Nowitzki,,32-30,,
0:14.0,R. Jefferson misses 3-pt shot from 24 ft,,32-30,,
0:13.0,,,32-30,,Defensive rebound by G. Monroe
0:01.0,,,32-30,,B. Jennings misses 3-pt shot from 27 ft
0:00.0,,,32-30,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,R. Jefferson misses 2-pt shot from 15 ft,,32-30,,
11:45.0,,,32-30,,Defensive rebound by A. Drummond
11:23.0,,,32-32,2,G. Monroe makes 2-pt shot from 1 ft (assist by C. Butler)
11:09.0,B. Wright misses 2-pt shot from 1 ft,,32-32,,
11:08.0,,,32-32,,Defensive rebound by G. Monroe
10:59.0,,,32-32,,Shooting foul by R. Jefferson (drawn by A. Drummond)
10:59.0,,,32-32,,A. Drummond misses free throw 1 of 2
10:59.0,,,32-32,,Offensive rebound by Team
10:59.0,T. Chandler enters the game for B. Wright,,32-32,,
10:59.0,,,32-32,,A. Drummond misses free throw 2 of 2
10:58.0,Defensive rebound by D. Nowitzki,,32-32,,
10:49.0,Turnover by J. Barea (bad pass),,32-32,,
10:25.0,,,32-35,3,C. Butler makes 3-pt shot from 25 ft
10:02.0,D. Nowitzki misses 2-pt shot from 16 ft (block by A. Drummond),,32-35,,
10:01.0,,,32-35,,Defensive rebound by J. Meeks
9:58.0,Violation by D. Harris (kicked ball),,32-35,,
9:42.0,,,32-35,,G. Monroe misses 2-pt shot from 7 ft
9:40.0,Defensive rebound by J. Barea,,32-35,,
9:34.0,D. Nowitzki misses 2-pt shot from 17 ft,,32-35,,
9:33.0,,,32-35,,Defensive rebound by G. Monroe
9:26.0,,,32-38,3,D. Augustin makes 3-pt shot from 26 ft
9:07.0,D. Nowitzki makes 3-pt shot from 24 ft (assist by D. Harris),3,35-38,,
8:45.0,,,35-38,,C. Butler misses 3-pt shot from 26 ft
8:44.0,Defensive rebound by D. Harris,,35-38,,
8:35.0,Turnover by R. Jefferson (lost ball; steal by C. Butler),,35-38,,
8:30.0,,,35-38,,Shooting foul by R. Jefferson (drawn by A. Drummond)
8:30.0,Official timeout,,35-38,,
8:30.0,J. Crowder enters the game for R. Jefferson,,35-38,,
8:30.0,,,35-39,1,A. Drummond makes free throw 1 of 2
8:30.0,,,35-39,,A. Drummond misses free throw 2 of 2
8:29.0,Defensive rebound by D. Nowitzki,,35-39,,
8:18.0,,,35-39,,Personal foul by G. Monroe (drawn by D. Nowitzki)
8:06.0,J. Barea makes 3-pt shot from 26 ft (assist by T. Chandler),3,38-39,,
7:40.0,,,38-39,,C. Butler misses 2-pt shot from 8 ft
7:39.0,Defensive rebound by D. Nowitzki,,38-39,,
7:32.0,D. Harris misses 3-pt shot from 27 ft,,38-39,,
7:31.0,Offensive rebound by J. Crowder,,38-39,,
