time,Washington,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. J. Hill (J. Clarkson gains possession),,,,Jump ball: M. Gortat vs. J. Hill (J. Clarkson gains possession)
11:45.0,,,0-0,,R. Kelly misses 2-pt shot from 14 ft
11:43.0,Defensive rebound by M. Gortat,,0-0,,
11:35.0,O. Porter makes 3-pt shot from 22 ft (assist by J. Wall),3,3-0,,
11:20.0,,,3-2,2,W. Ellington makes 2-pt shot from 7 ft
10:59.0,N. Hilario misses 2-pt shot from 17 ft,,3-2,,
10:58.0,,,3-2,,Defensive rebound by J. Clarkson
10:48.0,,,3-2,,J. Clarkson misses 2-pt shot from 19 ft
10:47.0,Defensive rebound by M. Gortat,,3-2,,
10:32.0,O. Porter makes 2-pt shot from 17 ft (assist by N. Hilario),2,5-2,,
10:11.0,,,5-2,,J. Hill misses 2-pt shot from 9 ft
10:07.0,Defensive rebound by O. Porter,,5-2,,
9:59.0,J. Wall misses 2-pt shot from 5 ft,,5-2,,
9:56.0,,,5-2,,Defensive rebound by J. Hill
9:49.0,,,5-4,2,R. Sacre makes 2-pt shot from 11 ft (assist by W. Ellington)
9:26.0,M. Gortat misses 2-pt shot from 9 ft,,5-4,,
9:23.0,,,5-4,,Defensive rebound by R. Sacre
9:15.0,,,5-6,2,J. Clarkson makes 2-pt shot from 9 ft
8:58.0,O. Porter misses 2-pt shot from 21 ft,,5-6,,
8:57.0,Offensive rebound by M. Gortat,,5-6,,
8:43.0,B. Beal makes 2-pt shot at rim (assist by J. Wall),2,7-6,,
8:27.0,,,7-9,3,W. Ellington makes 3-pt shot from 26 ft (assist by J. Clarkson)
8:27.0,,,7-9,,Shooting foul by B. Beal (drawn by W. Ellington)
8:27.0,,,7-10,1,W. Ellington makes free throw 1 of 1
8:15.0,B. Beal misses 2-pt shot from 20 ft,,7-10,,
8:14.0,,,7-10,,Defensive rebound by W. Ellington
8:12.0,Personal foul by O. Porter (drawn by W. Ellington),,7-10,,
7:58.0,,,7-12,2,W. Ellington makes 2-pt shot from 1 ft (assist by R. Sacre)
7:48.0,O. Porter misses 2-pt shot from 16 ft,,7-12,,
7:46.0,,,7-12,,Defensive rebound by J. Hill
7:35.0,,,7-12,,J. Clarkson misses 2-pt shot from 2 ft
7:34.0,,,7-12,,Offensive rebound by J. Hill
7:32.0,,,7-14,2,J. Hill makes 2-pt shot at rim
7:16.0,N. Hilario misses 2-pt shot from 2 ft (block by R. Sacre),,7-14,,
7:14.0,Offensive rebound by J. Wall,,7-14,,
7:14.0,Shooting foul by J. Clarkson (drawn by N. Hilario),,7-14,,
7:14.0,N. Hilario misses free throw 1 of 2,,7-14,,
7:14.0,Offensive rebound by Team,,7-14,,
7:14.0,N. Hilario makes free throw 2 of 2,1,8-14,,
6:59.0,,,8-16,2,J. Clarkson makes 2-pt shot at rim
6:46.0,N. Hilario makes 2-pt shot from 18 ft (assist by J. Wall),2,10-16,,
6:21.0,,,10-16,,J. Hill misses 2-pt shot from 20 ft
6:19.0,,,10-16,,Offensive rebound by R. Sacre
6:17.0,,,10-16,,R. Sacre misses 2-pt shot from 5 ft
6:13.0,Defensive rebound by M. Gortat,,10-16,,
6:09.0,J. Wall misses 2-pt shot from 1 ft,,10-16,,
6:06.0,,,10-16,,Defensive rebound by R. Sacre
5:59.0,,,10-19,3,W. Ellington makes 3-pt shot from 24 ft
5:56.0,Turnover by J. Wall (bad pass; steal by J. Clarkson),,10-19,,
5:44.0,,,10-19,,J. Hill misses 2-pt shot from 19 ft
5:43.0,Defensive rebound by J. Wall,,10-19,,
5:37.0,B. Beal makes 2-pt shot from 1 ft (assist by J. Wall),2,12-19,,
5:30.0,,,12-19,,LA Lakers full timeout
5:30.0,,,12-19,,J. Lin enters the game for W. Ellington
5:11.0,,,12-19,,J. Hill misses 2-pt shot from 13 ft
5:09.0,Defensive rebound by J. Wall,,12-19,,
5:06.0,Shooting foul by J. Lin (drawn by J. Wall),,12-19,,
5:06.0,J. Wall makes free throw 1 of 2,1,13-19,,
5:06.0,J. Wall misses free throw 2 of 2,,13-19,,
5:03.0,,,13-19,,Defensive rebound by R. Kelly
4:53.0,,,13-21,2,R. Sacre makes 2-pt shot from 13 ft (assist by J. Clarkson)
4:42.0,B. Beal misses 3-pt shot from 25 ft,,13-21,,
4:41.0,,,13-21,,Defensive rebound by R. Sacre
4:22.0,,,13-21,,R. Sacre misses 2-pt shot from 17 ft
4:21.0,,,13-21,,Offensive rebound by R. Kelly
4:15.0,,,13-21,,R. Kelly misses 2-pt shot from 17 ft
