time,Toronto,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. J. Valanciunas (N. Hilario gains possession),,,,Jump ball: M. Gortat vs. J. Valanciunas (N. Hilario gains possession)
11:46.0,,,0-0,,Turnover by B. Beal (lost ball; steal by J. Valanciunas)
11:22.0,G. Vasquez makes 3-pt shot from 23 ft (assist by J. Valanciunas),3,3-0,,
11:09.0,,,3-0,,Shooting foul by G. Vasquez (drawn by M. Gortat)
11:09.0,,,3-1,1,M. Gortat makes free throw 1 of 2
11:09.0,,,3-2,1,M. Gortat makes free throw 2 of 2
10:49.0,G. Vasquez makes 2-pt shot from 4 ft (assist by D. DeRozan),2,5-2,,
10:34.0,,,5-5,3,P. Pierce makes 3-pt shot from 23 ft (assist by M. Gortat)
10:23.0,K. Lowry makes 2-pt shot from 16 ft,2,7-5,,
10:08.0,Personal foul by K. Lowry (drawn by B. Beal),,7-5,,
9:57.0,,,7-5,,P. Pierce misses 3-pt shot from 25 ft
9:56.0,Defensive rebound by Team,,7-5,,
9:48.0,,,7-5,,Personal foul by N. Hilario (drawn by A. Johnson)
9:35.0,D. DeRozan misses 2-pt shot from 20 ft,,7-5,,
9:34.0,,,7-5,,Defensive rebound by M. Gortat
9:25.0,,,7-5,,Shooting foul by J. Valanciunas (drawn by M. Gortat)
9:25.0,,,7-5,,M. Gortat misses free throw 1 of 2
9:25.0,,,7-5,,Offensive rebound by Team
9:25.0,,,7-5,,M. Gortat misses free throw 2 of 2
9:24.0,Defensive rebound by A. Johnson,,7-5,,
9:03.0,Turnover by G. Vasquez (traveling),,7-5,,
8:51.0,,,7-5,,M. Gortat misses 2-pt shot from 18 ft
8:50.0,Defensive rebound by G. Vasquez,,7-5,,
8:40.0,J. Valanciunas misses 2-pt shot from 9 ft,,7-5,,
8:39.0,Offensive rebound by D. DeRozan,,7-5,,
8:37.0,D. DeRozan makes 2-pt shot from 2 ft,2,9-5,,
8:32.0,,,9-5,,Shooting foul by J. Valanciunas (drawn by N. Hilario)
8:32.0,,,9-5,,N. Hilario misses free throw 1 of 2
8:32.0,,,9-5,,Offensive rebound by Team
8:32.0,P. Patterson enters the game for J. Valanciunas,,9-5,,
8:32.0,,,9-6,1,N. Hilario makes free throw 2 of 2
8:14.0,A. Johnson makes 3-pt shot from 26 ft (assist by G. Vasquez),3,12-6,,
7:57.0,,,12-6,,Turnover by P. Pierce (traveling)
7:44.0,D. DeRozan misses 2-pt shot from 2 ft (block by M. Gortat),,12-6,,
7:42.0,,,12-6,,Defensive rebound by J. Wall
7:38.0,,,12-9,3,B. Beal makes 3-pt shot from 25 ft (assist by J. Wall)
7:16.0,D. DeRozan misses 2-pt shot from 15 ft,,12-9,,
7:16.0,,,12-9,,Defensive rebound by Team
7:06.0,,,12-11,2,N. Hilario makes 2-pt shot at rim (assist by B. Beal)
6:44.0,Turnover by A. Johnson (3 sec),,12-11,,
6:33.0,,,12-11,,Offensive foul by M. Gortat
6:33.0,,,12-11,,Turnover by M. Gortat (offensive foul)
6:23.0,,,12-11,,Personal foul by J. Wall (drawn by D. DeRozan)
6:15.0,K. Lowry makes 3-pt shot from 27 ft (assist by G. Vasquez),3,15-11,,
5:57.0,,,15-13,2,J. Wall makes 2-pt shot from 2 ft
5:46.0,P. Patterson makes 3-pt shot from 27 ft (assist by K. Lowry),3,18-13,,
5:29.0,,,18-15,2,N. Hilario makes 2-pt shot from 2 ft (assist by P. Pierce)
5:24.0,Toronto full timeout,,18-15,,
5:24.0,,,18-15,,K. Humphries enters the game for N. Hilario
5:09.0,K. Lowry makes 2-pt shot from 14 ft (assist by D. DeRozan),2,20-15,,
4:55.0,,,20-17,2,P. Pierce makes 2-pt shot from 13 ft (assist by J. Wall)
4:37.0,Turnover by K. Lowry (lost ball; steal by M. Gortat),,20-17,,
4:31.0,,,20-17,,K. Humphries misses 2-pt shot from 1 ft (block by A. Johnson)
4:28.0,,,20-17,,Offensive rebound by B. Beal
4:27.0,,,20-19,2,B. Beal makes 2-pt shot from 2 ft
4:07.0,G. Vasquez makes 3-pt shot from 26 ft (assist by D. DeRozan),3,23-19,,
4:01.0,,,23-19,,Turnover by M. Gortat (bad pass)
3:44.0,A. Johnson misses 2-pt shot from 3 ft,,23-19,,
3:44.0,,,23-19,,Defensive rebound by J. Wall
3:36.0,,,23-19,,J. Wall misses 2-pt shot from 14 ft
3:35.0,,,23-19,,Offensive rebound by K. Humphries
3:27.0,,,23-21,2,J. Wall makes 2-pt shot from 1 ft
3:07.0,A. Johnson misses 3-pt shot from 23 ft,,23-21,,
3:06.0,,,23-21,,Defensive rebound by P. Pierce
3:04.0,Personal foul by D. DeRozan (drawn by J. Wall),,23-21,,
3:04.0,,,23-22,1,J. Wall makes free throw 1 of 2
3:04.0,,,23-22,,O. Porter enters the game for P. Pierce
3:04.0,T. Hansbrough enters the game for A. Johnson,,23-22,,
3:04.0,L. Williams enters the game for G. Vasquez,,23-22,,
3:04.0,,,23-23,1,J. Wall makes free throw 2 of 2
2:46.0,P. Patterson makes 3-pt shot from 26 ft (assist by L. Williams),3,26-23,,
2:26.0,,,26-26,3,B. Beal makes 3-pt shot from 25 ft (assist by J. Wall)
2:10.0,,,26-26,,Personal foul by O. Porter (drawn by D. DeRozan)
2:10.0,,,26-26,,Washington full timeout
2:01.0,K. Lowry makes 2-pt shot from 21 ft,2,28-26,,
1:45.0,,,28-28,2,O. Porter makes 2-pt shot from 18 ft (assist by J. Wall)
1:18.0,Turnover by Team (shot clock),,28-28,,
1:18.0,,,28-28,,G. Temple enters the game for J. Wall
1:18.0,G. Vasquez enters the game for K. Lowry,,28-28,,
1:01.0,,,28-28,,Turnover by K. Humphries (traveling)
0:46.0,L. Williams makes 3-pt shot from 27 ft (assist by D. DeRozan),3,31-28,,
0:32.0,,,31-30,2,K. Humphries makes 2-pt shot from 18 ft (assist by G. Temple)
0:09.0,T. Hansbrough makes 2-pt shot from 16 ft (assist by L. Williams),2,33-30,,
0:01.0,,,33-30,,M. Gortat misses 2-pt shot from 20 ft
0:00.0,,,33-30,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,L. Williams makes 2-pt shot from 21 ft,2,35-30,,
11:27.0,,,35-30,,Offensive foul by O. Porter
11:27.0,,,35-30,,Turnover by O. Porter (offensive foul)
11:27.0,,,35-30,,Technical foul by Team
11:27.0,G. Vasquez makes technical free throw,1,36-30,,
11:13.0,G. Vasquez makes 3-pt shot from 24 ft (assist by P. Patterson),3,39-30,,
11:04.0,Personal foul by P. Patterson (drawn by K. Humphries),,39-30,,
11:00.0,Personal foul by T. Hansbrough (drawn by G. Temple),,39-30,,
10:49.0,,,39-30,,K. Seraphin misses 2-pt shot from 8 ft
10:48.0,Defensive rebound by L. Williams,,39-30,,
10:37.0,P. Patterson misses 3-pt shot from 25 ft,,39-30,,
10:36.0,,,39-30,,Defensive rebound by K. Seraphin
10:18.0,,,39-30,,K. Seraphin misses 2-pt shot from 16 ft
10:17.0,Defensive rebound by T. Hansbrough,,39-30,,
10:03.0,Turnover by G. Vasquez (lost ball; steal by A. Miller),,39-30,,
9:59.0,,,39-30,,Offensive foul by G. Temple
9:59.0,,,39-30,,Turnover by G. Temple (offensive foul)
9:34.0,L. Williams makes 3-pt shot from 26 ft,3,42-30,,
9:27.0,,,42-30,,Washington full timeout
9:27.0,,,42-30,,N. Hilario enters the game for K. Humphries
9:27.0,,,42-30,,R. Butler enters the game for G. Temple
9:16.0,,,42-30,,O. Porter misses 2-pt shot from 20 ft
9:14.0,Defensive rebound by P. Patterson,,42-30,,
8:54.0,P. Patterson makes 3-pt shot from 26 ft (assist by L. Williams),3,45-30,,
8:33.0,,,45-30,,Turnover by N. Hilario (bad pass)
8:33.0,,,45-30,,J. Wall enters the game for A. Miller
8:18.0,T. Hansbrough makes 2-pt shot from 1 ft (assist by G. Vasquez),2,47-30,,
8:06.0,Def 3 sec tech foul by T. Hansbrough,,47-30,,
8:06.0,,,47-31,1,J. Wall makes technical free throw
8:06.0,,,47-31,,B. Beal enters the game for O. Porter
7:58.0,,,47-31,,Shooting foul by G. Vasquez (drawn by J. Wall)
7:58.0,Technical foul by G. Vasquez (drawn by J. Wall),,47-31,,
7:58.0,,,47-31,,J. Wall misses technical free throw
7:58.0,,,47-31,,Offensive rebound by Team
7:58.0,,,47-32,1,J. Wall makes free throw 1 of 2
7:58.0,,,47-33,1,J. Wall makes free throw 2 of 2
7:41.0,P. Patterson misses 2-pt shot from 2 ft (block by K. Seraphin),,47-33,,
7:40.0,,,47-33,,Defensive rebound by B. Beal
7:33.0,,,47-33,,R. Butler misses 3-pt shot from 23 ft
7:32.0,Defensive rebound by G. Vasquez,,47-33,,
7:24.0,G. Vasquez misses 2-pt shot from 4 ft (block by K. Seraphin),,47-33,,
7:24.0,Offensive rebound by Team,,47-33,,
7:24.0,A. Johnson enters the game for P. Patterson,,47-33,,
7:24.0,K. Lowry enters the game for G. Vasquez,,47-33,,
7:24.0,Toronto full timeout,,47-33,,
7:19.0,,,47-33,,Violation by K. Seraphin (def goaltending)
7:19.0,T. Ross makes 2-pt shot from 4 ft (assist by A. Johnson),2,49-33,,
7:19.0,Shooting foul by B. Beal (drawn by T. Ross),,49-33,,
7:19.0,T. Ross makes free throw 1 of 1,1,50-33,,
7:10.0,,,50-33,,Turnover by N. Hilario (lost ball; steal by L. Williams)
7:01.0,K. Lowry makes 2-pt shot at rim (assist by L. Williams),2,52-33,,
6:55.0,,,52-33,,J. Wall misses 2-pt shot from 2 ft (block by A. Johnson)
6:55.0,Defensive rebound by Team,,52-33,,
6:55.0,,,52-33,,P. Pierce enters the game for R. Butler
6:49.0,T. Ross misses 3-pt shot from 24 ft,,52-33,,
6:47.0,Offensive rebound by T. Hansbrough,,52-33,,
6:37.0,Turnover by T. Hansbrough (offensive goaltending),,52-33,,
6:26.0,,,52-35,2,K. Seraphin makes 2-pt shot from 3 ft (assist by J. Wall)
6:04.0,L. Williams misses 3-pt shot from 26 ft,,52-35,,
6:03.0,,,52-35,,Defensive rebound by J. Wall
5:57.0,,,52-35,,Turnover by J. Wall (bad pass)
5:46.0,,,52-35,,Def 3 sec tech foul by K. Seraphin
5:46.0,L. Williams makes technical free throw,1,53-35,,
5:46.0,,,53-35,,M. Gortat enters the game for K. Seraphin
5:46.0,J. Valanciunas enters the game for T. Hansbrough,,53-35,,
5:46.0,D. DeRozan enters the game for L. Williams,,53-35,,
5:31.0,K. Lowry misses 3-pt shot from 25 ft,,53-35,,
5:29.0,,,53-35,,Defensive rebound by P. Pierce
5:26.0,,,53-37,2,B. Beal makes 2-pt shot from 1 ft (assist by M. Gortat)
5:01.0,T. Ross makes 2-pt shot from 21 ft (assist by A. Johnson),2,55-37,,
4:50.0,,,55-37,,N. Hilario misses 2-pt shot at rim (block by J. Valanciunas)
4:48.0,,,55-37,,Offensive rebound by M. Gortat
4:44.0,,,55-37,,P. Pierce misses 3-pt shot from 25 ft
4:43.0,Defensive rebound by A. Johnson,,55-37,,
4:31.0,J. Valanciunas misses 2-pt shot from 2 ft (block by N. Hilario),,55-37,,
4:31.0,Offensive rebound by Team,,55-37,,
4:28.0,T. Ross misses 2-pt shot from 3 ft,,55-37,,
4:27.0,,,55-37,,Defensive rebound by B. Beal
4:24.0,Shooting block foul by A. Johnson (drawn by J. Wall),,55-37,,
4:24.0,Technical foul by D. DeRozan,,55-37,,
4:24.0,,,55-38,1,B. Beal makes technical free throw
4:24.0,,,55-39,1,J. Wall makes free throw 1 of 2
4:24.0,,,55-40,1,J. Wall makes free throw 2 of 2
4:05.0,T. Ross makes 3-pt shot from 22 ft (assist by D. DeRozan),3,58-40,,
3:55.0,,,58-42,2,N. Hilario makes 2-pt shot from 5 ft (assist by P. Pierce)
3:33.0,Shooting foul by N. Hilario (drawn by A. Johnson),,58-42,,
3:33.0,,,58-42,,Technical foul by N. Hilario (drawn by A. Johnson)
3:33.0,D. DeRozan makes technical free throw,1,59-42,,
3:33.0,A. Johnson makes free throw 1 of 2,1,60-42,,
3:33.0,A. Johnson misses free throw 2 of 2,,60-42,,
3:31.0,,,60-42,,Defensive rebound by N. Hilario
3:19.0,,,60-45,3,J. Wall makes 3-pt shot from 26 ft (assist by B. Beal)
3:01.0,T. Ross misses 3-pt shot from 26 ft,,60-45,,
3:00.0,,,60-45,,Defensive rebound by N. Hilario
2:53.0,,,60-45,,B. Beal misses 3-pt shot from 25 ft
2:52.0,,,60-45,,Offensive rebound by J. Wall
2:47.0,,,60-45,,P. Pierce misses 3-pt shot from 24 ft
2:46.0,Defensive rebound by A. Johnson,,60-45,,
2:27.0,J. Valanciunas makes 2-pt shot from 5 ft (assist by K. Lowry),2,62-45,,
2:20.0,,,62-45,,Washington full timeout
2:20.0,Official timeout,,62-45,,
2:20.0,,,62-45,,K. Humphries enters the game for N. Hilario
2:07.0,,,62-47,2,P. Pierce makes 2-pt shot at rim (assist by J. Wall)
1:46.0,Turnover by D. DeRozan (lost ball; steal by P. Pierce),,62-47,,
1:44.0,Clear path foul by D. DeRozan,,62-47,,
1:44.0,,,62-48,1,P. Pierce makes clear path free throw 1 of 2
1:44.0,,,62-49,1,P. Pierce makes clear path free throw 2 of 2
1:38.0,,,62-49,,J. Wall misses 2-pt shot from 2 ft (block by J. Valanciunas)
1:36.0,Defensive rebound by D. DeRozan,,62-49,,
1:28.0,D. DeRozan makes 2-pt shot from 11 ft,2,64-49,,
1:13.0,,,64-49,,Turnover by M. Gortat (3 sec)
1:00.0,K. Lowry misses 3-pt shot from 26 ft,,64-49,,
0:59.0,,,64-49,,Defensive rebound by K. Humphries
0:51.0,,,64-49,,B. Beal misses 2-pt shot from 12 ft
0:50.0,Defensive rebound by T. Ross,,64-49,,
0:41.0,Turnover by T. Ross (lost ball; steal by B. Beal),,64-49,,
0:41.0,,,64-49,,Shooting foul by J. Valanciunas (drawn by J. Wall)
0:41.0,,,64-49,,J. Wall misses free throw 1 of 2
0:41.0,,,64-49,,Offensive rebound by Team
0:41.0,P. Patterson enters the game for J. Valanciunas,,64-49,,
0:41.0,,,64-50,1,J. Wall makes free throw 2 of 2
0:32.0,,,64-50,,Personal foul by K. Humphries (drawn by D. DeRozan)
0:24.0,K. Lowry misses 2-pt shot from 9 ft (block by M. Gortat),,64-50,,
0:23.0,Offensive rebound by Team,,64-50,,
0:20.0,D. DeRozan misses 2-pt shot from 3 ft,,64-50,,
0:20.0,Offensive rebound by Team,,64-50,,
0:20.0,,,64-50,,Loose ball foul by K. Humphries (drawn by D. DeRozan)
0:20.0,D. DeRozan misses free throw 1 of 2,,64-50,,
0:20.0,Offensive rebound by Team,,64-50,,
0:20.0,D. DeRozan makes free throw 2 of 2,1,65-50,,
0:01.0,,,65-50,,J. Wall misses 2-pt shot from 15 ft
0:00.0,Defensive rebound by T. Ross,,65-50,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,D. DeRozan makes 2-pt shot from 21 ft,2,67-50,,
11:22.0,,,67-50,,Turnover by B. Beal (lost ball; steal by A. Johnson)
11:20.0,Shooting foul by J. Wall (drawn by A. Johnson),,67-50,,
11:20.0,A. Johnson makes free throw 1 of 2,1,68-50,,
11:20.0,A. Johnson makes free throw 2 of 2,1,69-50,,
11:11.0,Personal foul by K. Lowry (drawn by B. Beal),,69-50,,
11:03.0,Personal foul by D. DeRozan (drawn by M. Gortat),,69-50,,
10:55.0,,,69-52,2,N. Hilario makes 2-pt shot from 14 ft (assist by B. Beal)
10:37.0,D. DeRozan misses 2-pt shot from 18 ft,,69-52,,
10:35.0,,,69-52,,Defensive rebound by Team
10:26.0,,,69-54,2,N. Hilario makes 2-pt shot from 18 ft (assist by J. Wall)
