time,Atlanta,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. T. Mozgov (D. Carroll gains possession),,,,Jump ball: A. Horford vs. T. Mozgov (D. Carroll gains possession)
11:42.0,J. Teague makes 2-pt shot from 1 ft,2,2-0,,
11:22.0,,,2-2,2,K. Irving makes 2-pt shot from 8 ft (assist by L. James)
11:10.0,Turnover by D. Carroll (bad pass; steal by T. Mozgov),,2-2,,
11:05.0,,,2-4,2,T. Mozgov makes 2-pt shot from 1 ft (assist by L. James)
10:46.0,K. Bazemore makes 2-pt shot from 10 ft (assist by P. Millsap),2,4-4,,
10:19.0,,,4-4,,I. Shumpert misses 2-pt shot from 20 ft
10:18.0,Defensive rebound by P. Millsap,,4-4,,
10:07.0,A. Horford misses 2-pt shot from 20 ft,,4-4,,
10:06.0,,,4-4,,Defensive rebound by T. Mozgov
9:48.0,,,4-7,3,K. Irving makes 3-pt shot from 25 ft (assist by T. Mozgov)
9:34.0,Turnover by J. Teague (bad pass; steal by L. James),,4-7,,
9:29.0,,,4-9,2,L. James makes 2-pt shot at rim (assist by I. Shumpert)
9:29.0,Atlanta full timeout,,4-9,,
9:10.0,D. Carroll misses 2-pt shot from 16 ft,,4-9,,
9:09.0,,,4-9,,Defensive rebound by T. Thompson
8:55.0,,,4-12,3,I. Shumpert makes 3-pt shot from 24 ft (assist by L. James)
8:45.0,J. Teague makes 2-pt shot from 6 ft (assist by A. Horford),2,6-12,,
8:28.0,,,6-12,,K. Irving misses 2-pt shot from 11 ft (block by J. Teague)
8:26.0,,,6-12,,Offensive rebound by K. Irving
8:23.0,,,6-14,2,T. Thompson makes 2-pt shot from 9 ft (assist by K. Irving)
8:07.0,K. Bazemore misses 3-pt shot from 25 ft,,6-14,,
8:06.0,,,6-14,,Defensive rebound by T. Mozgov
7:57.0,,,6-14,,L. James misses 3-pt shot from 25 ft
7:56.0,Defensive rebound by P. Millsap,,6-14,,
7:49.0,J. Teague misses 3-pt shot from 25 ft,,6-14,,
7:48.0,Offensive rebound by D. Carroll,,6-14,,
7:44.0,P. Millsap misses 3-pt shot from 25 ft,,6-14,,
7:43.0,Offensive rebound by D. Carroll,,6-14,,
7:38.0,K. Bazemore makes 2-pt shot from 2 ft (assist by D. Carroll),2,8-14,,
7:23.0,,,8-14,,T. Mozgov misses 2-pt shot from 17 ft
7:22.0,Defensive rebound by J. Teague,,8-14,,
7:10.0,Shooting foul by T. Mozgov (drawn by P. Millsap),,8-14,,
7:10.0,P. Millsap makes free throw 1 of 2,1,9-14,,
7:10.0,,,9-14,,M. Dellavedova enters the game for K. Irving
7:10.0,P. Millsap makes free throw 2 of 2,1,10-14,,
6:59.0,,,10-14,,Turnover by T. Mozgov (bad pass; steal by D. Carroll)
6:54.0,Turnover by D. Carroll (lost ball; steal by L. James),,10-14,,
6:43.0,,,10-17,3,M. Dellavedova makes 3-pt shot from 28 ft (assist by I. Shumpert)
6:37.0,Offensive foul by J. Teague,,10-17,,
6:37.0,Turnover by J. Teague (offensive foul),,10-17,,
6:37.0,S. Mack enters the game for K. Bazemore,,10-17,,
6:37.0,M. Scott enters the game for P. Millsap,,10-17,,
6:21.0,,,10-17,,L. James misses 2-pt shot from 21 ft
6:21.0,Defensive rebound by Team,,10-17,,
6:10.0,J. Teague misses 2-pt shot from 2 ft,,10-17,,
6:09.0,,,10-17,,Defensive rebound by I. Shumpert
6:06.0,,,10-17,,L. James misses 2-pt shot from 1 ft (block by A. Horford)
6:06.0,,,10-17,,Offensive rebound by Team
6:06.0,Inbound foul by D. Carroll,,10-17,,
6:06.0,,,10-17,,L. James misses free throw 1 of 2
6:06.0,,,10-17,,Offensive rebound by Team
6:06.0,,,10-17,,L. James misses free throw 2 of 2
6:05.0,Defensive rebound by M. Scott,,10-17,,
5:43.0,S. Mack misses 2-pt shot from 8 ft,,10-17,,
5:39.0,,,10-17,,Defensive rebound by L. James
5:30.0,,,10-17,,Turnover by T. Thompson (lost ball)
5:13.0,M. Scott misses 3-pt shot from 26 ft,,10-17,,
5:12.0,,,10-17,,Defensive rebound by L. James
4:59.0,,,10-17,,L. James misses 2-pt shot from 16 ft
4:58.0,Defensive rebound by S. Mack,,10-17,,
4:42.0,S. Mack makes 2-pt shot at rim,2,12-17,,
4:26.0,,,12-19,2,M. Dellavedova makes 2-pt shot from 10 ft
4:10.0,J. Teague makes 2-pt shot from 7 ft,2,14-19,,
3:57.0,,,14-22,3,L. James makes 3-pt shot from 26 ft
3:48.0,S. Mack misses 3-pt shot from 25 ft,,14-22,,
3:47.0,,,14-22,,Defensive rebound by Team
3:47.0,,,14-22,,Cleveland full timeout
3:47.0,,,14-22,,K. Irving enters the game for L. James
3:47.0,,,14-22,,J. Smith enters the game for T. Mozgov
3:47.0,,,14-22,,J. Jones enters the game for M. Dellavedova
3:47.0,P. Millsap enters the game for D. Carroll,,14-22,,
3:47.0,D. Schroder enters the game for A. Horford,,14-22,,
3:47.0,K. Bazemore enters the game for J. Teague,,14-22,,
3:22.0,,,14-22,,Turnover by I. Shumpert (lost ball; steal by S. Mack)
3:17.0,K. Bazemore misses 2-pt shot from 1 ft,,14-22,,
3:15.0,,,14-22,,Defensive rebound by J. Smith
3:01.0,,,14-24,2,K. Irving makes 2-pt shot from 2 ft
3:01.0,,,14-24,,Shooting foul by D. Schroder (drawn by K. Irving)
3:01.0,A. Horford enters the game for M. Scott,,14-24,,
3:01.0,,,14-24,,K. Irving misses free throw 1 of 1
3:00.0,Defensive rebound by K. Bazemore,,14-24,,
2:39.0,K. Bazemore makes 2-pt shot from 1 ft (assist by P. Millsap),2,16-24,,
2:22.0,,,16-24,,J. Jones misses 3-pt shot from 25 ft
2:20.0,,,16-24,,Offensive rebound by I. Shumpert
2:15.0,,,16-26,2,K. Irving makes 2-pt shot from 10 ft (assist by I. Shumpert)
1:54.0,P. Millsap makes 2-pt shot from 6 ft (assist by A. Horford),2,18-26,,
1:35.0,,,18-26,,K. Irving misses 3-pt shot from 24 ft
1:34.0,Defensive rebound by P. Millsap,,18-26,,
1:17.0,Shooting foul by J. Jones (drawn by P. Millsap),,18-26,,
1:17.0,P. Millsap makes free throw 1 of 2,1,19-26,,
1:17.0,,,19-26,,T. Mozgov enters the game for J. Jones
1:17.0,M. Scott enters the game for A. Horford,,19-26,,
1:17.0,P. Millsap makes free throw 2 of 2,1,20-26,,
1:01.0,,,20-28,2,T. Thompson makes 2-pt shot from 1 ft
0:46.0,P. Millsap misses 2-pt shot from 5 ft,,20-28,,
0:44.0,,,20-28,,Defensive rebound by K. Irving
0:37.0,,,20-30,2,J. Smith makes 2-pt shot from 1 ft
0:27.0,M. Scott misses 3-pt shot from 27 ft,,20-30,,
0:26.0,,,20-30,,Defensive rebound by J. Smith
0:04.0,,,20-30,,I. Shumpert misses 2-pt shot from 19 ft
0:02.0,,,20-30,,Offensive rebound by T. Thompson
0:00.0,,,20-32,2,T. Thompson makes 2-pt shot from 18 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,,,20-34,2,L. James makes 2-pt shot from 18 ft
11:23.0,S. Mack makes 3-pt shot from 26 ft,3,23-34,,
10:53.0,,,23-36,2,L. James makes 2-pt shot from 22 ft
10:45.0,P. Millsap makes 2-pt shot from 14 ft (assist by A. Horford),2,25-36,,
10:45.0,Shooting foul by L. James (drawn by P. Millsap),,25-36,,
10:45.0,P. Millsap makes free throw 1 of 1,1,26-36,,
10:32.0,,,26-36,,M. Dellavedova misses 3-pt shot from 25 ft
10:31.0,Defensive rebound by P. Millsap,,26-36,,
10:25.0,J. Teague makes 2-pt shot from 1 ft,2,28-36,,
10:07.0,,,28-39,3,J. Smith makes 3-pt shot from 25 ft (assist by L. James)
9:51.0,A. Horford misses 2-pt shot from 16 ft,,28-39,,
9:49.0,,,28-39,,Defensive rebound by L. James
9:30.0,,,28-41,2,L. James makes 2-pt shot at rim
9:10.0,S. Mack misses 3-pt shot from 27 ft,,28-41,,
9:09.0,Offensive rebound by A. Horford,,28-41,,
9:04.0,P. Millsap misses 3-pt shot from 24 ft,,28-41,,
9:03.0,,,28-41,,Defensive rebound by J. Smith
8:40.0,,,28-41,,J. Smith misses 3-pt shot from 24 ft
8:39.0,Defensive rebound by P. Millsap,,28-41,,
8:31.0,S. Mack misses 2-pt shot from 10 ft (block by I. Shumpert),,28-41,,
8:29.0,,,28-41,,Defensive rebound by I. Shumpert
8:24.0,,,28-43,2,L. James makes 2-pt shot from 2 ft (assist by J. Smith)
8:24.0,Atlanta full timeout,,28-43,,
8:24.0,,,28-43,,J. Jones enters the game for I. Shumpert
8:24.0,D. Carroll enters the game for S. Mack,,28-43,,
8:09.0,A. Horford misses 2-pt shot from 17 ft,,28-43,,
8:08.0,,,28-43,,Defensive rebound by J. Jones
8:00.0,,,28-43,,Turnover by L. James (lost ball; steal by J. Teague)
7:56.0,,,28-43,,Personal block foul by M. Dellavedova (drawn by J. Teague)
7:38.0,P. Millsap makes 2-pt shot from 14 ft (assist by J. Teague),2,30-43,,
7:38.0,Shooting foul by L. James (drawn by P. Millsap),,30-43,,
7:38.0,M. Scott enters the game for A. Horford,,30-43,,
7:38.0,,,30-43,,I. Shumpert enters the game for M. Dellavedova
7:38.0,,,30-43,,T. Thompson enters the game for J. Jones
7:38.0,P. Millsap misses free throw 1 of 1,,30-43,,
7:37.0,,,30-43,,Defensive rebound by J. Smith
7:19.0,,,30-43,,L. James misses 2-pt shot from 1 ft
7:17.0,Defensive rebound by P. Millsap,,30-43,,
7:10.0,K. Bazemore misses 3-pt shot from 25 ft,,30-43,,
7:09.0,,,30-43,,Defensive rebound by I. Shumpert
7:01.0,,,30-45,2,T. Mozgov makes 2-pt shot at rim (assist by L. James)
7:01.0,,,30-45,,Shooting foul by D. Carroll (drawn by T. Mozgov)
7:01.0,,,30-46,1,T. Mozgov makes free throw 1 of 1
6:53.0,J. Teague makes 3-pt shot from 26 ft,3,33-46,,
6:24.0,,,33-49,3,J. Smith makes 3-pt shot from 25 ft
6:15.0,,,33-49,,Personal foul by I. Shumpert (drawn by J. Teague)
6:02.0,J. Teague misses 3-pt shot from 25 ft,,33-49,,
6:01.0,,,33-49,,Defensive rebound by I. Shumpert
5:55.0,Official timeout,,33-49,,
5:55.0,S. Mack enters the game for P. Millsap,,33-49,,
5:55.0,A. Horford enters the game for K. Bazemore,,33-49,,
5:49.0,,,33-49,,Shooting foul by M. Scott (drawn by T. Mozgov)
5:49.0,,,33-50,1,T. Mozgov makes free throw 1 of 2
5:49.0,,,33-51,1,T. Mozgov makes free throw 2 of 2
5:33.0,D. Carroll misses 2-pt shot from 2 ft (block by L. James),,33-51,,
5:31.0,,,33-51,,Defensive rebound by T. Mozgov
5:25.0,,,33-53,2,L. James makes 2-pt shot from 1 ft
5:10.0,A. Horford misses 2-pt shot from 6 ft,,33-53,,
5:07.0,,,33-53,,Defensive rebound by T. Thompson
5:02.0,,,33-53,,L. James misses 3-pt shot from 26 ft
5:01.0,Defensive rebound by A. Horford,,33-53,,
4:57.0,D. Carroll makes 2-pt shot at rim (assist by M. Scott),2,35-53,,
4:40.0,Personal foul by M. Scott (drawn by T. Mozgov),,35-53,,
4:40.0,P. Millsap enters the game for M. Scott,,35-53,,
4:34.0,,,35-53,,J. Smith misses 3-pt shot from 25 ft
4:33.0,,,35-53,,Offensive rebound by T. Thompson
4:21.0,,,35-55,2,J. Smith makes 2-pt shot from 1 ft (assist by L. James)
3:59.0,D. Carroll misses 3-pt shot from 25 ft,,35-55,,
3:58.0,,,35-55,,Defensive rebound by L. James
3:53.0,,,35-55,,T. Mozgov misses 2-pt shot from 3 ft
3:49.0,Defensive rebound by D. Carroll,,35-55,,
3:41.0,P. Millsap misses 3-pt shot from 25 ft,,35-55,,
3:39.0,,,35-55,,Defensive rebound by T. Thompson
3:39.0,,,35-55,,Cleveland full timeout
3:39.0,K. Bazemore enters the game for J. Teague,,35-55,,
3:39.0,,,35-55,,K. Irving enters the game for L. James
3:15.0,,,35-55,,T. Mozgov misses 2-pt shot from 15 ft
3:13.0,Defensive rebound by S. Mack,,35-55,,
2:58.0,D. Carroll makes 2-pt shot from 5 ft (assist by A. Horford),2,37-55,,
2:43.0,,,37-55,,J. Smith misses 3-pt shot from 25 ft
2:42.0,,,37-55,,Offensive rebound by Team
2:29.0,,,37-55,,I. Shumpert misses 3-pt shot from 23 ft
2:28.0,,,37-55,,Offensive rebound by T. Mozgov
2:20.0,,,37-55,,Shooting foul by S. Mack (drawn by K. Irving)
2:20.0,,,37-56,1,K. Irving makes free throw 1 of 2
2:20.0,J. Teague enters the game for S. Mack,,37-56,,
2:20.0,,,37-56,,M. Dellavedova enters the game for I. Shumpert
2:20.0,,,37-57,1,K. Irving makes free throw 2 of 2
2:07.0,J. Teague makes 2-pt shot at rim,2,39-57,,
1:45.0,,,39-59,2,T. Mozgov makes 2-pt shot at rim (assist by K. Irving)
1:33.0,Shooting foul by T. Mozgov (drawn by P. Millsap),,39-59,,
1:33.0,P. Millsap misses free throw 1 of 2,,39-59,,
1:33.0,Offensive rebound by Team,,39-59,,
1:33.0,,,39-59,,L. James enters the game for T. Mozgov
1:33.0,P. Millsap makes free throw 2 of 2,1,40-59,,
1:11.0,,,40-59,,L. James misses 3-pt shot from 23 ft
1:10.0,Defensive rebound by D. Carroll,,40-59,,
1:01.0,K. Bazemore misses 2-pt shot from 1 ft,,40-59,,
1:00.0,,,40-59,,Defensive rebound by J. Smith
0:56.0,,,40-59,,Offensive foul by T. Thompson
0:56.0,,,40-59,,Turnover by T. Thompson (offensive foul)
0:35.0,K. Bazemore misses 2-pt shot from 2 ft,,40-59,,
0:33.0,Offensive rebound by P. Millsap,,40-59,,
0:33.0,P. Millsap makes 2-pt shot from 1 ft,2,42-59,,
0:13.0,,,42-59,,K. Irving misses 2-pt shot from 7 ft (block by D. Carroll)
0:11.0,,,42-59,,Offensive rebound by M. Dellavedova
0:07.0,,,42-59,,K. Irving misses 2-pt shot from 19 ft
0:05.0,,,42-59,,Offensive rebound by T. Thompson
0:00.0,,,42-59,,J. Smith misses 3-pt shot from 31 ft
0:00.0,,,42-59,,Offensive rebound by Team
0:00.0,Technical foul by K. Bazemore,,42-59,,
0:00.0,,,42-59,,Technical foul by T. Thompson
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,,,42-59,,Turnover by T. Mozgov (bad pass)
11:30.0,K. Bazemore misses 3-pt shot from 26 ft,,42-59,,
11:29.0,,,42-59,,Defensive rebound by L. James
11:18.0,,,42-62,3,K. Irving makes 3-pt shot from 25 ft (assist by L. James)
11:02.0,D. Carroll misses 3-pt shot from 26 ft,,42-62,,
11:01.0,,,42-62,,Defensive rebound by T. Thompson
10:53.0,,,42-62,,Shooting foul by P. Millsap (drawn by T. Thompson)
10:53.0,,,42-63,1,T. Thompson makes free throw 1 of 2
10:53.0,,,42-63,,T. Thompson misses free throw 2 of 2
10:52.0,Defensive rebound by D. Carroll,,42-63,,
10:42.0,J. Teague misses 3-pt shot from 25 ft,,42-63,,
10:41.0,,,42-63,,Defensive rebound by T. Thompson
10:26.0,,,42-63,,T. Thompson misses 2-pt shot from 5 ft
10:25.0,,,42-63,,Offensive rebound by T. Mozgov
10:21.0,,,42-63,,I. Shumpert misses 3-pt shot from 24 ft
10:20.0,Defensive rebound by D. Carroll,,42-63,,
10:12.0,P. Millsap misses 2-pt shot from 8 ft,,42-63,,
10:09.0,,,42-63,,Defensive rebound by L. James
10:00.0,Personal foul by D. Carroll (drawn by L. James),,42-63,,
