time,Cleveland,pts.away,score,pts.home,Chicago
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. A. Varejao (K. Love gains possession),,,,Jump ball: P. Gasol vs. A. Varejao (K. Love gains possession)
11:45.0,A. Varejao makes 2-pt shot from 12 ft (assist by D. Waiters),2,2-0,,
11:22.0,,,2-0,,Shooting foul by D. Waiters (drawn by K. Hinrich)
11:22.0,,,2-0,,K. Hinrich misses free throw 1 of 3
11:22.0,,,2-0,,Offensive rebound by Team
11:22.0,,,2-1,1,K. Hinrich makes free throw 2 of 3
11:22.0,,,2-1,,K. Hinrich misses free throw 3 of 3
11:22.0,Defensive rebound by K. Love,,2-1,,
11:22.0,A. Varejao makes 2-pt shot from 2 ft (assist by L. James),2,4-1,,
11:02.0,,,4-1,,D. Rose misses 2-pt shot from 13 ft
11:01.0,Defensive rebound by K. Love,,4-1,,
10:54.0,L. James makes 2-pt shot from 19 ft,2,6-1,,
10:37.0,,,6-3,2,D. Rose makes 2-pt shot from 1 ft (assist by J. Noah)
10:08.0,Turnover by A. Varejao (bad pass; steal by K. Hinrich),,6-3,,
9:43.0,,,6-3,,Turnover by P. Gasol (bad pass; steal by K. Love)
9:40.0,Offensive foul by K. Irving,,6-3,,
9:40.0,Turnover by K. Irving (offensive foul),,6-3,,
9:23.0,,,6-3,,K. Hinrich misses 3-pt shot from 24 ft
9:22.0,,,6-3,,Offensive rebound by D. Rose
9:19.0,,,6-5,2,J. Noah makes 2-pt shot at rim (assist by D. Rose)
8:58.0,K. Irving misses 2-pt shot from 13 ft,,6-5,,
8:57.0,,,6-5,,Defensive rebound by P. Gasol
8:44.0,,,6-5,,P. Gasol misses 2-pt shot from 5 ft
8:44.0,Defensive rebound by A. Varejao,,6-5,,
8:38.0,Shooting foul by K. Hinrich (drawn by A. Varejao),,6-5,,
8:38.0,A. Varejao makes free throw 1 of 2,1,7-5,,
8:38.0,A. Varejao makes free throw 2 of 2,1,8-5,,
8:24.0,,,8-7,2,M. Dunleavy makes 2-pt shot from 12 ft
8:06.0,Shooting foul by J. Noah (drawn by K. Love),,8-7,,
8:06.0,K. Love makes free throw 1 of 2,1,9-7,,
8:06.0,K. Love makes free throw 2 of 2,1,10-7,,
7:51.0,,,10-9,2,P. Gasol makes 2-pt shot from 2 ft (assist by M. Dunleavy)
7:36.0,K. Love misses 3-pt shot from 24 ft,,10-9,,
7:35.0,,,10-9,,Defensive rebound by P. Gasol
7:30.0,,,10-9,,D. Rose misses 2-pt shot from 18 ft
7:27.0,,,10-9,,Offensive rebound by Team
7:27.0,T. Thompson enters the game for A. Varejao,,10-9,,
7:25.0,,,10-9,,Turnover by D. Rose (lost ball)
7:05.0,D. Waiters misses 2-pt shot from 16 ft,,10-9,,
7:04.0,Offensive rebound by D. Waiters,,10-9,,
6:58.0,K. Love misses 2-pt shot from 2 ft (block by J. Noah),,10-9,,
6:57.0,Offensive rebound by K. Love,,10-9,,
6:56.0,K. Love misses 2-pt shot from 1 ft (block by P. Gasol),,10-9,,
6:54.0,,,10-9,,Defensive rebound by K. Hinrich
6:51.0,,,10-12,3,M. Dunleavy makes 3-pt shot from 24 ft (assist by K. Hinrich)
6:31.0,L. James makes 2-pt shot from 21 ft,2,12-12,,
6:15.0,,,12-12,,Shooting foul by K. Irving (drawn by J. Noah)
6:15.0,,,12-13,1,J. Noah makes free throw 1 of 2
6:15.0,M. Dellavedova enters the game for K. Irving,,12-13,,
6:15.0,M. Miller enters the game for D. Waiters,,12-13,,
6:15.0,,,12-14,1,J. Noah makes free throw 2 of 2
6:03.0,L. James makes 2-pt shot from 5 ft,2,14-14,,
5:49.0,,,14-14,,P. Gasol misses 2-pt shot from 2 ft
5:47.0,,,14-14,,Offensive rebound by D. Rose
5:47.0,,,14-16,2,D. Rose makes 2-pt shot from 1 ft
5:23.0,,,14-16,,Personal foul by J. Noah (drawn by K. Love)
5:23.0,,,14-16,,Chicago full timeout
5:22.0,,,14-16,,T. Gibson enters the game for J. Noah
5:09.0,M. Miller misses 3-pt shot from 24 ft,,14-16,,
5:09.0,Offensive rebound by T. Thompson,,14-16,,
5:04.0,K. Love makes 3-pt shot from 24 ft (assist by T. Thompson),3,17-16,,
4:49.0,,,17-18,2,D. Rose makes 2-pt shot from 1 ft
4:49.0,,,17-18,,Shooting foul by M. Dellavedova (drawn by D. Rose)
4:49.0,,,17-18,,D. Rose misses free throw 1 of 1
4:49.0,Defensive rebound by K. Love,,17-18,,
4:38.0,L. James misses 2-pt shot from 10 ft,,17-18,,
4:36.0,Offensive rebound by T. Thompson,,17-18,,
4:36.0,T. Thompson makes 2-pt shot at rim,2,19-18,,
4:23.0,,,19-20,2,P. Gasol makes 2-pt shot at rim (assist by M. Dunleavy)
4:11.0,L. James misses 2-pt shot from 18 ft,,19-20,,
4:10.0,,,19-20,,Defensive rebound by P. Gasol
4:04.0,,,19-23,3,D. Rose makes 3-pt shot from 25 ft
3:53.0,Cleveland full timeout,,19-23,,
3:53.0,,,19-23,,D. McDermott enters the game for K. Hinrich
3:53.0,,,19-23,,A. Brooks enters the game for D. Rose
3:48.0,A. Varejao enters the game for K. Love,,19-23,,
3:35.0,L. James makes 2-pt shot from 11 ft,2,21-23,,
3:20.0,,,21-25,2,P. Gasol makes 2-pt shot from 1 ft (assist by M. Dunleavy)
3:07.0,,,21-25,,Personal foul by M. Dunleavy (drawn by L. James)
2:52.0,L. James misses 2-pt shot from 14 ft,,21-25,,
2:51.0,Offensive rebound by A. Varejao,,21-25,,
2:40.0,T. Thompson misses 2-pt shot from 10 ft,,21-25,,
2:39.0,,,21-25,,Defensive rebound by A. Brooks
2:31.0,,,21-25,,T. Gibson misses 2-pt shot from 12 ft
2:30.0,Defensive rebound by L. James,,21-25,,
2:23.0,L. James misses 2-pt shot from 21 ft,,21-25,,
2:21.0,Offensive rebound by T. Thompson,,21-25,,
2:18.0,L. James makes 3-pt shot from 23 ft (assist by T. Thompson),3,24-25,,
1:49.0,,,24-27,2,T. Gibson makes 2-pt shot from 8 ft (assist by A. Brooks)
1:23.0,L. James misses 2-pt shot from 2 ft,,24-27,,
1:21.0,Offensive rebound by T. Thompson,,24-27,,
1:20.0,T. Thompson makes 2-pt shot from 1 ft,2,26-27,,
0:58.0,Personal foul by A. Varejao (drawn by T. Gibson),,26-27,,
0:58.0,D. Waiters enters the game for L. James,,26-27,,
0:44.0,,,26-27,,D. McDermott misses 3-pt shot from 26 ft
0:42.0,Defensive rebound by D. Waiters,,26-27,,
0:35.0,D. Waiters makes 2-pt shot from 18 ft,2,28-27,,
0:20.0,,,28-27,,D. McDermott misses 3-pt shot from 24 ft
0:19.0,Defensive rebound by A. Varejao,,28-27,,
0:02.0,Offensive charge foul by D. Waiters,,28-27,,
0:02.0,Turnover by D. Waiters (offensive foul),,28-27,,
0:02.0,J. Harris enters the game for D. Waiters,,28-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,28-27,,D. McDermott misses 3-pt shot from 25 ft
11:42.0,Defensive rebound by M. Miller,,28-27,,
11:29.0,T. Thompson makes 2-pt shot from 1 ft (assist by M. Dellavedova),2,30-27,,
11:11.0,,,30-27,,Turnover by A. Brooks (bad pass)
11:11.0,K. Irving enters the game for M. Miller,,30-27,,
10:52.0,M. Dellavedova misses 2-pt shot from 2 ft (block by D. McDermott),,30-27,,
10:52.0,Offensive rebound by Team,,30-27,,
10:49.0,K. Irving makes 3-pt shot from 26 ft (assist by M. Dellavedova),3,33-27,,
10:32.0,,,33-27,,T. Snell misses 3-pt shot from 24 ft
10:31.0,,,33-27,,Offensive rebound by T. Gibson
10:27.0,,,33-29,2,T. Gibson makes 2-pt shot from 1 ft
10:12.0,K. Irving misses 3-pt shot from 25 ft,,33-29,,
10:12.0,,,33-29,,Defensive rebound by Team
9:59.0,,,33-31,2,A. Brooks makes 2-pt shot from 5 ft
9:38.0,K. Irving makes 2-pt shot from 22 ft,2,35-31,,
9:25.0,,,35-33,2,T. Snell makes 2-pt shot from 5 ft (assist by A. Brooks)
9:12.0,Shooting foul by A. Brooks (drawn by K. Irving),,35-33,,
9:12.0,K. Irving makes free throw 1 of 2,1,36-33,,
