time,Denver,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. J. Nurkic (T. Lawson gains possession),,,,Jump ball: A. Davis vs. J. Nurkic (T. Lawson gains possession)
11:48.0,W. Chandler makes 2-pt shot from 2 ft (assist by A. Afflalo),2,2-0,,
11:30.0,,,2-0,,A. Davis misses 2-pt shot from 2 ft (block by J. Nurkic)
11:28.0,Defensive rebound by J. Nurkic,,2-0,,
11:17.0,A. Afflalo misses 2-pt shot from 12 ft,,2-0,,
11:17.0,,,2-0,,Defensive rebound by Team
11:02.0,,,2-0,,T. Evans misses 3-pt shot from 23 ft
11:00.0,Defensive rebound by W. Chandler,,2-0,,
10:51.0,T. Lawson misses 2-pt shot from 19 ft,,2-0,,
10:48.0,,,2-0,,Defensive rebound by D. Cunningham
10:34.0,,,2-0,,E. Gordon misses 2-pt shot from 3 ft
10:33.0,,,2-0,,Offensive rebound by E. Gordon
10:30.0,,,2-0,,E. Gordon misses 2-pt shot from 1 ft
10:29.0,Defensive rebound by W. Chandler,,2-0,,
10:06.0,W. Chandler makes 2-pt shot from 12 ft,2,4-0,,
9:50.0,,,4-0,,E. Gordon misses 3-pt shot from 25 ft
9:49.0,Defensive rebound by W. Chandler,,4-0,,
9:24.0,T. Lawson misses 2-pt shot from 21 ft,,4-0,,
9:22.0,,,4-0,,Defensive rebound by O. Asik
9:18.0,,,4-2,2,T. Evans makes 2-pt shot from 2 ft
9:18.0,,,4-2,,Shooting foul by W. Chandler (drawn by T. Evans)
9:18.0,,,4-3,1,T. Evans makes free throw 1 of 1
9:02.0,Turnover by J. Nurkic (lost ball; steal by D. Cunningham),,4-3,,
8:48.0,,,4-3,,E. Gordon misses 2-pt shot from 2 ft
8:45.0,Defensive rebound by J. Nurkic,,4-3,,
8:37.0,W. Chandler misses 2-pt shot from 2 ft,,4-3,,
8:35.0,Offensive rebound by K. Faried,,4-3,,
8:35.0,K. Faried misses 2-pt shot from 2 ft,,4-3,,
8:34.0,,,4-3,,Defensive rebound by O. Asik
8:24.0,,,4-3,,O. Asik misses 2-pt shot from 1 ft
8:23.0,,,4-3,,Offensive rebound by O. Asik
8:21.0,,,4-5,2,O. Asik makes 2-pt shot from 1 ft
8:08.0,A. Afflalo makes 2-pt shot from 15 ft (assist by T. Lawson),2,6-5,,
7:54.0,Personal foul by K. Faried (drawn by A. Davis),,6-5,,
7:46.0,,,6-7,2,A. Davis makes 2-pt shot from 17 ft (assist by T. Evans)
7:17.0,T. Lawson misses 2-pt shot from 3 ft (block by O. Asik),,6-7,,
7:15.0,,,6-7,,Defensive rebound by T. Evans
7:11.0,,,6-7,,D. Cunningham misses 2-pt shot from 1 ft
7:09.0,Defensive rebound by J. Nurkic,,6-7,,
7:04.0,,,6-7,,Personal foul by A. Davis (drawn by T. Lawson)
6:53.0,A. Afflalo makes 3-pt shot from 25 ft (assist by T. Lawson),3,9-7,,
6:31.0,,,9-9,2,A. Davis makes 2-pt shot from 3 ft
6:20.0,J. Nurkic makes 2-pt shot from 2 ft (assist by T. Lawson),2,11-9,,
6:04.0,,,11-11,2,A. Davis makes 2-pt shot from 14 ft
5:41.0,J. Nurkic makes 2-pt shot from 18 ft (assist by W. Chandler),2,13-11,,
5:22.0,,,13-11,,A. Davis misses 2-pt shot from 16 ft
5:21.0,Defensive rebound by J. Nurkic,,13-11,,
5:17.0,,,13-11,,New Orleans full timeout
