time,Portland,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. R. Lopez (D. Lillard gains possession),,,,Jump ball: M. Gasol vs. R. Lopez (D. Lillard gains possession)
11:44.0,C. McCollum misses 3-pt shot from 26 ft,,0-0,,
11:43.0,,,0-0,,Defensive rebound by Z. Randolph
11:30.0,,,0-0,,Turnover by M. Conley (bad pass)
11:17.0,Turnover by N. Batum (lost ball),,0-0,,
10:59.0,,,0-2,2,Z. Randolph makes 2-pt shot from 1 ft
10:45.0,D. Lillard misses 3-pt shot from 28 ft,,0-2,,
10:44.0,,,0-2,,Defensive rebound by Z. Randolph
10:30.0,,,0-4,2,M. Gasol makes 2-pt shot from 1 ft
10:08.0,L. Aldridge misses 2-pt shot from 14 ft,,0-4,,
10:06.0,Offensive rebound by R. Lopez,,0-4,,
10:06.0,R. Lopez misses 2-pt shot from 1 ft,,0-4,,
10:03.0,,,0-4,,Defensive rebound by J. Green
9:54.0,,,0-4,,Z. Randolph misses 2-pt shot from 16 ft
9:53.0,Defensive rebound by N. Batum,,0-4,,
9:44.0,L. Aldridge misses 2-pt shot from 19 ft,,0-4,,
9:43.0,,,0-4,,Defensive rebound by M. Gasol
9:33.0,,,0-4,,Z. Randolph misses 2-pt shot from 5 ft (block by L. Aldridge)
9:31.0,Defensive rebound by D. Lillard,,0-4,,
9:25.0,N. Batum misses 2-pt shot from 17 ft,,0-4,,
9:24.0,,,0-4,,Defensive rebound by Z. Randolph
9:14.0,,,0-6,2,M. Gasol makes 2-pt shot from 22 ft (assist by M. Conley)
8:53.0,L. Aldridge makes 2-pt shot from 1 ft (assist by D. Lillard),2,2-6,,
8:31.0,,,2-6,,Shooting foul by C. McCollum (drawn by M. Gasol)
8:31.0,,,2-6,,M. Gasol misses free throw 1 of 2
8:31.0,,,2-6,,Offensive rebound by Team
8:31.0,,,2-7,1,M. Gasol makes free throw 2 of 2
8:08.0,L. Aldridge misses 3-pt shot from 25 ft,,2-7,,
8:07.0,,,2-7,,Defensive rebound by C. Lee
7:48.0,,,2-10,3,C. Lee makes 3-pt shot from 24 ft (assist by J. Green)
7:34.0,D. Lillard misses 3-pt shot from 27 ft,,2-10,,
7:33.0,,,2-10,,Defensive rebound by M. Gasol
7:26.0,,,2-10,,M. Conley misses 2-pt shot at rim
7:23.0,Defensive rebound by R. Lopez,,2-10,,
7:17.0,L. Aldridge misses 2-pt shot from 1 ft,,2-10,,
7:15.0,Offensive rebound by L. Aldridge,,2-10,,
7:15.0,L. Aldridge makes 2-pt shot at rim,2,4-10,,
6:55.0,,,4-10,,J. Green misses 2-pt shot from 20 ft
6:53.0,,,4-10,,Offensive rebound by Z. Randolph
6:47.0,,,4-10,,M. Conley misses 3-pt shot from 25 ft
6:46.0,Defensive rebound by C. McCollum,,4-10,,
6:36.0,C. McCollum makes 2-pt shot from 16 ft,2,6-10,,
6:12.0,,,6-10,,Z. Randolph misses 2-pt shot from 4 ft (block by L. Aldridge)
6:09.0,,,6-10,,Offensive rebound by Z. Randolph
6:05.0,,,6-10,,M. Gasol misses 2-pt shot from 21 ft
6:04.0,Defensive rebound by N. Batum,,6-10,,
5:52.0,L. Aldridge misses 2-pt shot from 18 ft,,6-10,,
5:49.0,Offensive rebound by R. Lopez,,6-10,,
5:45.0,L. Aldridge makes 2-pt shot at rim (assist by R. Lopez),2,8-10,,
5:24.0,,,8-10,,C. Lee misses 2-pt shot at rim
5:23.0,Defensive rebound by C. McCollum,,8-10,,
5:15.0,D. Lillard misses 3-pt shot from 23 ft,,8-10,,
5:14.0,Offensive rebound by N. Batum,,8-10,,
5:05.0,N. Batum misses 2-pt shot from 11 ft,,8-10,,
5:04.0,,,8-10,,Defensive rebound by M. Gasol
4:57.0,,,8-12,2,M. Conley makes 2-pt shot from 1 ft
4:56.0,Portland full timeout,,8-12,,
4:56.0,,,8-12,,T. Allen enters the game for J. Green
4:56.0,C. Kaman enters the game for N. Batum,,8-12,,
4:56.0,A. Crabbe enters the game for R. Lopez,,8-12,,
4:36.0,D. Lillard misses 2-pt shot from 22 ft,,8-12,,
4:35.0,,,8-12,,Defensive rebound by T. Allen
4:15.0,,,8-12,,M. Gasol misses 2-pt shot from 7 ft
4:13.0,Defensive rebound by D. Lillard,,8-12,,
4:05.0,C. McCollum misses 2-pt shot from 2 ft,,8-12,,
4:03.0,,,8-12,,Defensive rebound by M. Gasol
3:57.0,,,8-12,,T. Allen misses 2-pt shot from 1 ft
3:56.0,,,8-12,,Offensive rebound by Z. Randolph
3:54.0,,,8-12,,Z. Randolph misses 2-pt shot from 1 ft
3:52.0,Defensive rebound by C. McCollum,,8-12,,
3:48.0,Shooting foul by C. Lee (drawn by D. Lillard),,8-12,,
3:48.0,D. Lillard misses free throw 1 of 2,,8-12,,
3:48.0,Offensive rebound by Team,,8-12,,
3:48.0,,,8-12,,B. Udrih enters the game for M. Conley
3:48.0,D. Lillard makes free throw 2 of 2,1,9-12,,
3:34.0,,,9-12,,Shooting foul by C. McCollum (drawn by C. Lee)
3:34.0,,,9-13,1,C. Lee makes free throw 1 of 2
3:34.0,S. Blake enters the game for D. Lillard,,9-13,,
3:34.0,N. Batum enters the game for C. McCollum,,9-13,,
3:34.0,,,9-14,1,C. Lee makes free throw 2 of 2
3:16.0,L. Aldridge misses 2-pt shot from 15 ft,,9-14,,
3:14.0,,,9-14,,Defensive rebound by B. Udrih
3:11.0,,,9-14,,Turnover by T. Allen (bad pass; steal by A. Crabbe)
2:51.0,L. Aldridge misses 2-pt shot from 5 ft,,9-14,,
2:50.0,Offensive rebound by C. Kaman,,9-14,,
2:49.0,Offensive foul by C. Kaman,,9-14,,
2:49.0,Turnover by C. Kaman (offensive foul),,9-14,,
2:49.0,Technical foul by L. Aldridge,,9-14,,
2:49.0,,,9-14,,Memphis full timeout
2:49.0,,,9-15,1,C. Lee makes technical free throw
2:34.0,,,9-17,2,M. Gasol makes 2-pt shot from 17 ft (assist by C. Lee)
2:13.0,,,9-17,,Personal foul by C. Lee (drawn by N. Batum)
2:13.0,,,9-17,,V. Carter enters the game for C. Lee
2:05.0,N. Batum makes 2-pt shot from 18 ft (assist by S. Blake),2,11-17,,
1:47.0,,,11-19,2,B. Udrih makes 2-pt shot from 21 ft (assist by M. Gasol)
1:32.0,A. Crabbe makes 2-pt shot at rim (assist by C. Kaman),2,13-19,,
1:21.0,,,13-19,,M. Gasol misses 2-pt shot from 20 ft
1:20.0,Defensive rebound by A. Crabbe,,13-19,,
1:12.0,Shooting foul by V. Carter (drawn by L. Aldridge),,13-19,,
1:12.0,L. Aldridge makes free throw 1 of 2,1,14-19,,
1:12.0,,,14-19,,K. Koufos enters the game for Z. Randolph
1:12.0,L. Aldridge makes free throw 2 of 2,1,15-19,,
1:00.0,,,15-21,2,B. Udrih makes 2-pt shot from 16 ft
0:55.0,Turnover by S. Blake (bad pass; steal by T. Allen),,15-21,,
0:48.0,,,15-23,2,B. Udrih makes 2-pt shot from 13 ft (assist by T. Allen)
0:31.0,L. Aldridge misses 2-pt shot from 8 ft,,15-23,,
0:29.0,Offensive rebound by Team,,15-23,,
0:27.0,Turnover by N. Batum (bad pass; steal by K. Koufos),,15-23,,
0:21.0,,,15-23,,C. Lee enters the game for T. Allen
0:21.0,,,15-23,,J. Green enters the game for K. Koufos
0:05.0,,,15-25,2,B. Udrih makes 2-pt shot from 13 ft
0:01.0,S. Blake misses 2-pt shot from 1 ft,,15-25,,
0:00.0,Offensive rebound by Team,,15-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,,,15-25,,J. Green misses 2-pt shot from 8 ft
11:47.0,Defensive rebound by M. Leonard,,15-25,,
11:36.0,N. Batum makes 3-pt shot from 26 ft (assist by S. Blake),3,18-25,,
11:17.0,,,18-25,,J. Green misses 2-pt shot from 3 ft (block by M. Leonard)
11:17.0,,,18-25,,Offensive rebound by Team
11:13.0,,,18-27,2,J. Green makes 2-pt shot from 1 ft (assist by T. Allen)
10:55.0,D. Lillard misses 2-pt shot from 1 ft,,18-27,,
10:54.0,,,18-27,,Defensive rebound by V. Carter
10:46.0,,,18-30,3,B. Udrih makes 3-pt shot from 27 ft (assist by V. Carter)
10:29.0,S. Blake misses 3-pt shot from 26 ft,,18-30,,
10:28.0,,,18-30,,Defensive rebound by K. Koufos
10:12.0,,,18-32,2,K. Koufos makes 2-pt shot from 12 ft (assist by B. Udrih)
10:11.0,Portland full timeout,,18-32,,
10:11.0,C. McCollum enters the game for M. Leonard,,18-32,,
10:00.0,N. Batum misses 2-pt shot from 11 ft (block by J. Green),,18-32,,
9:58.0,,,18-32,,Defensive rebound by J. Green
9:48.0,,,18-34,2,B. Udrih makes 2-pt shot from 6 ft
9:33.0,S. Blake misses 3-pt shot from 26 ft,,18-34,,
9:32.0,,,18-34,,Defensive rebound by B. Udrih
9:11.0,,,18-34,,V. Carter misses 3-pt shot from 25 ft
9:09.0,,,18-34,,Offensive rebound by B. Udrih
9:00.0,Personal foul by S. Blake (drawn by V. Carter),,18-34,,
9:00.0,L. Aldridge enters the game for S. Blake,,18-34,,
8:54.0,,,18-36,2,J. Green makes 2-pt shot from 1 ft (assist by B. Udrih)
8:32.0,Shooting foul by K. Koufos (drawn by R. Lopez),,18-36,,
8:32.0,R. Lopez makes free throw 1 of 2,1,19-36,,
8:32.0,R. Lopez makes free throw 2 of 2,1,20-36,,
8:16.0,,,20-36,,B. Udrih misses 2-pt shot from 5 ft
8:14.0,Defensive rebound by R. Lopez,,20-36,,
8:04.0,Turnover by R. Lopez (lost ball; steal by T. Allen),,20-36,,
8:04.0,Loose ball foul by R. Lopez (drawn by T. Allen),,20-36,,
8:04.0,,,20-36,,C. Lee enters the game for T. Allen
7:53.0,,,20-38,2,V. Carter makes 2-pt shot from 15 ft (assist by B. Udrih)
7:33.0,L. Aldridge misses 2-pt shot at rim,,20-38,,
7:32.0,Offensive rebound by R. Lopez,,20-38,,
7:32.0,R. Lopez misses 2-pt shot from 1 ft,,20-38,,
7:31.0,Offensive rebound by L. Aldridge,,20-38,,
7:31.0,Shooting foul by K. Koufos (drawn by L. Aldridge),,20-38,,
7:31.0,L. Aldridge makes 2-pt shot from 1 ft,2,22-38,,
7:31.0,,,22-38,,M. Conley enters the game for B. Udrih
7:31.0,C. Kaman enters the game for R. Lopez,,22-38,,
7:31.0,A. Crabbe enters the game for N. Batum,,22-38,,
7:31.0,L. Aldridge misses free throw 1 of 1,,22-38,,
7:29.0,,,22-38,,Defensive rebound by J. Green
7:19.0,,,22-38,,J. Green misses 2-pt shot from 15 ft
7:18.0,,,22-38,,Offensive rebound by K. Koufos
7:18.0,,,22-38,,K. Koufos misses 2-pt shot at rim
7:15.0,Defensive rebound by D. Lillard,,22-38,,
7:10.0,D. Lillard misses 2-pt shot at rim,,22-38,,
7:07.0,,,22-38,,Defensive rebound by C. Lee
7:04.0,,,22-38,,Turnover by M. Conley (step out of bounds)
6:44.0,L. Aldridge misses 2-pt shot from 14 ft,,22-38,,
6:43.0,Offensive rebound by C. Kaman,,22-38,,
6:43.0,C. Kaman makes 2-pt shot at rim,2,24-38,,
6:43.0,Shooting foul by V. Carter (drawn by C. Kaman),,24-38,,
6:43.0,,,24-38,,Z. Randolph enters the game for K. Koufos
6:43.0,,,24-38,,M. Gasol enters the game for V. Carter
6:43.0,C. Kaman makes free throw 1 of 1,1,25-38,,
6:32.0,,,25-38,,Shooting foul by D. Lillard (drawn by M. Conley)
6:32.0,,,25-39,1,M. Conley makes free throw 1 of 2
6:32.0,,,25-40,1,M. Conley makes free throw 2 of 2
6:20.0,D. Lillard makes 2-pt shot from 1 ft,2,27-40,,
6:03.0,,,27-40,,J. Green misses 2-pt shot from 1 ft
6:01.0,Defensive rebound by C. Kaman,,27-40,,
5:53.0,C. Kaman makes 2-pt shot from 1 ft (assist by D. Lillard),2,29-40,,
5:41.0,,,29-40,,Memphis full timeout
5:24.0,,,29-40,,Z. Randolph misses 2-pt shot from 1 ft (block by L. Aldridge)
