time,Miami,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: Z. Pachulia vs. H. Whiteside (G. Antetokounmpo gains possession),,,,Jump ball: Z. Pachulia vs. H. Whiteside (G. Antetokounmpo gains possession)
11:40.0,,,0-0,,Turnover by M. Carter-Williams (bad pass; steal by G. Dragic)
11:35.0,Turnover by H. Whiteside (lost ball; steal by Z. Pachulia),,0-0,,
11:28.0,,,0-0,,Offensive foul by G. Antetokounmpo
11:28.0,,,0-0,,Turnover by G. Antetokounmpo (offensive foul)
11:13.0,U. Haslem misses 2-pt shot from 17 ft,,0-0,,
11:12.0,,,0-0,,Defensive rebound by K. Middleton
11:00.0,,,0-3,3,E. Ilyasova makes 3-pt shot from 25 ft (assist by Z. Pachulia)
10:35.0,L. Deng misses 2-pt shot from 10 ft,,0-3,,
10:33.0,,,0-3,,Defensive rebound by K. Middleton
10:23.0,,,0-3,,Shooting foul by U. Haslem (drawn by E. Ilyasova)
10:23.0,,,0-4,1,E. Ilyasova makes free throw 1 of 2
10:23.0,,,0-5,1,E. Ilyasova makes free throw 2 of 2
10:12.0,L. Deng makes 2-pt shot from 1 ft (assist by D. Wade),2,2-5,,
9:54.0,,,2-5,,E. Ilyasova misses 3-pt shot from 23 ft
9:54.0,Defensive rebound by Team,,2-5,,
9:41.0,,,2-5,,Personal foul by M. Carter-Williams (drawn by G. Dragic)
9:26.0,H. Whiteside makes 2-pt shot at rim (assist by D. Wade),2,4-5,,
9:04.0,,,4-7,2,K. Middleton makes 2-pt shot from 19 ft (assist by M. Carter-Williams)
8:49.0,Shooting foul by G. Antetokounmpo (drawn by L. Deng),,4-7,,
8:49.0,L. Deng misses free throw 1 of 2,,4-7,,
8:49.0,Offensive rebound by Team,,4-7,,
8:49.0,,,4-7,,J. Bayless enters the game for G. Antetokounmpo
8:49.0,L. Deng makes free throw 2 of 2,1,5-7,,
8:27.0,,,5-7,,M. Carter-Williams misses 2-pt shot from 16 ft
8:26.0,Defensive rebound by G. Dragic,,5-7,,
8:12.0,G. Dragic misses 2-pt shot at rim,,5-7,,
8:10.0,Offensive rebound by H. Whiteside,,5-7,,
8:10.0,H. Whiteside makes 2-pt shot at rim,2,7-7,,
7:50.0,,,7-7,,M. Carter-Williams misses 2-pt shot from 7 ft (block by H. Whiteside)
7:47.0,Defensive rebound by H. Whiteside,,7-7,,
7:43.0,U. Haslem misses 2-pt shot at rim (block by E. Ilyasova),,7-7,,
7:40.0,,,7-7,,Defensive rebound by E. Ilyasova
7:32.0,,,7-7,,Z. Pachulia misses 2-pt shot from 2 ft
7:28.0,,,7-7,,Offensive rebound by E. Ilyasova
7:28.0,,,7-9,2,E. Ilyasova makes 2-pt shot from 1 ft
7:12.0,Shooting foul by K. Middleton (drawn by D. Wade),,7-9,,
7:12.0,D. Wade makes free throw 1 of 2,1,8-9,,
7:12.0,D. Wade makes free throw 2 of 2,1,9-9,,
7:01.0,,,9-11,2,M. Carter-Williams makes 2-pt shot at rim
6:43.0,H. Whiteside misses 2-pt shot from 5 ft,,9-11,,
6:41.0,,,9-11,,Defensive rebound by Z. Pachulia
6:33.0,,,9-11,,Z. Pachulia misses 2-pt shot from 16 ft
6:32.0,Defensive rebound by H. Whiteside,,9-11,,
6:25.0,D. Wade makes 3-pt shot from 26 ft (assist by G. Dragic),3,12-11,,
6:12.0,,,12-11,,Turnover by M. Carter-Williams (bad pass; steal by H. Whiteside)
6:08.0,L. Deng makes 2-pt shot at rim (assist by G. Dragic),2,14-11,,
6:01.0,,,14-11,,Milwaukee full timeout
6:01.0,H. Walker enters the game for U. Haslem,,14-11,,
6:01.0,M. Chalmers enters the game for G. Dragic,,14-11,,
5:47.0,,,14-13,2,Z. Pachulia makes 2-pt shot at rim (assist by J. Bayless)
5:24.0,Offensive charge foul by D. Wade,,14-13,,
5:24.0,Turnover by D. Wade (offensive foul),,14-13,,
5:13.0,,,14-15,2,E. Ilyasova makes 2-pt shot at rim (assist by Z. Pachulia)
4:59.0,M. Chalmers misses 2-pt shot at rim,,14-15,,
