time,Denver,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Faried vs. H. Whiteside (J. Nurkic gains possession),,,,Jump ball: K. Faried vs. H. Whiteside (J. Nurkic gains possession)
11:53.0,Turnover by J. Nurkic (bad pass; steal by D. Wade),,0-0,,
11:32.0,,,0-3,3,L. Deng makes 3-pt shot from 24 ft (assist by G. Dragic)
11:17.0,J. Nurkic misses 2-pt shot from 4 ft,,0-3,,
11:16.0,,,0-3,,Defensive rebound by Team
10:58.0,,,0-3,,L. Deng misses 2-pt shot from 15 ft
10:57.0,Defensive rebound by K. Faried,,0-3,,
10:48.0,K. Faried makes 2-pt shot from 2 ft (assist by R. Foye),2,2-3,,
10:32.0,,,2-3,,U. Haslem misses 2-pt shot from 17 ft
10:31.0,,,2-3,,Offensive rebound by G. Dragic
10:26.0,,,2-5,2,G. Dragic makes 2-pt shot from 14 ft
10:13.0,,,2-5,,Personal foul by G. Dragic (drawn by T. Lawson)
10:07.0,J. Nurkic makes 2-pt shot from 5 ft (assist by T. Lawson),2,4-5,,
9:47.0,,,4-5,,D. Wade misses 2-pt shot from 18 ft
9:46.0,,,4-5,,Offensive rebound by Team
9:22.0,,,4-5,,U. Haslem misses 3-pt shot from 23 ft
9:21.0,Defensive rebound by W. Chandler,,4-5,,
9:13.0,T. Lawson misses 2-pt shot from 20 ft (block by G. Dragic),,4-5,,
9:12.0,,,4-5,,Defensive rebound by H. Whiteside
9:07.0,,,4-5,,G. Dragic misses 2-pt shot from 6 ft
9:06.0,Defensive rebound by Team,,4-5,,
8:52.0,K. Faried makes 2-pt shot from 1 ft (assist by T. Lawson),2,6-5,,
8:52.0,Shooting foul by H. Whiteside (drawn by K. Faried),,6-5,,
8:52.0,K. Faried misses free throw 1 of 1,,6-5,,
8:51.0,,,6-5,,Defensive rebound by H. Whiteside
8:30.0,,,6-5,,L. Deng misses 3-pt shot from 23 ft
8:29.0,,,6-5,,Offensive rebound by U. Haslem
8:25.0,Shooting block foul by R. Foye (drawn by D. Wade),,6-5,,
8:25.0,,,6-6,1,D. Wade makes free throw 1 of 2
8:25.0,,,6-7,1,D. Wade makes free throw 2 of 2
8:11.0,R. Foye makes 3-pt shot from 24 ft (assist by T. Lawson),3,9-7,,
7:50.0,,,9-7,,Shooting foul by J. Nurkic (drawn by H. Whiteside)
7:50.0,,,9-8,1,H. Whiteside makes free throw 1 of 2
7:50.0,,,9-9,1,H. Whiteside makes free throw 2 of 2
7:30.0,J. Nurkic makes 2-pt shot from 2 ft,2,11-9,,
7:08.0,,,11-9,,Turnover by D. Wade (bad pass; steal by K. Faried)
7:03.0,K. Faried makes 2-pt shot at rim (assist by W. Chandler),2,13-9,,
6:49.0,,,13-9,,H. Whiteside misses 2-pt shot from 12 ft
6:48.0,Defensive rebound by W. Chandler,,13-9,,
6:41.0,W. Chandler makes 2-pt shot from 19 ft,2,15-9,,
6:41.0,,,15-9,,Miami full timeout
6:26.0,,,15-11,2,D. Wade makes 2-pt shot from 15 ft
6:04.0,J. Nurkic misses 2-pt shot from 2 ft (block by H. Whiteside),,15-11,,
6:00.0,Offensive rebound by W. Chandler,,15-11,,
5:59.0,W. Chandler makes 2-pt shot at rim,2,17-11,,
5:48.0,,,17-11,,Turnover by G. Dragic (bad pass; steal by K. Faried)
5:42.0,W. Chandler makes 2-pt shot from 2 ft (assist by T. Lawson),2,19-11,,
5:26.0,,,19-11,,D. Wade misses 2-pt shot at rim
5:25.0,Defensive rebound by J. Nurkic,,19-11,,
5:20.0,Shooting foul by U. Haslem (drawn by W. Chandler),,19-11,,
5:20.0,W. Chandler makes free throw 1 of 2,1,20-11,,
5:20.0,,,20-11,,M. Beasley enters the game for U. Haslem
5:20.0,,,20-11,,M. Chalmers enters the game for G. Dragic
5:20.0,W. Chandler makes free throw 2 of 2,1,21-11,,
5:08.0,,,21-14,3,L. Deng makes 3-pt shot from 24 ft (assist by M. Chalmers)
4:57.0,J. Nurkic makes 2-pt shot from 17 ft (assist by T. Lawson),2,23-14,,
4:41.0,,,23-14,,H. Whiteside misses 2-pt shot from 4 ft
4:40.0,Defensive rebound by J. Nurkic,,23-14,,
4:29.0,Offensive foul by J. Nurkic,,23-14,,
4:29.0,Turnover by J. Nurkic (offensive foul),,23-14,,
4:26.0,,,23-14,,C. Andersen enters the game for H. Whiteside
