time,Portland,pts.away,score,pts.home,Toronto
11:47.0,,,33-31,,L. Williams misses 2-pt shot from 20 ft
11:46.0,,,33-31,,Offensive rebound by Team
11:40.0,,,33-34,3,G. Vasquez makes 3-pt shot from 24 ft (assist by P. Patterson)
11:21.0,C. Kaman makes 2-pt shot from 1 ft,2,35-34,,
11:11.0,,,35-34,,L. Williams misses 3-pt shot from 22 ft
11:10.0,Defensive rebound by Team,,35-34,,
11:10.0,,,35-34,,Personal foul by K. Lowry (drawn by D. Lillard)
10:58.0,S. Blake makes 3-pt shot from 24 ft,3,38-34,,
10:38.0,,,38-36,2,T. Hansbrough makes 2-pt shot from 2 ft (assist by L. Williams)
10:38.0,,,38-36,,Shooting foul by C. Kaman (drawn by T. Hansbrough)
10:38.0,,,38-37,1,T. Hansbrough makes free throw 1 of 1
10:24.0,Turnover by M. Leonard (bad pass; steal by L. Williams),,38-37,,
10:20.0,,,38-39,2,L. Williams makes 2-pt shot from 1 ft
10:08.0,,,38-39,,Personal foul by G. Vasquez (drawn by C. McCollum)
10:01.0,M. Leonard misses 3-pt shot from 23 ft,,38-39,,
9:59.0,,,38-39,,Defensive rebound by P. Patterson
9:50.0,,,38-39,,L. Williams misses 2-pt shot from 13 ft
9:48.0,Defensive rebound by M. Leonard,,38-39,,
9:34.0,D. Lillard makes 2-pt shot from 9 ft,2,40-39,,
9:07.0,,,40-39,,G. Vasquez misses 2-pt shot from 5 ft
9:06.0,Defensive rebound by C. Kaman,,40-39,,
9:04.0,,,40-39,,Personal foul by K. Lowry (drawn by M. Leonard)
9:04.0,,,40-39,,D. DeRozan enters the game for G. Vasquez
9:04.0,A. Afflalo enters the game for C. McCollum,,40-39,,
8:52.0,A. Afflalo misses 2-pt shot from 16 ft,,40-39,,
8:51.0,,,40-39,,Defensive rebound by D. DeRozan
8:42.0,,,40-39,,Offensive foul by T. Hansbrough
8:42.0,,,40-39,,Turnover by T. Hansbrough (offensive foul)
8:42.0,Official timeout,,40-39,,
