time,Portland,pts.away,score,pts.home,Toronto
1:40.0,,,111-95,,T. Hansbrough enters the game for J. Valanciunas
1:36.0,,,111-95,,Personal foul by G. Vasquez (drawn by C. McCollum)
1:36.0,,,111-95,,G. Stiemsma enters the game for P. Patterson
1:31.0,C. McCollum makes 2-pt shot from 1 ft,2,113-95,,
1:13.0,,,113-95,,Shooting foul by A. Crabbe (drawn by T. Hansbrough)
1:13.0,,,113-96,1,T. Hansbrough makes free throw 1 of 2
1:13.0,,,113-97,1,T. Hansbrough makes free throw 2 of 2
0:57.0,M. Leonard misses 2-pt shot from 9 ft,,113-97,,
0:56.0,,,113-97,,Defensive rebound by G. Stiemsma
0:48.0,,,113-97,,L. Fields misses 2-pt shot from 11 ft
0:45.0,Defensive rebound by M. Leonard,,113-97,,
0:34.0,A. Crabbe misses 3-pt shot from 24 ft,,113-97,,
0:32.0,,,113-97,,Defensive rebound by G. Stiemsma
0:22.0,,,113-97,,G. Vasquez misses 3-pt shot from 24 ft
0:20.0,Defensive rebound by D. Wright,,113-97,,
0:17.0,A. Gee misses 2-pt shot from 1 ft,,113-97,,
0:14.0,,,113-97,,Defensive rebound by T. Hansbrough
0:04.0,,,113-97,,Shooting foul by D. Wright (drawn by G. Stiemsma)
0:04.0,,,113-97,,G. Stiemsma misses free throw 1 of 2
0:04.0,,,113-97,,Offensive rebound by Team
0:04.0,,,113-97,,G. Stiemsma misses free throw 2 of 2
0:04.0,Defensive rebound by M. Leonard,,113-97,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
