time,Miami,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. H. Whiteside (D. Augustin gains possession),,,,Jump ball: A. Drummond vs. H. Whiteside (D. Augustin gains possession)
11:40.0,,,0-0,,A. Drummond misses 2-pt shot from 5 ft
11:38.0,Defensive rebound by C. Bosh,,0-0,,
11:22.0,H. Whiteside misses 2-pt shot from 18 ft,,0-0,,
11:21.0,,,0-0,,Defensive rebound by G. Monroe
11:14.0,,,0-0,,Shooting foul by H. Whiteside (drawn by D. Augustin)
11:14.0,,,0-1,1,D. Augustin makes free throw 1 of 2
11:14.0,,,0-2,1,D. Augustin makes free throw 2 of 2
11:03.0,L. Deng misses 2-pt shot from 13 ft,,0-2,,
11:03.0,Offensive rebound by H. Whiteside,,0-2,,
11:02.0,H. Whiteside misses 2-pt shot from 1 ft,,0-2,,
11:01.0,Offensive rebound by H. Whiteside,,0-2,,
10:58.0,H. Whiteside makes 2-pt shot at rim,2,2-2,,
10:35.0,,,2-2,,K. Caldwell-Pope misses 3-pt shot from 24 ft
10:34.0,Defensive rebound by H. Whiteside,,2-2,,
10:24.0,C. Bosh makes 2-pt shot from 12 ft (assist by S. Napier),2,4-2,,
10:04.0,,,4-4,2,K. Singler makes 2-pt shot from 18 ft (assist by K. Caldwell-Pope)
9:35.0,C. Bosh makes 2-pt shot from 16 ft (assist by M. Chalmers),2,6-4,,
9:04.0,,,6-4,,D. Augustin misses 3-pt shot from 25 ft
9:03.0,Defensive rebound by L. Deng,,6-4,,
8:51.0,Turnover by L. Deng (bad pass; steal by K. Caldwell-Pope),,6-4,,
8:40.0,,,6-4,,G. Monroe misses 2-pt shot from 6 ft
8:38.0,,,6-4,,Offensive rebound by A. Drummond
8:37.0,,,6-4,,A. Drummond misses 2-pt shot at rim
8:36.0,,,6-4,,Offensive rebound by A. Drummond
8:36.0,,,6-6,2,A. Drummond makes 2-pt shot at rim
8:19.0,,,6-6,,Personal foul by K. Singler (drawn by C. Bosh)
8:06.0,H. Whiteside makes 2-pt shot at rim,2,8-6,,
7:54.0,,,8-8,2,K. Caldwell-Pope makes 2-pt shot from 18 ft (assist by D. Augustin)
7:33.0,M. Chalmers misses 3-pt shot from 25 ft,,8-8,,
7:32.0,,,8-8,,Defensive rebound by A. Drummond
7:22.0,,,8-8,,D. Augustin misses 2-pt shot from 17 ft
7:21.0,Defensive rebound by H. Whiteside,,8-8,,
7:10.0,C. Bosh makes 3-pt shot from 22 ft (assist by S. Napier),3,11-8,,
6:59.0,,,11-8,,Detroit full timeout
6:45.0,,,11-8,,G. Monroe misses 2-pt shot from 1 ft (block by H. Whiteside)
6:44.0,Defensive rebound by C. Bosh,,11-8,,
6:31.0,C. Bosh misses 2-pt shot from 17 ft,,11-8,,
6:30.0,,,11-8,,Defensive rebound by D. Augustin
6:28.0,Personal foul by S. Napier (drawn by D. Augustin),,11-8,,
6:16.0,,,11-8,,G. Monroe misses 2-pt shot at rim (block by H. Whiteside)
6:14.0,Defensive rebound by S. Napier,,11-8,,
5:54.0,L. Deng misses 3-pt shot from 23 ft,,11-8,,
5:53.0,Offensive rebound by H. Whiteside,,11-8,,
5:49.0,H. Whiteside misses 2-pt shot from 3 ft (block by A. Drummond),,11-8,,
5:48.0,,,11-8,,Defensive rebound by G. Monroe
5:43.0,,,11-11,3,K. Caldwell-Pope makes 3-pt shot from 22 ft (assist by D. Augustin)
5:21.0,H. Whiteside misses 2-pt shot from 2 ft (block by G. Monroe),,11-11,,
5:19.0,,,11-11,,Defensive rebound by G. Monroe
5:14.0,J. Ennis enters the game for L. Deng,,11-11,,
5:07.0,,,11-11,,Shooting foul by H. Whiteside (drawn by K. Caldwell-Pope)
5:07.0,,,11-11,,K. Caldwell-Pope misses free throw 1 of 2
5:07.0,,,11-11,,Offensive rebound by Team
5:07.0,C. Andersen enters the game for H. Whiteside,,11-11,,
5:07.0,,,11-11,,K. Caldwell-Pope misses free throw 2 of 2
5:06.0,Defensive rebound by C. Andersen,,11-11,,
5:03.0,Miami full timeout,,11-11,,
4:51.0,C. Bosh misses 2-pt shot from 16 ft,,11-11,,
4:50.0,Offensive rebound by C. Andersen,,11-11,,
4:45.0,C. Bosh misses 2-pt shot from 14 ft,,11-11,,
4:44.0,,,11-11,,Defensive rebound by G. Monroe
4:30.0,,,11-13,2,G. Monroe makes 2-pt shot at rim (assist by D. Augustin)
4:12.0,C. Bosh misses 2-pt shot from 17 ft,,11-13,,
4:12.0,,,11-13,,Defensive rebound by K. Singler
4:06.0,,,11-13,,D. Augustin misses 2-pt shot from 4 ft (block by C. Andersen)
4:04.0,,,11-13,,Offensive rebound by K. Caldwell-Pope
4:03.0,,,11-15,2,K. Caldwell-Pope makes 2-pt shot at rim
3:47.0,C. Bosh misses 2-pt shot from 8 ft,,11-15,,
3:44.0,,,11-15,,Defensive rebound by A. Drummond
3:41.0,,,11-17,2,D. Augustin makes 2-pt shot at rim
3:16.0,Turnover by J. Ennis (lost ball; steal by D. Augustin),,11-17,,
3:13.0,,,11-17,,Turnover by G. Monroe (bad pass)
3:13.0,T. Johnson enters the game for S. Napier,,11-17,,
3:13.0,N. Cole enters the game for M. Chalmers,,11-17,,
2:56.0,Turnover by C. Bosh (lost ball; steal by G. Monroe),,11-17,,
2:51.0,,,11-19,2,K. Caldwell-Pope makes 2-pt shot at rim (assist by D. Augustin)
2:51.0,Miami full timeout,,11-19,,
2:51.0,,,11-19,,J. Meeks enters the game for G. Monroe
2:51.0,,,11-19,,A. Tolliver enters the game for K. Caldwell-Pope
2:51.0,D. Granger enters the game for C. Bosh,,11-19,,
2:41.0,Shooting foul by A. Tolliver (drawn by T. Johnson),,11-19,,
2:41.0,T. Johnson misses free throw 1 of 2,,11-19,,
2:41.0,Offensive rebound by Team,,11-19,,
2:41.0,T. Johnson makes free throw 2 of 2,1,12-19,,
2:28.0,,,12-21,2,A. Drummond makes 2-pt shot at rim (assist by K. Singler)
2:07.0,C. Andersen misses 2-pt shot from 4 ft,,12-21,,
2:06.0,,,12-21,,Defensive rebound by A. Drummond
2:02.0,,,12-21,,Shooting foul by J. Ennis (drawn by A. Drummond)
2:02.0,,,12-22,1,A. Drummond makes free throw 1 of 2
2:02.0,,,12-23,1,A. Drummond makes free throw 2 of 2
1:48.0,N. Cole misses 2-pt shot from 18 ft,,12-23,,
1:47.0,,,12-23,,Defensive rebound by D. Augustin
1:43.0,,,12-23,,Shooting foul by C. Andersen (drawn by D. Augustin)
1:43.0,,,12-24,1,D. Augustin makes free throw 1 of 2
1:43.0,,,12-25,1,D. Augustin makes free throw 2 of 2
1:29.0,T. Johnson misses 2-pt shot from 6 ft,,12-25,,
1:26.0,,,12-25,,Defensive rebound by A. Tolliver
1:21.0,,,12-28,3,A. Tolliver makes 3-pt shot from 26 ft (assist by D. Augustin)
1:00.0,J. Ennis misses 3-pt shot from 23 ft,,12-28,,
1:00.0,,,12-28,,Defensive rebound by A. Drummond
0:45.0,,,12-28,,K. Singler misses 2-pt shot from 10 ft
0:43.0,,,12-28,,Offensive rebound by A. Drummond
0:40.0,,,12-30,2,D. Augustin makes 2-pt shot at rim (assist by A. Drummond)
0:40.0,,,12-30,,Shooting foul by D. Granger (drawn by D. Augustin)
0:40.0,,,12-31,1,D. Augustin makes free throw 1 of 1
