time,Indiana,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. I. Mahinmi (D. Nowitzki gains possession),,,,Jump ball: T. Chandler vs. I. Mahinmi (D. Nowitzki gains possession)
11:45.0,,,0-2,2,T. Chandler makes 2-pt shot at rim (assist by M. Ellis)
11:24.0,L. Scola makes 2-pt shot at rim,2,2-2,,
11:04.0,,,2-2,,D. Nowitzki misses 2-pt shot from 18 ft (block by L. Scola)
11:02.0,Defensive rebound by S. Hill,,2-2,,
10:57.0,Turnover by S. Hill (bad pass; steal by C. Parsons),,2-2,,
10:43.0,,,2-2,,C. Parsons misses 2-pt shot at rim
10:41.0,,,2-2,,Offensive rebound by T. Chandler
10:41.0,,,2-2,,T. Chandler misses 2-pt shot from 3 ft
10:40.0,Defensive rebound by I. Mahinmi,,2-2,,
10:36.0,Offensive charge foul by L. Scola,,2-2,,
10:36.0,Turnover by L. Scola (offensive foul),,2-2,,
10:20.0,,,2-4,2,D. Nowitzki makes 2-pt shot from 11 ft
10:03.0,S. Hill misses 2-pt shot from 16 ft (block by C. Parsons),,2-4,,
10:02.0,Offensive rebound by L. Scola,,2-4,,
9:59.0,I. Mahinmi makes 2-pt shot at rim (assist by S. Hill),2,4-4,,
9:34.0,,,4-4,,D. Nowitzki misses 2-pt shot from 21 ft
9:33.0,Defensive rebound by S. Hill,,4-4,,
9:23.0,D. Sloan makes 3-pt shot from 24 ft (assist by R. Stuckey),3,7-4,,
9:11.0,,,7-7,3,J. Nelson makes 3-pt shot from 24 ft (assist by M. Ellis)
8:56.0,L. Scola misses 2-pt shot from 17 ft,,7-7,,
8:55.0,,,7-7,,Defensive rebound by C. Parsons
8:47.0,,,7-10,3,D. Nowitzki makes 3-pt shot from 24 ft (assist by J. Nelson)
8:24.0,D. Sloan makes 2-pt shot from 12 ft,2,9-10,,
8:09.0,,,9-10,,J. Nelson misses 3-pt shot from 22 ft
8:08.0,Defensive rebound by L. Scola,,9-10,,
7:58.0,R. Stuckey misses 2-pt shot from 22 ft,,9-10,,
7:57.0,,,9-10,,Defensive rebound by D. Nowitzki
