time,Phoenix,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. A. Len (S. Ibaka gains possession),,,,Jump ball: S. Adams vs. A. Len (S. Ibaka gains possession)
11:33.0,,,0-0,,Turnover by Team (shot clock)
11:16.0,M. Morris makes 3-pt shot from 22 ft,3,3-0,,
10:58.0,,,3-2,2,K. Durant makes 2-pt shot from 12 ft (assist by R. Westbrook)
10:48.0,M. Morris makes 3-pt shot from 24 ft (assist by E. Bledsoe),3,6-2,,
10:31.0,,,6-2,,S. Adams misses 2-pt shot from 7 ft
10:31.0,Defensive rebound by Team,,6-2,,
10:31.0,,,6-2,,Loose ball foul by S. Adams (drawn by M. Morris)
10:10.0,M. Morris makes 2-pt shot from 9 ft,2,8-2,,
9:56.0,,,8-4,2,K. Durant makes 2-pt shot from 15 ft (assist by A. Roberson)
9:38.0,E. Bledsoe misses 2-pt shot from 12 ft,,8-4,,
9:37.0,,,8-4,,Defensive rebound by S. Adams
9:32.0,,,8-6,2,R. Westbrook makes 2-pt shot from 14 ft
9:16.0,G. Dragic makes 3-pt shot from 24 ft,3,11-6,,
9:06.0,Personal foul by E. Bledsoe (drawn by R. Westbrook),,11-6,,
8:58.0,,,11-6,,S. Adams misses 2-pt shot from 5 ft
8:57.0,,,11-6,,Offensive rebound by A. Roberson
8:57.0,,,11-6,,A. Roberson misses 2-pt shot from 2 ft
8:55.0,Defensive rebound by A. Len,,11-6,,
8:47.0,A. Len misses 2-pt shot at rim,,11-6,,
8:47.0,,,11-6,,Defensive rebound by Team
8:47.0,Loose ball foul by E. Bledsoe (drawn by S. Adams),,11-6,,
8:40.0,Violation by P. Tucker (kicked ball),,11-6,,
8:32.0,,,11-6,,R. Westbrook misses 2-pt shot from 13 ft
8:32.0,Defensive rebound by M. Morris,,11-6,,
8:18.0,M. Morris misses 2-pt shot from 14 ft,,11-6,,
8:17.0,,,11-6,,Defensive rebound by R. Westbrook
8:02.0,,,11-6,,S. Ibaka misses 2-pt shot from 16 ft
8:01.0,Defensive rebound by A. Len,,11-6,,
7:53.0,Turnover by E. Bledsoe (lost ball; steal by R. Westbrook),,11-6,,
7:49.0,,,11-8,2,K. Durant makes 2-pt shot from 7 ft (assist by R. Westbrook)
7:49.0,,,11-8,,Shooting foul by M. Morris (drawn by K. Durant)
7:49.0,,,11-9,1,K. Durant makes free throw 1 of 1
7:36.0,P. Tucker makes 2-pt shot from 3 ft,2,13-9,,
7:25.0,,,13-12,3,S. Ibaka makes 3-pt shot from 24 ft (assist by R. Westbrook)
7:08.0,P. Tucker misses 3-pt shot from 22 ft (block by K. Durant),,13-12,,
7:06.0,,,13-12,,Defensive rebound by K. Durant
6:50.0,,,13-15,3,R. Westbrook makes 3-pt shot from 24 ft (assist by K. Durant)
6:38.0,G. Dragic misses 2-pt shot from 1 ft,,13-15,,
6:37.0,,,13-15,,Defensive rebound by K. Durant
6:29.0,,,13-17,2,A. Roberson makes 2-pt shot from 2 ft (assist by K. Durant)
6:28.0,Phoenix full timeout,,13-17,,
6:12.0,Offensive foul by M. Morris,,13-17,,
6:12.0,Turnover by M. Morris (offensive foul),,13-17,,
6:12.0,M. Morris enters the game for M. Morris,,13-17,,
6:12.0,G. Green enters the game for E. Bledsoe,,13-17,,
5:56.0,,,13-19,2,S. Adams makes 2-pt shot at rim (assist by K. Durant)
5:37.0,,,13-19,,Personal foul by R. Westbrook (drawn by G. Dragic)
5:37.0,,,13-19,,P. Jones enters the game for K. Durant
5:27.0,Turnover by G. Green (lost ball),,13-19,,
5:27.0,Violation by Team (jump ball),,13-19,,
5:02.0,,,13-19,,P. Jones misses 2-pt shot from 18 ft
5:01.0,,,13-19,,Offensive rebound by S. Adams
5:01.0,,,13-19,,S. Adams misses 2-pt shot at rim
4:59.0,Defensive rebound by A. Len,,13-19,,
4:48.0,G. Green makes 3-pt shot from 22 ft,3,16-19,,
4:31.0,,,16-22,3,S. Ibaka makes 3-pt shot from 23 ft (assist by P. Jones)
4:17.0,,,16-22,,Personal foul by A. Roberson (drawn by G. Green)
4:17.0,,,16-22,,A. Morrow enters the game for A. Roberson
4:04.0,M. Morris misses 3-pt shot from 24 ft,,16-22,,
4:03.0,,,16-22,,Defensive rebound by S. Adams
3:55.0,,,16-24,2,R. Westbrook makes 2-pt shot from 19 ft
3:42.0,,,16-24,,Personal foul by P. Jones (drawn by P. Tucker)
3:35.0,G. Green makes 3-pt shot from 24 ft (assist by G. Dragic),3,19-24,,
3:11.0,,,19-26,2,R. Westbrook makes 2-pt shot from 3 ft
2:58.0,M. Morris makes 2-pt shot from 8 ft,2,21-26,,
2:44.0,,,21-26,,R. Westbrook misses 2-pt shot from 17 ft
2:43.0,Defensive rebound by M. Morris,,21-26,,
2:35.0,G. Dragic makes 2-pt shot from 1 ft,2,23-26,,
2:35.0,,,23-26,,Oklahoma City full timeout
2:35.0,M. Plumlee enters the game for P. Tucker,,23-26,,
2:35.0,I. Thomas enters the game for A. Len,,23-26,,
2:35.0,,,23-26,,R. Jackson enters the game for S. Adams
2:35.0,,,23-26,,K. Perkins enters the game for R. Westbrook
2:19.0,,,23-26,,A. Morrow misses 2-pt shot from 7 ft
2:18.0,Defensive rebound by M. Plumlee,,23-26,,
2:02.0,,,23-26,,Personal foul by K. Perkins (drawn by G. Green)
2:02.0,G. Green misses free throw 1 of 2,,23-26,,
2:02.0,Offensive rebound by Team,,23-26,,
2:02.0,G. Green makes free throw 2 of 2,1,24-26,,
1:52.0,,,24-28,2,P. Jones makes 2-pt shot from 6 ft (assist by A. Morrow)
1:31.0,M. Plumlee misses 2-pt shot from 3 ft (block by S. Ibaka),,24-28,,
1:29.0,Offensive rebound by G. Dragic,,24-28,,
1:29.0,G. Dragic makes 2-pt shot from 1 ft,2,26-28,,
1:20.0,Personal foul by I. Thomas (drawn by K. Perkins),,26-28,,
1:20.0,,,26-28,,K. Durant enters the game for S. Ibaka
1:17.0,,,26-28,,R. Jackson misses 3-pt shot from 22 ft
1:16.0,,,26-28,,Offensive rebound by K. Perkins
1:16.0,Personal foul by G. Green (drawn by K. Perkins),,26-28,,
1:16.0,,,26-29,1,K. Perkins makes free throw 1 of 2
1:16.0,,,26-30,1,K. Perkins makes free throw 2 of 2
1:02.0,G. Green misses 2-pt shot from 22 ft,,26-30,,
1:01.0,,,26-30,,Defensive rebound by R. Jackson
0:51.0,,,26-30,,K. Perkins misses 2-pt shot from 6 ft
0:50.0,Defensive rebound by G. Dragic,,26-30,,
0:34.0,I. Thomas misses 2-pt shot at rim (block by K. Perkins),,26-30,,
0:32.0,,,26-30,,Defensive rebound by P. Jones
0:11.0,,,26-30,,K. Durant misses 3-pt shot from 23 ft
0:10.0,Defensive rebound by G. Green,,26-30,,
0:04.0,M. Morris makes 3-pt shot from 22 ft (assist by G. Green),3,29-30,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,G. Green misses 2-pt shot from 19 ft,,29-30,,
11:49.0,,,29-30,,Defensive rebound by K. Durant
11:37.0,,,29-30,,R. Jackson misses 2-pt shot from 1 ft
11:36.0,,,29-30,,Offensive rebound by K. Perkins
11:36.0,Personal foul by M. Morris (drawn by K. Perkins),,29-30,,
11:32.0,,,29-32,2,K. Durant makes 2-pt shot at rim (assist by P. Jones)
11:19.0,G. Dragic misses 3-pt shot from 25 ft,,29-32,,
11:18.0,,,29-32,,Defensive rebound by R. Jackson
11:07.0,,,29-34,2,P. Jones makes 2-pt shot at rim (assist by R. Jackson)
10:47.0,Turnover by I. Thomas (lost ball; steal by P. Jones),,29-34,,
10:43.0,,,29-34,,Shooting foul by G. Dragic (drawn by A. Morrow)
10:43.0,,,29-35,1,A. Morrow makes free throw 1 of 2
10:43.0,E. Bledsoe enters the game for G. Dragic,,29-35,,
10:43.0,,,29-36,1,A. Morrow makes free throw 2 of 2
10:35.0,Shooting foul by K. Perkins (drawn by E. Bledsoe),,29-36,,
10:35.0,E. Bledsoe makes free throw 1 of 2,1,30-36,,
10:35.0,E. Bledsoe makes free throw 2 of 2,1,31-36,,
10:19.0,,,31-36,,Turnover by K. Perkins (lost ball; steal by M. Morris)
10:10.0,Shooting foul by K. Durant (drawn by G. Green),,31-36,,
10:10.0,G. Green misses free throw 1 of 2,,31-36,,
10:10.0,Offensive rebound by Team,,31-36,,
10:10.0,G. Green makes free throw 2 of 2,1,32-36,,
9:53.0,,,32-38,2,K. Durant makes 2-pt shot from 16 ft
9:36.0,M. Morris makes 2-pt shot from 17 ft,2,34-38,,
9:24.0,,,34-41,3,K. Durant makes 3-pt shot from 24 ft (assist by R. Jackson)
9:05.0,M. Morris makes 2-pt shot from 22 ft (assist by I. Thomas),2,36-41,,
8:52.0,,,36-41,,P. Jones misses 2-pt shot from 3 ft
8:50.0,,,36-41,,Offensive rebound by P. Jones
8:50.0,,,36-43,2,P. Jones makes 2-pt shot from 2 ft
8:36.0,M. Morris makes 2-pt shot from 17 ft (assist by E. Bledsoe),2,38-43,,
8:16.0,,,38-43,,K. Durant misses 3-pt shot from 24 ft
8:15.0,Defensive rebound by M. Morris,,38-43,,
7:59.0,M. Plumlee makes 2-pt shot at rim (assist by E. Bledsoe),2,40-43,,
7:59.0,,,40-43,,Oklahoma City full timeout
7:59.0,,,40-43,,R. Westbrook enters the game for P. Jones
7:47.0,,,40-43,,R. Westbrook misses 2-pt shot from 5 ft
7:47.0,,,40-43,,Offensive rebound by K. Perkins
7:45.0,,,40-45,2,K. Perkins makes 2-pt shot from 2 ft
7:31.0,I. Thomas misses 3-pt shot from 24 ft,,40-45,,
7:30.0,,,40-45,,Defensive rebound by K. Durant
7:25.0,Personal foul by M. Morris (drawn by K. Durant),,40-45,,
7:25.0,A. Len enters the game for M. Plumlee,,40-45,,
7:15.0,,,40-45,,A. Morrow misses 3-pt shot from 24 ft
7:14.0,,,40-45,,Offensive rebound by R. Westbrook
7:10.0,,,40-45,,R. Westbrook misses 2-pt shot from 1 ft (block by A. Len)
7:09.0,Defensive rebound by A. Len,,40-45,,
7:02.0,M. Morris makes 3-pt shot from 24 ft (assist by I. Thomas),3,43-45,,
6:49.0,,,43-45,,Shooting foul by I. Thomas (drawn by R. Westbrook)
6:49.0,,,43-46,1,R. Westbrook makes free throw 1 of 2
6:49.0,,,43-47,1,R. Westbrook makes free throw 2 of 2
6:34.0,M. Morris misses 2-pt shot from 15 ft,,43-47,,
6:34.0,,,43-47,,Defensive rebound by A. Morrow
6:23.0,,,43-47,,R. Westbrook misses 3-pt shot from 24 ft
6:21.0,,,43-47,,Offensive rebound by A. Morrow
6:12.0,Personal foul by A. Len (drawn by R. Westbrook),,43-47,,
6:12.0,,,43-48,1,R. Westbrook makes free throw 1 of 2
6:12.0,,,43-48,,S. Ibaka enters the game for A. Morrow
6:12.0,,,43-48,,S. Adams enters the game for K. Perkins
6:12.0,,,43-49,1,R. Westbrook makes free throw 2 of 2
5:54.0,A. Len makes 2-pt shot at rim (assist by E. Bledsoe),2,45-49,,
5:30.0,Shooting block foul by M. Morris (drawn by R. Jackson),,45-49,,
5:30.0,Official timeout,,45-49,,
5:30.0,P. Tucker enters the game for M. Morris,,45-49,,
5:30.0,,,45-49,,P. Jones enters the game for K. Durant
5:30.0,,,45-49,,R. Jackson misses free throw 1 of 2
5:30.0,,,45-49,,Offensive rebound by Team
5:30.0,,,45-49,,R. Jackson misses free throw 2 of 2
5:29.0,Defensive rebound by A. Len,,45-49,,
5:16.0,I. Thomas misses 3-pt shot from 24 ft,,45-49,,
5:15.0,,,45-49,,Defensive rebound by P. Jones
5:06.0,,,45-49,,S. Ibaka misses 3-pt shot from 24 ft
5:04.0,,,45-49,,Offensive rebound by S. Adams
5:00.0,,,45-49,,S. Ibaka misses 3-pt shot from 24 ft
4:58.0,Defensive rebound by G. Green,,45-49,,
4:50.0,,,45-49,,Personal foul by S. Adams (drawn by A. Len)
4:50.0,G. Dragic enters the game for I. Thomas,,45-49,,
4:50.0,M. Morris enters the game for G. Green,,45-49,,
4:46.0,E. Bledsoe makes 3-pt shot from 24 ft,3,48-49,,
4:26.0,,,48-49,,R. Westbrook misses 2-pt shot from 3 ft
4:25.0,,,48-49,,Offensive rebound by S. Ibaka
4:18.0,,,48-49,,R. Jackson misses 3-pt shot from 24 ft
4:17.0,,,48-49,,Offensive rebound by R. Westbrook
4:16.0,Personal foul by G. Dragic (drawn by R. Westbrook),,48-49,,
4:16.0,,,48-50,1,R. Westbrook makes free throw 1 of 2
4:16.0,,,48-51,1,R. Westbrook makes free throw 2 of 2
4:09.0,P. Tucker makes 3-pt shot from 24 ft (assist by E. Bledsoe),3,51-51,,
3:59.0,,,51-53,2,R. Jackson makes 2-pt shot from 13 ft
3:46.0,P. Tucker makes 3-pt shot from 23 ft (assist by E. Bledsoe),3,54-53,,
3:33.0,,,54-53,,Turnover by R. Westbrook (bad pass; steal by E. Bledsoe)
3:31.0,E. Bledsoe makes 2-pt shot at rim,2,56-53,,
3:26.0,,,56-53,,Oklahoma City full timeout
3:05.0,,,56-53,,Turnover by S. Ibaka (3 sec)
2:56.0,E. Bledsoe makes 2-pt shot from 2 ft,2,58-53,,
2:44.0,,,58-53,,Shooting foul by A. Len (drawn by R. Westbrook)
2:44.0,Phoenix full timeout,,58-53,,
2:44.0,,,58-53,,K. Durant enters the game for S. Adams
2:44.0,,,58-54,1,R. Westbrook makes free throw 1 of 2
2:44.0,,,58-55,1,R. Westbrook makes free throw 2 of 2
2:35.0,Turnover by M. Morris (bad pass),,58-55,,
2:19.0,,,58-57,2,R. Jackson makes 2-pt shot from 2 ft
2:03.0,G. Dragic makes 3-pt shot from 24 ft (assist by P. Tucker),3,61-57,,
1:38.0,,,61-57,,R. Jackson misses 3-pt shot from 24 ft
1:37.0,Defensive rebound by E. Bledsoe,,61-57,,
1:31.0,P. Tucker misses 3-pt shot from 24 ft,,61-57,,
1:30.0,,,61-57,,Defensive rebound by K. Durant
1:21.0,,,61-60,3,K. Durant makes 3-pt shot from 24 ft (assist by R. Westbrook)
1:00.0,M. Morris misses 2-pt shot from 14 ft,,61-60,,
0:59.0,,,61-60,,Defensive rebound by R. Westbrook
0:53.0,,,61-60,,R. Westbrook misses 2-pt shot from 15 ft
0:52.0,Defensive rebound by Team,,61-60,,
0:52.0,,,61-60,,Loose ball foul by S. Ibaka (drawn by A. Len)
0:32.0,Turnover by A. Len (3 sec),,61-60,,
0:29.0,,,61-60,,R. Westbrook misses 2-pt shot from 1 ft
0:28.0,Defensive rebound by A. Len,,61-60,,
0:28.0,Turnover by A. Len (offensive foul),,61-60,,
0:28.0,,,61-60,,Technical foul by R. Westbrook
0:28.0,E. Bledsoe makes technical free throw,1,62-60,,
0:28.0,,,62-61,1,R. Westbrook makes flagrant free throw 1 of 2
0:28.0,,,62-61,,Technical foul by K. Durant
0:28.0,Technical foul by M. Morris,,62-61,,
0:28.0,,,62-61,,R. Westbrook misses flagrant free throw 2 of 2
0:28.0,,,62-61,,Offensive rebound by Team
0:28.0,M. Plumlee enters the game for A. Len,,62-61,,
0:08.0,,,62-63,2,R. Westbrook makes 2-pt shot from 3 ft
0:08.0,,,62-63,,Shooting foul by E. Bledsoe (drawn by R. Westbrook)
0:08.0,Technical foul by Team,,62-63,,
0:08.0,,,62-63,,Technical foul by R. Westbrook
0:08.0,,,62-63,,K. Perkins enters the game for R. Westbrook
0:08.0,,,62-64,1,K. Perkins makes free throw 1 of 1
0:00.0,E. Bledsoe misses 2-pt shot from 19 ft,,62-64,,
0:00.0,,,62-64,,Defensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
